"","Open","High","Low","Close","Volume"
"2001-01-02",113.711227,113.711227,88.523727,92.523727,22142800
"2001-01-03",85.07991,123.07991,84.32991,119.07991,36720500
"2001-01-04",117.109474,120.671974,109.734474,113.046974,16270000
"2001-01-05",113.501579,114.126579,98.939079,99.064079,16469100
"2001-01-08",96.883934,104.446434,91.446434,104.180809,20383600
"2001-01-09",107.154739,111.342239,102.029739,105.717239,22151100
"2001-01-10",99.009254,113.696754,94.821754,107.634254,37699100
"2001-01-11",105.049301,122.049301,104.611801,119.361801,24851900
"2001-01-12",116.816338,124.503838,114.378838,118.628838,21243900
"2001-01-16",119.971413,123.440163,111.721413,115.471413,22842800
"2001-01-17",131.232529,131.670029,122.357529,122.857529,26635500
"2001-01-18",120.877205,124.939705,116.752205,123.252205,19365200
"2001-01-19",127.291031,127.416031,120.353531,121.166031,15544100
"2001-01-22",120.264252,120.514252,113.639252,115.076752,12413300
"2001-01-23",113.59549,124.22049,108.65799,122.392365,21417700
"2001-01-24",121.759117,127.040367,119.259117,120.884117,17363100
"2001-01-25",118.499359,126.624359,113.749359,114.061859,14659900
"2001-01-26",109.564308,112.564308,102.126808,107.126808,26734500
"2001-01-29",104.121506,108.059006,99.121506,104.871506,24181200
"2001-01-30",106.932159,107.260284,100.307159,101.432159,19265000
"2001-01-31",104.568375,107.318375,95.130875,95.568375,25160300
"2001-02-01",97.460922,100.898422,95.898422,97.710922,18898100
"2001-02-02",100.332253,100.457253,90.644753,90.832253,17562600
"2001-02-05",89.825233,97.372108,88.872108,94.497108,17470800
"2001-02-06",93.872925,96.497925,90.935425,92.185425,16248200
"2001-02-07",89.731361,90.887611,82.762611,85.137611,26833600
"2001-02-08",87.76609,89.76609,83.70359,83.95359,17083700
"2001-02-09",84.102852,86.040352,75.227852,75.665352,21890900
"2001-02-12",73.68187,75.18187,67.49437,72.05687,21178300
"2001-02-13",75.967262,79.217262,70.654762,71.154762,16910900
"2001-02-14",70.627022,80.752022,70.252022,80.627022,20720900
"2001-02-15",85.179871,89.289246,82.101746,83.164246,24538900
"2001-02-16",73.41964,77.10714,72.16964,72.16964,27151300
"2001-02-20",74.808525,74.933525,66.871025,67.433525,25516400
"2001-02-21",65.171265,73.108765,64.921265,67.546265,26088300
"2001-02-22",69.673309,70.673309,58.892059,61.767059,36862400
"2001-02-23",61.496025,67.933525,59.308525,67.433525,30681100
"2001-02-26",69.56546,71.44046,62.56546,65.06546,27749400
"2001-02-27",64.784851,66.347351,55.972351,56.706726,34313200
"2001-02-28",57.368153,58.868153,51.180653,58.243153,40891500
"2001-03-01",56.637314,59.199814,52.449814,55.762314,32334700
"2001-03-02",54.502735,55.252735,48.002735,48.36211,27891800
"2001-03-05",50.511818,53.574318,49.636818,52.886818,20696800
"2001-03-06",57.042099,61.229599,56.417099,57.792099,22901600
"2001-03-07",60.347965,61.410465,54.285465,54.972965,22553400
"2001-03-08",54.64344,58.08094,51.76844,55.70594,24524100
"2001-03-09",54.581982,54.753857,48.316357,49.503857,20386500
"2001-03-12",44.886604,47.949104,43.886604,44.824104,26911700
"2001-03-13",45.511818,53.886818,44.136818,52.886818,29107400
"2001-03-14",49.271389,57.146389,48.396389,51.646389,45705400
"2001-03-15",55.880188,56.567688,49.567688,50.067688,26378000
"2001-03-16",49.931267,51.931267,46.306267,47.868767,23475100
"2001-03-19",48.342667,53.280167,45.295792,52.717667,23333500
"2001-03-20",53.304939,54.242439,47.117439,47.304939,30683500
"2001-03-21",47.824615,50.324615,46.324615,47.699615,30487500
"2001-03-22",48.696671,52.009171,46.759171,51.759171,36361400
"2001-03-23",54.261299,55.073799,49.136299,50.011299,26110600
"2001-03-26",49.87017,49.930171,46.420169,46.450172,18029300
"2001-03-27",46.417831,49.837829,46.077831,47.577831,20844100
"2001-03-28",46.234063,46.274064,39.514065,39.594063,31040800
"2001-03-29",38.223545,38.893543,33.993541,35.543545,34936500
"2001-03-30",35.784493,37.384491,32.234494,34.244492,31347200
"2001-04-02",32.601998,34.791996,31.341995,32.331997,20370900
"2001-04-03",31.504887,33.394886,27.404887,27.604887,27857900
"2001-04-04",28.182895,29.992892,25.742894,26.332895,28146800
"2001-04-05",29.762799,33.792797,29.512799,33.522797,27609000
"2001-04-06",31.801676,32.051676,29.031675,30.491674,27962400
"2001-04-09",33.071379,33.431379,29.431379,29.941378,17394700
"2001-04-10",31.198819,37.368821,30.788819,36.50882,36543000
"2001-04-11",41.614674,44.414673,37.784676,38.574673,48514500
"2001-04-12",38.408832,46.268833,36.438831,45.448833,67530400
"2001-04-16",42.864585,46.514587,40.864585,43.644588,43497400
"2001-04-17",41.920868,47.010868,41.270866,45.890865,42977200
"2001-04-18",50.170742,60.380741,49.25074,51.790741,57668000
"2001-04-19",52.781071,59.621071,50.99107,59.161072,40886500
"2001-04-20",58.203571,63.103573,56.703571,58.953571,34329500
"2001-04-23",56.843018,58.44302,52.883019,53.613018,26765800
"2001-04-24",54.850864,57.220863,50.420864,51.420864,30795700
"2001-04-25",48.736687,53.806686,46.636684,52.196686,34566200
"2001-04-26",54.429837,54.429837,46.679837,46.729836,32201100
"2001-04-27",48.794674,50.674675,46.714672,49.634674,28079300
"2001-04-30",52.122166,55.972164,50.622166,53.252163,32388700
"2001-05-01",53.459118,57.689117,51.109115,57.059116,30979500
"2001-05-02",59.427059,61.497059,56.877056,58.737057,34114200
"2001-05-03",56.096965,58.496963,54.116966,54.866966,24245300
"2001-05-04",51.666623,57.686619,51.616619,55.146622,30346600
"2001-05-07",56.103024,56.643025,51.313027,51.493027,27111100
"2001-05-08",53.73489,53.834888,48.98489,53.134892,32453900
"2001-05-09",50.674648,54.134647,49.594646,51.754646,26483700
"2001-05-10",54.212684,54.442684,47.992687,48.362686,32008800
"2001-05-11",48.90905,49.54905,47.74905,48.949047,20677700
"2001-05-14",49.027009,49.517007,45.737008,48.507008,15906200
"2001-05-15",48.497703,51.657703,47.447704,47.947704,30294900
"2001-05-16",46.543755,52.333756,46.363755,52.223755,23654500
"2001-05-17",52.639316,56.159316,47.249317,48.209316,43904600
"2001-05-18",48.235222,50.235222,47.435223,49.445225,19980900
"2001-05-21",49.526878,51.206879,48.416878,50.996876,25114000
"2001-05-22",52.486732,53.926731,51.22673,51.36673,25009100
"2001-05-23",51.332028,51.522031,47.98203,48.09203,14517900
"2001-05-24",49.06871,49.90871,47.688709,49.22871,15342800
"2001-05-25",49.364608,49.764606,46.854606,47.054607,12402200
