"","JPM.Open","JPM.High","JPM.Low","JPM.Close","JPM.Volume","JPM.Adjusted"
"2001-01-02",44.625,44.8125,43.3125,44,7803200,25.264324
"2001-01-03",43.4375,50.875,43.1875,50.625,21303200,29.281275
"2001-01-04",51.5,54,50.8125,52,26409800,30.076563
"2001-01-05",50.75,51.5,48.3125,48.9375,16215700,28.30522
"2001-01-08",49,50.125,48.3125,49.25,9938300,28.485977
"2001-01-09",49.875,50,47.875,48.6875,7285100,28.160622
"2001-01-10",49.5,51.6875,48.9375,50.9375,10857000,29.462025
"2001-01-11",51.125,54.25,51.125,54.125,16077700,31.305656
"2001-01-12",54,54.0625,52.375,53.3125,8946800,30.835722
"2001-01-16",53.5,54.6875,52.5,53.1875,10508500,30.763409
"2001-01-17",52.9375,54.0625,52.125,53,10317300,30.654953
"2001-01-18",51.5,51.875,50.5625,51.4375,13565600,29.751213
"2001-01-19",50.75,51.6875,49.8125,50.5625,10789100,29.245123
"2001-01-22",50.5625,52.1875,50.0625,50.875,10581500,29.425879
"2001-01-23",50.125,52.0625,50.125,51.6875,8794600,29.895821
"2001-01-24",52.6875,53.5,52.25,53.25,9316500,30.799559
"2001-01-25",53,53.875,51.75,53.0625,8347100,30.691113
"2001-01-26",53.4375,54.5,52.75,54.1875,7967800,31.341803
"2001-01-29",54.189999,56,54.18,55.119999,9494400,31.881161
"2001-01-30",55.099998,56.18,54.630001,55.98,9452800,32.378586
"2001-01-31",56.490002,57.330002,54.5,54.990002,13130800,31.805969
"2001-02-01",54.990002,55.849998,53.509998,55.849998,9174100,32.303383
"2001-02-02",55,55.330002,54.290001,54.639999,7075200,31.603531
"2001-02-05",54.509998,54.950001,53.700001,54.599998,5273700,31.580397
"2001-02-06",54.009998,54.459999,52,52.279999,7560200,30.238506
"2001-02-07",52.349998,53.5,51.880001,52.330002,7988800,30.267437
"2001-02-08",52.330002,53.049999,51.529999,51.68,5730800,29.891487
"2001-02-09",51.689999,52.599998,51.049999,51.950001,5490500,30.047653
"2001-02-12",52.470001,53.099998,51.68,52.549999,5246300,30.39468
"2001-02-13",52.540001,53.700001,51.099998,51.139999,7334700,29.579151
"2001-02-14",51.75,51.880001,50.900002,51.189999,6835100,29.608067
"2001-02-15",51.380001,52.75,50.900002,51.110001,7408400,29.561804
"2001-02-16",50.400002,52,50.25,51.990002,7364800,30.070789
"2001-02-20",51.990002,52.599998,49.630001,49.950001,9073500,28.890852
"2001-02-21",48.950001,50.099998,47.009998,47.349998,9835100,27.38703
"2001-02-22",47.75,48.299999,45.389999,48.299999,12409800,27.936506
"2001-02-23",47.049999,48.25,46.200001,47.049999,9708100,27.213516
"2001-02-26",48,49.299999,46.810001,48.549999,8783500,28.081091
"2001-02-27",48.950001,49.779999,46.849998,47.599998,11744300,27.531631
"2001-02-28",47.889999,48,45.299999,46.66,10510600,26.987928
"2001-03-01",45.599998,46.25,44.779999,46.110001,10551800,26.669813
"2001-03-02",45.599998,47.599998,45.189999,45.799999,7559700,26.490503
"2001-03-05",45.900002,46.950001,45.299999,46.759998,5988200,27.045776
"2001-03-06",48.25,48.950001,47.5,47.959999,6844500,27.73984
"2001-03-07",48.400002,50.450001,48.02,50.25,7296600,29.064375
