"","Open","High","Low","Close","Volume"
"2001-01-02",5.228694,5.666194,5.197444,5.291194,1002600
"2001-01-03",5.019042,5.706542,4.894042,5.706542,1621400
"2001-01-04",5.387128,6.137128,5.137128,5.887128,1472200
"2001-01-05",5.766219,5.766219,5.297469,5.453719,1822000
"2001-01-08",5.457179,5.457179,5.082179,5.363429,1469600
"2001-01-09",5.475236,5.475236,5.318986,5.381486,492800
"2001-01-10",5.407867,5.501617,5.157867,5.345367,381400
"2001-01-11",5.371752,5.559252,5.215502,5.309252,692600
"2001-01-12",5.328719,5.453719,5.109969,5.453719,393200
"2001-01-16",5.386353,5.480103,5.136353,5.417603,961800
"2001-01-17",5.435661,5.466911,5.248161,5.435661,427200
"2001-01-18",5.406457,5.500207,5.218957,5.218957,646200
"2001-01-19",5.212681,5.275181,4.900181,5.056431,691200
"2001-01-22",4.733561,5.389811,4.671061,5.327311,832400
"2001-01-23",5.327311,5.358561,5.233561,5.327311,536200
"2001-01-24",5.189117,5.407867,5.157867,5.345367,614400
"2001-01-25",5.239839,5.833589,5.114839,5.489839,1191800
"2001-01-26",5.476647,5.664147,5.414147,5.507897,474800
"2001-01-29",5.333201,5.688201,5.138201,5.663201,491000
"2001-01-30",5.675867,5.875867,5.450867,5.645867,613600
"2001-01-31",5.366463,6.196463,5.346463,5.891463,1534200
"2001-02-01",5.899906,5.954906,5.714906,5.879906,2246800
"2001-02-02",5.962219,5.977219,5.737219,5.767219,1640600
"2001-02-05",5.922298,6.047298,5.577298,5.582298,1019200
"2001-02-06",5.836417,5.906417,5.576417,5.631417,656400
"2001-02-07",5.485785,5.960785,5.485785,5.830785,531000
"2001-02-08",6.041948,6.106948,5.291948,5.486948,1329400
"2001-02-09",5.624139,5.864139,5.259139,5.299139,727000
"2001-02-12",5.257626,5.647626,5.202626,5.547626,1387400
"2001-02-13",5.536746,5.661746,5.416746,5.596746,485600
"2001-02-14",5.509308,5.689308,5.414308,5.634308,917200
"2001-02-15",5.440785,5.830785,5.340785,5.830785,982800
"2001-02-16",5.721136,6.046136,5.671136,5.926136,1299000
"2001-02-20",5.815051,6.140051,5.655051,6.085051,1340400
"2001-02-21",6.315641,6.315641,5.610641,5.625641,1797400
"2001-02-22",5.738836,5.743836,5.033836,5.463836,2312200
"2001-02-23",5.260946,5.660946,5.060946,5.460946,1196200
"2001-02-26",5.5843,5.6843,5.4593,5.5893,1150200
"2001-02-27",5.627624,5.632624,5.417624,5.542624,992600
"2001-02-28",5.657182,5.707182,5.152182,5.382182,1849400
"2001-03-01",5.495487,5.495487,5.140487,5.230487,1723200
"2001-03-02",5.177979,5.177979,4.932979,5.177979,779800
"2001-03-05",5.180063,5.355063,5.105063,5.175063,1004400
"2001-03-06",5.115487,5.265487,5.090487,5.230487,1433400
"2001-03-07",5.177171,5.332171,5.122171,5.312171,1375800
"2001-03-08",5.265926,5.370926,5.240926,5.355926,1018200
"2001-03-09",5.345505,5.375505,5.240505,5.335505,668800
"2001-03-12",5.471724,5.471724,5.146724,5.151724,625200
"2001-03-13",5.144625,5.169625,4.909625,5.049625,897000
"2001-03-14",5.007949,5.052949,4.802949,5.002949,727400
"2001-03-15",4.677979,5.302979,4.677979,5.177979,1238600
"2001-03-16",5.211273,5.336273,4.936273,4.956273,2055400
"2001-03-19",5.023795,5.153795,4.998795,5.078795,830600
"2001-03-20",5.134229,5.329229,5.079229,5.169229,1128600
"2001-03-21",5.26212,5.26712,5.03212,5.03212,797400
"2001-03-22",5.129987,5.129987,4.654987,4.754987,1693000
"2001-03-23",4.734161,4.984161,4.639161,4.784161,1265000
"2001-03-26",4.899996,4.949996,4.654996,4.789996,1083600
"2001-03-27",4.830403,4.830403,4.515403,4.740403,2147000
"2001-03-28",4.784976,4.784976,4.454976,4.684976,830800
"2001-03-29",4.599574,4.819574,4.474574,4.769574,728800
"2001-03-30",4.759154,4.824154,4.609154,4.749154,1046800
"2001-04-02",4.831663,4.916663,4.696663,4.801663,842000
"2001-04-03",4.846632,5.071632,4.581632,4.626632,834800
"2001-04-04",4.643308,4.813308,4.613308,4.673308,622200
"2001-04-05",4.628764,4.923764,4.498764,4.903764,1022200
"2001-04-06",4.83834,4.96334,4.59834,4.84834,884600
"2001-04-09",4.959185,5.034185,4.874185,4.924185,1123400
"2001-04-10",4.81212,5.13212,4.81212,5.03212,699200
"2001-04-11",5.11002,5.15502,4.83002,4.93002,1219200
"2001-04-12",4.989586,4.989586,4.669586,4.839586,843200
"2001-04-16",4.879161,4.944161,4.654161,4.784161,618800
"2001-04-17",4.752919,4.947919,4.747919,4.827919,560000
"2001-04-18",4.688393,5.308393,4.688393,5.163393,1140600
"2001-04-19",5.142571,5.232571,4.997571,5.227571,687400
"2001-04-20",5.223381,5.288381,4.963381,5.093381,1109000
"2001-04-23",4.9184,5.3084,4.9134,5.1984,875800
"2001-04-24",5.323783,5.323783,4.713783,5.008783,2184800
"2001-04-25",5.052943,5.052943,4.902943,4.967943,744800
"2001-04-26",4.859636,5.134636,4.794636,5.119636,1069000
"2001-04-27",5.088418,5.353418,5.063418,5.303418,1124200
"2001-04-30",5.219678,5.394678,5.119678,5.364678,698200
"2001-05-01",5.300098,5.385098,5.270098,5.385098,392400
"2001-05-02",5.375939,5.450939,5.300939,5.425939,609600
"2001-05-03",5.432182,5.482182,5.332182,5.382182,701400
"2001-05-04",5.209283,5.504283,5.094283,5.484283,680600
"2001-05-07",5.471755,5.471755,5.196755,5.326755,1174600
"2001-05-08",5.500909,5.500909,5.175909,5.250909,626400
"2001-05-09",5.317571,5.317571,5.122571,5.227571,355000
"2001-05-10",5.223424,5.548424,5.213424,5.338424,947200
"2001-05-11",5.388424,5.438424,5.258424,5.338424,548800
"2001-05-14",5.225909,5.350909,5.150909,5.250909,926200
"2001-05-15",5.257158,5.287158,5.182158,5.242158,839400
"2001-05-16",5.196335,5.336335,5.101335,5.306335,1175400
"2001-05-17",5.206351,5.426351,5.186351,5.411351,856200
"2001-05-18",5.39969,5.46469,5.19969,5.43469,919000
"2001-05-21",5.248039,5.548039,5.228039,5.528039,1263200
"2001-05-22",5.528046,5.623046,5.478046,5.563046,1276200
"2001-05-23",5.709678,5.709678,5.214678,5.364678,870400
"2001-05-24",5.354271,5.459271,5.349271,5.414271,1049400
"2001-05-25",5.236351,5.441351,5.186351,5.411351,818000
"2001-05-29",5.468835,5.533835,5.423835,5.493835,789800
"2001-05-30",5.495191,5.520191,5.420191,5.420191,770400
"2001-05-31",5.383486,5.493486,5.338486,5.458486,544600
"2001-06-01",5.531818,5.546818,5.306818,5.331818,525400
"2001-06-04",5.274688,5.389688,5.169688,5.284688,512600
"2001-06-05",5.179919,5.434919,5.124919,5.434919,668000
"2001-06-06",5.378407,5.478407,5.328407,5.408407,323200
"2001-06-07",5.350035,5.465035,5.240035,5.320035,506800
"2001-06-08",5.258407,5.453407,5.258407,5.408407,260400
"2001-06-11",5.339919,5.444919,5.289919,5.434919,586000
"2001-06-12",5.372245,5.472245,5.287245,5.417245,481600
"2001-06-13",5.420191,5.470191,5.395191,5.420191,428200
"2001-06-14",5.467091,5.517091,5.297091,5.317091,277200
"2001-06-15",5.095848,5.310848,5.095848,5.275848,967800
"2001-06-18",5.202362,5.427362,5.177362,5.302362,456400
"2001-06-19",5.360577,5.485577,5.235577,5.290577,534600
"2001-06-20",5.290035,5.360035,5.275035,5.320035,495000
"2001-06-21",5.195731,5.420731,5.165731,5.390731,722000
"2001-06-22",5.427708,5.427708,5.222708,5.337708,514200
"2001-06-25",5.312362,5.352362,5.202362,5.302362,873600
"2001-06-26",5.254415,5.354415,5.204415,5.299415,858400
"2001-06-27",5.397825,5.397825,5.182825,5.222825,343000
"2001-06-28",5.136546,5.346546,5.121546,5.346546,649000
"2001-06-29",5.189375,5.599375,5.189375,5.464375,829800
"2001-07-02",5.561818,5.606818,5.311818,5.331818,534400
"2001-07-03",5.437978,5.437978,5.287978,5.322978,267200
"2001-07-05",5.209879,5.314879,5.159879,5.219879,1392600
"2001-07-06",5.342784,5.342784,5.007784,5.007784,1102200
"2001-07-09",5.016699,5.091699,4.966699,5.066699,837000
"2001-07-10",5.153716,5.323716,5.053716,5.228716,1356000
"2001-07-11",5.141276,5.411276,5.111276,5.361276,1145000
"2001-07-12",5.371585,5.596585,5.286585,5.561585,604400
"2001-07-13",5.490579,5.670579,5.340579,5.670579,776400
"2001-07-16",5.668524,5.788524,5.643524,5.673524,455000
"2001-07-17",5.643524,5.718524,5.563524,5.673524,472800
"2001-07-18",5.527675,5.882675,5.472675,5.882675,976000
"2001-07-19",5.669962,6.044962,5.599962,6.029962,1554600
"2001-07-20",5.892867,6.277867,5.867867,6.197867,1601800
"2001-07-23",6.103217,6.323217,6.063217,6.233217,989600
"2001-07-24",6.038179,6.398179,5.988179,6.398179,1832000
