"","Open","High","Low","Close","Volume"
"2011-02-11",22.389782,22.82978,21.439781,21.73978,50610600
"2011-02-14",21.84473,22.09473,21.494732,21.494732,6275900
"2011-02-15",21.622757,21.872757,21.452757,21.662758,4337800
"2011-02-16",21.83873,22.228732,21.448731,21.50873,4627100
"2011-02-17",21.519707,21.929707,21.349707,21.389706,3290700
"2011-02-18",21.273828,21.973827,20.993828,21.963829,2583800
"2011-02-22",21.92873,22.218731,21.49873,21.50873,2454300
"2011-02-23",21.638691,21.778691,21.128691,21.298691,2671200
"2011-02-24",21.416691,21.516692,21.166691,21.326691,1698000
"2011-02-25",21.384703,21.604702,21.154701,21.354702,2225900
"2011-02-28",21.424702,21.644703,21.274702,21.354702,2380400
"2011-03-01",21.519692,21.649693,21.099692,21.319693,1908000
"2011-03-02",21.403715,21.523716,21.093715,21.403715,2197000
"2011-03-03",21.453739,21.543739,21.30374,21.543739,1901800
"2011-03-04",21.549753,21.689755,21.409754,21.599754,892300
"2011-03-07",21.674757,21.774757,21.434757,21.634756,1049600
"2011-03-08",21.513771,21.753773,21.513771,21.683771,827400
"2011-03-09",21.679737,21.759737,21.519737,21.529737,294100
"2011-03-10",21.684635,21.684635,20.724636,21.074636,2715200
"2011-03-11",21.074636,21.454636,20.944635,21.074636,1896900
"2011-03-14",21.007618,21.227617,20.807617,20.997618,1967700
"2011-03-15",20.850597,21.240599,20.640598,20.920597,1968400
"2011-03-16",20.879629,21.14963,20.74963,21.039629,2062200
"2011-03-17",21.159645,21.369644,21.019643,21.109644,1511400
"2011-03-18",21.064701,21.354702,20.934702,21.354702,1906600
"2011-03-21",21.288748,21.758747,21.158747,21.578747,1253000
"2011-03-22",21.694731,21.774731,21.364731,21.494732,1014700
"2011-03-23",21.528626,21.668625,20.948626,21.018625,2570500
"2011-03-24",21.08963,21.23963,20.88963,21.039629,1411600
"2011-03-25",21.158541,21.238541,20.648541,20.668541,2687100
"2011-03-28",20.858561,21.048561,20.67856,20.738562,1552900
"2011-03-29",20.817591,20.95759,20.607592,20.857592,1313800
"2011-03-30",20.967575,20.987573,20.677574,20.787575,769700
"2011-03-31",20.91256,20.982562,20.622561,20.75256,884400
"2011-04-01",20.944542,21.004541,20.644541,20.654541,1869200
"2011-04-04",20.612532,20.872532,20.422531,20.612532,1177900
"2011-04-05",20.662531,20.81253,20.172531,20.612532,1021200
"2011-04-06",20.626537,20.656538,20.376537,20.626537,725100
"2011-04-07",20.758503,20.798502,20.368502,20.458502,1226100
"2011-04-08",20.42551,20.625511,20.325512,20.535511,934800
"2011-04-11",20.529506,20.639507,20.299507,20.479507,1160900
"2011-04-12",20.485427,20.625427,19.655427,20.115427,1278100
"2011-04-13",20.095438,20.375438,20.015438,20.185438,2766900
"2011-04-14",20.058485,20.428484,19.838484,20.388485,785800
"2011-04-15",20.450451,20.49045,20.030451,20.220449,863900
"2011-04-18",20.238394,20.288393,19.678393,19.968393,882400
"2011-04-19",19.960432,20.230433,19.900433,20.150433,1121200
"2011-04-20",20.149536,20.769536,19.959537,20.619537,2054000
"2011-04-21",20.435563,21.045563,20.185563,20.745562,1516900
"2011-04-25",21.006518,21.006518,20.266519,20.55652,604100
"2011-04-26",20.808485,20.858484,20.318483,20.388485,1100000
"2011-04-27",20.646448,20.836449,20.096449,20.20645,1479600
"2011-04-28",20.29384,20.403841,20.143841,20.28384,1041000
"2011-04-29",20.567951,20.817951,19.87795,20.10795,1843400
"2011-05-02",20.186798,20.446798,19.836797,20.276798,1036600
"2011-05-03",20.48355,20.533549,19.693549,19.833551,1158700
"2011-05-04",19.911738,20.071738,19.021736,19.671736,2537800
"2011-05-05",19.725802,19.965802,19.115802,19.685802,1618300
"2011-05-06",19.779879,20.109879,19.549879,19.699879,653600
"2011-05-09",19.723912,20.063912,19.623911,19.903912,752100
