"","KSS.Open","KSS.High","KSS.Low","KSS.Close","KSS.Volume","KSS.Adjusted"
"2001-01-02",60.75,62,58.9375,59.25,1990100,43.775658
"2001-01-03",60.4375,64,57.625,63.8125,2476300,47.146564
"2001-01-04",69.5,70.125,66.5625,70,5955300,51.718075
"2001-01-05",68.5,68.6875,64.5625,64.75,3639000,47.839214
"2001-01-08",63.75,65.9375,63.375,64.25,1838800,47.469799
"2001-01-09",65,65,62.8125,63.9375,1549700,47.238918
"2001-01-10",63.25,66.5,62.875,66.25,1702100,48.94746
"2001-01-11",66.125,69.1875,65,68.125,2547400,50.332764
"2001-01-12",68.1875,69.1875,66.9375,68.5625,1290700,50.655994
"2001-01-16",68.3125,69.3125,67.3125,68.375,1252000,50.517475
"2001-01-17",68.375,68.8125,67.5,67.8125,1258300,50.101875
"2001-01-18",67.5,67.6875,65.75,66.625,1058000,49.224522
"2001-01-19",66.375,66.375,64.375,65.9375,1960400,48.716572
"2001-01-22",66.75,68.75,66.75,68.5,1342000,50.609825
"2001-01-23",68.5,69.125,67.8125,68.0625,1139900,50.286594
"2001-01-24",68,69.75,67.0625,69.1875,1511300,51.117764
"2001-01-25",69.25,70.75,68.1875,70.375,2645700,51.995117
"2001-01-26",70.125,70.75,68,70,1318300,51.718075
"2001-01-29",70,71.449997,69.75,70.739998,881900,52.264797
"2001-01-30",70.5,70.959999,69,70.410004,1391300,52.020996
"2001-01-31",70.160004,72.199997,70.160004,71,1671200,52.45689
"2001-02-01",71.099998,71.150002,69.360001,70.489998,1131100,52.080093
"2001-02-02",70.730003,70.739998,68.099998,68.489998,986500,50.602444
"2001-02-05",68.25,69.199997,67.779999,68.489998,949100,50.602444
"2001-02-06",68.919998,70,68.300003,68.629997,1568300,50.705875
"2001-02-07",68.010002,69.989998,67.120003,68.260002,2046000,50.432507
"2001-02-08",69,69,66.849998,66.989998,2543200,49.494186
"2001-02-09",67,67.849998,65.400002,65.75,1580800,48.578045
"2001-02-12",66.25,69.5,65.779999,69.5,1706700,51.34866
"2001-02-13",69.5,70.730003,68.75,70.110001,1893400,51.799343
"2001-02-14",70.110001,70.110001,69,69.589996,2003800,51.41515
"2001-02-15",69.900002,70.199997,68.510002,68.889999,1858300,50.897961
"2001-02-16",68.900002,70.470001,68.699997,69.610001,1764900,51.429928
"2001-02-20",70.900002,72.239998,70,71.82,2065100,53.062733
"2001-02-21",71,71.239998,68.75,69.25,2590000,51.163948
"2001-02-22",67.599998,69,66,67.879997,2350000,50.151749
"2001-02-23",67.010002,68.699997,65.300003,68.5,2034400,50.609825
"2001-02-26",68.5,70.5,68.400002,69.699997,1640000,51.496422
"2001-02-27",69.699997,70.300003,67.349998,68.010002,2226500,50.247799
"2001-02-28",67,67.800003,64.809998,65.910004,3151200,48.696259
"2001-03-01",65.660004,65.669998,62,62,3323200,45.80743
"2001-03-02",61.75,63.5,60.5,62.299999,2697500,46.029079
"2001-03-05",63,63.700001,61.259998,63.5,2520400,46.915676
"2001-03-06",63.75,66.199997,63.75,65.970001,2861300,48.740582
"2001-03-07",65.970001,66.599998,65.459999,66.550003,1492900,49.169102
"2001-03-08",66.5,67,65.550003,66.099998,1298300,48.836632
"2001-03-09",65.300003,65.599998,64.099998,64.739998,1508500,47.831825
"2001-03-12",64.699997,64.699997,62.25,62.259998,1629000,45.999527
"2001-03-13",62.259998,62.970001,60.23,61.610001,2006400,45.519291
"2001-03-14",61.860001,64,61,63.290001,2659700,46.760521
"2001-03-15",64,64.839996,63.259998,63.98,1643000,47.270313
"2001-03-16",63.5,64,61.799999,62,1739400,45.80743
"2001-03-19",62.25,62.599998,61,62,1837900,45.80743
"2001-03-20",62.099998,64,62.049999,62.119999,1757400,45.896099
"2001-03-21",62,62.450001,60.5,61.389999,1692600,45.35675
"2001-03-22",61.380001,61.380001,54.610001,57.200001,4389100,42.261066
"2001-03-23",57.849998,59.380001,55.950001,59.299999,2212500,43.812595
"2001-03-26",60.299999,60.639999,58.529999,60.450001,1568100,44.662254
"2001-03-27",60.650002,61.939999,59.200001,61.75,1685400,45.622734
"2001-03-28",61.759998,62.5,59.849998,62,1823500,45.80743
