"","Open","High","Low","Close","Volume"
"2001-01-02",14.465944,14.465944,13.206112,13.421206,969600
"2001-01-03",13.2564,14.639142,13.072034,14.639142,2591100
"2001-01-04",14.659359,15.366095,14.659359,14.997362,3022700
"2001-01-05",15.127435,15.311802,14.29779,14.543611,1625500
"2001-01-08",14.707611,14.953432,14.246696,14.400335,1413000
"2001-01-09",14.260061,14.843885,14.229333,14.78243,1061700
"2001-01-10",15.021073,15.389804,14.898162,15.236167,3059900
"2001-01-11",15.307978,15.338706,14.939246,15.092885,1757300
"2001-01-12",15.140807,15.3559,14.280432,14.925713,1525700
"2001-01-16",15.175043,15.267225,14.80631,14.80631,1912900
"2001-01-17",14.915202,15.652665,14.915202,15.283935,2471500
"2001-01-18",15.468134,15.591043,15.160858,15.498861,1508600
"2001-01-19",15.779574,15.779574,14.519742,14.519742,1744900
"2001-01-22",14.978129,14.978129,13.28811,13.349564,2506200
"2001-01-23",13.147509,14.315157,12.99387,14.16152,1900100
"2001-01-24",14.277261,14.799631,13.969985,14.615264,1807600
"2001-01-25",14.577851,15.069493,14.362758,14.424212,1791700
"2001-01-26",14.233162,14.356074,13.895159,14.233162,986400
"2001-01-29",14.601062,14.694475,13.775104,13.893098,1287500
"2001-01-30",13.824086,14.133821,13.155454,14.133821,1565500
"2001-01-31",14.159547,14.646272,13.422084,14.061217,1520600
"2001-02-01",13.946121,14.393516,13.311903,13.79863,1690200
"2001-02-02",13.793219,14.186531,13.596562,13.645725,1269400
"2001-02-05",13.722695,13.939017,13.673529,13.806273,1162200
"2001-02-06",13.761357,14.675811,13.682695,14.100591,1658700
"2001-02-07",14.163975,14.542539,13.927986,14.050897,1009200
"2001-02-08",13.901911,14.049405,13.577427,13.695422,769400
"2001-02-09",13.66761,13.68236,13.230049,13.569283,693700
"2001-02-12",13.231558,13.969021,13.133228,13.890358,868300
"2001-02-13",13.841662,14.407052,13.841662,14.077651,763500
"2001-02-14",13.97333,14.125738,13.875,14.047075,761100
"2001-02-15",13.719198,14.50091,13.719198,14.333752,1351500
"2001-02-16",14.164518,14.410339,13.967861,14.066188,584500
"2001-02-20",14.314918,14.477159,13.429961,13.626618,724300
"2001-02-21",13.798765,14.034754,13.430034,13.454616,928700
"2001-02-22",13.495746,13.618655,12.512462,13.053267,2166600
"2001-02-23",12.761055,13.129785,12.736471,12.95771,1611900
"2001-02-26",12.89025,13.627713,12.89025,13.622796,817800
"2001-02-27",13.626692,13.798765,13.179296,13.454616,730800
"2001-02-28",13.323462,13.677443,13.323462,13.569283,692300
"2001-03-01",14.009132,14.009132,13.030765,13.320833,1034600
"2001-03-02",13.227829,14.275026,13.154083,13.645725,671600
"2001-03-05",13.73852,13.984341,13.635275,13.836847,1625900
"2001-03-06",13.784331,14.216977,13.784331,14.02032,985800
"2001-03-07",14.012526,14.440254,13.702791,14.39109,1371700
"2001-03-08",14.388455,14.481865,14.142634,14.142634,811900
"2001-03-09",14.369486,14.394068,13.779517,13.779517,662200
"2001-03-12",13.970904,14.0594,13.258023,13.282605,452300
"2001-03-13",13.482479,13.482479,13.118664,13.443148,624000
"2001-03-14",13.443809,13.542136,12.853837,13.148822,1074100
"2001-03-15",13.064583,13.664387,13.064583,13.443148,643100
"2001-03-16",14.067115,14.067115,13.103498,13.118246,1038700
"2001-03-19",12.78908,13.969021,12.78908,13.890358,1465000
"2001-03-20",14.001583,14.847208,14.001583,14.429311,3025300
"2001-03-21",14.411078,15.640183,14.411078,14.922385,4975700
"2001-03-22",15.159084,15.237747,13.802152,14.524866,2767400
"2001-03-23",14.268544,15.109252,14.170217,14.819183,2174300
"2001-03-26",15.057733,15.524793,14.983985,15.23964,2698500
"2001-03-27",15.051832,16.349767,14.894506,16.325186,3325500
"2001-03-28",16.059059,16.698193,15.749323,16.550701,3134500
"2001-03-29",16.495555,17.060945,16.126825,16.485723,1880200
"2001-03-30",16.017525,16.238764,15.058823,15.235813,6428600
"2001-04-02",15.550557,15.560391,14.724598,15.029417,2269700
"2001-04-03",15.221918,15.516903,14.435289,14.494287,1691200
"2001-04-04",14.547197,15.132252,14.394789,14.704523,2592100
"2001-04-05",15.10696,15.549438,14.521905,15.067628,2215600
"2001-04-06",15.174426,15.174426,14.117397,14.402549,2144600
"2001-04-09",14.309929,15.155553,14.309929,15.155553,966300
"2001-04-10",15.087,16.119448,15.087,15.824463,2123000
"2001-04-11",16.335287,16.335287,15.179928,15.67157,1937500
"2001-04-12",15.685282,15.906521,15.439461,15.537788,1038700
"2001-04-16",15.8497,15.889032,15.500634,15.564548,1024900
"2001-04-17",15.666305,15.956375,15.174663,15.174663,1021800
