"","Open","High","Low","Close","Volume"
"2001-01-02",51.060665,53.060665,48.560665,49.560665,4073500
"2001-01-03",50.875854,51.438354,45.813354,46.750854,6617800
"2001-01-04",46.878567,47.628567,42.128567,43.941067,12352700
"2001-01-05",44.016594,45.391594,42.579094,43.704094,5873900
"2001-01-08",43.987957,44.862957,42.487957,43.737957,3408300
"2001-01-09",42.70665,46.01915,42.26915,45.76915,4146600
"2001-01-10",46.28479,47.03479,44.15979,45.15979,3208100
"2001-01-11",46.524399,46.524399,44.024399,44.211899,3134600
"2001-01-12",45.206726,46.519226,43.331726,43.331726,3464100
"2001-01-16",41.967072,46.217072,41.092072,45.092072,2910900
"2001-01-17",45.115551,45.365551,43.615551,44.178051,2578100
"2001-01-18",45.154606,46.154606,44.154606,44.279606,2934700
"2001-01-19",44.737957,45.612957,43.425457,43.737957,3170600
"2001-01-22",43.904606,44.967106,43.404606,44.279606,2305400
"2001-01-23",43.711887,45.399387,42.586887,45.024387,2380600
"2001-01-24",44.196255,45.383755,43.446255,44.821255,1752800
"2001-01-25",42.928017,45.740517,42.615517,44.990517,3537600
"2001-01-26",46.123341,46.623341,44.435841,44.685841,2890900
"2001-01-29",45.327542,46.527539,43.827542,43.92754,3284700
"2001-01-30",43.738811,44.908809,42.438808,43.228809,3200400
"2001-01-31",43.711743,43.711743,41.891743,42.681744,5361700
"2001-02-01",42.062957,44.092956,42.062957,43.412956,3037300
"2001-02-02",43.660842,44.600844,43.470847,44.360847,2955800
"2001-02-05",45.857551,47.077545,43.127548,43.27755,4123600
"2001-02-06",41.477596,43.267597,41.477596,41.977596,8141300
"2001-02-07",41.312996,43.223,40.872994,42.762993,5436800
"2001-02-08",42.877968,44.377968,42.427971,43.867966,2905400
"2001-02-09",44.477955,44.977955,42.28796,43.737957,4412700
"2001-02-12",44.648399,44.878402,42.858398,43.548401,4179900
"2001-02-13",44.487724,44.487724,42.897728,43.477722,2631000
"2001-02-14",44.316009,44.806007,41.686012,41.896011,4589500
"2001-02-15",42.931362,43.051365,40.451366,40.901363,5449200
"2001-02-16",41.228371,41.668366,39.658371,39.678368,4468900
"2001-02-20",40.367997,41.067994,39.617997,40.047997,6502200
"2001-02-21",40.811489,40.981488,40.081486,40.091488,3659000
"2001-02-22",40.972382,41.112381,39.022385,40.352379,4232600
"2001-02-23",39.811824,41.531818,38.081821,41.281818,3665500
"2001-02-26",40.674519,42.164517,39.424519,42.064518,2991400
"2001-02-27",41.296078,42.756077,40.946079,42.396076,2881600
"2001-02-28",42.479626,43.719624,42.259625,43.189625,3058500
"2001-03-01",42.158749,44.048748,42.158749,42.928753,3441300
"2001-03-02",42.768978,44.178974,42.328976,43.118977,2579100
"2001-03-05",41.979626,43.919628,41.229626,43.189625,2800800
"2001-03-06",43.774354,43.774354,41.93435,42.374352,3526700
"2001-03-07",44.157505,44.197506,40.707508,41.727505,4664800
"2001-03-08",40.42995,42.169948,40.029949,42.06995,4257600
"2001-03-09",41.639618,43.21962,41.549622,42.939621,3216500
"2001-03-12",42.16785,43.557849,42.16785,42.66785,3151300
"2001-03-13",42.259129,42.72913,41.269131,42.559132,3140000
"2001-03-14",42.179936,43.559933,41.109936,41.819935,2545400
"2001-03-15",42.117679,42.327679,40.40768,41.167675,3545200
"2001-03-16",41.22107,41.931077,39.441071,40.461075,5966700
"2001-03-19",39.21901,42.059006,39.059006,41.309006,3512800
"2001-03-20",41.090771,42.270771,40.580769,41.580769,3280100
"2001-03-21",42.621479,42.721477,39.751476,40.34148,3763300
"2001-03-22",40.518628,40.52863,36.52863,39.868626,7194300
"2001-03-23",39.965534,39.965534,37.665539,39.455532,5570500
"2001-03-26",39.143917,40.843922,38.643917,40.433918,2991800
"2001-03-27",39.598587,41.428589,39.388588,41.428589,2840100
"2001-03-28",39.788219,42.188221,39.238224,42.048222,4162100
"2001-03-29",42.045948,42.645947,40.095952,41.145947,3791900
"2001-03-30",40.707744,42.017749,39.707744,41.667751,4271400
"2001-04-02",42.465481,42.495479,40.17548,41.015476,3137100
"2001-04-03",40.760899,43.240902,40.670903,40.770901,3167000
"2001-04-04",39.613137,42.203133,39.223137,41.423134,3059500
"2001-04-05",40.397765,41.91777,40.27777,41.91777,4545500
"2001-04-06",41.424313,43.474308,40.724308,42.12431,4226500
"2001-04-09",41.182602,42.822601,41.182602,42.3526,2989100
"2001-04-10",42.731762,43.121761,41.33176,42.591763,3230300
"2001-04-11",42.389038,42.39904,40.739036,41.809036,4072100
"2001-04-12",41.751705,42.741703,41.651707,42.091709,3079200
"2001-04-16",41.939621,43.669624,41.939621,42.939621,3628800
"2001-04-17",42.226918,43.966915,41.676914,43.966915,2552700
"2001-04-18",43.527943,44.487942,42.597943,43.417942,5013000
"2001-04-19",43.579018,43.929016,42.179016,43.369019,2632500
"2001-04-20",42.977524,44.077522,41.947525,43.537521,3986900
"2001-04-23",43.40514,44.79514,43.055142,43.695141,2795900
"2001-04-24",44.302226,45.252223,42.78223,42.972225,2581800
"2001-04-25",42.631512,44.971508,42.451512,44.211506,2845300
"2001-04-26",44.438667,44.688667,42.868668,44.23867,2745000
"2001-04-27",43.605073,45.085068,42.205071,45.005074,2567700
"2001-04-30",44.870842,46.390846,44.780846,46.200844,4032600
"2001-05-01",45.81329,46.913288,45.133289,46.543285,3096500
"2001-05-02",45.69181,47.44181,45.161811,46.961815,3082100
"2001-05-03",47.154811,47.834812,45.404811,46.374813,2353500
"2001-05-04",46.056145,47.576141,44.796143,46.766144,2144800
"2001-05-07",45.388347,47.388347,45.138347,47.168346,1549700
"2001-05-08",46.526146,46.846146,44.92614,46.766144,2842700
"2001-05-09",47.16806,47.618065,45.518066,46.478065,2795900
"2001-05-10",47.18628,47.18628,45.986283,46.206284,2912500
"2001-05-11",46.593654,47.103656,45.553653,45.753658,2027500
"2001-05-14",45.508145,46.37814,45.30814,46.048145,1633300
"2001-05-15",46.134452,46.704452,45.344452,46.244453,2504400
"2001-05-16",46.280647,47.770645,45.980644,47.040649,2892900
"2001-05-17",46.412297,48.762296,46.382291,47.842297,2782300
"2001-05-18",48.980739,49.130741,46.140743,46.620739,3105600
