"","Open","High","Low","Close","Volume"
"2001-01-02",26.32814,26.45314,23.869808,24.82814,362800
"2001-01-03",24.121887,26.496887,23.621887,26.455219,792400
"2001-01-04",26.676991,27.426991,25.926991,26.093655,937900
"2001-01-05",26.197477,26.197477,25.280813,25.822477,383400
"2001-01-08",25.361555,25.611555,24.944887,25.611555,255300
"2001-01-09",25.763405,26.096737,24.805069,24.888405,216300
"2001-01-10",24.611555,25.778219,24.236555,25.611555,335800
"2001-01-11",25.553867,26.262199,25.387199,25.762199,301300
"2001-01-12",25.836607,26.128271,25.503271,26.003271,169500
"2001-01-16",26.158392,26.991724,25.783392,26.033392,165300
"2001-01-17",26.135323,27.010323,25.718655,26.093655,378700
"2001-01-18",25.485363,26.485363,25.277031,26.485363,306100
"2001-01-19",26.753271,26.919939,26.003271,26.003271,445900
"2001-01-22",26.157698,26.36603,25.49103,25.49103,284800
"2001-01-23",25.209709,26.459709,25.209709,26.334709,373500
"2001-01-24",26.491724,26.95006,25.783392,26.033392,334000
"2001-01-25",26.301294,26.342962,25.051294,25.551294,284500
"2001-01-26",25.646158,26.021158,25.187822,25.521158,301500
"2001-01-29",25.33628,26.282947,25.276279,26.269615,368400
"2001-01-30",25.904174,27.344172,24.844172,27.224173,684100
"2001-01-31",27.298987,27.33232,26.498988,26.645655,407800
"2001-02-01",26.303246,27.463246,26.303246,27.069912,865000
"2001-02-02",27.065994,27.692661,26.839328,26.905994,1001500
"2001-02-05",26.928747,27.295412,25.895414,26.742079,541300
"2001-02-06",27.135768,27.249099,25.895767,26.149101,535900
"2001-02-07",26.300058,26.500059,25.653391,26.033392,394300
"2001-02-08",26.140445,27.053779,25.487113,25.75378,273600
"2001-02-09",25.564323,26.064323,25.09766,25.604324,375400
"2001-02-12",25.560698,26.300699,25.054029,26.240698,224200
"2001-02-13",26.393884,27.040551,25.773885,25.840551,329500
"2001-02-14",25.88669,26.053358,25.560022,25.720022,220500
"2001-02-15",25.605181,26.551848,25.485182,25.985182,300400
"2001-02-16",25.781166,25.987831,25.347832,25.734497,287400
"2001-02-20",26.078427,26.29176,24.825093,25.045094,638100
"2001-02-21",25.37731,25.643977,23.677309,24.177309,822000
"2001-02-22",24.24929,24.382622,23.182621,23.989288,562900
"2001-02-23",24.289568,24.289568,22.222902,23.622904,448600
"2001-02-26",24.049625,24.456295,22.929626,24.249626,346900
"2001-02-27",24.382291,24.448957,23.415624,23.728956,750400
"2001-02-28",24.003655,24.070325,22.736991,23.063656,484900
"2001-03-01",22.660656,22.740656,21.460655,22.740656,666400
"2001-03-02",22.444927,23.591597,22.078263,23.478262,519400
"2001-03-05",23.725915,23.992581,22.945916,23.092581,523200
"2001-03-06",23.130673,24.410672,23.130673,23.757336,198100
"2001-03-07",23.652257,24.752256,23.385591,24.052259,829600
"2001-03-08",24.318613,25.151945,23.318613,23.525278,2512300
"2001-03-09",23.930161,23.930161,22.323496,22.456829,440100
"2001-03-12",22.6727,22.746034,21.166034,21.359367,488500
"2001-03-13",21.342833,22.522831,21.222832,21.842833,469300
"2001-03-14",21.700237,22.366903,20.47357,20.846903,879600
"2001-03-15",20.698406,22.185074,20.685074,22.118406,694600
"2001-03-16",23.039685,23.286351,21.706351,21.886351,748500
"2001-03-19",21.950212,22.670213,21.11688,22.650213,643500
"2001-03-20",23.371487,24.438154,22.371487,22.418154,859200
"2001-03-21",22.843947,22.850613,20.83728,21.030613,770400
"2001-03-22",21.169134,21.169134,19.002468,20.489136,561700
"2001-03-23",20.514084,21.560751,20.100752,21.514084,418800
"2001-03-26",21.840084,22.280085,21.126751,21.533417,333300
"2001-03-27",21.019163,22.38583,20.665831,21.852497,894600
"2001-03-28",21.928784,21.928784,20.975451,21.03545,417600
"2001-03-29",21.255197,21.601864,20.461864,20.701864,498700
"2001-03-30",20.840432,21.273765,20.353767,20.353767,573400
"2001-04-02",20.284149,21.617481,20.150813,20.537481,462600
"2001-04-03",21.131172,21.131172,19.304504,19.357838,458700
"2001-04-04",19.591686,19.831686,18.265018,18.758352,538900
"2001-04-05",18.707973,20.961305,18.707973,20.47464,644700
"2001-04-06",20.413925,20.540592,19.380592,19.667259,417900
"2001-04-09",19.521198,20.421198,19.321197,20.087866,646800
"2001-04-10",19.979321,21.452654,19.979321,21.165987,688300
"2001-04-11",22.799833,22.799833,21.1665,21.199833,1116400
"2001-04-12",21.042585,22.142586,20.442587,22.142586,589500
"2001-04-16",22.16828,22.234945,21.401613,21.634947,318000
"2001-04-17",21.454485,22.141152,21.041151,21.794485,448000
"2001-04-18",21.75307,24.179739,21.55307,23.346403,704200
"2001-04-19",23.291952,23.518618,22.678618,22.891953,427500
"2001-04-20",22.945076,23.071741,22.458408,22.751741,443100
"2001-04-23",22.949604,22.949604,22.109604,22.229605,138000
"2001-04-24",22.315662,22.895662,22.282329,22.442329,390300
"2001-04-25",22.493619,22.580285,21.413619,22.306952,354100
"2001-04-26",22.184215,23.384216,22.150882,23.264217,490000
"2001-04-27",23.715309,24.115307,23.181976,23.621975,370800
"2001-04-30",23.86334,23.930006,23.103338,23.143339,593700
"2001-05-01",22.947937,23.541269,22.66127,23.447935,496200
"2001-05-02",23.477144,24.477144,23.477144,24.250475,365800
"2001-05-03",23.935053,24.141718,23.535051,23.921721,267000
"2001-05-04",23.545647,24.245647,23.392315,24.245647,359500
"2001-05-07",24.225488,24.338819,23.658819,24.298822,278200
"2001-05-08",24.722736,25.15607,22.222738,22.722738,1204800
"2001-05-09",22.75531,23.288643,22.688643,22.988644,1161300
"2001-05-10",22.964422,23.404423,22.797754,23.404423,687900
"2001-05-11",23.482023,23.74869,23.082024,23.182024,501300
"2001-05-14",23.349098,23.449096,22.482431,22.829098,389700
"2001-05-15",22.907873,23.021207,22.434539,22.621206,655800
"2001-05-16",21.847212,23.280544,21.847212,23.27388,791500
"2001-05-17",23.162121,23.568787,22.795454,23.568787,824800
"2001-05-18",23.676881,23.676881,23.103547,23.283548,316000
"2001-05-21",23.064733,24.191396,22.998064,23.931398,242800
"2001-05-22",23.962439,24.962439,23.922442,24.729105,683400
"2001-05-23",24.861073,24.861073,23.927739,23.941071,299400
"2001-05-24",23.689653,24.016317,23.556318,23.689653,391800
"2001-05-25",23.60212,23.742119,23.335453,23.568787,213000
"2001-05-29",23.784979,23.784979,22.718311,22.998312,488500
"2001-05-30",22.180639,22.713974,21.447305,22.393972,712000
"2001-05-31",23.785074,23.785074,21.345073,22.118406,6239500
"2001-06-01",22.187974,22.387975,21.854642,22.374641,1873500
"2001-06-04",22.197643,23.044309,22.157642,23.017643,1080600
"2001-06-05",22.98498,23.151646,22.871645,22.998312,760300
"2001-06-06",22.970322,23.036987,22.336989,23.036987,1016700
"2001-06-07",23.08645,23.346453,22.739784,22.90645,684600
"2001-06-08",22.879181,23.185848,22.819181,23.059181,462400
"2001-06-11",23.55736,23.55736,22.790693,22.797359,964500
"2001-06-12",22.702816,22.896148,22.302814,22.302814,1023700
"2001-06-13",22.221,23.221,22.074335,22.787668,1163200
"2001-06-14",22.902814,22.902814,22.202816,22.302814,748300
"2001-06-15",21.990698,22.690699,21.690699,22.690699,541000
"2001-06-18",22.94282,22.94282,22.342819,22.46282,393300
"2001-06-19",22.896749,23.130083,22.730083,22.763416,560200
"2001-06-20",22.654327,23.320993,22.520993,23.320993,469300
"2001-06-21",23.125223,23.885221,22.99189,23.665224,857800
"2001-06-22",23.61371,23.740377,23.020376,23.607042,445000
"2001-06-25",23.730684,23.897352,23.017351,23.277353,287200
"2001-06-26",22.762209,22.942209,22.528875,22.855541,507000
"2001-06-27",23.354325,23.64766,23.260995,23.320993,697600
"2001-06-28",23.107653,24.014319,23.107653,23.800985,541500
"2001-06-29",23.679172,24.125839,23.512508,24.125839,454500
"2001-07-02",24.114923,24.114923,23.521589,24.048254,434200
"2001-07-03",23.993708,24.260374,23.927042,24.193708,265000
"2001-07-05",24.167649,24.574314,24.134316,24.280979,345600
"2001-07-06",24.259775,24.333109,23.319776,23.626444,361300
"2001-07-09",23.933106,23.933106,23.059775,23.253107,483600
"2001-07-10",23.414328,23.700995,22.960993,23.000994,480400
"2001-07-11",22.89675,23.030083,22.590084,23.030083,500800
"2001-07-12",23.036133,23.969467,23.036133,23.902798,442300
"2001-07-13",23.787645,24.200978,23.700978,24.174314,432600
"2001-07-16",24.295532,24.728867,23.87553,24.028866,674800
"2001-07-17",23.89492,24.728256,23.548256,24.314922,543600
"2001-07-18",24.014923,24.314922,23.928253,24.314922,318900
"2001-07-19",24.94765,24.974315,23.740981,23.960983,398200
"2001-07-20",23.279778,24.113114,22.873112,23.999779,612600
"2001-07-23",24.104621,24.264621,23.844619,24.164618,177900
"2001-07-24",24.454327,24.454327,23.220994,23.587662,572200
"2001-07-25",23.587662,23.654328,23.027661,23.587662,713200
"2001-07-26",23.593719,23.893718,23.513717,23.660385,404800
"2001-07-27",23.528866,24.248863,23.468865,24.028866,422400
"2001-07-30",24.225233,24.225233,23.325231,23.505232,626200
"2001-07-31",23.567046,23.713713,23.247046,23.34038,454000
"2001-08-01",23.374933,23.534933,23.214931,23.248266,618600
"2001-08-02",23.272511,23.305844,23.105845,23.272511,542200
"2001-08-03",23.274324,23.274324,23.207656,23.267658,224500
"2001-08-06",23.36827,23.381604,22.948272,22.981604,317700
"2001-08-07",23.084026,23.230694,22.784027,22.797359,237400
"2001-08-08",22.945238,22.945238,22.111906,22.278572,460000
"2001-08-09",22.366461,22.373129,21.739796,22.133127,549400
"2001-08-10",22.268278,22.328277,21.841611,22.021612,336400
"2001-08-13",22.22828,22.22828,21.768279,21.914946,496600
"2001-08-14",22.090699,22.524033,22.004033,22.157366,613300
"2001-08-15",22.081612,22.24828,21.848281,21.914946,295200
"2001-08-16",21.823431,21.943432,21.323431,21.803431,324100
"2001-08-17",21.835548,21.835548,21.282215,21.362215,284800
"2001-08-20",21.374946,21.401613,21.054946,21.328279,678100
"2001-08-21",21.465865,21.69253,20.892531,20.979197,491700
"2001-08-22",21.06889,21.24889,20.975556,21.14889,361200
