"","Open","High","Low","Close","Volume"
"2001-01-02",31.87994,31.87994,29.56744,30.00494,632800
"2001-01-03",29.18535,31.24785,29.18535,30.74785,676300
"2001-01-04",31.166561,31.541561,28.041561,28.354061,1109100
"2001-01-05",29.421288,29.796288,26.733788,27.858788,1309800
"2001-01-08",28.291594,28.291594,27.479094,27.729094,934100
"2001-01-09",27.560543,29.310543,27.560543,28.560543,730200
"2001-01-10",27.081755,29.331755,27.081755,28.394255,637000
"2001-01-11",29.000008,29.375008,27.687508,27.687508,399600
"2001-01-12",28.647625,28.647625,26.272625,26.897625,1223700
"2001-01-16",25.832037,28.769537,25.832037,28.269537,1285200
"2001-01-17",29.040462,29.540462,28.040462,28.227962,919500
"2001-01-18",28.520664,28.770664,27.520664,27.770664,815200
"2001-01-19",28.063339,28.063339,26.250839,27.313339,750400
"2001-01-22",26.893681,29.706181,26.893681,28.643681,953000
"2001-01-23",28.705347,29.330347,27.705347,29.017847,634700
"2001-01-24",28.891165,30.453665,28.641165,29.766165,806300
"2001-01-25",28.933565,30.246065,28.933565,29.433565,643900
"2001-01-26",29.662073,30.099573,29.037073,29.724573,597000
"2001-01-29",29.672627,30.872628,29.672627,29.852627,538800
"2001-01-30",29.875752,29.945751,28.925751,29.945751,750300
"2001-01-31",29.982668,30.072668,28.942667,29.832666,634400
"2001-02-01",29.635339,30.125341,29.535341,30.125341,503400
"2001-02-02",30.051772,30.651771,29.871772,30.231773,679800
"2001-02-05",29.566574,31.116573,29.466571,31.056572,559800
"2001-02-06",32.763905,32.763905,30.273903,30.763905,958000
"2001-02-07",30.587557,31.687555,30.477556,30.617556,931000
"2001-02-08",31.031546,31.431548,28.981547,30.331545,1311200
"2001-02-09",30.427969,30.567968,29.677969,30.437967,565000
"2001-02-12",29.64892,31.598921,29.268919,31.48892,686900
"2001-02-13",32.004576,32.014574,29.964575,30.464575,669000
"2001-02-14",30.401853,30.721853,29.851854,30.191854,567500
"2001-02-15",30.154988,30.404988,29.134987,30.284985,698900
"2001-02-16",30.280181,31.320182,30.280181,30.930183,541600
"2001-02-20",31.450984,31.450984,28.930988,29.100986,1288800
"2001-02-21",28.919311,29.319308,28.339309,28.369312,1079000
"2001-02-22",28.852108,28.852108,27.702106,28.602108,825200
"2001-02-23",28.43582,29.035818,27.68582,28.43582,807200
"2001-02-26",28.156769,29.60677,28.156769,29.486771,774100
"2001-02-27",29.148583,30.59858,28.61858,30.158581,609000
"2001-02-28",30.660806,30.660806,28.910806,29.180807,608300
"2001-03-01",28.024419,29.604417,28.024419,29.054417,1046700
"2001-03-02",28.934253,29.384254,28.134254,29.134254,1163900
