"","Open","High","Low","Close","Volume"
"2001-01-02",13.8024,14.1774,13.0524,13.2399,2760700
"2001-01-03",12.950385,15.887885,12.950385,15.887885,7598900
"2001-01-04",15.56385,17.87635,15.43885,16.75135,8626300
"2001-01-05",16.80398,17.92898,16.42898,16.86648,9208100
"2001-01-08",16.72872,17.85372,16.16622,17.744345,4904000
"2001-01-09",18.035885,18.129635,16.879635,17.442135,4889100
"2001-01-10",16.175669,18.800669,16.175669,18.363169,6163800
"2001-01-11",17.923992,20.892742,17.830242,20.205242,8337400
"2001-01-12",20.303947,21.053947,18.991447,19.053947,6640100
"2001-01-16",19.030926,19.530926,18.030926,18.593426,3916100
"2001-01-17",20.78089,22.21839,20.53089,20.78089,13128100
"2001-01-18",20.866405,21.991405,19.928905,21.241405,5365900
"2001-01-19",21.828585,22.078585,20.453585,20.953585,4425100
"2001-01-22",20.657549,20.845049,19.782549,20.032549,2338400
"2001-01-23",19.565434,20.502934,19.127934,20.377934,4449800
"2001-01-24",21.915718,22.915718,21.728218,22.853218,12397100
"2001-01-25",22.692059,23.379559,21.317059,21.817059,6759600
"2001-01-26",20.851599,22.226599,20.789099,21.414099,4487200
"2001-01-29",21.180527,22.743027,20.805527,22.680527,2571900
"2001-01-30",22.293997,24.356497,22.293997,23.543997,4230100
"2001-01-31",23.412405,24.912405,23.224905,24.349905,5640400
"2001-02-01",23.965034,24.840034,23.402534,24.465034,3350200
"2001-02-02",24.535784,24.910784,22.785784,22.910784,2969700
"2001-02-05",22.284166,22.409166,21.034166,21.471666,2952600
"2001-02-06",21.491405,22.678905,20.928905,21.241405,3689000
"2001-02-07",20.988132,21.238132,19.550632,20.550632,3449800
"2001-02-08",20.623001,21.373001,20.123001,20.435501,2951100
"2001-02-09",20.267742,21.080242,19.955242,20.205242,2442800
"2001-02-12",20.328585,21.391085,20.078585,20.953585,2540400
"2001-02-13",21.157549,21.470049,19.907549,20.032549,2218300
"2001-02-14",20.01277,23.26277,19.95027,22.45027,6900600
"2001-02-15",22.999582,24.687082,22.874582,24.062082,4869800
"2001-02-16",22.81374,23.56374,21.87624,23.31374,4172500
"2001-02-20",23.392704,24.017704,22.017704,22.392704,3630900
"2001-02-21",21.446991,23.603241,21.009491,21.759491,4917000
"2001-02-22",21.627895,23.315395,20.877895,22.565395,4992400
"2001-02-23",22.430527,22.743027,20.305527,22.680527,3810100
"2001-02-26",22.792377,22.792377,21.604877,22.104877,3145700
"2001-02-27",21.621338,22.433838,20.933838,21.183838,3403600
"2001-02-28",21.302284,21.427284,19.177284,19.802284,5639500
"2001-03-01",18.035824,20.848324,17.410824,20.723324,7366100
"2001-03-02",19.828585,22.328585,19.578585,20.953585,5160900
"2001-03-05",21.175591,22.800591,21.050591,22.738091,4993100
"2001-03-06",22.907475,25.407475,22.907475,24.407475,7932000
"2001-03-07",24.382792,24.804667,23.195292,24.695292,5331800
"2001-03-08",24.622923,25.185423,23.685423,24.810423,4135900
"2001-03-09",23.988091,24.175591,22.675591,22.738091,3416800
"2001-03-12",21.835136,23.585136,21.710136,22.335136,4370200
"2001-03-13",22.415293,23.977793,22.290293,23.587168,6247300
"2001-03-14",22.711758,25.086758,22.461758,23.774258,4695300
"2001-03-15",24.960955,25.19533,22.19533,22.50783,3046400
"2001-03-16",22.063778,22.438778,20.688778,21.126278,4289400
"2001-03-19",21.085136,22.397636,20.210136,22.335136,3026900
"2001-03-20",22.24962,23.49962,21.87462,21.87462,4512400
"2001-03-21",21.877895,24.190395,21.877895,22.565395,6384800
"2001-03-22",23.107697,25.795197,23.045197,25.717072,8060600
"2001-03-23",27.238016,27.800516,25.800516,27.113016,11628000
"2001-03-26",27.293959,27.793959,25.418959,25.731459,5284300
"2001-03-27",25.154158,27.404158,25.091658,25.904158,4524000
"2001-03-28",25.522604,26.710104,24.272604,24.522604,4658600
"2001-03-29",24.27919,25.669815,23.09169,23.71669,5008700
"2001-03-30",23.37462,23.37462,20.99962,21.87462,9221900
"2001-04-02",21.662479,22.724979,19.599979,19.974979,5019200
"2001-04-03",19.831902,20.519402,18.831902,19.456902,6672100
"2001-04-04",19.575346,19.887846,17.825346,18.075346,5415400
"2001-04-05",19.02923,21.77923,18.90423,21.52923,5808000
"2001-04-06",21.007872,21.382872,19.757872,20.320372,4539100
"2001-04-09",20.437029,20.737029,18.467028,19.397028,4542600
"2001-04-10",19.393837,21.513838,18.813837,21.183838,4885900
"2001-04-11",23.85987,25.059871,22.459871,22.629871,14821700
"2001-04-12",21.659031,25.78903,21.659031,25.78903,10664000
"2001-04-16",24.823246,26.183246,24.453247,25.273247,5249400
"2001-04-17",24.482454,25.982454,24.402454,25.282455,5854000
"2001-04-18",26.579258,28.849259,26.549258,27.419258,10020100
"2001-04-19",27.530546,29.170546,26.990545,28.920546,4228400
"2001-04-20",28.894787,29.384787,26.454786,27.354788,6264600
"2001-04-23",26.218505,26.578506,25.328506,25.328506,3247000
"2001-04-24",25.650859,27.810861,25.220861,26.00086,6691600
"2001-04-25",25.809539,26.969539,25.219539,26.24954,5192400
"2001-04-26",27.02903,27.29903,25.30903,25.78903,4062100
"2001-04-27",26.757694,27.307695,26.027695,26.737696,1989300
"2001-04-30",26.942683,28.562682,26.612683,27.262682,3149900
"2001-05-01",27.257944,27.457943,25.607945,27.317944,2842500
"2001-05-02",27.481368,28.071369,26.79137,27.161369,3629300
"2001-05-03",25.978243,26.098244,24.768244,25.098244,4293700
"2001-05-04",23.910085,25.360086,23.860086,25.310085,2836800
"2001-05-07",25.266672,25.856673,24.426672,24.766672,2313200
"2001-05-08",25.295328,26.465329,24.885329,26.415329,2945500
"2001-05-09",25.740612,26.570612,25.140611,25.770611,3649900
"2001-05-10",28.735839,28.91584,27.405839,27.57584,8557000
"2001-05-11",27.595838,28.095838,27.08584,27.57584,3169000
"2001-05-14",27.4948,27.674798,25.974799,26.6548,3344000
"2001-05-15",26.598474,28.128475,26.238473,27.078474,3403700
"2001-05-16",26.370813,29.360813,26.300811,29.150812,4726100
