"","LUV.Open","LUV.High","LUV.Low","LUV.Close","LUV.Volume","LUV.Adjusted"
"2001-01-02",22.166666,22.4,21.973333,22.306667,3792100,20.598511
"2001-01-03",22,22,21.166666,21.906666,6715200,20.229141
"2001-01-04",22.5,23.166666,22,23.166666,6138100,21.392651
"2001-01-05",23.033333,23.273333,22.026667,23.266666,6526500,21.484999
"2001-01-08",22.933332,23.32,22.466667,22.666666,3504100,20.930944
"2001-01-09",22.073334,22.52,21.253334,21.346666,5719300,19.71203
"2001-01-10",21.333334,21.573334,21.166666,21.299999,3559600,19.66893
"2001-01-11",21.299999,21.333334,20.466667,20.566668,4488700,18.991755
"2001-01-12",20.799999,20.799999,20.093334,20.446667,3910800,18.880943
"2001-01-16",20.446667,20.446667,19.52,19.879999,4425700,18.35766
"2001-01-17",19.966667,20,19.299999,19.466667,5130400,17.975986
"2001-01-18",19.566668,20.166666,19.533333,19.92,5568400,18.394604
"2001-01-19",19.933332,20,19.133333,19.266666,5468200,17.791307
"2001-01-22",19.333334,19.526667,18.786667,18.953333,4575400,17.501953
"2001-01-23",19.066668,19.993334,19,19.566668,2933700,18.068336
"2001-01-24",19.733334,19.733334,18.893333,19.059999,2574300,17.600462
"2001-01-25",19.226667,19.866667,19.040001,19.746666,3832000,18.234552
"2001-01-26",19.746666,20.4,19.746666,19.959999,3357300,18.431541
"2001-01-29",20.126667,20.620001,19.933332,20.306667,2627100,18.751663
"2001-01-30",20.313334,20.586666,19.966667,20.366667,2987400,18.807074
"2001-01-31",20.493334,20.913334,20.233334,20.886667,3886200,19.287256
"2001-02-01",21.4,21.6,20.92,21.573334,3875700,19.921335
"2001-02-02",21.42,21.626667,21.366667,21.440001,1929400,19.798214
"2001-02-05",21.566668,21.586666,20.793333,21.139999,2144400,19.521181
"2001-02-06",21.306667,21.5,21.113333,21.32,2783700,19.687391
"2001-02-07",21.360001,21.42,21.08,21.32,1477500,19.687391
"2001-02-08",21.32,21.32,20.9,21.133333,1343200,19.51502
"2001-02-09",20.833334,21.066668,20.366667,20.673334,1380900,19.09026
"2001-02-12",20.9,21.24,20.540001,21.24,1814500,19.613518
"2001-02-13",21.200001,21.566668,21.053333,21.459999,1789000,19.816679
"2001-02-14",21.566668,21.586666,20.606667,20.673334,2279800,19.09026
"2001-02-15",20.700001,21.559999,20.700001,21,3687000,19.391903
"2001-02-16",20.799999,20.99,20.25,20.49,2314200,18.920958
"2001-02-20",20.799999,20.85,20.25,20.26,3024200,18.708565
"2001-02-21",20.049999,20.799999,19.92,19.959999,3336100,18.431541
"2001-02-22",19.969999,20.040001,19.530001,19.6,4012600,18.09911
"2001-02-23",19.610001,19.65,18.91,19.1,3697700,17.637396
"2001-02-26",19.35,19.719999,19.16,19.299999,3473300,17.822083
"2001-02-27",19.15,19.299999,18.809999,19.200001,3536500,17.72974
"2001-02-28",19.35,19.389999,18.5,18.6,2428000,17.179714
"2001-03-01",18.59,18.6,17.299999,18,5464800,16.62553
"2001-03-02",17.9,18.450001,17.75,18,4178000,16.62553
"2001-03-05",18,18.75,18,18.42,2461500,17.013462
"2001-03-06",18.74,19.08,18.35,18.73,3773700,17.29978
"2001-03-07",18.98,19.120001,18.709999,18.959999,2163200,17.512218
"2001-03-08",18.700001,18.709999,17.98,18.440001,4069100,17.031923
"2001-03-09",18.440001,18.48,16.98,17.17,6295300,15.858904
