"","Open","High","Low","Close","Volume"
"2001-01-02",15.968171,16.230357,15.79338,15.851643,1160900
"2001-01-03",15.272986,17.253943,15.272986,17.224812,3188300
"2001-01-04",17.051712,17.925663,16.935184,17.634346,8193700
"2001-01-05",17.704932,17.704932,17.064034,17.297087,3759400
"2001-01-08",17.38394,18.053971,17.38394,17.995707,3689400
"2001-01-09",17.656212,18.064057,17.656212,17.947529,4504000
"2001-01-10",17.855625,17.972153,17.214727,17.272991,3808600
"2001-01-11",17.293153,17.700998,17.176626,17.176626,2078400
"2001-01-12",17.131264,17.539108,17.131264,17.39345,832900
"2001-01-16",17.115017,17.610258,16.881963,17.610258,1979600
"2001-01-17",17.645551,17.762076,17.412496,17.441628,1673700
"2001-01-18",17.548073,17.722864,17.344151,17.489809,849300
"2001-01-19",17.612488,17.612488,17.292038,17.321171,1120900
"2001-01-22",17.203522,17.553103,17.145259,17.465708,792900
"2001-01-23",17.15763,18.439427,17.15763,18.381163,2418800
"2001-01-24",18.379467,18.379467,17.7677,17.971622,1558200
"2001-01-25",17.7817,18.131281,17.490383,18.043886,1406300
"2001-01-26",18.089262,18.118393,17.739681,17.827076,1303100
"2001-01-29",17.550632,17.825637,17.452751,17.811653,2416900
"2001-01-30",17.775979,17.822591,17.552247,17.803946,1270700
"2001-01-31",17.811025,17.950856,17.694497,17.792381,2129000
"2001-02-01",17.806097,17.806097,17.409904,17.726858,1145000
"2001-02-02",17.964743,17.964743,17.43338,17.503298,1276200
"2001-02-05",17.537177,17.541836,17.12234,17.34141,1746200
"2001-02-06",17.655994,17.655994,16.639879,16.639879,4901900
"2001-02-07",16.657112,17.113898,16.479992,17.025337,1939200
"2001-02-08",17.40434,17.721292,17.185269,17.441628,3899400
"2001-02-09",17.43354,17.666593,17.074638,17.079298,1148200
"2001-02-12",17.062351,17.369983,16.987773,17.160234,1138000
"2001-02-13",17.258221,17.458648,17.006522,17.248898,1004900
"2001-02-14",17.248991,17.328228,17.085852,17.137125,1090200
"2001-02-15",17.210438,17.257049,17.051962,17.098572,1432100
"2001-02-16",17.270941,17.410772,16.688307,16.809494,1152100
"2001-02-20",16.762327,16.967415,16.454697,16.478003,1122900
"2001-02-21",16.568339,16.591644,15.985705,16.046297,1330600
"2001-02-22",16.103561,16.266699,15.413723,15.772625,1704100
"2001-02-23",15.821025,15.821025,15.350257,15.54136,1619600
"2001-02-26",14.946636,16.228432,14.946636,16.000038,2071200
"2001-02-27",15.74182,16.636748,15.74182,16.543526,1761100
"2001-02-28",16.567543,16.646782,16.134064,16.451017,1975600
"2001-03-01",16.317621,16.550675,15.758292,16.019312,1904600
"2001-03-02",16.173928,16.173928,15.567988,15.815026,1509100
"2001-03-05",15.802933,16.022004,15.565217,15.872849,1134100
"2001-03-06",15.887357,16.316175,15.612354,15.803457,1978500
"2001-03-07",15.695801,16.091991,15.695801,15.761055,1880600
"2001-03-08",15.731038,16.034007,15.721715,15.926802,1521000
"2001-03-09",15.999045,16.157522,15.724041,15.826586,1219000
"2001-03-12",15.963967,15.968628,15.031752,15.036413,2951800
"2001-03-13",15.098534,15.145145,14.236235,14.940058,7346200
"2001-03-14",14.349525,15.28174,14.349525,14.955465,4169000
"2001-03-15",14.814321,15.653314,14.814321,15.63001,1680300
"2001-03-16",15.40888,16.317789,15.40888,15.795749,4742000
"2001-03-19",15.820585,15.92313,15.49431,15.899824,2239600
"2001-03-20",16.265112,17.0808,16.17655,16.381638,3940100
"2001-03-21",16.127403,16.220625,15.428242,15.703245,4342500
"2001-03-22",15.466233,15.62937,15.23318,15.4103,3707900
"2001-03-23",15.41675,15.705736,15.300222,15.379461,2503100
"2001-03-26",15.470182,15.945611,15.2884,15.502809,1430200
"2001-03-27",15.388275,16.208624,15.285732,16.050148,2147200
"2001-03-28",16.091152,16.151746,15.56911,15.830131,2741000
"2001-03-29",15.68359,16.093766,15.487826,15.660284,1998000
"2001-03-30",15.811856,16.138132,15.765246,15.895756,1134300
"2001-04-02",15.892546,16.246786,15.724747,15.91119,1532400
"2001-04-03",16.061358,16.070679,15.189736,15.254992,2165000
"2001-04-04",15.256868,15.280174,14.776777,15.200935,3253500
"2001-04-05",16.052895,16.141455,15.288479,15.363056,2722900
"2001-04-06",15.040492,15.432021,14.854049,15.143035,3192900
"2001-04-09",15.269976,15.269976,14.925057,15.092854,1701700
"2001-04-10",14.888217,15.564073,14.552619,15.517463,2044400
"2001-04-11",15.977162,15.977162,15.254695,15.548344,2001200
"2001-04-12",15.527876,15.574486,15.150328,15.467281,1338700
"2001-04-16",15.560414,15.583718,14.819302,14.861253,1697400
"2001-04-17",15.456663,15.922771,15.088438,15.922771,4284600
"2001-04-18",15.675337,17.446545,15.605419,17.227474,4556000
"2001-04-19",17.149763,17.583244,16.870098,17.354851,3201400
"2001-04-20",17.029451,17.271828,16.93623,17.215895,2189700
"2001-04-23",17.350276,17.746467,17.23841,17.466803,2697200
"2001-04-24",17.249097,17.253759,16.90884,17.123249,2713100
"2001-04-25",17.156747,17.156747,16.569452,16.984287,2159300
"2001-04-26",16.692376,17.041957,16.57585,16.70636,1720000
"2001-04-27",16.647092,17.080572,16.647092,16.992012,1565800
"2001-04-30",16.843016,18.045572,16.843016,17.709976,2897400
"2001-05-01",17.597038,18.328827,17.480511,18.25425,2233400
"2001-05-02",17.999208,18.87549,17.896663,18.539892,3748700
"2001-05-03",17.927967,17.965256,17.50847,17.760168,4391600
"2001-05-04",17.717699,17.787615,17.349474,17.717699,1497100
"2001-05-07",17.396157,17.652516,17.326241,17.5826,1385500
"2001-05-08",17.29863,17.443123,16.832524,17.154137,1999700
"2001-05-09",17.21277,17.46913,17.049633,17.343281,1568100
"2001-05-10",17.40489,17.801082,17.241752,17.428196,1571900
"2001-05-11",17.490825,17.532774,17.25777,17.350992,1691100
"2001-05-14",17.487701,17.61355,17.39448,17.47838,1932500
"2001-05-15",17.484784,17.540717,17.256391,17.447496,1963500
"2001-05-16",17.275196,18.277328,17.167991,18.165462,7251100
"2001-05-17",18.248651,18.761369,18.132123,18.528316,5285500
"2001-05-18",18.537124,18.630346,18.313392,18.485853,1668600
"2001-05-21",18.564878,19.082258,18.429706,18.891153,2100000
"2001-05-22",18.831881,19.55901,18.831881,19.1768,3850400
"2001-05-23",18.986925,19.238624,18.781837,18.856415,2385900
"2001-05-24",18.697284,19.032882,18.529485,18.837118,1401600
"2001-05-25",18.799328,19.009077,18.598902,18.794666,1237100
"2001-05-29",18.560004,19.05874,18.466783,19.049419,2362600
"2001-05-30",18.792752,18.792752,18.074946,18.354609,3382900
"2001-05-31",18.113472,18.532968,17.707958,18.281271,4218500
"2001-06-01",18.343603,18.404198,17.826223,18.003344,1524700
"2001-06-04",17.950099,17.987388,17.810268,17.945438,1628900
"2001-06-05",17.796959,18.244423,17.568568,18.211796,2206000
"2001-06-06",18.194449,18.348265,17.947411,18.003344,801300
"2001-06-07",18.036102,18.036102,17.416177,17.733131,2046900
"2001-06-08",17.593016,17.718865,17.5231,17.532421,1170400
"2001-06-11",17.526812,17.568763,17.354354,17.559441,2102300
"2001-06-12",17.6035,17.6035,17.249258,17.347139,1700400
"2001-06-13",17.319675,17.59468,17.221794,17.389593,2098500
"2001-06-14",17.522943,17.630148,17.299211,17.308535,1724300
"2001-06-15",17.520767,17.884331,17.320339,17.655937,1987200
"2001-06-18",17.878365,17.878365,17.505478,17.617344,1057900
"2001-06-19",17.829213,18.304642,17.652092,18.146166,2220100
"2001-06-20",18.156437,18.319574,17.7416,18.119148,2270800
"2001-06-21",17.902557,18.489853,17.795351,18.466547,1105600
"2001-06-22",18.52022,18.52022,18.105385,18.207928,1427400
"2001-06-25",18.224755,18.453148,17.963734,18.126871,1004100
"2001-06-26",17.886517,18.124232,17.634819,17.802618,1166000
"2001-06-27",17.880621,18.346729,17.880621,17.978504,931900
"2001-06-28",17.82811,18.480659,17.82811,18.075146,1723200
"2001-06-29",18.029002,18.429856,17.791287,18.299345,1981000
"2001-07-02",18.197511,18.808111,18.197511,18.794128,1516500
"2001-07-03",18.794925,18.822893,18.692382,18.790264,1160700
"2001-07-05",18.796842,18.918029,18.512516,18.554466,1752600
"2001-07-06",18.653805,18.695753,18.052524,18.094475,1587400
"2001-07-09",18.084022,18.522163,17.939529,18.167921,1654300
"2001-07-10",17.962598,18.396077,17.804122,18.214296,2453900
"2001-07-11",18.266562,18.266562,17.576723,17.688589,2823200
"2001-07-12",17.640548,18.512168,17.314271,18.465559,2698400
"2001-07-13",18.24776,18.900312,18.145217,18.844379,1496300
"2001-07-16",18.706374,19.163159,18.645782,18.94875,1767800
"2001-07-17",18.917617,19.23923,18.726512,19.122705,3387600
"2001-07-18",19.030033,19.160543,18.778336,19.006727,1039400
"2001-07-19",19.027305,19.176459,18.65908,18.929422,917200
"2001-07-20",18.976358,19.139496,18.230587,18.542879,3025900
"2001-07-23",18.692235,18.692235,18.319348,18.337992,1132800
"2001-07-24",18.645157,18.854906,17.997267,18.113794,1622500
"2001-07-25",17.987306,18.793672,17.987306,18.728418,1497600
"2001-07-26",18.379863,18.845972,18.263338,18.836649,1225000
"2001-07-27",18.81002,18.814682,18.511711,18.558323,2443900
