"","Open","High","Low","Close","Volume"
"2001-01-02",8.988617,9.780284,8.363617,8.905284,2047600
"2001-01-03",7.439828,11.356495,7.439828,11.023161,5223100
"2001-01-04",10.747643,12.164309,10.539309,10.997643,3062500
"2001-01-05",11.620715,11.954049,9.704049,10.079049,2741100
"2001-01-08",10.134283,10.175951,9.42595,9.925951,3174300
"2001-01-09",10.362965,10.612965,9.612965,9.696298,4099300
"2001-01-10",9.544165,10.210831,9.169165,10.002499,2219500
"2001-01-11",9.372643,11.080975,9.330975,10.997643,3307200
"2001-01-12",11.32113,11.38363,10.175298,10.716964,1483000
"2001-01-16",10.785765,11.077431,9.910765,10.410765,3546700
"2001-01-17",10.338729,11.963729,10.297063,11.380397,4351000
"2001-01-18",11.180768,12.222436,10.305768,12.222436,4114200
"2001-01-19",12.944998,12.986664,10.77833,11.27833,3892300
"2001-01-22",11.120061,11.328395,10.370061,10.870061,3790200
"2001-01-23",11.223749,11.223749,10.307081,10.640415,4137600
"2001-01-24",10.495061,10.870061,10.036727,10.870061,4150800
"2001-01-25",10.825812,10.950812,10.367478,10.742478,2482900
"2001-01-26",10.287693,11.871025,10.204359,11.329359,5925900
"2001-01-29",11.207906,11.957906,10.749572,11.91624,3264700
"2001-01-30",11.967279,12.342279,11.508947,11.967279,1521600
"2001-01-31",11.856807,13.648473,11.773473,12.273473,4633600
"2001-02-01",12.352611,12.894277,11.310945,12.477611,1887400
"2001-02-02",12.95953,13.33453,11.542864,11.58453,1457700
"2001-02-05",11.703395,11.745061,10.495061,10.870061,3208900
"2001-02-06",10.824193,11.615859,10.782525,11.074193,2047000
"2001-02-07",10.962762,11.254428,10.546096,10.921096,2689800
"2001-02-08",10.935628,11.977296,10.893962,11.227296,1801300
"2001-02-09",11.488274,11.571608,10.571608,10.946608,1368100
"2001-02-12",10.893962,12.018962,10.893962,11.227296,1216600
"2001-02-13",12.094544,12.469544,10.802876,10.844544,1178400
"2001-02-14",10.226156,12.163656,10.205322,11.788656,2179000
"2001-02-15",11.390077,13.140077,11.306745,12.681745,2844900
"2001-02-16",11.812881,12.062881,11.271215,11.750381,3170400
"2001-02-20",12.223096,12.264762,10.764762,11.431428,2240100
"2001-02-21",11.324193,11.824193,10.907525,11.074193,1629300
"2001-02-22",10.951778,11.826778,9.826778,11.201778,2713800
"2001-02-23",11.02833,11.40333,10.27833,11.27833,2736900
"2001-02-26",11.597128,11.930462,10.680462,10.972128,3492400
"2001-02-27",11.380083,11.421751,9.755083,10.130083,3130000
"2001-02-28",9.914001,9.997333,8.539,9.747334,6795600
"2001-03-01",9.424982,9.549982,8.424982,9.466648,3438600
"2001-03-02",8.923368,11.298368,8.923368,9.798368,4633000
"2001-03-05",8.89978,10.774779,8.816446,10.691447,2508600
"2001-03-06",10.731495,11.793995,10.731495,11.023161,2193900
"2001-03-07",11.15333,11.444998,10.02833,11.27833,1792600
"2001-03-08",11.298681,11.340349,10.590349,11.048681,1742400
"2001-03-09",10.911249,10.932081,10.265415,10.640415,2277100
"2001-03-12",10.546751,10.921751,10.005083,10.130083,2232900
"2001-03-13",10.315482,10.690482,9.773816,10.23215,2746800
