"","MMC.Open","MMC.High","MMC.Low","MMC.Close","MMC.Volume","MMC.Adjusted"
"2001-01-02",58.375,58.40625,54.875,56.71875,2598800,35.094658
"2001-01-03",55.75,59,55.03125,58.5625,4299400,36.235481
"2001-01-04",58.625,59.03125,56.0625,56.125,2952600,34.876163
"2001-01-05",56.0625,56.46875,53.03125,53.5,2908600,33.244972
"2001-01-08",53.5,54,52.53125,53.28125,2030000,33.109047
"2001-01-09",52.75,53.5,51.53125,52.84375,2130800,32.837189
"2001-01-10",52,53.375,51.96875,52.25,2205800,32.468231
"2001-01-11",52.46875,53.25,50.09375,51.28125,2789600,31.866247
"2001-01-12",50.5625,51.8125,49.84375,50.125,4835000,31.147757
"2001-01-16",50.125,52.6875,50.125,51.28125,4028400,31.866247
"2001-01-17",51.5,51.875,50.78125,50.96875,3874200,31.672056
"2001-01-18",51,51.15625,50.3125,50.375,3074600,31.303093
"2001-01-19",50.75,50.8125,48.5,49.65625,4152400,30.856466
"2001-01-22",49.71875,50.375,49.4375,50,2952000,31.070084
"2001-01-23",50,52.40625,49.5,52.0625,4565600,32.351715
"2001-01-24",52.1875,54.46875,51.59375,54,4088600,33.555687
"2001-01-25",54.0625,54.375,53.3125,54.09375,2844800,33.613953
"2001-01-26",54,54,52.8125,53.125,1863800,33.011971
"2001-01-29",53.130001,53.619999,53.049999,53.224998,2046200,33.074089
"2001-01-30",53.224998,54.494999,52.674999,54.455002,2513600,33.838421
"2001-01-31",54.224998,54.650002,53.75,54.075001,2315400,33.602283
"2001-02-01",53.950001,54.994999,53.805,54.974998,1440800,34.161549
"2001-02-02",55.375,55.825001,54.66,54.935001,1246600,34.136696
"2001-02-05",55.049999,56.005001,54.990002,55.830002,1634200,34.692848
"2001-02-06",55.830002,56.174999,55.259998,55.514999,1426400,34.497112
"2001-02-07",55.52,57.150002,55.52,56.174999,2100600,34.907234
"2001-02-08",56.450001,56.450001,55.380001,56.275002,1539200,34.969379
"2001-02-09",56.275002,58.799999,56,57.564999,3143600,35.770973
"2001-02-12",57.974998,58.400002,57.09,57.5,1521800,35.730583
"2001-02-13",57.5,57.549999,56.75,57.040001,1124800,35.44474
"2001-02-14",57.040001,57.099998,55.875,55.970001,1258800,34.779842
"2001-02-15",55.970001,56.099998,55.075001,55.665001,1968400,34.590317
"2001-02-16",55.665001,56.650002,55.375,56,1904800,34.798485
"2001-02-20",56.125,56.150002,54.400002,54.459999,1684800,33.841522
"2001-02-21",54.459999,54.75,54.110001,54.25,2828200,33.711037
"2001-02-22",54.150002,54.299999,52,53.049999,2776000,32.965351
"2001-02-23",53,53.049999,51.299999,52.669998,2536800,32.729218
"2001-02-26",53.200001,53.220001,52.209999,53.049999,1857600,32.965351
"2001-02-27",53.025002,55.150002,53.025002,54.450001,2943400,33.835323
"2001-02-28",54.150002,54.599998,53.450001,53.5,2161600,33.244972
"2001-03-01",53.625,53.650002,51.674999,52.720001,2809000,32.760281
"2001-03-02",52.5,52.700001,51.654999,52.130001,2586600,32.393684
