"","Open","High","Low","Close","Volume"
"2001-01-02",1.921313,4.421313,1.858813,4.108813,10720600
"2001-01-03",7.383536,7.446036,3.508536,3.758536,19989000
"2001-01-04",4.852858,5.102858,1.852858,3.602858,22367600
"2001-01-05",4.194495,5.194495,3.506995,3.569495,11509400
"2001-01-08",2.304356,4.304356,2.179356,3.741856,11307000
"2001-01-09",2.358614,4.358614,2.233614,3.858614,12072400
"2001-01-10",2.987833,4.425333,2.737833,3.925333,12244400
"2001-01-11",6.202935,6.202935,3.140435,3.702935,11954600
"2001-01-12",3.008536,3.883536,2.821036,3.758536,7749900
"2001-01-16",3.348834,4.536334,2.661334,3.786334,9390400
"2001-01-17",2.996074,3.933574,2.933574,3.808574,7336300
"2001-01-18",3.398874,3.836374,3.086374,3.836374,6338700
"2001-01-19",3.426673,4.239173,3.301673,3.864173,7323500
"2001-01-22",2.629514,4.004514,2.504514,3.942014,6951200
"2001-01-23",4.158653,4.471153,3.846153,3.908653,5886500
"2001-01-24",3.396194,4.396194,3.333694,3.958694,5664800
"2001-01-25",3.298993,4.423993,3.048993,3.986493,7810500
"2001-01-26",4.335034,4.585034,3.710034,3.897534,5613500
"2001-01-29",3.04068700000001,4.41068600000001,2.950687,3.950687,5693500
"2001-01-30",3.58516700000001,4.08516700000001,3.28516800000001,3.995167,6902400
"2001-01-31",4.914216,5.664216,2.914216,3.914216,11535500
"2001-02-01",2.733451,4.273452,2.653449,4.073451,8228900
"2001-02-02",4.479646,4.629648,4.039648,4.039648,6087900
"2001-02-05",2.873941,4.663942,2.723943,4.133943,7736400
"2001-02-06",4.396368,4.446367,3.796365,4.106367,5638300
"2001-02-07",4.222135,5.272134,4.092134,4.092134,10167700
"2001-02-08",3.235755,4.385757,3.035754,4.175754,6198900
"2001-02-09",3.37005,4.700052,3.37005,4.270052,10558700
"2001-02-12",4.315603,4.72560299999999,3.665601,4.265604,8326900
"2001-02-13",4.334471,4.354471,3.644468,4.234468,5302000
"2001-02-14",5.664801,6.00480200000001,4.064803,4.094802,11532300
"2001-02-15",3.86123800000001,4.451238,3.651239,4.091242,6850800
"2001-02-16",3.409282,4.86928100000001,3.409282,4.139282,8109300
"2001-02-20",2.863823,4.873825,2.853824,4.263824,7990000
"2001-02-21",4.215388,5.11539,4.07538899999999,4.275389,6998200
"2001-02-22",4.36094199999999,5.26094399999999,3.76094399999999,4.270942,8727100
"2001-02-23",5.162871,5.662871,3.912871,4.182871,8297900
"2001-02-26",4.24661399999999,5.386613,3.486611,4.136613,7895800
"2001-02-27",2.833181,4.603182,2.833181,4.29318,8220000
"2001-02-28",4.486067,5.106066,3.546065,4.286066,8186300
"2001-03-01",4.568978,5.268979,4.318978,4.318978,9434700
"2001-03-02",3.471282,4.521281,3.471282,4.421283,9034800
"2001-03-05",4.458368,5.038366,4.318364,4.388368,5553700
"2001-03-06",4.593887,4.60388500000001,4.053886,4.343887,5419200
"2001-03-07",2.961527,4.761526,2.941527,4.451529,9157400
"2001-03-08",3.673587,4.673587,3.373588,4.523585,7776000
"2001-03-09",4.253653,4.893652,3.853651,4.603651,8714500
"2001-03-12",6.112387,6.422389,4.412386,4.412386,8584100
"2001-03-13",3.751053,4.571053,2.801052,4.451054,9304400
"2001-03-14",4.379766,5.279768,4.11976800000001,4.319769,7595700
"2001-03-15",4.889636,4.89963399999999,3.869635,4.249632,7212300
"2001-03-16",3.32966,4.45965699999999,3.319657,4.32966,10352700
"2001-03-19",5.139737,5.559739,4.23974,4.23974,6587000
"2001-03-20",6.128319,6.13831700000001,3.358319,4.038319,14757100
"2001-03-21",3.983467,4.183468,3.193466,3.983467,11588000
"2001-03-22",4.807575,4.867577,2.427578,3.857579,15703400
"2001-03-23",3.552536,4.402539,2.922535,3.902539,13426200
"2001-03-26",2.768893,4.768893,2.318892,4.068892,9261800
"2001-03-27",2.166935,4.416935,1.516933,4.246933,10965100
"2001-03-28",4.753203,4.833201,3.02319900000001,4.173201,9095600
"2001-03-29",3.380963,5.280965,2.990964,4.210965,7008200
"2001-03-30",4.15671500000001,5.056717,3.946716,4.266716,6706200
"2001-04-02",5.663417,6.193416,4.043418,4.153415,6257500
"2001-04-03",5.60235399999999,5.61235199999999,3.49235299999999,4.002351,8326000
"2001-04-04",3.082163,4.232165,2.50216500000001,4.102164,7537900
"2001-04-05",3.927014,4.537015,3.847012,4.157014,10428000
"2001-04-06",2.953772,4.923773,2.903773,4.203772,8484200
"2001-04-09",3.926253,4.406252,3.89625,4.226252,5969600
"2001-04-10",3.757506,4.547507,3.747508,4.277507,6899900
"2001-04-11",5.522953,5.532951,3.692951,4.112953,6513000
"2001-04-12",3.936443,4.326442,3.296443,4.126441,4105400
"2001-04-16",3.59668800000001,4.626687,3.536687,4.186688,4279200
"2001-04-17",2.799086,4.789084,2.739085,4.299086,6058200
"2001-04-18",5.190964,5.380963,3.580964,4.210965,9219000
"2001-04-19",4.281291,4.481292,3.29129399999999,4.181293,8433800
"2001-04-20",3.58063900000001,4.64064,3.39064,4.240639,6778700
"2001-04-23",4.101678,4.961674,4.011678,4.311677,6467700
"2001-04-24",4.661675,4.851678,3.83167700000001,4.311677,4899800
"2001-04-25",2.808959,4.558959,2.358958,4.558959,12168300
"2001-04-26",3.676939,4.576941,3.176939,4.576941,9971800
"2001-04-27",3.813124,4.763125,3.333125,4.593127,6840200
"2001-04-30",5.36590300000001,6.385904,4.505903,4.505903,7110300
"2001-05-01",3.174848,4.934846,3.044847,4.684846,7359400
"2001-05-02",5.666835,5.666835,4.42683299999999,4.586833,6582800
"2001-05-03",4.339886,5.289887,4.339886,4.639885,6423900
"2001-05-04",3.505776,4.965775,3.425774,4.765774,7276100
"2001-05-07",5.27585,6.555853,4.395853,4.675852,7732400
"2001-05-08",5.085932,5.405932,4.385931,4.585932,6009600
"2001-05-09",4.240101,5.0401,4.170101,4.620102,6713000
"2001-05-10",3.784629,4.814627,3.584628,4.704627,4392100
"2001-05-11",5.223375,5.343374,4.26337599999999,4.653375,4207500
"2001-05-14",4.96783900000001,5.30783900000001,4.42783800000001,4.57784,4399800
"2001-05-15",4.608742,5.09874,3.95874,4.578739,5137900
"2001-05-16",3.557329,4.957326,3.357328,4.707326,7666700
"2001-05-17",5.030458,5.480459,4.380461,4.670458,4139500
"2001-05-18",4.339126,4.829128,4.339126,4.709125,4244100
"2001-05-21",6.795795,6.895793,4.245796,4.515796,9745600
"2001-05-22",5.051162,5.501163,4.251163,4.441161,12398300
"2001-05-23",4.078034,4.858032,4.078034,4.478031,6423200
"2001-05-24",4.095578,5.275578,3.99558,4.535577,5066500
"2001-05-25",4.36367,5.013672,4.323673,4.543671,3912200
"2001-05-29",3.703483,4.753482,3.10348,4.643481,5932500
"2001-05-30",5.313019,5.413017,4.433017,4.603016,4571600
"2001-05-31",4.60279800000001,5.192799,4.4128,4.622799,4437700
"2001-06-01",4.940209,4.940209,4.090211,4.610211,3591300
"2001-06-04",4.49032,4.99032,3.480322,4.600321,4724600
"2001-06-05",4.490644,4.730646,3.840642,4.570646,5059000
"2001-06-06",4.596012,4.88601300000001,4.106015,4.496014,6114100
"2001-06-07",3.742935,4.64293199999999,2.89293199999999,4.362933,23434900
"2001-06-08",4.58135200000001,5.06135200000001,2.81135200000001,4.341351,5547300
"2001-06-11",4.092933,4.682933,3.89293199999999,4.362933,5178200
"2001-06-12",3.845087,4.875089,3.83508800000001,4.415086,7111600
"2001-06-13",5.115999,5.935999,4.115999,4.345998,10194000
"2001-06-14",4.814189,4.954189,4.224189,4.274188,6423000
"2001-06-15",4.890557,5.440556,3.590558,4.210557,10781500
"2001-06-18",5.592387,5.842387,3.802386,4.072386,9661400
"2001-06-19",4.454209,4.844208,3.954209,4.054207,9312900
"2001-06-20",2.676919,4.476918,2.62692,4.226918,9283300
"2001-06-21",3.17236500000001,4.832365,3.02236300000001,4.332365,12679500
"2001-06-22",4.450547,4.980546,4.070546,4.320546,6222900
"2001-06-25",3.988724,4.788727,3.718723,4.378723,6389900
"2001-06-26",5.35509800000001,5.81510100000001,4.125099,4.265098,6053500
"2001-06-27",4.242367,4.842365,3.772365,4.282368,5834700
"2001-06-28",3.599632,4.899631,3.469631,4.389633,5742900
"2001-06-29",3.449625,5.749624,2.77962299999999,4.499624,11210300
"2001-07-02",5.395991,5.395991,4.235991,4.435992,6797600
"2001-07-03",5.045093,5.335094,4.285095,4.345092,5175300
"2001-07-05",4.472371,4.672372,3.582372,4.25237,7583200
"2001-07-06",5.22510699999999,5.22510699999999,3.72510699999999,4.155107,5891000
"2001-07-09",5.217837,5.217837,4.017836,4.107837,4669200
"2001-07-10",3.098738,4.908739,3.098738,4.208738,9632900
"2001-07-11",4.213281,4.50328200000001,3.62328100000001,4.233282,4392600
"2001-07-12",4.95147000000001,4.95147000000001,3.88147000000001,4.161469,5060700
"2001-07-13",4.549657,4.98965500000001,3.799657,4.089658,5052100
"2001-07-16",5.080574,5.090572,3.69057,3.990574,7287600
"2001-07-17",3.126935,4.376935,2.836934,4.076931,6480500
"2001-07-18",3.634199,4.78420000000001,3.60420000000001,4.134199,5770700
"2001-07-19",4.075106,4.695104,3.745108,4.165106,4875400
"2001-07-20",4.001468,4.621467,3.781466,4.181468,4425300
"2001-07-23",4.936016,5.336018,4.056015,4.156017,3838500
"2001-07-24",4.730561,4.730561,3.940564,4.120564,3320800
"2001-07-25",4.681475,4.691477,3.281478,4.061476,5913000
"2001-07-26",4.247845,4.417843,3.067845,4.017846,7000200
"2001-07-27",4.963307,5.063305,3.763306,3.923306,6645800
"2001-07-30",3.49967,4.15967,3.489668,3.969667,5344300
"2001-07-31",2.466019,4.176018,2.436016,4.136017,7044700
"2001-08-01",3.82692900000001,4.82692900000001,3.52692500000001,4.156927,4778200
"2001-08-02",4.416924,4.626923,3.526925,4.166924,3365400
"2001-08-03",4.436021,4.686021,3.566022,4.106019,4099600
"2001-08-06",4.719659,4.789663,3.73966,4.069661,3793100
"2001-08-07",3.22692799999999,4.136928,3.22692799999999,4.136928,4084200
"2001-08-08",4.683291,4.763293,3.913295,4.073294,3259000
"2001-08-09",3.964204,4.414205,3.39420400000001,4.044206,3766600
"2001-08-10",4.369665,5.129664,3.749662,4.009665,5329700
"2001-08-13",4.10420499999999,4.31420799999999,3.65420899999999,4.024207,3146700
"2001-08-14",3.809662,4.239662,3.779663,4.039662,2877400
"2001-08-15",4.390574,4.760577,3.900577,3.970576,4598800
"2001-08-16",4.299669,4.329667,3.449666,3.959668,5633000
"2001-08-17",3.521478,4.33148,3.301477,4.01148,5425100
"2001-08-20",2.7642,4.134199,2.60420000000001,4.134199,7589000
"2001-08-21",4.206925,5.386925,4.026924,4.126927,7474900
"2001-08-22",4.076924,4.676927,3.966924,4.146924,5716800
"2001-08-23",3.128733,4.498736,3.078734,4.248736,5223600
"2001-08-24",4.076914,5.076914,4.026915,4.276915,6493600
"2001-08-27",3.86873199999999,4.708733,3.85872999999999,4.318729,3497700
"2001-08-28",4.276911,4.346911,4.016913,4.32691,3655500
"2001-08-29",4.713279,4.753276,4.113276,4.293277,3886200
"2001-08-30",3.907818,4.87781500000001,3.737816,4.357815,6022700
"2001-08-31",4.848726,5.238729,4.018728,4.308729,4992400
"2001-09-04",4.077816,4.967815,3.817818,4.357815,5654100
"2001-09-05",3.808722,4.63872,3.47872,4.40872,5453800
"2001-09-06",4.800544,5.21054400000001,3.890545,4.350544,6421000
"2001-09-07",5.009641,5.299638,3.92964,4.279642,7050700
"2001-09-10",3.31690500000001,4.716907,3.306907,4.376907,6074600
"2001-09-17",2.654133,5.004131,2.464134,4.554135,13036200
"2001-09-18",5.398258,5.748256,3.698257,4.498256,10970900
"2001-09-19",4.770315,5.46031799999999,4.08031699999999,4.470316,11683400
"2001-09-20",4.697233,4.937235,4.187235,4.417234,9257800
"2001-09-21",3.967383,4.677382,2.997386,4.347384,15623800
"2001-09-24",3.45164699999999,4.52164699999999,3.101648,4.411646,11544400
"2001-09-25",4.290911,4.93091,3.61091,4.380911,7746200
"2001-09-26",4.704151,4.89414900000001,4.14414900000001,4.364151,7025200
"2001-09-27",2.793448,4.563448,2.363447,4.563448,7305200
"2001-09-28",5.207326,5.207326,3.857328,4.497327,9211200
"2001-10-01",3.517909,4.657908,3.297908,4.597907,8262600
"2001-10-02",4.67070200000001,4.79070100000001,3.760702,4.600703,5084800
"2001-10-03",4.705355,5.115355,4.155356,4.605357,5776300
"2001-10-04",4.492613,4.792612,4.32261099999999,4.64261,5939700
"2001-10-05",4.511482,5.261482,4.131481,4.671482,6706200
"2001-10-08",4.076186,4.896186,3.796187,4.716185,4494700
"2001-10-09",4.576914,4.746916,4.18691499999999,4.746916,7800500
"2001-10-10",4.078585,5.048586,3.778585,4.778585,7611400
"2001-10-11",5.081573,5.451576,4.261574,4.751575,7481300
"2001-10-12",4.636187,5.226188,4.136187,4.716185,10050200
"2001-10-15",4.62128800000001,5.261287,4.62128800000001,4.701286,3631700
"2001-10-16",4.580843,4.850844,4.210844,4.720843,4267700
"2001-10-17",5.08751599999999,5.237517,4.45751799999999,4.657515,6133600
"2001-10-18",5.291389,5.30138700000001,4.451389,4.591388,5638200
"2001-10-19",4.0482,4.718199,3.95820000000001,4.648199,4602400
"2001-10-22",3.70922300000001,5.049223,3.70922300000001,4.729224,4379600
"2001-10-23",5.24707299999999,5.707072,4.18707199999999,4.677073,4683600
"2001-10-24",4.608688,5.038688,4.388686,4.668689,5675100
"2001-10-25",4.559771,4.789775,3.809771,4.599772,7238100
"2001-10-26",3.774474,5.224475,3.75447399999999,4.644473,5159900
"2001-10-29",4.956777,5.696779,4.526781,4.626779,3468000
"2001-10-30",4.742378,4.852379,4.152378,4.442379,13111700
"2001-10-31",5.008563,5.118563,4.258563,4.358561,9509200
"2001-11-01",4.333067,4.723066,3.943068,4.433065,6698900
"2001-11-02",3.81639300000001,4.61639700000001,3.626395,4.496394,4402300
"2001-11-05",4.888256,4.97825599999999,4.348259,4.498256,4378300
"2001-11-06",4.751541,4.751541,4.32154,4.521541,5758000
"2001-11-07",4.771692,5.201692,4.331693,4.451692,6915400
"2001-11-08",5.343855,5.453856,4.243857,4.313857,11288900
"2001-11-09",4.101353,4.741352,4.01135299999999,4.361355,5908700
"2001-11-12",3.93415,4.804149,3.654152,4.364151,4624100
"2001-11-13",4.397186,4.71718600000001,4.027188,4.377186,5329300
"2001-11-14",4.651199,5.061199,4.051201,4.431202,8752700
"2001-11-15",4.169384,4.759384,4.029384,4.469387,5272900
"2001-11-16",4.432426,4.632423,4.162425,4.482425,5510600
"2001-11-19",4.424974,4.694974,3.684972,4.474973,5723100
"2001-11-20",4.769586,4.829587,4.03958600000001,4.439584,6493800
"2001-11-21",4.579534,4.79953500000001,4.37953700000001,4.399538,3964900
"2001-11-23",4.48787100000001,4.72786900000001,4.217871,4.367873,3227000
"2001-11-26",5.340819,5.340819,4.20082,4.300818,6572100
"2001-11-27",5.100482,5.180484,3.800483,4.210483,12026000
"2001-11-28",4.324404,4.694403,3.954405,4.184404,8815800
"2001-11-29",2.74532,4.375322,2.645322,4.375322,8433100
"2001-11-30",4.203021,4.77302,4.09302,4.393019,5239400
"2001-12-03",4.39929100000001,4.559291,3.659294,4.389293,4727400
"2001-12-04",4.834587,4.894589,4.09459,4.34459,4377800
"2001-12-05",4.657093,4.69709399999999,3.717094,4.297092,8034700
"2001-12-06",4.800728,5.030727,4.210727,4.220726,8073700
"2001-12-07",4.338373,4.758371,4.068373,4.198374,9247100
"2001-12-10",4.13165799999999,4.721658,3.901654,4.221658,5774300
"2001-12-11",4.568619,4.868618,4.208619,4.208619,4925400
"2001-12-12",3.99258999999999,4.402589,3.902589,4.222589,5240400
"2001-12-13",4.168174,4.978176,3.878173,4.228176,6129700
"2001-12-14",3.856362,4.52636,3.856362,4.266361,4653100
"2001-12-17",3.422529,4.37253,3.252531,4.37253,6854700
"2001-12-18",4.358318,4.588317,3.81831699999999,4.348316,7792100
"2001-12-19",4.358066,4.988068,4.108066,4.33807,8957000
"2001-12-20",4.393534,4.853533,4.193533,4.363535,5241400
"2001-12-21",4.979209,5.239211,4.319209,4.319209,13342600
"2001-12-24",4.002966,4.502966,3.802965,4.372965,2827900
"2001-12-26",4.09617,4.86617099999999,4.09617,4.386167,3721200
"2001-12-27",4.322764,4.562766,4.182765,4.392768,3577200
"2001-12-28",4.93901699999999,5.179014,4.18901699999999,4.339014,4247700
"2001-12-31",4.483924,4.773925,4.233924,4.323924,3977200
"2002-01-02",3.60842599999999,4.58843,3.15843,4.398427,6324600
"2002-01-03",4.443712,4.703715,4.123713,4.393713,4416500
"2002-01-04",4.646558,5.03655799999999,4.256559,4.346559,5441800
"2002-01-07",3.902766,4.502765,3.862765,4.392768,6738800
"2002-01-08",3.859723,4.769722,3.769722,4.459725,6005500
"2002-01-09",5.06766200000001,5.457662,4.387662,4.427663,4276900
"2002-01-10",4.480296,4.670295,4.270293,4.450294,5080100
