"","Open","High","Low","Close","Volume"
"2001-01-02",3.269111,3.362313,3.119986,3.138626,7162700
"2001-01-03",3.254816,3.329379,3.06841,3.06841,6248700
"2001-01-04",2.989251,3.175657,2.951969,3.082453,5508100
"2001-01-05",2.894123,3.341498,2.894123,3.173733,4879400
"2001-01-08",3.25047,3.436877,3.101345,3.138626,4957900
"2001-01-09",3.338826,3.357466,3.040576,3.096497,5436300
"2001-01-10",3.145398,3.164039,3.014914,3.089476,3702900
"2001-01-11",3.101094,3.194297,3.045172,3.082453,6098200
"2001-01-12",3.091901,3.166463,2.961416,3.110541,4099900
"2001-01-16",2.996523,3.182929,2.996523,3.145648,3571800
"2001-01-17",3.306141,3.306141,3.063813,3.082453,2936400
"2001-01-18",3.105442,3.198644,2.974957,3.012238,2611500
"2001-01-19",2.902819,3.089225,2.902819,3.033303,2677900
"2001-01-22",2.996022,3.107866,2.996022,3.033303,2960600
"2001-01-23",2.958991,3.126758,2.958991,3.089476,3364600
"2001-01-24",3.124332,3.217535,3.012489,3.06841,3044700
"2001-01-25",2.814463,3.149995,2.777182,3.075432,9816500
"2001-01-26",3.128929,3.16621,2.942523,3.054367,5548300
"2001-01-29",3.064103,3.096911,2.977611,3.084981,4629000
"2001-01-30",3.092216,3.104147,2.955022,3.035549,3234800
"2001-01-31",3.33919,3.345154,2.999185,3.073747,4137400
"2001-02-01",2.931898,3.107866,2.928915,3.033303,3044400
"2001-02-02",3.055972,3.103692,3.032112,3.10071,3090000
"2001-02-05",3.151224,3.255611,3.076662,3.142276,4508900
"2001-02-06",3.142479,3.240902,3.017214,3.187216,4254100
"2001-02-07",3.216613,3.264333,3.118191,3.174858,3059100
"2001-02-08",3.16068,3.253137,3.10103,3.17261,5419200
"2001-02-09",2.993166,3.300364,2.993166,3.228784,3398800
"2001-02-12",3.207638,3.297113,3.168865,3.252375,3445400
"2001-02-13",3.052695,3.336032,3.052695,3.20182,5735400
"2001-02-14",3.160922,3.381627,3.154957,3.226537,3621400
"2001-02-15",3.186907,3.216733,3.067607,3.20182,3689800
"2001-02-16",3.282585,3.40785,3.187145,3.252761,4442900
"2001-02-20",3.47472,3.47472,3.209277,3.268928,3930500
