"","MS.Open","MS.High","MS.Low","MS.Close","MS.Volume","MS.Adjusted"
"2001-01-02",78.25,79.1875,69,72.125,5798600,42.969635
"2001-01-03",72.1875,83.6875,71,83.6875,11127500,49.858177
"2001-01-04",85,89.1875,84.625,88.6875,12219500,52.837013
"2001-01-05",88.6875,88.6875,83.25,84.625,7910900,50.416691
"2001-01-08",84,84.4375,80.4375,83.375,4762100,49.672001
"2001-01-09",83.375,84,81.6875,82.5,5112500,49.150726
"2001-01-10",80.875,86.3125,80.875,86,5848000,51.379112
"2001-01-11",86.0625,89.125,85.5,87.5,6664200,52.275253
"2001-01-12",85.625,87.9375,84.8125,85.125,4324000,50.856373
"2001-01-16",84,87,82.9375,83.9375,4934300,50.146935
"2001-01-17",83.9375,85.4375,79.875,80.875,7966000,48.317284
"2001-01-18",80.875,80.875,78.375,80.125,6544400,47.869221
"2001-01-19",80.25,84.6875,80.25,84.375,5753500,50.408279
"2001-01-22",84.375,85.75,83.125,83.875,4218900,50.109589
"2001-01-23",85.125,87.375,84.5625,86.8125,4310000,51.864532
"2001-01-24",86.8125,89.0625,82.875,84.25,12325400,50.333633
"2001-01-25",84.25,84.6875,81.5,82.875,5562200,49.512135
"2001-01-26",82.875,83.75,80.375,82.5,4871300,49.288136
"2001-01-29",83.190002,84.989998,82.910004,83.980003,4198100,50.172333
"2001-01-30",84.599998,86,82.550003,85,5416000,50.781723
"2001-01-31",85.300003,88,84,84.800003,6682400,50.662231
"2001-02-01",85.050003,89.800003,84.629997,89.800003,7401400,53.649368
"2001-02-02",89.699997,90.489998,85.900002,86.260002,5984500,51.53447
"2001-02-05",86.790001,87.120003,85.5,86.5,3251300,51.677856
"2001-02-06",86.900002,87,84.010002,84.949997,3836300,50.75182
"2001-02-07",84.75,85.5,78,80.199997,6542800,47.914028
"2001-02-08",81.25,81.550003,77.209999,78,5334000,46.599674
"2001-02-09",78,80,75.879997,79.349998,5245700,47.406185
"2001-02-12",79.300003,80.050003,77.269997,80,4940900,47.794529
"2001-02-13",80.099998,81.650002,77.660004,79.209999,4942900,47.322571
"2001-02-14",79.199997,79.209999,76.199997,76.940002,5876900,45.966393
"2001-02-15",76.699997,79.480003,75.550003,76.32,6347200,45.595989
"2001-02-16",75,75.580002,73.989998,74.75,6522800,44.658016
"2001-02-20",75.25,75.25,68.379997,68.860001,7290800,41.139141
"2001-02-21",68.300003,70.739998,65.5,66.040001,7419400,39.454391
"2001-02-22",66.699997,69.489998,63.5,68.93,7833300,41.180965
"2001-02-23",68.449997,68.449997,63.5,67,9139200,40.027927
"2001-02-26",67.25,69.970001,64.25,69.199997,6874900,41.34227
"2001-02-27",70,71.339996,67.849998,69.660004,6971900,41.617107
"2001-02-28",68.650002,68.650002,64.400002,65.129997,7348400,38.910728
"2001-03-01",62.5,63.75,60,63.599998,10818200,37.996655
"2001-03-02",62,64.080002,60.75,61.049999,8440600,36.473202
"2001-03-05",61.400002,62.599998,60.119999,62.599998,5423300,37.39922
"2001-03-06",63.900002,66.739998,63.549999,65.389999,7213500,39.066059
"2001-03-07",65.25,67.349998,64.099998,66.75,6040900,39.878567
"2001-03-08",66.75,68.849998,64.110001,64.379997,6233600,38.462658
"2001-03-09",63.75,64,60.75,61.259998,6686600,36.598671
"2001-03-12",60.75,60.75,55.099998,56,9871800,33.456177
"2001-03-13",58,59.200001,56.860001,59,8568000,35.248478
"2001-03-14",56.25,58.900002,55.240002,57,8427100,34.053612
"2001-03-15",58.5,60.099998,57.849998,59.009998,6768100,35.254444
"2001-03-16",59.02,60.919998,57.779999,57.919998,9588100,34.603256
"2001-03-19",58.5,61.299999,58.450001,60.73,7509900,36.282024
"2001-03-20",60.73,61.810001,56.040001,56.5,9075700,33.754864
"2001-03-21",56,58.900002,54.400002,54.639999,9459700,32.643665
"2001-03-22",54.099998,54.130001,49.700001,53.25,12955800,31.81324
"2001-03-23",54.25,54.75,52.5,53.509998,8714600,31.968582
"2001-03-26",54.25,55.68,53.310001,54.5,7261600,32.56002
"2001-03-27",54.25,57.5,52.810001,56.599998,7313300,33.814636
"2001-03-28",55,56,53.450001,54,5519800,32.261318
"2001-03-29",54,54.5,52.950001,53.68,6381200,32.070129
"2001-03-30",53.75,54.400002,52.810001,53.5,4324000,31.962608
"2001-04-02",53.150002,54.98,52.200001,52.349998,6381200,31.275543
"2001-04-03",52.200001,52.200001,49.049999,49.34,7935600,29.47728
"2001-04-04",49.110001,49.110001,44.099998,45.259998,14581200,27.166399
"2001-04-05",48.5,53,48.400002,52.400002,9929200,31.452038
"2001-04-06",52,52.5,50,50.900002,8178300,30.551695
"2001-04-09",50.900002,52.5,48.040001,50.290001,6039300,30.185553
"2001-04-10",51.75,54.990002,51.549999,54.639999,7601000,32.796543
"2001-04-11",56.549999,57.75,56.029999,57.650002,8651000,34.603249
"2001-04-12",57.400002,59.75,56.099998,59.599998,6492600,35.773689
"2001-04-16",58.549999,59.169998,56.900002,57.400002,5172600,34.453201
"2001-04-17",56.860001,59.900002,56.509998,58.849998,5545300,35.323509
"2001-04-18",61.5,68.849998,60.849998,66.900002,13859900,40.155369
"2001-04-19",66.199997,67.529999,65.5,67.269997,7311200,40.377457
"2001-04-20",66.199997,66.580002,65.099998,66,4848200,39.615158
"2001-04-23",65.949997,65.959999,63.360001,63.799999,4586500,38.294666
"2001-04-24",63.810001,64.199997,61.5,61.599998,4829600,36.974152
"2001-04-25",61.549999,61.740002,60,61.400002,5909400,36.854118
"2001-04-26",61.599998,64.290001,60.98,62.860001,5643500,37.73045
"2001-04-27",63.950001,65.809998,63.419998,65.300003,5132000,39.195004
"2001-04-30",66.050003,66.239998,62.5,62.790001,5692800,37.688438
"2001-05-01",62,63.52,60.77,63.349998,7486700,38.024551
"2001-05-02",65.5,67.949997,64.860001,66.519997,6495300,39.92728
"2001-05-03",66,66.489998,64.839996,66.230003,4929300,39.75322
"2001-05-04",64.75,67.849998,64.410004,67.349998,5744100,40.425476
"2001-05-07",67,68.650002,66.400002,66.959999,4304400,40.191395
"2001-05-08",66.959999,66.989998,65.300003,66.019997,4545100,39.627163
"2001-05-09",65.199997,66.089996,64.620003,65.07,4336400,39.056957
"2001-05-10",66.099998,66.699997,65,65,3301600,39.014942
"2001-05-11",65.010002,66.599998,63.200001,63.209999,4025100,37.940529
"2001-05-14",63.259998,65.25,63.220001,64.989998,4224300,39.008938
"2001-05-15",65,66.849998,64.550003,65.610001,4639800,39.381073
"2001-05-16",65.5,69.699997,64.400002,69.099998,6355300,41.475883
"2001-05-17",68.849998,70.300003,68.550003,69.699997,5357300,41.836006
"2001-05-18",69.699997,69.699997,68.360001,69.040001,4405700,41.43985
"2001-05-21",69.290001,72.949997,68.919998,72.68,5735100,43.624687
"2001-05-22",73,75.230003,72.910004,74.260002,7624700,44.573071
"2001-05-23",72.599998,72.980003,71.330002,71.5,4246700,42.916424
"2001-05-24",70.519997,72.199997,70.400002,72.059998,3912400,43.252567
"2001-05-25",70.75,71.5,68.900002,69.480003,3327300,41.703976
"2001-05-29",69.400002,69.400002,67.199997,68.080002,4104100,40.863636
"2001-05-30",66.400002,67.400002,64.199997,64.199997,5775800,38.534763
"2001-05-31",64.849998,65.730003,63.700001,65.010002,4294800,39.020931
"2001-06-01",64.800003,65.699997,63.900002,65.199997,3762800,39.134975
"2001-06-04",64.949997,65.379997,64.010002,65,2869700,39.014942
"2001-06-05",65.25,66.400002,65.220001,66.099998,4485200,39.675198
"2001-06-06",65,65.239998,63.900002,64.5,3481400,38.714817
"2001-06-07",64.400002,65.629997,63.060001,65.5,3534800,39.315048
"2001-06-08",64.199997,65.099998,64.120003,64.589996,1864400,38.768837
"2001-06-11",63.200001,64.300003,61.5,62.25,3641800,37.364292
"2001-06-12",62.049999,62.049999,59.5,60.549999,5499900,36.343903
"2001-06-13",60.900002,61.990002,59.299999,59.400002,4302200,35.653648
"2001-06-14",58.810001,58.810001,57.049999,57.349998,5660500,34.423176
"2001-06-15",56.150002,58.049999,55.82,57.52,7469300,34.525204
"2001-06-18",57,58.200001,56.509998,57.299999,4386900,34.393158
"2001-06-19",59.490002,60.549999,58.450001,58.450001,6191200,35.083443
"2001-06-20",58.950001,60.25,58.099998,59.349998,5334000,35.623642
"2001-06-21",59.599998,65,59.599998,64.949997,8147500,38.984905
"2001-06-22",63.799999,65.18,63.52,65.050003,4262500,39.04496
"2001-06-25",65.050003,65.300003,63.950001,64.519997,3949800,38.72681
"2001-06-26",62.549999,63.990002,61.200001,63.82,6225500,38.306652
"2001-06-27",63,64.68,62.450001,62.650002,5346400,37.604404
"2001-06-28",62.75,65.18,62.75,64.010002,4115100,38.420704
"2001-06-29",63.759998,64.489998,62.950001,64.230003,3803500,38.552761
"2001-07-02",64.050003,64.080002,63.049999,63.75,2964600,38.264648
"2001-07-03",63.27,64.300003,62.900002,63.700001,1505600,38.373093
"2001-07-05",63,64.830002,62.880001,63.299999,3259600,38.132122
"2001-07-06",62.5,63.349998,60.52,60.939999,3254300,36.710442
"2001-07-09",60.5,60.98,59.310001,60.73,3398000,36.583935
"2001-07-10",60.98,61.5,58.43,58.459999,3413400,35.216484
"2001-07-11",58.459999,59.200001,55.369999,57.82,5892400,34.83094
"2001-07-12",58.299999,61.939999,58.299999,61.82,6792200,37.240562
"2001-07-13",61.099998,62.450001,60.849998,61.419998,4083300,36.999596
"2001-07-16",60.650002,61.950001,57.299999,58.450001,4779700,35.210468
"2001-07-17",57.900002,59.919998,56.799999,59.810001,5074900,36.029736
"2001-07-18",58,59,57.470001,58.900002,4325800,35.481548
"2001-07-19",60.099998,60.849998,57.740002,58.849998,4327800,35.451416
"2001-07-20",58.849998,60.02,58.099998,59.5,2905000,35.842983
"2001-07-23",59.700001,60.389999,58.529999,58.700001,3032700,35.361057
"2001-07-24",58.5,58.700001,57.02,57.529999,3801500,34.65625
"2001-07-25",57.599998,57.75,56.52,57.119999,3635600,34.409271
"2001-07-26",56.200001,59.139999,56.02,59.139999,4331700,35.626122
"2001-07-27",59.389999,60.48,59.009998,59.59,2826400,35.89719
"2001-07-30",59.349998,60.470001,59.060001,59.650002,3871000,35.933353
"2001-07-31",59.650002,61.599998,59.16,59.82,3425700,36.035751
"2001-08-01",60.5,62.950001,60.200001,62.400002,3588600,37.589954
"2001-08-02",63.049999,63.849998,62.950001,62.98,3150300,37.939339
"2001-08-03",63.049999,63.150002,62.25,63.150002,2092800,38.041759
