"","Open","High","Low","Close","Volume"
"2001-01-02",61.187359,62.544124,60.508976,60.508976,2255100
"2001-01-03",58.294144,73.218552,58.068017,72.087914,7146500
"2001-01-04",68.460799,71.852714,67.330169,68.913055,6485700
"2001-01-05",69.415794,69.868042,63.084229,63.310356,4844600
"2001-01-08",62.729874,65.669525,60.694725,64.991142,2535000
"2001-01-09",62.946949,64.529835,60.685673,61.816311,4688600
"2001-01-10",60.144569,63.988731,58.335548,63.310356,5360600
"2001-01-11",62.041374,67.920685,59.55397,66.111664,7369800
"2001-01-12",64.981026,67.016174,63.62426,66.111664,3555800
"2001-01-16",66.888989,67.341244,62.592571,63.497074,2525600
"2001-01-17",65.462578,69.30674,64.558067,67.045471,4084800
"2001-01-18",66.100556,71.753739,64.969918,71.527611,4258300
"2001-01-19",74.89933,75.351586,72.185806,73.768692,7332700
"2001-01-22",73.386116,73.838371,69.315819,70.220329,3503500
"2001-01-23",67.506805,70.898712,67.05455,70.220329,2592500
"2001-01-24",71.842606,72.520989,69.129075,70.033585,2297900
"2001-01-25",69.267365,69.945748,67.232224,67.232224,2352900
"2001-01-26",67.192841,68.549606,65.157692,67.418968,2018500
"2001-01-29",65.045235,69.531601,63.489479,69.025078,3027300
"2001-01-30",67.345124,69.624482,66.440613,68.756157,2467800
"2001-01-31",68.158531,71.197685,67.579643,68.158531,3359600
"2001-02-01",66.96669,70.186745,64.072266,65.917458,2997500
"2001-02-02",67.281826,67.354191,63.627613,63.736149,1994300
"2001-02-05",63.121734,63.447357,60.733825,60.987091,3200100
"2001-02-06",59.443615,63.893795,59.443615,62.301861,2950100
"2001-02-07",60.987415,61.602481,59.431659,59.61256,3869200
"2001-02-08",59.513569,61.467312,58.609059,59.224125,2368200
"2001-02-09",59.080044,59.731297,56.475056,56.475056,3034800
"2001-02-12",56.178993,59.507591,56.178993,57.879471,2735600
"2001-02-13",59.666195,60.968685,57.56773,59.014942,3202500
"2001-02-14",59.2435,59.2435,56.49379,57.072678,2853600
"2001-02-15",57.234712,59.188455,57.053811,57.162354,3749400
"2001-02-16",55.644692,56.115036,54.993447,55.608513,2877000
"2001-02-20",57.214829,57.214829,52.836998,54.682198,2936500
"2001-02-21",53.592773,55.257072,50.770706,51.783756,3498300
"2001-02-22",50.723537,54.160675,50.253193,51.66423,3979600
"2001-02-23",48.701344,51.27015,47.688294,48.556622,8543800
"2001-02-26",49.832615,49.977337,46.069858,47.480892,5698800
"2001-02-27",46.954349,47.352333,45.651855,45.688038,4354700
"2001-02-28",46.161598,46.451042,44.714382,45.329449,4266400
"2001-03-01",44.344162,47.672756,43.801456,47.600395,4834700
"2001-03-02",44.960205,50.966144,44.706939,50.170177,5512200
"2001-03-05",50.159202,51.316975,50.050659,50.050659,2648600
"2001-03-06",51.442135,55.168712,51.007969,52.889347,3811500
"2001-03-07",51.634175,53.189934,49.571892,52.321602,2926800
"2001-03-08",53.079167,53.983681,48.375721,48.556622,3566800
