"","Open","High","Low","Close","Volume"
"2001-01-02",49.094635,50.032135,39.844635,42.969635,5798600
"2001-01-03",38.358177,49.858177,37.170677,49.858177,11127500
"2001-01-04",49.149513,53.337013,48.774513,52.837013,12219500
"2001-01-05",54.479191,54.479191,49.041691,50.416691,7910900
"2001-01-08",50.297001,50.734501,46.734501,49.672001,4762100
"2001-01-09",50.025726,50.650726,48.338226,49.150726,5112500
"2001-01-10",46.254112,51.691612,46.254112,51.379112,5848000
"2001-01-11",50.837753,53.900253,50.275253,52.275253,6664200
"2001-01-12",51.356373,53.668873,50.543873,50.856373,4324000
"2001-01-16",50.209435,53.209435,49.146935,50.146935,4934300
"2001-01-17",51.379784,52.879784,47.317284,48.317284,7966000
"2001-01-18",48.619221,48.619221,46.119221,47.869221,6544400
"2001-01-19",46.283279,50.720779,46.283279,50.408279,5753500
"2001-01-22",50.609589,51.984589,49.359589,50.109589,4218900
"2001-01-23",50.177032,52.427032,49.614532,51.864532,4310000
"2001-01-24",52.896133,55.146133,48.958633,50.333633,12325400
"2001-01-25",50.887135,51.324635,48.137135,49.512135,5562200
"2001-01-26",49.663136,50.538136,47.163136,49.288136,4871300
"2001-01-29",49.382332,51.182328,49.102334,50.172333,4198100
"2001-01-30",50.381721,51.781723,48.331726,50.781723,5416000
"2001-01-31",51.162231,53.862228,49.862228,50.662231,6682400
"2001-02-01",48.899368,53.649368,48.479362,53.649368,7401400
"2001-02-02",54.974465,55.764466,51.17447,51.53447,5984500
"2001-02-05",51.967857,52.297859,50.677856,51.677856,3251300
"2001-02-06",52.701825,52.801823,49.811825,50.75182,3836300
"2001-02-07",52.464031,53.214031,45.714031,47.914028,6542800
"2001-02-08",49.849674,50.149677,45.809673,46.599674,5334000
"2001-02-09",46.056187,48.056187,43.936184,47.406185,5245700
"2001-02-12",47.094532,47.844532,45.064526,47.794529,4940900
"2001-02-13",48.21257,49.762574,45.772576,47.322571,4942900
"2001-02-14",48.226388,48.23639,45.226388,45.966393,5876900
"2001-02-15",45.975986,48.755992,44.825992,45.595989,6347200
"2001-02-16",44.908016,45.488018,43.898014,44.658016,6522800
"2001-02-20",47.52914,47.52914,40.659137,41.139141,7290800
"2001-02-21",41.714393,44.154388,38.91439,39.454391,7419400
"2001-02-22",38.950962,41.740963,35.750965,41.180965,7833300
"2001-02-23",41.477924,41.477924,36.527927,40.027927,9139200
