"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
"2001-01-02",66.400002,66.949997,64.349998,64.839996,378800,40.692146
"2001-01-03",64,65.949997,63.5,65.5,431900,41.10638
"2001-01-04",64,66.910004,64,65.099998,484900,40.855343
"2001-01-05",64.849998,64.849998,62.950001,63.200001,479000,39.662952
"2001-01-08",63.450001,66,62.25,65.599998,340600,41.169132
"2001-01-09",65.599998,65.919998,63.959999,64.300003,141600,40.353291
"2001-01-10",64.050003,65.300003,64.050003,64.949997,174700,40.761192
"2001-01-11",64.949997,66,63.599998,66,273000,41.420155
"2001-01-12",65.949997,66.050003,65.150002,65.849998,319200,41.326035
"2001-01-16",65.75,67.150002,65.110001,65.800003,344300,41.294636
"2001-01-17",65.800003,66,64.410004,65.089996,330500,40.849083
"2001-01-18",65.25,65.25,64.290001,65.25,221500,40.949482
"2001-01-19",65.239998,65.239998,64.199997,64.599998,231500,40.541557
"2001-01-22",64.5,65,64.349998,64.599998,230900,40.541557
"2001-01-23",64.349998,64.599998,64,64.599998,214600,40.541557
"2001-01-24",64.849998,66.400002,64.199997,64.889999,245000,40.723549
"2001-01-25",65.050003,65.279999,64.730003,65.230003,75000,40.936924
"2001-01-26",65,67.269997,64.82,67.260002,183200,42.210903
"2001-01-29",67.260002,68,66.949997,68,272200,42.675312
"2001-01-30",67.75,68.209999,67.050003,68.110001,134300,42.744354
"2001-01-31",68.110001,68.599998,67.879997,68.300003,197800,42.863605
"2001-02-01",68.300003,68.300003,67,67.889999,175600,42.606297
"2001-02-02",67.879997,67.980003,66.900002,67.019997,137800,42.060314
"2001-02-05",68,68.800003,67.620003,68.800003,213700,43.177383
"2001-02-06",69.5,69.529999,68,68.300003,253800,42.863605
"2001-02-07",68.300003,69.440002,68.300003,69.309998,212300,43.49744
"2001-02-08",69.309998,69.400002,68.650002,69.209999,111300,43.434711
"2001-02-09",69.209999,69.5,68.900002,69.349998,80300,43.522556
"2001-02-12",69.599998,69.75,67.949997,69.5,419100,43.616684
"2001-02-13",69.25,69.849998,69.199997,69.400002,271000,43.553925
"2001-02-14",69.199997,69.75,69.07,69.330002,93600,43.509979
"2001-02-15",69.5,69.5,68.5,69.5,152900,43.616684
"2001-02-16",69.25,69.980003,67.949997,69.150002,290400,43.397038
"2001-02-20",68.900002,68.900002,67.510002,68.309998,182500,42.869865
"2001-02-21",69,69,68.059998,68.07,145900,42.719234
"2001-02-22",68,68.25,66.099998,67.82,204200,42.562359
"2001-02-23",67.400002,67.400002,66.349998,67.330002,227900,42.411175
"2001-02-26",67.199997,68.900002,67.199997,68.900002,207200,43.40012
"2001-02-27",68.650002,68.959999,67.699997,68.349998,322400,43.053669
"2001-02-28",68.199997,68.5,66.940002,68.5,225500,43.14817
"2001-03-01",68.25,68.25,66.5,67.489998,231800,42.511978
"2001-03-02",67.25,68.599998,67.25,68.599998,326300,43.211147
"2001-03-05",68.25,68.309998,67.599998,67.980003,109300,42.820625
"2001-03-06",68,68.919998,68,68.75,170700,43.30563
"2001-03-07",68.900002,69.769997,68.25,69.760002,149900,43.941845
"2001-03-08",69.510002,69.989998,68.900002,69.43,166700,43.733982
"2001-03-09",69.43,69.43,67.650002,68.449997,141100,43.116669
"2001-03-12",68.199997,68.199997,66.900002,66.910004,223700,42.146629
"2001-03-13",66.910004,67.940002,66.580002,67.779999,265600,42.694626
"2001-03-14",66.5,66.5,65.029999,66.290001,521700,41.756077
"2001-03-15",66.849998,68.099998,66.43,68,248700,42.833206
"2001-03-16",68,68.099998,66.360001,66.360001,434900,41.800182
"2001-03-19",66.449997,66.800003,64.870003,66.650002,265200,41.982853
"2001-03-20",66.650002,67.110001,66.029999,66.199997,296300,41.699394
"2001-03-21",66,66.160004,63.700001,63.700001,280600,40.124634
"2001-03-22",63.5,63.5,59.799999,61.09,303800,38.480595
"2001-03-23",61.200001,64.300003,60.5,63.470001,348000,39.979755
"2001-03-26",63.650002,65.459999,63.650002,64.709999,284200,40.760845
"2001-03-27",64.709999,68.43,64.25,67.849998,362600,42.738724
"2001-03-28",67.860001,67.860001,66.730003,67.5,259400,42.518265
"2001-03-29",67.5,68.269997,67.150002,67.730003,203000,42.663128
"2001-03-30",67.900002,69.900002,67.730003,69.900002,392300,44.030022
"2001-04-02",69.5,70.620003,68.879997,69.550003,355100,43.809566
"2001-04-03",69.400002,69.550003,68.300003,68.599998,122800,43.211147
"2001-04-04",68.650002,68.800003,66.550003,66.900002,166500,42.14032
"2001-04-05",67.5,69.370003,67.5,69,169900,43.463093
"2001-04-06",69,69,67.32,67.949997,206700,42.801697
"2001-04-09",68.199997,68.949997,67.709999,68.199997,112900,42.95919
"2001-04-10",68.449997,69.449997,68.400002,69.209999,145600,43.595413
