"","Open","High","Low","Close","Volume"
"2001-01-02",6.992582,7.383881,6.952102,7.019568,971300
"2001-01-03",7.280836,7.307823,6.72762,6.768099,1078700
"2001-01-04",6.828551,6.90951,6.639648,6.653141,1288600
"2001-01-05",6.653141,7.003961,6.639648,6.653141,1328900
"2001-01-08",6.671022,7.089307,6.671022,6.724994,1116700
"2001-01-09",6.905125,7.01307,6.419374,6.581291,1231600
"2001-01-10",6.806295,6.981706,6.495953,6.509447,2032000
"2001-01-11",6.54537,6.653314,6.46441,6.54537,1675800
"2001-01-12",6.450745,6.653141,6.356293,6.653141,1190800
"2001-01-16",6.598121,6.787024,6.571135,6.746545,1438600
"2001-01-17",6.901623,6.969089,6.523816,6.523816,1085700
"2001-01-18",6.71832,6.745307,6.313528,6.394486,1332100
"2001-01-19",6.304419,6.533801,6.250447,6.466337,962900
"2001-01-22",6.432866,6.648756,6.432866,6.581291,1097300
"2001-01-23",6.563248,6.684686,6.40133,6.61722,836000
"2001-01-24",6.752323,6.779309,6.495953,6.509447,719300
"2001-01-25",6.231882,6.825578,6.231882,6.825578,1340900
"2001-01-26",6.986083,7.134508,6.554304,6.581291,2301600
"2001-01-29",6.663049,6.663049,6.429889,6.488178,654000
"2001-01-30",6.458347,6.512319,6.339607,6.512319,1344600
"2001-01-31",6.522443,6.695155,6.522443,6.660613,1513200
"2001-02-01",6.633415,6.680911,6.568648,6.657163,2064900
"2001-02-02",6.336652,7.012385,6.336652,7.012385,2840300
"2001-02-05",6.896309,7.28491,6.896309,7.144582,1411800
"2001-02-06",7.175003,7.302378,6.987179,7.02388,1426600
"2001-02-07",6.983369,7.188463,6.780433,7.15608,1717000
"2001-02-08",7.104244,7.363312,7.039478,7.350358,1779600
"2001-02-09",7.354216,7.732022,7.354216,7.684527,1873100
"2001-02-12",7.653257,7.750407,7.571218,7.722342,1523400
"2001-02-13",7.705529,7.809157,7.578155,7.740071,1550300
"2001-02-14",7.666775,8.040265,7.666775,7.828693,1981500
"2001-02-15",7.856623,7.899802,7.60835,7.677436,1191800
"2001-02-16",7.683075,8.015545,7.63342,7.717617,1365900
"2001-02-20",7.83779,7.870174,7.481573,7.621901,1803700
"2001-02-21",7.6561,7.828812,7.530885,7.580539,988900
"2001-02-22",7.664895,7.759887,7.554792,7.569904,835600
"2001-02-23",7.645357,7.802956,7.369018,7.481281,914800
"2001-02-26",7.431803,7.7103,7.405896,7.645533,1250600
"2001-02-27",7.706871,7.82561,7.41542,7.506094,1058400
"2001-02-28",7.559839,7.585745,7.350426,7.4411,664200
"2001-03-01",7.431896,7.529047,7.382242,7.447009,755900
"2001-03-02",7.367057,7.727593,7.36274,7.5959,857300
"2001-03-05",7.526791,7.876532,7.526791,7.757792,643800
"2001-03-06",7.716751,7.975819,7.705957,7.807425,838300
"2001-03-07",7.636667,8.025268,7.636667,7.917323,1888000
"2001-03-08",7.788335,8.220114,7.788335,8.073309,1181600
"2001-03-09",8.136733,8.248994,7.86687,7.970498,682700
"2001-03-12",8.178777,8.178777,7.628259,7.757792,1647100
"2001-03-13",7.773025,7.783818,7.513957,7.621901,1300600
"2001-03-14",7.832044,7.864427,7.303114,7.380835,1340900
"2001-03-15",7.431032,7.534659,7.174124,7.424556,902300
"2001-03-16",7.366812,7.565429,7.261025,7.46828,1518800
"2001-03-19",7.419423,7.777799,7.419423,7.527367,1093600
"2001-03-20",7.501069,7.902625,7.457892,7.585266,828600
"2001-03-21",7.695649,7.708603,7.337272,7.43874,714200
"2001-03-22",7.566661,7.566661,7.113293,7.257939,1853200
"2001-03-23",7.22387,7.709621,7.210916,7.450554,1531800
"2001-03-26",7.424393,7.68346,7.424393,7.54745,995800
"2001-03-27",7.389149,8.064883,7.363243,7.73889,2613300
"2001-03-28",7.840515,7.842673,7.492933,7.61599,1716100
"2001-03-29",7.54461,7.911622,7.307132,7.689257,3137200
"2001-03-30",7.595674,8.001546,7.587039,7.867694,2137200
"2001-04-02",7.780948,8.104782,7.780948,8.037856,3016300
"2001-04-03",7.992223,8.09585,7.871325,8.009494,2844900
"2001-04-04",7.789623,8.484787,7.789623,8.275374,2690200
"2001-04-05",8.387296,8.549214,8.26208,8.45854,3181200
"2001-04-06",8.428243,8.527552,8.091455,8.495168,2886600
"2001-04-09",8.283414,8.779958,8.240236,8.779958,3528100
"2001-04-10",8.807947,9.002248,8.624441,8.928846,3381300
"2001-04-11",8.850948,8.915715,8.645853,8.876855,2982000
"2001-04-12",8.757887,9.060133,8.757887,8.924122,2375200
"2001-04-16",8.584054,9.335349,8.579736,9.335349,3594800
"2001-04-17",9.305055,9.413,9.067577,9.371982,3786100
"2001-04-18",9.393007,9.54413,9.054062,9.265633,3015800
"2001-04-19",9.283972,9.318515,9.014111,9.178187,1810100
"2001-04-20",9.221322,9.573222,9.078835,9.165191,1492400
"2001-04-23",9.075466,9.334534,9.073307,9.325897,1517400
"2001-04-24",9.151181,9.682269,9.151181,9.539783,1974600
"2001-04-25",9.410749,9.58346,9.302803,9.570507,2314600
