"","NEE.Open","NEE.High","NEE.Low","NEE.Close","NEE.Volume","NEE.Adjusted"
"2001-01-02",35.4375,35.5,34.25,35.125,1553000,15.606857
"2001-01-03",35.21875,35.8125,33.5,33.5625,1826000,14.912597
"2001-01-04",33.625,33.6875,30.875,31.5625,3311400,14.023953
"2001-01-05",31.6875,32.28125,31.40625,31.6875,1883200,14.079497
"2001-01-08",31.9375,32.1875,31.4375,31.84375,1426800,14.148917
"2001-01-09",31.84375,31.96875,31.4375,31.59375,1041600,14.037846
"2001-01-10",31.53125,31.90625,31.125,31.1875,2572000,13.857331
"2001-01-11",31.4375,31.46875,28.5,28.71875,2267200,12.760406
"2001-01-12",28.9375,29.5625,28.09375,29.1875,3890800,12.968683
"2001-01-16",28.5625,29.21875,27.40625,29,3189000,12.885374
"2001-01-17",29.0625,29.8125,28.84375,29.8125,1928600,13.246385
"2001-01-18",29.6875,30.3125,29.5,29.96875,1343400,13.315813
"2001-01-19",29.96875,30.1875,29.125,29.46875,1998000,13.093651
"2001-01-22",29.96875,30.78125,29.8125,30.40625,1631000,13.510202
"2001-01-23",30.40625,31.5625,29.96875,30.0625,2546000,13.357461
"2001-01-24",30.375,30.5,30.09375,30.1875,1793000,13.413008
"2001-01-25",30.3125,30.6875,30.0625,30.34375,1432200,13.482434
"2001-01-26",30.34375,30.53125,29.3125,30,1772600,13.329695
"2001-01-29",30.004999,30.74,29.950001,29.950001,1798800,13.307478
"2001-01-30",30.075001,30.15,29.575001,29.875,1720800,13.274153
"2001-01-31",29.549999,29.549999,28.85,29,3139200,12.885374
"2001-02-01",29.075001,29.125,28.1,28.695,3131400,12.749853
"2001-02-02",29.075001,29.370001,29.045,29.16,1343600,12.956465
"2001-02-05",29.285,29.799999,29.145,29.25,1371200,12.996452
"2001-02-06",29.254999,29.950001,29.254999,29.74,1466400,13.214179
"2001-02-07",29.75,30.4,29.75,29.969999,1955600,13.316367
"2001-02-08",29.969999,30.58,29.969999,30.5,1273800,13.551862
"2001-02-09",30.4,31.225,30.200001,31.1,1073600,13.818451
"2001-02-12",31.225,31.700001,30.424999,30.860001,1839800,13.71182
"2001-02-13",30.860001,31.25,30.455,30.9,748000,13.729595
"2001-02-14",31.025,31.225,30.59,30.9,2065000,13.729595
"2001-02-15",30.9,31,30.605,30.9,1466400,13.729595
