"","NLSN.Open","NLSN.High","NLSN.Low","NLSN.Close","NLSN.Volume","NLSN.Adjusted"
"2011-01-27",24.9,25.85,24.9,25.4,5809300,20.20323
"2011-01-28",25.4,25.4,25,25,2611900,19.885071
"2011-01-31",24.98,26.5,24.75,26.07,2505300,20.736151
"2011-02-01",26.450001,26.629999,25.5,25.75,2155300,20.481619
"2011-02-02",25.98,26.33,25.74,25.950001,1173100,20.640697
"2011-02-03",25.76,26.08,25.75,25.950001,668300,20.640697
"2011-02-04",26.049999,27.1,25.75,26.08,720200,20.744104
"2011-02-07",26.049999,26.200001,25.639999,25.790001,1204800,20.513439
"2011-02-08",25.700001,26.059999,25.65,26.030001,3632000,20.704334
"2011-02-09",25.969999,26.200001,25.530001,25.58,873200,20.346403
"2011-02-10",25.5,25.639999,25,25.4,1149600,20.20323
"2011-02-11",26.02,26.02,25.110001,25.219999,2107900,20.060055
"2011-02-14",25.469999,25.469999,25.110001,25.370001,1122500,20.179369
"2011-02-15",25.32,25.42,25.059999,25.379999,887500,20.187325
"2011-02-16",25.309999,26,25.309999,26,853400,20.680475
"2011-02-17",25.879999,27.209999,25.879999,27.01,1733100,21.483831
"2011-02-18",27.08,27.84,26.9,27.690001,1360800,22.0247
"2011-02-22",27.15,27.49,26.209999,26.42,1109400,21.014545
"2011-02-23",26.15,26.719999,25.969999,26.66,1125400,21.205441
"2011-02-24",26.459999,26.52,25.940001,25.950001,496900,20.640697
"2011-02-25",26.040001,26.16,25.780001,25.99,556100,20.672522
"2011-02-28",26.110001,26.74,25.959999,26.59,872400,21.149757
"2011-03-01",26,27.5,25.92,27.129999,1033500,21.579277
"2011-03-02",27.049999,27.25,26.74,26.92,419700,21.412243
"2011-03-03",26.84,26.940001,26.07,26.74,2173600,21.269075
"2011-03-04",26.52,27.040001,26.32,26.549999,719100,21.117943
"2011-03-07",27.27,27.84,26.85,27,1476600,21.475876
"2011-03-08",27,27.49,26.9,27.1,921300,21.555414
"2011-03-09",27,27.18,26.68,26.969999,470800,21.452011
"2011-03-10",26.469999,26.940001,25.870001,26.02,1128300,20.696381
"2011-03-11",25.809999,26.48,25.809999,26,706900,20.680475
"2011-03-14",25.790001,26.76,25.77,26.459999,786600,21.046354
"2011-03-15",25.9,26.58,25.809999,26.34,859600,20.950907
"2011-03-16",26.32,26.379999,25.709999,26.030001,1261100,20.704334
"2011-03-17",26.43,26.49,26.040001,26.09,363600,20.752058
"2011-03-18",26.200001,26.66,26.200001,26.639999,663900,21.189529
"2011-03-21",26.65,27.059999,26.440001,27,377600,21.475876
"2011-03-22",26.91,27.469999,26.82,27.15,720600,21.595182
"2011-03-23",27.01,27.379999,26.629999,26.780001,812000,21.300886
"2011-03-24",26.85,27.139999,26.43,27.059999,225200,21.523596
"2011-03-25",27.209999,28.15,27.209999,27.620001,475200,21.969025
"2011-03-28",27.58,28.02,27.34,27.49,605300,21.865622
"2011-03-29",27.52,27.940001,27.309999,27.940001,410800,22.223547
"2011-03-30",28.01,28.15,27.620001,27.82,912000,22.128105
"2011-03-31",27.84,27.950001,27.15,27.309999,5847400,21.722448
"2011-04-01",27.4,27.66,27.01,27.290001,609800,21.706541
"2011-04-04",27.280001,28,27.280001,27.75,945500,22.07243
"2011-04-05",27.639999,27.639999,27.17,27.41,273400,21.801992
"2011-04-06",27.49,27.530001,27.059999,27.5,653900,21.873577
"2011-04-07",27.389999,27.610001,26.940001,27.48,242400,21.857668
"2011-04-08",27.77,27.77,26.91,27.030001,446100,21.499735
"2011-04-11",27,27.969999,26.879999,27.65,483700,21.992887
"2011-04-12",27.48,28.26,27.32,28.08,1260300,22.334909
"2011-04-13",28.18,28.42,27.93,28.07,1031600,22.326954
"2011-04-14",27.969999,28.049999,27.48,27.66,161600,22.000843
"2011-04-15",27.629999,28.030001,27.540001,28.02,246800,22.287184
"2011-04-18",27.700001,27.879999,27.219999,27.299999,311500,21.714495
"2011-04-19",27.299999,28.190001,27.27,27.6,371200,21.953114
