"","NTAP.Open","NTAP.High","NTAP.Low","NTAP.Close","NTAP.Volume","NTAP.Adjusted"
"2001-01-02",57.6875,58.25,48.5,51.4375,15112500,45.288517
"2001-01-03",48.8125,67.75,47.0625,64,21823900,56.349266
"2001-01-04",60.765625,67.234375,60.5,66.375,13012700,58.440353
"2001-01-05",64.8125,66,54.3125,54.625,10555200,48.094978
"2001-01-08",53.0625,55.9375,48.1875,55.9375,11679300,49.250576
"2001-01-09",55.9375,57.75,50,51.25,14525800,45.123432
"2001-01-10",49.375,57.25,47.75,56.4375,16038700,49.690815
"2001-01-11",55,63.8125,54.5625,60.4375,13217600,53.212639
"2001-01-12",59.5,61.125,56.125,58.125,11300700,51.176579
"2001-01-16",58.1875,60.1875,56.125,58.125,6690500,51.176579
"2001-01-17",63.625,66.25,62.125,63.125,11605300,55.578869
"2001-01-18",64.421875,68.75,60.75,67.3125,11021100,59.265789
"2001-01-19",70.875,70.9375,67,67.3125,9339600,59.265789
"2001-01-22",65.8125,68.375,64.125,66.875,7278800,58.880585
"2001-01-23",67.4375,74.984375,66.625,73.5625,12258100,64.768646
"2001-01-24",66,66.5,58.625,61.375,26326600,54.038063
"2001-01-25",60.5,60.875,55.0625,56.5,12061300,49.745834
"2001-01-26",55.625,59.5625,55.484375,56.5,11007700,49.745834
"2001-01-29",55.9375,60.25,55.625,59.9375,7452200,52.772411
"2001-01-30",60,60.875,56.625,58.125,7046100,51.176579
"2001-01-31",58.75,59.75,53,53.625,9793200,47.214527
"2001-02-01",47.5,47.9375,43.3125,46.5625,33060600,40.996296
"2001-02-02",47.25,48.25,46,46.75,13539800,41.161385
"2001-02-05",45.5625,47.5,41.375,43.3125,10308800,38.134808
"2001-02-06",43.3125,46.5,43.3125,44.875,9050700,39.510525
"2001-02-07",43.375,43.625,37,38.625,20183800,34.007671
"2001-02-08",39,40.3125,34.5,35.1875,24927200,30.981092
"2001-02-09",37.96875,39.390625,35.25,38,37762900,33.457382
"2001-02-12",37.125,39.75,33.5,39.125,16287200,34.447887
"2001-02-13",39.875,43.0625,38.5,39.6875,12252100,34.94315
"2001-02-14",40,42.875,37.9375,42.125,10170500,37.089268
"2001-02-15",43.875,48,43.75,45,14693200,39.620579
"2001-02-16",42,42.375,39.25,40.375,11901600,35.548458
"2001-02-20",40.6875,41.75,33.5,33.625,13011100,29.605366
"2001-02-21",32.5,37.375,32.5,34.3125,15331600,30.210684
"2001-02-22",32.125,35.25,29.0625,33.8125,18985400,29.770464
"2001-02-23",34.25,35.75,30.75,33.9375,22580900,29.880514
"2001-02-26",34.125,35.375,31.5,33,12534700,29.05509
"2001-02-27",32.375,33.75,32,32,9353200,28.174633
"2001-02-28",31.8125,33.5,28,29.75,13219500,26.193607
"2001-03-01",28.6875,32.5,28.1875,30.875,11905000,27.184122
"2001-03-02",28.9375,30.1875,27.25,27.25,11746700,23.992462
"2001-03-05",27.5,28.6875,26.625,28.5,7286900,25.093035
"2001-03-06",29.984375,30.5,28.875,29.3125,10190000,25.808407
"2001-03-07",29.875,30.25,27.8125,28.125,5130200,24.762865
"2001-03-08",27.265625,27.875,24.625,25,9552100,22.011433
"2001-03-09",23.5,24,21,21.125,13368700,18.599655
"2001-03-12",20.0625,21.25,19.515625,20.1875,15341600,17.774229
"2001-03-13",20.3125,23,20.0625,22.8125,11339700,20.085436
"2001-03-14",21,22.9375,20.5,21.1875,14000300,18.654688
"2001-03-15",22.8125,23.3125,18.3125,18.75,15417400,16.508577
"2001-03-16",18.0625,19.625,17.625,18.9375,10634200,16.673666
"2001-03-19",19.25,20.75,18.5,20.4375,7520700,17.994347
"2001-03-20",20.375,22.4375,18.125,18.625,14609500,16.39852
"2001-03-21",18.8125,20.25,18.625,19.25,6612000,16.948807
"2001-03-22",20,22.5,19.375,22.484375,11567800,19.79653
"2001-03-23",23.5,23.875,20.25,21.125,13409800,18.599655
"2001-03-26",21.625,21.75,19,19.875,7120800,17.49909
"2001-03-27",19.6875,21.6875,19.5625,20.8125,6579600,18.32452
"2001-03-28",20.375,20.4375,18.0625,18.5625,6674200,16.343494
"2001-03-29",17.6875,18,15.5625,16.3125,11857800,14.36246
"2001-03-30",16.375,17.125,15.9375,16.8125,10150000,14.802683
"2001-04-02",16.3125,16.5,14.5625,15.25,13538500,13.426976
"2001-04-03",14.1875,14.625,12.4375,12.5625,14221800,11.060747
"2001-04-04",12.6875,12.9375,11.4375,11.8125,15037300,10.4004
"2001-04-05",13.25,13.75,12.5625,13.5,14085300,11.886174
"2001-04-06",13.0625,13.6875,12.5,13.4375,19003200,11.831146
"2001-04-09",14.1,14.11,12.4,13.35,14449100,11.754107
"2001-04-10",13.89,15.83,13.6,15.68,18395200,13.805573
"2001-04-11",17.6,17.809999,15.98,16.559999,12539400,14.580376
"2001-04-12",13.31,16.85,13.25,16.68,20995000,14.68603
"2001-04-16",16.299999,17.379999,15.02,15.28,9478700,13.453388
"2001-04-17",15.06,16.299999,15.01,15.87,9406700,13.97286
"2001-04-18",16.98,20.24,16.620001,19.440001,16799500,17.116093
"2001-04-19",20.82,23.450001,19.49,22.299999,13727300,19.634195
"2001-04-20",21.65,24.66,21.129999,23.549999,16818300,20.73477
"2001-04-23",22.75,23.5,21.290001,21.950001,9409600,19.326036
"2001-04-24",21.690001,22.68,19.780001,19.93,10647500,17.547512
"2001-04-25",19.790001,21.700001,19.610001,21.5,9076000,18.929832
"2001-04-26",22.309999,22.459999,20.120001,20.16,6042500,17.750021
"2001-04-27",21,22.08,20.35,21.860001,5667400,19.246794
"2001-04-30",22.959999,24.040001,21.98,22.75,7462300,20.030411
"2001-05-01",22.68,24.610001,21.15,24.549999,11051300,21.615229
"2001-05-02",26.200001,29.5,25.98,28.209999,23253800,24.837702
"2001-05-03",26.709999,27.450001,24.549999,25.860001,17716500,22.768625
"2001-05-04",24.15,26.5,23.709999,25.17,13299800,22.16111
"2001-05-07",26.440001,27.25,25.73,26.280001,10571400,23.138418
"2001-05-08",27.5,27.59,25.35,26.9,6795000,23.684301
"2001-05-09",25.9,27.450001,25.15,25.49,9210300,22.442856
"2001-05-10",26.959999,27,24,24.01,9499800,21.13978
"2001-05-11",23.92,25.25,23.51,24.25,5481600,21.351093
"2001-05-14",24,24.049999,21.75,22.33,7320200,19.660612
"2001-05-15",22.24,24.440001,21.65,22.530001,11148800,19.836702
"2001-05-16",22.1,24.799999,20.84,24.68,15150700,21.729689
"2001-05-17",24.719999,25.25,22.75,23.1,11210000,20.338562
"2001-05-18",22.799999,23.99,22.34,22.940001,6635900,20.197691
"2001-05-21",22.860001,26.700001,22.43,26.65,14064900,23.464184
"2001-05-22",26.889999,28.75,26.85,28.18,17584400,24.811289
"2001-05-23",27.450001,27.57,25.879999,25.93,7151500,22.830254
"2001-05-24",26.120001,27.5,25.98,27.09,7569300,23.851591
"2001-05-25",27.1,27.120001,25.610001,25.719999,4332400,22.645365
"2001-05-29",25.48,25.549999,21.5,22.540001,13604200,19.845507
"2001-05-30",21.1,21.200001,18.299999,19.01,14248200,16.737497
"2001-05-31",18.719999,20.200001,18.530001,18.6,13106000,16.376507
"2001-06-01",19.15,19.549999,18.299999,18.83,8586400,16.579012
"2001-06-04",19.23,19.65,17.799999,17.84,6908600,15.70736
"2001-06-05",18.200001,19.25,18.190001,18.82,9125800,16.57021
"2001-06-06",19.02,20.030001,18.57,18.92,7346500,16.658255
"2001-06-07",18.92,20.299999,18.6,20.23,10955700,17.811651
"2001-06-08",20.15,20.23,18.549999,18.709999,5714800,16.473352
"2001-06-11",18.84,19,16.950001,17.84,7635100,15.70736
"2001-06-12",17.01,18.379999,16.799999,17.75,6473200,15.628117
"2001-06-13",18.049999,18.610001,16.5,16.73,7706700,14.730048
"2001-06-14",16.530001,16.549999,15,15.07,8979700,13.268491
"2001-06-15",15,16.059999,14.12,14.74,12087400,12.977939
"2001-06-18",14.94,15.33,13.1,13.53,6505400,11.912586
"2001-06-19",14.82,14.89,12.64,13.29,10366900,11.70128
"2001-06-20",12.75,13.27,11.85,12,11630500,10.565486
"2001-06-21",12.06,12.4,10.65,11.08,16647000,9.755468
"2001-06-22",11.32,12.5,11,11.33,9802700,9.975581
"2001-06-25",11.76,11.9,11.16,11.68,5680100,10.283744
"2001-06-26",11.27,12.57,11.2,12.38,7013300,10.900062
"2001-06-27",12.71,13.5,12.5,12.64,10240200,11.128982
"2001-06-28",13.14,14,12.86,13.15,8819300,11.578014
"2001-06-29",13.88,14.35,12.5,13.7,7926900,12.062265
"2001-07-02",13.61,14.22,13.2,13.34,5557800,11.745299
"2001-07-03",13.12,13.32,12.7,13.16,3665000,11.58682
"2001-07-05",12.85,13.27,12.64,12.67,4641900,11.155395
"2001-07-06",11.78,11.82,11.03,11.78,9267800,10.371787
"2001-07-09",11.85,12.4,11.44,11.63,7433000,10.239718
"2001-07-10",11.92,12.1,10.25,10.36,7810200,9.121536
"2001-07-11",10.29,11.11,10.28,10.94,10555800,9.632204
"2001-07-12",11.95,12,10.9,11.5,12732900,10.125259
