"","NTRS.Open","NTRS.High","NTRS.Low","NTRS.Close","NTRS.Volume","NTRS.Adjusted"
"2001-01-02",80.875,81,79.0625,80.0625,958300,55.75264
"2001-01-03",80,81.375,73.625,81.296875,2730300,56.612183
"2001-01-04",81.125,82.25,79.125,79.25,2290000,55.186825
"2001-01-05",79,79.0625,75.0625,76.25,1810300,53.097748
"2001-01-08",76.25,76.25,73.8125,74.4375,909800,51.835567
"2001-01-09",74.78125,75.125,70.8125,71.5625,1579900,49.833511
"2001-01-10",71.125,74,70.375,73.625,1428900,51.269783
"2001-01-11",73.5625,75.75,71.8125,72.25,693800,50.312252
"2001-01-12",72.3125,73.078125,69.4375,69.515625,1342200,48.408157
"2001-01-16",70.4375,72.5,69.5625,70.375,2187200,49.006599
"2001-01-17",70.875,73.3125,70.0625,70.125,1639000,48.832516
"2001-01-18",70.625,70.75,65.875,66.0625,2191400,46.00354
"2001-01-19",67.125,67.5,64.3125,64.5625,3338200,44.958973
"2001-01-22",66.34375,70,66,69.1875,2561300,48.179657
"2001-01-23",70.5,74.125,69.875,73.75,1799000,51.356812
"2001-01-24",74.0625,74.1875,73,74,1561600,51.530899
"2001-01-25",73.5625,74.6875,72.9375,73.875,1733900,51.443863
"2001-01-26",74.25,75.5625,73.8125,75.3125,1381100,52.444893
"2001-01-29",75.375,77.25,74.625,75.1875,869400,52.357841
"2001-01-30",74.9375,78.0625,74.8125,78.0625,1325900,54.359901
"2001-01-31",78,78.0625,75.6875,77,1865500,53.620022
"2001-02-01",76.0625,76.75,74.9375,75.4375,1419600,52.531952
"2001-02-02",75.625,76.375,75.25,76.0625,710800,52.967186
"2001-02-05",76.125,77.875,76.125,77.8125,643400,54.185814
"2001-02-06",77.75,77.75,75.5625,76.25,697300,53.097748
"2001-02-07",76.4375,77,75.1875,75.5,639600,52.575443
"2001-02-08",75.6875,77,75.5,76.375,539300,53.184772
"2001-02-09",76.375,76.875,75.875,76,536700,52.923634
"2001-02-12",76,77.6875,75.875,76,776100,52.923634
"2001-02-13",76.0625,76.5625,75,76,911800,52.923634
"2001-02-14",75.71875,76.75,75.6875,75.875,1260100,52.836609
"2001-02-15",76.125,76.1875,74.875,76.1875,815400,53.05418
"2001-02-16",74.75,77.375,74.75,76.5625,740200,53.31535
"2001-02-20",76.5,76.5625,72.3125,73.984375,1584700,51.520027
"2001-02-21",73.9375,74.6875,72.875,73.875,1553200,51.443863
"2001-02-22",74,74.625,69.25,71.375,1286700,49.70295
"2001-02-23",71.125,71.9375,69.1875,71.75,1090700,49.964088
"2001-02-26",72.125,72.5,69.625,72.3125,1107200,50.355812
"2001-02-27",72.3125,73.75,71.5,72.625,1090900,50.573406
"2001-02-28",72.8125,73.625,70.1875,71.125,1097000,49.528866
"2001-03-01",70.8125,71.1875,69.875,70.6875,1212400,49.224213
"2001-03-02",70.3125,72.8125,69.8125,71.5,1050600,49.790012
"2001-03-05",71.375,71.75,68.5,69,1211200,48.049095
"2001-03-06",69.5,70.0625,68.5625,69,1039600,48.049095
"2001-03-07",69.5,69.5625,67.9375,68.5625,999400,47.851929
"2001-03-08",68.75,69.125,67.125,68,1036500,47.459354
"2001-03-09",67.25,67.625,66.4375,66.6875,833800,46.543304
"2001-03-12",66,66,62.5,62.6875,1348100,43.751587
"2001-03-13",62.875,63.8125,61.625,63.3125,1739300,44.18779
"2001-03-14",60.25,62.25,59.4375,60.1875,2367400,42.006752
"2001-03-15",61.0625,62.625,60.4375,61.875,1415800,43.184517
"2001-03-16",60.875,62.25,58.8125,59.4375,1448000,41.483299
"2001-03-19",59.75,60.1875,56.75,57.25,1736900,39.95657
"2001-03-20",58.125,58.3125,56.5,56.8125,1930900,39.65123
"2001-03-21",56.5625,57.125,53.8125,54.4375,2523300,37.993649
"2001-03-22",54.375,55.75,51.9375,54.625,2391700,38.124516
"2001-03-23",55.5625,60.375,55.5,59.375,3616200,41.43969
"2001-03-26",60.4375,61.625,60,60.8125,1185100,42.442955
"2001-03-27",61,64.0625,59.625,64,2017100,44.667614
"2001-03-28",63.5625,63.75,61.25,62.625,1249300,43.707958
"2001-03-29",62.25,62.75,60.8125,61.25,1011300,42.748302
"2001-03-30",61.6875,62.75,61.1875,62.5,916900,43.62072
"2001-04-02",62,64.4375,60.6875,61.625,1140200,43.010048
"2001-04-03",61.4375,61.5,59.0625,59.5625,1180300,41.570549
"2001-04-04",59.625,59.8125,57.125,58.0625,1523800,40.523651
"2001-04-05",60.1875,62,59.125,61.9375,1171000,43.228138
"2001-04-06",61.0625,61.5,57.5625,58.625,1383400,40.916233
"2001-04-09",58.939999,59.970001,58.25,59.02,530600,41.191906
"2001-04-10",59.23,61.279999,59.220001,60.98,1427800,42.559856
"2001-04-11",61.32,63.759998,61.310001,62.34,1607600,43.509045
"2001-04-12",62.16,64.169998,61.84,62.93,801000,43.920837
"2001-04-16",62.130001,63.099998,60.470001,60.73,1080400,42.385384
"2001-04-17",60.610001,61.950001,59.880001,61.799999,1000500,43.132164
"2001-04-18",62.189999,67.82,62,65.540001,2451800,45.742443
"2001-04-19",65.709999,66.300003,64.199997,65.82,1309600,45.937847
"2001-04-20",65.010002,65.5,64,65.150002,1068300,45.470245
"2001-04-23",64.940002,64.940002,63.209999,63.34,713300,44.206966
"2001-04-24",63.790001,64.57,62.810001,64.110001,949400,44.744385
"2001-04-25",64.110001,65.07,62.889999,64.760002,478800,45.198048
"2001-04-26",64.790001,65.480003,63.509998,63.52,897500,44.332603
"2001-04-27",63.990002,65.400002,63.889999,65.349998,917800,45.609829
"2001-04-30",65.330002,66.199997,64.699997,65.029999,979300,45.386475
"2001-05-01",64.779999,65.150002,63.799999,65.089996,590000,45.428356
"2001-05-02",65.209999,66.919998,64.360001,66.389999,904800,46.335686
"2001-05-03",65.709999,66.010002,64.699997,65.669998,697000,45.833153
"2001-05-04",65.25,66.690002,64.760002,66.400002,500300,46.342655
