"","PBI.Open","PBI.High","PBI.Low","PBI.Close","PBI.Volume","PBI.Adjusted"
"2001-01-02",33.1875,33.6875,32.3125,32.625,626700,13.029531
"2001-01-03",32.875,34.8125,32.4375,34.625,831000,13.828276
"2001-01-04",34.125,35,34.125,34.6875,767900,13.853239
"2001-01-05",34.625,34.6875,32.8125,33.4375,853200,13.354029
"2001-01-08",33.75,33.875,33,33.75,514200,13.478829
"2001-01-09",34.125,34.25,33.25,33.5,603500,13.378986
"2001-01-10",33.5,34,33.375,33.5,824300,13.378986
"2001-01-11",33.0625,33.1875,32.5625,32.5625,804300,13.004576
"2001-01-12",32.8125,32.8125,32,32.625,804800,13.029531
"2001-01-16",32.875,33.0625,32.5,32.9375,706800,13.154342
"2001-01-17",33.1875,34,33.125,33.9375,956100,13.553714
"2001-01-18",34,34.25,33.25,33.875,744100,13.528754
"2001-01-19",33.4375,34.25,33.4375,34.0625,623400,13.603635
"2001-01-22",34.0625,34.875,34.0625,34.5625,936900,13.803325
"2001-01-23",34.5625,36.125,34.5625,36.0625,824500,14.402379
"2001-01-24",36.0625,36.0625,35.25,35.625,353400,14.227659
"2001-01-25",35.375,35.4375,34.75,35,592500,13.978049
"2001-01-26",35.25,35.25,34.3125,34.9375,776300,13.95308
"2001-01-29",35.299999,35.349998,35.009998,35.220001,1088500,14.065911
"2001-01-30",34.5,34.599998,33.200001,34,1158400,13.578672
"2001-01-31",33.75,35.200001,33.599998,34.970001,661600,13.966063
"2001-02-01",34.970001,34.970001,33.939999,34.509998,999900,13.782354
"2001-02-02",34.259998,35.040001,34.200001,34.610001,654800,13.822289
"2001-02-05",34.5,35.119999,34.200001,34.91,570400,13.942098
"2001-02-06",34.5,35.150002,34.299999,34.939999,443600,13.954083
"2001-02-07",35.150002,35.5,34.75,34.98,777000,13.970058
"2001-02-08",35,35,34.700001,34.900002,470800,13.938107
"2001-02-09",34.5,35.02,34,34.860001,432200,13.922135
"2001-02-12",34.610001,35.299999,34.599998,34.900002,844700,13.938107
"2001-02-13",34.900002,36,34.84,35.959999,701100,14.361443
"2001-02-14",35.75,36.459999,35.049999,36.029999,745600,14.389397
"2001-02-15",36.130001,38.400002,36.049999,37.240002,976400,14.872641
"2001-02-16",37.400002,37.450001,36.5,36.98,672000,14.768806
"2001-02-20",36.73,36.98,36.130001,36.189999,355600,14.4533
"2001-02-21",36.189999,36.189999,34.599998,34.75,1060800,13.878206
"2001-02-22",34.470001,34.540001,33.57,33.950001,1086700,13.672804
"2001-02-23",33.950001,34.849998,33.799999,34.549999,662400,13.914449
"2001-02-26",35.5,35.720001,34.700001,35.27,942000,14.204418
"2001-02-27",35.25,35.389999,34.25,34.330002,449100,13.82584
"2001-02-28",34.330002,34.75,33.950001,34.049999,433800,13.713082
"2001-03-01",34.060001,34.650002,34.009998,34.630001,462600,13.946671
"2001-03-02",34.700001,35.799999,34.200001,35.119999,632500,14.144004
"2001-03-05",35.200001,35.52,35,35.23,520600,14.188305
"2001-03-06",35.5,36.18,35.16,35.240002,733000,14.192335
"2001-03-07",35.299999,36.099998,35.080002,36,544200,14.498415
"2001-03-08",36.099998,36.5,35.549999,36.389999,397400,14.655485
"2001-03-09",36.139999,36.32,35.450001,35.459999,531200,14.280934
"2001-03-12",35.5,36.98,35.049999,36.209999,764000,14.582985
"2001-03-13",36.75,36.75,35.5,36,635300,14.498415
"2001-03-14",35.299999,35.75,34.150002,35.290001,604500,14.212473
"2001-03-15",35.700001,36,35.240002,35.400002,398900,14.256768
"2001-03-16",35,35.599998,34.240002,34.240002,980200,13.7896
"2001-03-19",34.299999,36.240002,34.240002,36.07,449700,14.526606
"2001-03-20",35.700001,35.790001,34.450001,34.450001,387500,13.874174
"2001-03-21",34.200001,34.950001,34,34.009998,562600,13.696977
"2001-03-22",33.799999,34.91,33.799999,34.91,932100,14.059437
"2001-03-23",34.400002,35.119999,34,35.099998,686600,14.135953
"2001-03-26",35,35.080002,34.049999,34.299999,571600,13.813769
"2001-03-27",34.049999,34.5,34,34.450001,647400,13.874174
"2001-03-28",34.349998,34.400002,32.41,32.950001,1152300,13.270073
"2001-03-29",32.900002,34,32.599998,33.950001,676900,13.672804
"2001-03-30",33.77,35,33.650002,34.75,762000,13.994997
"2001-04-02",34.799999,35,33.07,33.540001,681900,13.507683
"2001-04-03",33.139999,33.450001,32.830002,33.060001,477800,13.314383
"2001-04-04",33,33.950001,32.73,33.450001,534900,13.471446
"2001-04-05",33.799999,35.200001,33.599998,34.709999,511800,13.978886
"2001-04-06",34.5,34.5,32.799999,33.439999,614300,13.46742
"2001-04-09",33.650002,34.09,33.220001,33.810001,358800,13.616426
"2001-04-10",33.810001,35.400002,33.810001,34.779999,586400,14.007083
"2001-04-11",35.099998,35.400002,33.700001,33.900002,511100,13.652673
"2001-04-12",33.900002,34.919998,33.799999,34.75,390600,13.994997
"2001-04-16",34.5,34.740002,33.900002,34.73,356400,13.986943
"2001-04-17",34.200001,35.139999,34.049999,35.139999,519300,14.15206
"2001-04-18",36.25,37.540001,35.619999,37.450001,805700,15.082371
"2001-04-19",37.459999,39.16,37.200001,39.150002,794400,15.767028
"2001-04-20",39,39,37.049999,38.41,797800,15.469004
"2001-04-23",38.41,38.459999,37.360001,37.959999,300200,15.287764
"2001-04-24",38.099998,38.18,37.5,37.889999,480000,15.259578
"2001-04-25",38,38.360001,37.709999,38.189999,536800,15.380397
"2001-04-26",38.200001,38.75,38,38.040001,698800,15.319992
"2001-04-27",38.099998,38.75,37.950001,38.400002,529000,15.464972
"2001-04-30",38.599998,39.470001,37.849998,38.07,516500,15.332069
"2001-05-01",38.299999,39.959999,38.150002,39,327000,15.706612
"2001-05-02",38.75,39.689999,38.75,39.23,342200,15.799246
"2001-05-03",38.599998,38.77,38,38.209999,341900,15.388452
"2001-05-04",38.220001,39.650002,38.110001,39.619999,548700,15.956306
"2001-05-07",39.450001,39.619999,38.400002,38.439999,462100,15.481079
"2001-05-08",38.599998,39.84,38.599998,39.400002,437000,15.86771
"2001-05-09",39.200001,41,38.939999,40.669998,902000,16.379179
"2001-05-10",40.650002,40.75,39.98,40.389999,515800,16.266415
"2001-05-11",40.139999,40.43,39.549999,39.66,666400,15.972423
"2001-05-14",39.75,39.950001,39.029999,39.84,299400,16.044914
"2001-05-15",39.639999,40.139999,39.400002,39.799999,331300,16.028803
"2001-05-16",39.75,41.700001,39.650002,41.41,454700,16.677204
"2001-05-17",41.200001,41.740002,40.470001,40.5,521500,16.310709
"2001-05-18",40.5,40.5,39.869999,40,612600,16.109348
"2001-05-21",40,40.189999,39.849998,39.98,485200,16.101297
"2001-05-22",40,40.349998,39.75,40.099998,522700,16.149616
"2001-05-23",40,40,38.970001,39.73,925600,16.117165
"2001-05-24",39.950001,40.099998,39.099998,40.040001,513700,16.242924
"2001-05-25",40,40,39.07,39.07,404000,15.849427
