"","PEG.Open","PEG.High","PEG.Low","PEG.Close","PEG.Volume","PEG.Adjusted"
"2001-01-02",24.25,24.25,23.3125,23.34375,1143600,7.912261
"2001-01-03",23.34375,23.75,21.46875,21.5625,2640200,7.308517
"2001-01-04",21.5625,21.5625,19.78125,19.84375,2356800,6.725953
"2001-01-05",19.96875,20.8125,19.9375,20.21875,2542800,6.853055
"2001-01-08",20.25,20.875,20.25,20.75,1508600,7.03312
"2001-01-09",20.6875,20.90625,20.375,20.90625,1759800,7.086081
"2001-01-10",20.78125,21.15625,20.46875,20.75,1705600,7.03312
"2001-01-11",20.84375,20.84375,19.03125,19.09375,3523800,6.471743
"2001-01-12",19.15625,19.6875,18.8125,19.5625,2491800,6.630625
"2001-01-16",19.5,19.6875,18.4375,19.53125,2862200,6.620035
"2001-01-17",19.4375,19.6875,19.21875,19.5,2489800,6.609441
"2001-01-18",19.46875,19.875,19.4375,19.8125,1340600,6.715361
"2001-01-19",19.6875,20.03125,19.3125,20,2095600,6.778911
"2001-01-22",20.03125,20.4375,19.84375,20.34375,1408400,6.895426
"2001-01-23",20.375,21.0625,20.375,20.5,1324200,6.948388
"2001-01-24",20.625,21.1875,20.625,20.96875,1150600,7.107266
"2001-01-25",21.1875,21.46875,20.90625,21.15625,1090600,7.170816
"2001-01-26",21.28125,21.46875,20.5,21.15625,1442200,7.170816
"2001-01-29",21.16,21.645,21.15,21.32,844800,7.226322
"2001-01-30",21.25,21.275,20.905001,20.969999,785400,7.107688
"2001-01-31",20.879999,20.879999,20.1,20.455,1758000,6.933131
"2001-02-01",20.5,20.6,20.174999,20.51,1283800,6.951777
"2001-02-02",20.5,20.690001,20.24,20.4,1492600,6.91449
"2001-02-05",20.424999,20.799999,20.424999,20.52,1377400,6.955164
"2001-02-06",20.52,20.9,20.360001,20.629999,750200,6.992449
"2001-02-07",20.754999,21.190001,20.754999,20.889999,860400,7.080573
"2001-02-08",20.924999,21.58,20.924999,21.549999,921800,7.304276
"2001-02-09",21.525,22.135,21.51,22.025,1225400,7.465278
"2001-02-12",22,22.32,21.525,21.885,1036800,7.417821
"2001-02-13",21.809999,22.190001,21.5,21.85,904200,7.405961
"2001-02-14",21.799999,22,21.584999,21.764999,1023600,7.377154
"2001-02-15",21.665001,21.725,21.375,21.594999,671400,7.319532
