"","Open","High","Low","Close","Volume"
"2001-01-02",5.500084,5.500084,5.052168,5.187584,6639600
"2001-01-03",5.130969,5.276803,4.839303,5.073678,9724800
"2001-01-04",5.185702,5.185702,4.581536,4.878411,11162400
"2001-01-05",4.856975,4.856975,4.648641,4.679891,7807200
"2001-01-08",4.629087,4.905129,4.561379,4.764504,6405600
"2001-01-09",4.829619,4.829619,4.69941,4.725452,5347200
"2001-01-10",4.6747,4.716367,4.513242,4.601783,6838800
"2001-01-11",4.669498,4.836164,4.528873,4.575748,5922000
"2001-01-12",4.676056,4.676056,4.269806,4.373973,10076400
"2001-01-16",4.271717,4.651926,4.271717,4.552967,6736800
"2001-01-17",4.650642,4.676684,4.437101,4.468351,3636000
"2001-01-18",4.385012,4.530846,4.145429,4.494387,5850000
"2001-01-19",4.479409,4.515867,4.302326,4.510659,3680400
"2001-01-22",4.368026,4.805526,4.368026,4.748234,8464800
"2001-01-23",4.580889,4.882972,4.424639,4.862139,12523200
"2001-01-24",4.811338,5.092588,4.811338,4.946755,7174800
"2001-01-25",5.314574,5.397908,4.929158,5.028116,18806400
"2001-01-26",5.066528,5.066528,4.826945,5.024862,7143600
"2001-01-29",5.144685,5.353019,4.894685,4.894685,6210000
"2001-01-30",4.820168,5.132668,4.753501,5.053501,8776800
"2001-01-31",5.137913,5.140413,4.883746,4.89208,4785600
"2001-02-01",4.904585,4.904585,4.671251,4.871251,13284000
"2001-02-02",4.855822,4.951655,4.780822,4.931655,6667200
"2001-02-05",4.874652,5.033819,4.845486,5.032152,3625200
"2001-02-06",5.03809,5.076423,4.872257,5.022257,6729600
"2001-02-07",4.909903,5.318237,4.909903,5.285737,8323200
"2001-02-08",5.335454,5.393787,5.110453,5.173787,5893200
"2001-02-09",5.041995,5.259496,4.963662,5.258662,4083600
"2001-02-12",5.241363,5.378863,5.203029,5.288863,3606000
"2001-02-13",5.281145,5.341145,5.216979,5.329478,3993600
"2001-02-14",5.369492,5.463659,5.26116,5.262826,2173200
