"","Open","High","Low","Close","Volume"
"2001-01-02",21.790211,22.165211,21.102711,21.977711,6847800
"2001-01-03",22.830332,23.174082,20.580332,20.892832,11180000
"2001-01-04",21.37039,21.40164,19.74539,20.24539,8341600
"2001-01-05",19.636555,21.230305,19.324055,20.980305,8553800
"2001-01-08",20.310266,21.810266,20.279016,21.435266,7241800
"2001-01-09",21.455332,21.455332,20.392832,20.892832,9482600
"2001-01-10",20.571592,21.009092,19.977842,20.665342,5750600
"2001-01-11",20.899128,21.055378,19.867878,20.367878,5691800
"2001-01-12",21.154202,21.185452,19.560452,19.685452,7568000
"2001-01-16",19.640396,20.421646,19.421646,20.140396,4671000
"2001-01-17",20.562294,20.624794,19.718544,19.843544,7610400
"2001-01-18",19.676491,20.738991,19.488991,20.020241,6797400
"2001-01-19",19.835356,20.116606,19.679106,19.772856,6254800
"2001-01-22",19.918154,20.230654,19.105654,19.543154,6206800
"2001-01-23",19.2565,20.28775,19.069,19.6315,5566000
"2001-01-24",19.741606,19.866606,18.866606,19.772856,4528200
"2001-01-25",19.429106,20.147856,19.304106,19.772856,5454800
"2001-01-26",20.265991,20.703491,19.328491,19.578491,6207600
"2001-01-29",19.974959,20.094958,18.849959,18.899958,9223600
"2001-01-30",19.301529,20.25153,19.176529,20.101528,11224800
"2001-01-31",19.890736,20.390736,19.140736,20.310734,8331800
"2001-02-01",19.932282,20.997281,19.85228,20.90728,7553400
"2001-02-02",21.123562,21.248562,20.623562,20.853561,7393400
"2001-02-05",20.840369,21.49037,20.730368,21.020369,6786400
"2001-02-06",21.320347,21.370346,20.29535,20.955349,7190800
"2001-02-07",20.58786,21.612862,19.767861,21.257862,7486600
"2001-02-08",21.320869,21.400867,20.925869,21.175869,3758200
"2001-02-09",21.251308,21.45631,20.95631,21.201309,4526000
"2001-02-12",21.17741,21.557411,20.862411,21.23241,5044400
"2001-02-13",21.251922,21.251922,20.58192,21.076923,5788000
"2001-02-14",21.238777,21.238777,20.738777,20.833778,4531400
"2001-02-15",20.526839,21.151839,20.486838,20.881838,7421400
