"","Open","High","Low","Close","Volume"
"2001-01-02",9.332725,9.34835,8.72335,8.801475,1460800
"2001-01-03",8.796681,9.281056,8.671681,9.265431,2142000
"2001-01-04",9.228243,9.634493,9.196993,9.306368,1580400
"2001-01-05",9.432201,9.432201,8.744701,8.869701,2005600
"2001-01-08",8.90398,9.013355,8.12273,8.31023,2265600
"2001-01-09",8.258769,8.836894,8.258769,8.665019,1302800
"2001-01-10",8.602308,8.821058,8.321058,8.774183,1132000
"2001-01-11",8.799706,8.955956,8.705956,8.705956,1785200
"2001-01-12",8.651373,8.729498,8.416998,8.651373,1161600
"2001-01-16",8.380019,8.848769,8.380019,8.583144,1755200
"2001-01-17",8.680644,8.899394,8.555644,8.665019,1210000
"2001-01-18",8.560437,8.607312,8.091687,8.201062,2092400
"2001-01-19",8.094716,8.188466,7.391591,7.641591,2328000
"2001-01-22",7.462426,7.603051,7.274926,7.368676,2139600
"2001-01-23",7.469506,7.922631,7.422631,7.750756,2122000
"2001-01-24",7.787526,8.131276,7.600026,7.928151,1279200
"2001-01-25",8.039501,8.195751,7.727001,7.914501,2873600
"2001-01-26",7.983363,7.983363,7.655238,7.655238,1346000
"2001-01-29",7.55219,7.86469,7.51469,7.65469,1110000
"2001-01-30",7.735241,7.795241,7.407741,7.530241,1431200
"2001-01-31",7.529928,7.724928,7.444928,7.532428,1912000
"2001-02-01",7.626391,7.873891,7.533891,7.746391,882000
"2001-02-02",7.797358,7.892358,7.489858,7.567358,1402400
"2001-02-05",7.577455,7.987455,7.559955,7.842455,1159600
"2001-02-06",8.064003,8.314003,7.921503,8.176503,1910000
"2001-02-07",8.083321,8.133321,7.925821,8.043321,1066000
"2001-02-08",8.063256,8.085756,7.650756,7.750756,1052400
"2001-02-09",7.83194,7.86694,7.54944,7.62194,983200
"2001-02-12",7.594072,7.849072,7.579072,7.814072,1082400
"2001-02-13",7.836174,8.211174,7.836174,8.023674,1673200
"2001-02-14",8.12542,8.12542,7.85542,7.92542,764000
"2001-02-15",7.862286,8.124786,7.862286,7.929786,897200
"2001-02-16",7.991756,7.991756,7.749256,7.881756,630000
"2001-02-20",7.877841,7.967841,7.477841,7.477841,1012400
"2001-02-21",7.54589,7.58589,7.33839,7.35339,746400
"2001-02-22",7.381581,7.401581,7.086581,7.159081,2588000
"2001-02-23",7.219996,7.224996,6.922496,7.169996,1394800
"2001-02-26",7.123092,7.603092,7.123092,7.510592,1236000
"2001-02-27",7.574527,7.574527,7.269527,7.414527,673200
"2001-02-28",7.437174,7.587174,7.374674,7.499674,990400
"2001-03-01",7.588309,7.588309,7.135809,7.233309,1163600
"2001-03-02",7.094972,7.824972,7.094972,7.669972,1781600
"2001-03-05",7.702358,7.939858,7.567358,7.567358,1446800
"2001-03-06",7.833806,8.026306,7.821306,7.953806,1390400
"2001-03-07",7.86172,8.02172,7.74922,7.89922,1237600
"2001-03-08",7.868473,8.195973,7.820973,8.128473,850400
"2001-03-09",8.121003,8.123503,7.781003,7.783503,587200
"2001-03-12",7.837813,7.872813,7.475313,7.495313,1057200
"2001-03-13",7.47981,7.55731,7.28231,7.42981,727200
"2001-03-14",7.405629,7.433129,7.160629,7.165629,983200
"2001-03-15",7.127593,7.467593,7.127593,7.445093,906000
"2001-03-16",7.362826,7.500326,7.075326,7.130326,1074400
"2001-03-19",7.237567,7.525067,7.190067,7.480067,793200
"2001-03-20",7.584478,7.946978,7.584478,7.849478,2542800
"2001-03-21",7.796084,8.318584,7.793584,8.221084,4116000
"2001-03-22",8.238356,8.435856,7.918356,8.100856,3609200
"2001-03-23",8.076037,8.383537,8.076037,8.273537,1768800
"2001-03-26",8.301486,8.651486,8.276486,8.513986,1736400
"2001-03-27",8.728689,8.728689,8.378689,8.498689,1524400
"2001-03-28",8.499615,8.644615,8.289615,8.509615,1044400
"2001-03-29",8.433284,9.075784,8.433284,9.040784,2160000
"2001-03-30",9.033122,9.180622,8.680622,8.833122,1778400
"2001-04-02",8.909758,9.082258,8.619758,8.734758,1166800
"2001-04-03",8.715612,8.755612,8.288112,8.433112,1382400
"2001-04-04",8.391746,8.691746,8.391746,8.581746,1120000
"2001-04-05",8.561656,8.761656,8.286656,8.704156,1754000
"2001-04-06",8.75015,8.75265,8.14515,8.21015,1609200
"2001-04-09",8.224916,8.599916,8.224916,8.524916,1316000
"2001-04-10",8.619314,8.991814,8.619314,8.911814,1022400
"2001-04-11",8.957702,9.042702,8.557702,8.557702,1429600
"2001-04-12",8.593188,8.768188,8.468188,8.745688,682800
"2001-04-16",8.779488,8.801988,8.659488,8.684488,554400
"2001-04-17",8.656381,8.773881,8.443881,8.653881,846800
"2001-04-18",8.540285,9.352785,8.192785,9.287785,2458400
"2001-04-19",9.285889,9.530889,9.283389,9.318389,1895200
"2001-04-20",9.311165,9.416165,9.288665,9.368665,1469200
"2001-04-23",9.367798,9.377798,9.092798,9.270298,938400
"2001-04-24",9.462137,10.174637,9.449637,9.744637,2197200
"2001-04-25",9.835805,10.748305,9.700805,10.275805,3429600
"2001-04-26",10.197586,11.005086,10.197586,10.820086,3683200
"2001-04-27",10.842884,10.922884,10.617884,10.835384,2242800
"2001-04-30",10.718027,10.718027,10.135527,10.225527,4404800
"2001-05-01",9.789968,9.792468,8.864968,9.289968,14295600
"2001-05-02",9.402095,9.464595,9.114595,9.379595,5986800
"2001-05-03",9.449331,9.451831,9.111831,9.311831,2325200
"2001-05-04",9.266352,9.566352,9.056352,9.541352,2416000
"2001-05-07",9.498943,10.173943,9.498943,9.836443,3348000
"2001-05-08",9.950133,10.010133,9.562633,9.915133,2062800
"2001-05-09",9.901142,9.901142,9.786142,9.821142,1239200
"2001-05-10",9.965264,10.255264,9.892764,10.157764,2045200
"2001-05-11",10.253695,10.283695,9.723695,9.751195,1448000
"2001-05-14",9.583165,9.730665,9.558165,9.615665,2231200
"2001-05-15",9.769228,9.894228,9.656728,9.869228,1416000
"2001-05-16",9.659909,9.824909,9.547409,9.794909,2517600
"2001-05-17",9.718535,9.991035,9.578535,9.961035,1441200
"2001-05-18",9.987422,9.987422,9.744922,9.777422,1037600
"2001-05-21",9.814342,9.844342,9.271842,9.294342,2080800
"2001-05-22",9.224619,9.404619,9.069619,9.344619,2753600
"2001-05-23",9.295314,9.295314,9.117814,9.252814,2378400
"2001-05-24",9.195653,9.300653,9.075653,9.215653,1232400
"2001-05-25",9.240673,9.240673,8.665673,8.763173,3289200
"2001-05-29",8.36612,8.70362,8.32862,8.58612,3165600
"2001-05-30",8.624435,8.776935,8.504435,8.754435,1552800
"2001-05-31",8.668437,8.955937,8.668437,8.830937,1799600
"2001-06-01",8.807693,9.017693,8.802693,8.992693,1858800
"2001-06-04",8.976345,9.123845,8.976345,9.123845,1310800
"2001-06-05",9.298453,9.335953,9.175953,9.230953,2659200
"2001-06-06",9.142053,9.187053,8.979553,9.014553,970000
"2001-06-07",9.0001,9.1626,8.8976,9.1151,1073200
"2001-06-08",9.162841,9.285341,9.000341,9.217841,524800
"2001-06-11",9.216491,9.266491,8.916491,8.931491,866000
"2001-06-12",8.914733,8.914733,8.567233,8.769733,1479200
"2001-06-13",8.754144,8.981644,8.694144,8.896644,805200
"2001-06-14",8.931882,8.931882,8.546882,8.631882,813600
"2001-06-15",8.441552,8.606552,8.226552,8.546552,2222800
"2001-06-18",8.705021,8.760021,8.562521,8.680021,894000
"2001-06-19",8.735338,8.755338,8.637838,8.695338,1822000
"2001-06-20",8.667985,9.367985,8.667985,9.255485,3143200
"2001-06-21",9.360179,9.397679,9.075179,9.292679,2305600
"2001-06-22",9.142259,9.182259,8.797259,8.874759,2226400
"2001-06-25",8.927318,9.412318,8.927318,9.102318,2030800
"2001-06-26",9.191203,9.676203,9.141203,9.618703,2879600
"2001-06-27",9.588708,9.721208,9.463708,9.653708,2238800
"2001-06-28",9.741495,9.878995,9.473995,9.563995,1454400
"2001-06-29",9.695189,9.715189,9.320189,9.327689,3192400
"2001-07-02",9.316482,9.506482,9.311482,9.493982,1754400
"2001-07-03",9.485558,9.585558,9.363058,9.553058,954400
"2001-07-05",9.578985,9.578985,9.478985,9.511485,1726000
"2001-07-06",9.539868,9.539868,9.242368,9.294868,1646400
"2001-07-09",9.316077,9.443577,9.121077,9.146077,1907600
"2001-07-10",9.210186,9.410186,9.187686,9.310186,2352000
"2001-07-11",9.156728,9.316728,9.156728,9.246728,1844000
"2001-07-12",9.204325,9.676825,9.204325,9.614325,1303200
"2001-07-13",9.61308,9.68808,9.51058,9.64058,947600
"2001-07-16",9.621462,9.646462,9.411462,9.423962,1298000
"2001-07-17",9.439246,9.559246,9.311746,9.316746,1518800
"2001-07-18",9.243445,9.848445,9.243445,9.848445,3873200
"2001-07-19",10.16486,10.58736,10.13986,10.50486,5885600
"2001-07-20",10.591589,10.591589,9.914089,9.914089,3434000
"2001-07-23",10.131508,10.319008,9.599008,9.599008,5195200
"2001-07-24",9.773573,9.821073,9.073573,9.128573,9515200
"2001-07-25",9.126339,9.126339,8.726339,8.933839,6082000
"2001-07-26",8.940152,9.260152,8.902652,9.187652,1924800
"2001-07-27",9.09697,9.09697,8.92197,8.96447,1658800
"2001-07-30",8.950443,9.127943,8.867943,9.097943,1273200
"2001-07-31",9.180125,9.442625,9.080125,9.082625,5326800
"2001-08-01",9.11538,9.13788,8.81288,8.85288,3316400
"2001-08-02",8.901002,9.041002,8.603502,8.831002,3375200
"2001-08-03",8.876236,8.876236,8.508736,8.531236,2220800
"2001-08-06",8.688638,8.688638,7.963638,8.146138,3611200
"2001-08-07",8.158581,8.288581,7.671081,7.918581,4513200
"2001-08-08",7.911363,8.243863,7.686363,7.811363,3066400
"2001-08-09",7.80575,7.92075,7.72825,7.83325,2071200
"2001-08-10",7.757938,7.982938,7.655438,7.852938,2296400
"2001-08-13",7.76034,7.78534,7.02284,7.46784,5844800
"2001-08-14",7.531023,7.793523,7.508523,7.691023,2475200
"2001-08-15",7.70477,7.73477,7.61727,7.68227,2231600
"2001-08-16",7.722328,7.959828,7.722328,7.909828,2668800
"2001-08-17",7.901384,7.936384,7.631384,7.881384,3123200
"2001-08-20",7.879821,7.919821,7.762321,7.892321,2701200
"2001-08-21",7.903869,8.121369,7.753869,7.828869,2183600
"2001-08-22",7.826384,7.913884,7.691384,7.881384,3192400
"2001-08-23",7.883312,8.215812,7.883312,8.095812,2302800
"2001-08-24",8.03931,8.38681,7.98681,8.33431,2039600
"2001-08-27",8.360208,8.360208,7.960208,8.170208,3623600
"2001-08-28",8.20452,8.29452,7.92702,7.92952,3267600
"2001-08-29",7.911119,8.371119,7.911119,8.076119,2959600
"2001-08-30",8.010208,8.370208,8.010208,8.170208,1526400
"2001-08-31",8.156796,8.369296,8.144296,8.281796,1496800
"2001-09-04",8.3562,8.4387,8.1712,8.4087,1411600
"2001-09-05",8.348935,8.423935,7.998935,8.073935,3054800
"2001-09-06",8.050423,8.105423,7.787923,7.800423,1454800
"2001-09-07",7.589662,7.664662,7.159662,7.262162,3881600
"2001-09-10",7.296473,7.331473,6.926473,7.003973,2774000
"2001-09-17",6.82197,6.95947,6.49697,6.50947,1954400
"2001-09-18",6.484157,6.671657,6.446657,6.511657,1863600
"2001-09-19",6.686856,6.989356,6.094356,6.244356,4094000
"2001-09-20",6.286999,6.286999,5.836999,5.941999,3108000
"2001-09-21",5.790705,6.015705,5.690705,5.915705,2550000
"2001-09-24",6.594636,6.644636,6.319636,6.419636,3366800
"2001-09-25",6.297753,6.755253,6.297753,6.610253,3476800
"2001-09-26",6.604101,6.709101,6.484101,6.671601,2418800
"2001-09-27",6.712361,6.712361,6.307361,6.559861,3073600
"2001-09-28",6.517922,6.795422,6.517922,6.715422,1783200
"2001-10-01",6.774354,6.774354,6.566854,6.634354,1986800
"2001-10-02",6.664327,6.851827,6.539327,6.811827,2620800
"2001-10-03",6.688451,7.443451,6.603451,7.438451,3173200
"2001-10-04",7.49483,7.56733,7.19233,7.32233,2666400
"2001-10-05",7.405447,7.405447,7.142947,7.317947,1907600
"2001-10-08",7.32014,7.32264,7.07264,7.12514,1429600
"2001-10-09",7.11556,7.19306,7.03806,7.19306,1456400
"2001-10-10",7.169124,7.679124,7.149124,7.664124,2760400
"2001-10-11",7.633307,8.325807,7.625807,8.325807,3083600
"2001-10-12",8.199492,8.261992,7.811992,7.891992,3629200
"2001-10-15",7.923197,7.943197,7.518197,7.670697,1843200
"2001-10-16",7.677775,7.927775,7.420275,7.602775,1503600
"2001-10-17",7.814466,7.896966,7.271966,7.289466,1576000
"2001-10-18",7.251461,7.338961,7.013961,7.168961,922800
"2001-10-19",7.131991,7.331991,6.871991,7.306991,1553200
"2001-10-22",7.297245,7.374745,7.024745,7.269745,1177600
"2001-10-23",7.317808,7.417808,7.052808,7.230308,2333600
"2001-10-24",7.169353,7.331853,7.106853,7.219353,1174800
"2001-10-25",7.165812,7.178312,6.870812,7.155812,1617200
"2001-10-26",7.07966,7.52966,7.02966,7.41216,1794400
"2001-10-29",7.441292,7.443792,7.008792,7.063792,1037200
"2001-10-30",7.10708,7.13708,6.55708,6.77458,1953600
"2001-10-31",6.893256,7.120756,6.770756,7.120756,3427200
"2001-11-01",7.069688,7.624688,7.069688,7.624688,3398000
"2001-11-02",7.627775,7.702775,7.352775,7.602775,2525600
"2001-11-05",7.58969,7.87219,7.58469,7.81969,2741600
"2001-11-06",7.731375,7.788875,7.601375,7.701375,1842800
"2001-11-07",7.62988,8.05238,7.62988,7.94238,3822800
"2001-11-08",7.961258,8.071258,7.811258,7.826258,2964800
"2001-11-09",7.846682,7.864182,7.576682,7.699182,1554000
"2001-11-12",7.645418,8.080418,7.497918,8.080418,1980800
"2001-11-13",8.027271,8.557271,7.969771,8.457271,3856000
"2001-11-14",8.565304,8.602804,8.267804,8.400304,2492800
"2001-11-15",8.359433,8.359433,7.791933,7.856933,4236800
"2001-11-16",7.971988,8.094488,7.759488,8.086988,1737600
"2001-11-19",8.055024,8.055024,7.592524,8.030024,2612800
"2001-11-20",7.999967,8.069967,7.742467,7.799967,1226400
"2001-11-21",7.845162,7.932662,7.582662,7.922662,1244400
"2001-11-23",7.860418,8.082918,7.822918,8.080418,320000
"2001-11-26",8.081961,8.186961,7.986961,8.069461,1708000
"2001-11-27",8.055499,8.057999,7.762999,7.937999,2826800
"2001-11-28",7.942019,7.947019,7.822019,7.909519,2299200
"2001-11-29",7.844966,8.189966,7.777466,8.189966,2732800
"2001-11-30",8.099683,8.704683,8.087183,8.599683,4129600
"2001-12-03",8.604655,8.807155,8.477155,8.582155,2039600
