"","Open","High","Low","Close","Volume"
"2001-01-02",12.322951,12.510451,12.135451,12.197951,102700
"2001-01-03",12.105624,12.418124,11.980624,12.168124,239800
"2001-01-04",12.239179,12.364179,11.614179,11.989179,121400
"2001-01-05",12.027564,12.090064,11.527564,11.840064,181800
"2001-01-08",12.030413,12.155413,11.467913,11.780413,201900
"2001-01-09",11.560237,11.810237,11.435237,11.810237,72500
"2001-01-10",11.685237,11.810237,11.216487,11.810237,98500
"2001-01-11",11.685237,11.872737,11.622737,11.810237,128900
"2001-01-12",11.842913,11.967913,11.655413,11.780413,247500
"2001-01-16",11.622737,11.810237,11.622737,11.810237,204400
"2001-01-17",12.000591,12.000591,11.438091,11.750591,230100
"2001-01-18",11.717913,11.842913,11.342913,11.780413,185000
"2001-01-19",11.946651,11.946651,11.446651,11.571651,251200
"2001-01-22",11.443792,11.631292,11.256292,11.631292,47100
"2001-01-23",11.634151,11.696651,11.446651,11.571651,244100
"2001-01-24",11.637005,11.637005,11.324505,11.512005,582700
"2001-01-25",11.512005,11.512005,11.137005,11.512005,961600
"2001-01-26",11.419675,11.607175,11.294675,11.482175,119100
"2001-01-29",11.226874,11.566874,11.226874,11.566874,99300
"2001-01-30",11.217087,11.727087,11.217087,11.667088,129900
"2001-01-31",11.56252,11.762519,11.462519,11.762519,257200
"2001-02-01",11.764803,11.814803,11.564803,11.714802,140500
"2001-02-02",11.617087,11.767086,11.517086,11.667088,92500
"2001-02-05",11.577537,11.727537,11.577537,11.657537,27400
"2001-02-06",11.593223,11.843223,11.593223,11.643223,173000
"2001-02-07",11.643223,11.743223,11.593223,11.643223,203300
"2001-02-08",11.758908,11.858908,11.578908,11.628909,158100
"2001-02-09",11.817124,11.877123,11.397124,11.457123,364200
"2001-02-12",11.420527,11.490527,11.360528,11.490527,248000
"2001-02-13",11.605546,11.605546,11.275546,11.385547,75400
"2001-02-14",11.430777,11.480778,11.280777,11.380777,147100
"2001-02-15",11.276212,11.476211,11.276212,11.476211,260600
"2001-02-16",11.420316,11.570315,11.320315,11.390317,35800
"2001-02-20",11.462813,11.662814,11.112813,11.442813,41100
"2001-02-21",11.408495,11.578495,11.378495,11.428496,194400
"2001-02-22",11.603973,11.653972,11.303974,11.313972,83500
"2001-02-23",11.028494,11.528494,11.028494,11.428496,51500
"2001-02-26",11.280277,11.600276,10.940277,11.600276,89300
"2001-02-27",11.448666,11.738667,11.258668,11.738667,113100
"2001-02-28",11.681152,11.791151,11.581152,11.791151,229500
"2001-03-01",11.722973,11.772973,11.642973,11.752972,76700
"2001-03-02",11.627249,12.027249,11.527249,11.977249,110700
"2001-03-05",12.196839,12.196839,11.746839,11.776839,63200
"2001-03-06",11.669538,11.929538,11.579538,11.929538,100600
"2001-03-07",11.782481,11.972481,11.782481,11.972481,56900
"2001-03-08",11.755674,12.055675,11.755674,11.905676,408500
"2001-03-09",11.905676,11.945675,11.855675,11.905676,65000
"2001-03-12",11.931815,11.981814,11.831814,11.881814,92800
"2001-03-13",12.022973,12.022973,11.752972,11.752972,161500
"2001-03-14",10.956873,11.676874,10.956873,11.566874,334400
"2001-03-15",11.567087,11.717087,11.517086,11.667088,112100
"2001-03-16",12.029158,12.029158,11.429157,11.519157,194900
"2001-03-19",11.437995,11.647994,11.287993,11.647994,90600
"2001-03-20",11.578668,11.888667,11.298667,11.738667,142000
"2001-03-21",12.036213,12.176212,11.426212,11.476211,122500
"2001-03-22",11.34779,11.637791,10.50779,11.547791,138000
"2001-03-23",11.551897,11.841896,11.291896,11.461896,95200
"2001-03-26",11.253223,11.643223,11.143223,11.643223,76000
"2001-03-27",11.545511,11.59551,11.295511,11.59551,556800
"2001-03-28",11.584388,11.584388,11.204387,11.514386,184400
"2001-03-29",11.53007,11.53007,11.390071,11.500071,95400
"2001-03-30",11.238667,11.758668,11.138667,11.738667,322000
"2001-04-02",11.631729,11.881729,11.381729,11.881729,69300
"2001-04-03",12.285598,12.285598,11.445598,11.595598,42100
"2001-04-04",11.344994,11.664994,11.064994,11.614995,81700
"2001-04-05",11.484738,11.784737,11.384738,11.784737,70300
"2001-04-06",11.931951,11.941949,11.49195,11.55195,206500
"2001-04-09",11.499548,11.669548,11.399548,11.629548,105600
"2001-04-10",11.891912,11.891912,11.151912,11.391912,874900
"2001-04-11",11.594272,11.61427,11.064271,11.154271,243600
"2001-04-12",11.164574,11.164574,10.914574,11.144574,270800
"2001-04-16",11.155783,11.355782,11.015781,11.105782,233100
"2001-04-17",11.030031,11.180031,10.930031,11.130032,177500
"2001-04-18",11.199766,11.509765,11.009765,11.299764,215400
"2001-04-19",11.09225,11.542249,10.98225,11.542249,137200
"2001-04-20",11.58131,11.721309,11.391309,11.41131,118600
"2001-04-23",11.350408,11.600408,11.350408,11.440408,87400
"2001-04-24",11.431951,11.63195,11.23195,11.55195,160000
"2001-04-25",11.564994,11.614995,11.364995,11.614995,176500
"2001-04-26",11.275076,11.955074,11.175075,11.935076,244800
"2001-04-27",11.603609,12.153608,11.603609,12.14361,251800
"2001-04-30",12.175713,12.225712,11.835713,12.075713,372100
"2001-05-01",12.043313,12.243312,11.703313,12.153311,168300
"2001-05-02",12.193272,12.193272,11.993272,11.993272,79200
"2001-05-03",12.009623,12.029621,11.909622,11.949621,116500
"2001-05-04",12.210488,12.330487,11.760487,11.760487,166100
"2001-05-07",11.739881,11.87988,11.679882,11.779882,178300
"2001-05-08",11.790182,11.790182,11.600181,11.770181,49900
"2001-05-09",11.740487,11.800488,11.660487,11.760487,42200
"2001-05-10",11.765638,11.765638,11.515638,11.755638,56700
"2001-05-11",11.828947,11.878946,11.528946,11.648946,431400
"2001-05-14",11.689236,11.839238,11.549237,11.639237,73600
"2001-05-15",11.592894,11.752894,11.562893,11.682894,63100
"2001-05-16",11.546234,11.776234,11.546234,11.736235,219100
"2001-05-17",11.597179,11.987178,11.447177,11.867177,121400
"2001-05-18",11.654472,12.044472,11.524471,11.954472,39000
"2001-05-21",11.882367,12.032366,11.632367,12.022368,131500
"2001-05-22",12.033874,12.033874,11.883874,11.973875,129800
"2001-05-23",11.927518,12.037516,11.687518,12.017518,89900
"2001-05-24",12.004473,12.014471,11.854471,11.954472,118100
"2001-05-25",11.988122,11.998122,11.808121,11.998122,57900
"2001-05-29",11.959622,12.029621,11.889622,11.949621,126300
"2001-05-30",12.005976,12.005976,11.855976,11.905975,390300
"2001-05-31",11.778723,12.048723,11.778723,11.978724,181800
"2001-06-01",12.009623,12.009623,11.809622,11.949621,253200
"2001-06-04",12.021728,12.131729,11.781729,11.881729,188700
"2001-06-05",11.875074,11.955074,11.805075,11.935076,255200
"2001-06-06",11.981123,12.061123,11.891123,11.901123,63800
