"","PNR.Open","PNR.High","PNR.Low","PNR.Close","PNR.Volume","PNR.Adjusted"
"2001-01-02",8.164036,8.206011,7.513432,7.639355,600900,5.259848
"2001-01-03",7.68133,8.038113,7.555406,7.891202,662600,5.433248
"2001-01-04",7.849228,8.0591,7.765279,7.933177,698300,5.46215
"2001-01-05",7.849228,7.870215,7.618368,7.639355,638700,5.259848
"2001-01-08",7.639355,7.723304,7.345534,7.555406,469600,5.202047
"2001-01-09",7.555406,7.744291,7.513432,7.618368,961800,5.245399
"2001-01-10",7.618368,7.870215,7.45047,7.765279,531500,5.346548
"2001-01-11",7.807253,7.954164,7.723304,7.933177,668200,5.46215
"2001-01-12",8.017125,8.017125,7.891202,7.975151,346600,5.491049
"2001-01-16",8.0591,8.101074,7.555406,7.660343,1642900,5.274297
"2001-01-17",7.723304,7.870215,7.723304,7.849228,725100,5.40435
"2001-01-18",7.849228,8.0591,7.68133,7.702317,1079200,5.303197
"2001-01-19",7.786266,8.268972,7.786266,8.164036,1252800,5.621099
"2001-01-22",8.080088,8.814641,8.0591,8.625755,2600000,5.939003
"2001-01-23",8.646743,8.646743,8.352921,8.52082,606300,5.86675
"2001-01-24",8.562794,9.318335,8.562794,9.045501,2137900,6.270015
"2001-01-25",9.045501,9.066487,8.877603,9.003526,542200,6.24092
"2001-01-26",8.940564,9.045501,8.835628,8.919577,283500,6.18273
"2001-01-29",8.922095,9.355272,8.83143,9.147079,897500,6.340426
"2001-01-30",9.167227,9.402284,9.089993,9.147079,1240300,6.340426
"2001-01-31",9.257892,9.637341,9.254533,9.314977,417500,6.456808
"2001-02-01",9.469442,10.124245,9.419073,9.744795,2427600,6.754739
"2001-02-02",9.748153,9.748153,9.234385,9.368704,585400,6.494046
"2001-02-05",9.372062,9.586971,9.278039,9.278039,799200,6.431204
"2001-02-06",9.361988,9.67092,9.351914,9.586971,657200,6.645341
"2001-02-07",9.586971,9.704499,9.576898,9.597045,555300,6.652326
"2001-02-08",9.570181,9.805239,9.570181,9.768301,229000,6.771032
"2001-02-09",9.768301,9.768301,9.4728,9.570181,755500,6.633702
"2001-02-12",9.486233,9.637341,9.395568,9.570181,812100,6.633702
"2001-02-13",9.697783,9.902619,9.697783,9.775017,725100,6.775688
"2001-02-14",9.805239,9.805239,9.503022,9.536602,571100,6.610429
"2001-02-15",9.536602,9.67092,9.486233,9.563465,912700,6.62905
"2001-02-16",9.566823,9.570181,9.469442,9.570181,326000,6.633702
"2001-02-20",9.570181,9.805239,9.513096,9.67092,521700,6.703533
"2001-02-21",9.68771,9.72129,9.402284,9.496306,377000,6.582497
"2001-02-22",9.388851,9.452653,9.066487,9.200806,505600,6.377666
"2001-02-23",9.234385,9.247817,8.8818,9.066487,298000,6.284561
"2001-02-26",9.083278,9.187374,8.948959,9.16051,580100,6.349736
"2001-02-27",9.200806,9.200806,9.066487,9.150436,767700,6.342752
"2001-02-28",9.486233,9.486233,9.07992,9.301544,704500,6.447495
"2001-03-01",9.385493,9.385493,9.150436,9.247817,824000,6.410255
"2001-03-02",9.301544,9.922767,9.301544,9.503022,1106600,6.587153
"2001-03-05",9.503022,9.969778,9.503022,9.754869,3072400,6.761723
"2001-03-06",9.788448,9.959704,9.771659,9.905977,1421100,6.866466
"2001-03-07",9.922767,10.124245,9.905977,10.023506,1335600,6.947936
"2001-03-08",10.141034,10.349228,10.073875,10.265279,429700,7.11552
"2001-03-09",10.275352,10.275352,10.073875,10.157825,678000,7.041037
"2001-03-12",10.073875,10.073875,9.469442,9.519812,596100,6.598792
"2001-03-13",9.419073,9.65413,9.247817,9.617193,889500,6.666294
"2001-03-14",9.503022,9.503022,9.267965,9.385493,528200,6.505686
"2001-03-15",9.388851,9.503022,9.133647,9.16051,753700,6.349736
"2001-03-16",9.217596,9.234385,9.032908,9.059772,512500,6.279909
"2001-03-19",9.059772,9.059772,8.86501,8.97918,639600,6.224044
"2001-03-20",9.083278,9.466084,9.063129,9.1773,530000,6.361374
"2001-03-21",9.116857,9.116857,8.277368,8.310947,848400,5.760849
"2001-03-22",8.344526,8.378106,7.656145,7.971793,1054800,5.525761
"2001-03-23",8.193419,8.300873,8.109469,8.294157,631600,5.749211
"2001-03-26",8.498993,8.549362,8.361317,8.441907,1094700,5.851628
"2001-03-27",8.56951,8.83143,8.411686,8.83143,758100,6.121628
"2001-03-28",8.828073,8.828073,8.529214,8.562794,790600,5.935421
"2001-03-29",8.562794,8.817999,8.445265,8.720618,807900,6.044818
"2001-03-30",8.720618,8.730692,8.462055,8.556078,1063400,5.930763
"2001-04-02",8.556078,8.636669,8.428475,8.532572,863300,5.914471
"2001-04-03",8.589658,8.589658,8.226998,8.344526,364500,5.784125
"2001-04-04",8.344526,8.394896,8.143049,8.24043,565200,5.71197
"2001-04-05",8.287441,8.589658,8.226998,8.589658,392700,5.954042
"2001-04-06",8.596374,8.596374,8.193419,8.226998,389800,5.70266
"2001-04-09",8.411686,8.576225,8.411686,8.472129,864200,5.872572
"2001-04-10",8.546004,8.663532,8.512424,8.579583,937100,5.947057
"2001-04-11",8.579583,8.593016,8.398253,8.415044,330800,5.833005
"2001-04-12",8.428475,8.629953,8.210208,8.626595,423100,5.979646
"2001-04-16",8.663532,8.697112,8.357959,8.468771,250700,5.870246
"2001-04-17",8.529214,8.697112,8.451982,8.629953,241200,5.981974
"2001-04-18",8.596374,9.116857,8.562794,8.965749,412400,6.214734
"2001-04-19",9.032908,9.032908,8.797851,8.965749,245300,6.214734
