"","PNW.Open","PNW.High","PNW.Low","PNW.Close","PNW.Volume","PNW.Adjusted"
"2001-01-02",47.375,47.5,46.3125,46.375,166700,20.147287
"2001-01-03",46.375,47.8125,43.5,43.5625,381200,18.925419
"2001-01-04",43,43,39.375,40.25,519000,17.486322
"2001-01-05",40.25,41.5,40.25,41.125,435000,17.866465
"2001-01-08",41,42.3125,41,42.0625,368000,18.273756
"2001-01-09",41.875,42.0625,41.0625,41.625,228300,18.083681
"2001-01-10",41.75,42.5,40.9375,41.3125,282900,17.947929
"2001-01-11",41.3125,41.3125,39.6875,40.5,543200,17.594936
"2001-01-12",40.5,41.375,40,40.5625,540100,17.622082
"2001-01-16",40.4375,40.5,39.0625,39.5625,506700,17.187649
"2001-01-17",39.4375,40.25,39.3125,39.9375,271800,17.350569
"2001-01-18",39.75,41.1875,39.75,41,353000,17.812155
"2001-01-19",40.875,41.6875,39.75,41,181000,17.812155
"2001-01-22",41.125,42.5,41.0625,41.875,274400,18.192297
"2001-01-23",42,43.375,42,43.0625,270600,18.708202
"2001-01-24",43.125,43.9375,43,43.125,217400,18.735344
"2001-01-25",43.25,44.375,43.25,43.9375,198900,19.088333
"2001-01-26",44.125,44.46875,42.625,44.0625,201800,19.142639
"2001-01-29",44.060001,44.73,43.919998,44.09,216000,19.154577
"2001-01-30",43.599998,43.720001,43.150002,43.349998,358100,18.99465
"2001-01-31",43.25,43.25,42.509998,43.169998,223800,18.915781
"2001-02-01",42,42.299999,41.75,42,416700,18.403128
"2001-02-02",42.099998,42.77,41.970001,42.040001,351500,18.42065
"2001-02-05",42.200001,43.740002,42.200001,43.049999,239600,18.863207
"2001-02-06",42.599998,43.91,42.279999,43.560001,473700,19.086672
"2001-02-07",43.560001,45.07,43.560001,44.790001,424800,19.625622
"2001-02-08",44.75,44.900002,44.23,44.299999,357800,19.410917
"2001-02-09",44.220001,45.369999,44.220001,45.32,244400,19.857853
"2001-02-12",45.450001,46,44.099998,44.540001,283800,19.516071
"2001-02-13",44.700001,45.299999,44,44.599998,703200,19.542374
"2001-02-14",44.599998,44.869999,43.900002,44.290001,194200,19.406525
"2001-02-15",44.299999,44.34,43.880001,44.189999,137500,19.362719
"2001-02-16",44.299999,45.580002,44.299999,45.509998,423100,19.941097
"2001-02-20",45.52,46.650002,45.220001,46,292200,20.155802
"2001-02-21",46,47.470001,46,47.02,518400,20.60273
"2001-02-22",47,47.75,46.740002,47.23,291600,20.694752
"2001-02-23",47.400002,47.959999,46.310001,47.41,506100,20.77363
"2001-02-26",47.349998,47.75,45.900002,46.200001,647000,20.243441
"2001-02-27",46.349998,46.75,46,46.450001,206800,20.352982
"2001-02-28",46.470001,46.5,45.59,46.450001,233800,20.352982
"2001-03-01",46.419998,46.419998,45.599998,45.990002,318800,20.151421
"2001-03-02",45.98,46.400002,45.48,46.279999,320100,20.278498
"2001-03-05",46.400002,46.639999,45.549999,45.900002,174100,20.111994
"2001-03-06",46.150002,46.400002,45.849998,46.049999,237800,20.177706
"2001-03-07",46,46.799999,45.619999,46.150002,318300,20.221539
"2001-03-08",46.150002,46.799999,46.099998,46.549999,325100,20.396799
"2001-03-09",46.700001,46.799999,45.98,46.470001,145100,20.361742
"2001-03-12",46.549999,46.77,46.27,46.27,263300,20.274118
"2001-03-13",46.299999,46.349998,45,45.099998,267100,19.761456
"2001-03-14",45.099998,45.099998,43.900002,44.07,223700,19.310133
"2001-03-15",44,44.759998,43.700001,44.5,313800,19.498549
"2001-03-16",43.799999,44.689999,43.799999,43.900002,344700,19.235645
"2001-03-19",44,44.18,43.48,43.560001,237800,19.086672
"2001-03-20",43.349998,44.099998,42.900002,43.599998,281300,19.1042
"2001-03-21",43.450001,44.799999,43.200001,43.299999,322400,18.972746
"2001-03-22",43.299999,43.360001,40.5,41.43,373500,18.153372
"2001-03-23",41.299999,41.360001,40.529999,41.080002,391700,18.000011
"2001-03-26",41.299999,42.700001,41.299999,42.41,321100,18.582775
"2001-03-27",42.650002,43.52,42.349998,42.630001,256300,18.679174
"2001-03-28",43.299999,44.52,43.200001,44.310001,346500,19.415295
"2001-03-29",44.099998,45.25,43.700001,45.23,339500,19.818419
"2001-03-30",45.240002,46.549999,45.240002,45.869999,266700,20.098843
"2001-04-02",45.900002,46.759998,45.32,46.720001,406700,20.471289
"2001-04-03",46.709999,47.689999,45.799999,47.52,558600,20.821827
"2001-04-04",47.509998,48,46.560001,47.23,402000,20.694752
"2001-04-05",47.25,47.299999,45.919998,46.900002,403800,20.550165
"2001-04-06",46.799999,47.700001,45.200001,45.599998,571100,19.980541
"2001-04-09",45.75,47.57,45.75,47.18,452900,20.67284
"2001-04-10",47.299999,48.490002,47.240002,48.139999,674700,21.093489
"2001-04-11",47.919998,47.919998,46.650002,47.25,535200,20.703514
