"","Open","High","Low","Close","Volume"
"2001-01-02",9.988136,10.050636,9.238136,9.331886,2276600
"2001-01-03",9.313465,9.500965,8.719715,9.344715,1755800
"2001-01-04",9.324702,10.074702,8.949702,10.012202,3093200
"2001-01-05",10.358163,10.451913,9.264413,9.858163,2185400
"2001-01-08",9.567443,10.192443,9.567443,9.973693,1289800
"2001-01-09",10.020534,10.051784,9.301784,9.614284,1769600
"2001-01-10",9.248758,9.592508,8.592508,9.498758,2013600
"2001-01-11",10.09136,10.09136,8.87261,9.21636,1761200
"2001-01-12",9.37261,9.37261,8.68511,9.21636,939400
"2001-01-16",8.616497,9.460247,8.303997,9.460247,1052200
"2001-01-17",9.697945,9.822945,8.979195,9.229195,1288400
"2001-01-18",9.335782,9.398282,8.742032,9.242032,1138000
"2001-01-19",9.398815,9.398815,8.742565,9.023815,1127000
"2001-01-22",8.894921,9.332421,8.426171,9.113671,1379200
"2001-01-23",9.040014,9.602514,9.040014,9.165014,715200
"2001-01-24",8.830201,9.330201,8.798951,9.267701,985400
"2001-01-25",8.965824,9.559574,8.872074,9.434574,1403800
"2001-01-26",9.811788,9.874288,9.093038,9.280538,1340400
"2001-01-29",9.084454,9.529454,8.954453,9.334454,836400
"2001-01-30",9.356334,9.481334,8.846334,9.406334,2653800
"2001-01-31",9.594376,9.669375,9.194374,9.484375,3271200
"2001-02-01",9.62198,9.766981,9.29198,9.62198,1973800
"2001-02-02",9.327448,9.942448,9.327448,9.792448,2536800
"2001-02-05",9.239891,10.144892,9.114891,10.114891,2142600
"2001-02-06",9.960524,10.215525,9.670525,10.215525,2140000
"2001-02-07",10.335328,10.450328,9.925328,10.055328,1285400
"2001-02-08",10.060255,10.285253,9.610254,10.205253,3722600
"2001-02-09",10.372039,10.612039,10.172038,10.19704,1870200
"2001-02-12",10.011435,10.411434,9.761435,10.326433,1710200
"2001-02-13",10.287949,10.762947,10.247948,10.307947,1087200
"2001-02-14",10.365807,10.655806,10.165806,10.340805,1019800
"2001-02-15",10.077014,10.652015,10.077014,10.652015,2236200
"2001-02-16",10.984601,10.989602,10.109601,10.359601,969800
"2001-02-20",10.246062,10.731063,10.246062,10.441064,1148800
"2001-02-21",10.481184,10.631184,10.206184,10.326183,1698000
"2001-02-22",10.285616,10.710615,10.060615,10.430614,1420200
"2001-02-23",10.973713,10.973713,9.888712,10.338713,1210800
"2001-02-26",10.227516,10.727516,10.207516,10.687515,1128800
"2001-02-27",10.798594,10.853595,10.373593,10.618594,887200
"2001-02-28",10.597897,10.922896,10.572898,10.672896,1700800
"2001-03-01",10.699603,10.899602,10.314603,10.689603,1444200
"2001-03-02",10.275247,10.995248,10.275247,10.940248,1137800
"2001-03-05",10.843282,11.278284,10.778284,11.153284,1468800
"2001-03-06",11.158283,11.303283,11.008283,11.153284,913000
"2001-03-07",10.738668,11.468668,10.738668,11.468668,2084000
"2001-03-08",11.332722,11.597721,10.52272,11.587721,3198400
"2001-03-09",11.506896,11.591895,10.956895,11.591895,1598600
"2001-03-12",11.524803,11.574802,11.199802,11.424802,1815600
"2001-03-13",12.013728,12.013728,10.543729,10.998729,1884400
"2001-03-14",11.261255,11.351255,10.361255,10.681255,2087400
"2001-03-15",10.727712,10.827712,10.427713,10.597713,1236600
"2001-03-16",10.422264,11.072263,10.422264,10.422264,1922000
"2001-03-19",9.936256,10.946254,9.936256,10.681255,2386400
"2001-03-20",10.591758,11.541759,10.041759,10.551759,1770000
