"","Open","High","Low","Close","Volume"
"2001-01-02",8.260034,8.260034,7.44506,7.503272,738000
"2001-01-03",8.325126,8.674402,6.928026,7.102664,1617300
"2001-01-04",8.332134,8.332134,5.945423,6.236485,3584000
"2001-01-05",6.238462,6.907905,6.063825,6.442205,2442700
"2001-01-08",6.065796,6.677027,6.065796,6.647921,1123200
"2001-01-09",6.837462,6.837462,6.400868,6.604611,1183500
"2001-01-10",6.714286,6.859817,6.190374,6.539649,844300
"2001-01-11",7.241704,7.27081,6.106559,6.106559,984900
"2001-01-12",5.789066,6.342084,5.52711,6.22566,1652100
"2001-01-16",6.467363,6.467363,5.594175,6.030769,1856500
"2001-01-17",6.019241,6.193879,5.495329,6.106559,1612400
"2001-01-18",6.032742,6.411123,5.916317,6.236485,624400
"2001-01-19",5.868932,6.451059,5.781614,6.247314,1039500
"2001-01-22",6.089553,6.613468,5.682067,6.409723,1277600
"2001-01-23",6.203876,6.902425,6.203876,6.669574,1475100
"2001-01-24",6.650467,7.378125,6.563149,7.232592,3387800
"2001-01-25",7.198004,7.896555,7.110685,7.459961,1555900
"2001-01-26",7.325257,7.703639,7.179727,7.47079,1749800
"2001-01-29",7.564073,7.890061,7.182198,7.345193,1236800
"2001-01-30",7.546997,7.663421,7.076641,7.225664,1015200
"2001-01-31",7.108902,7.285868,6.69443,7.267241,1085800
"2001-02-01",7.22449,7.317629,6.921786,7.154635,934900
"2001-02-02",6.809528,7.373025,6.809528,7.359054,1693500
"2001-02-05",7.382449,7.768981,7.298623,7.345193,642600
"2001-02-06",6.986363,7.447405,6.786112,7.447405,969900
"2001-02-07",7.270059,7.852184,7.270059,7.637962,1043100
"2001-02-08",7.570698,8.008455,7.49153,7.677809,791900
"2001-02-09",7.457692,8.025846,7.420436,7.830253,1608500
"2001-02-12",7.997408,8.09055,7.447884,7.676075,1418500
"2001-02-13",7.637833,7.907938,7.353754,7.726315,935700
"2001-02-14",7.770183,8.063573,7.490764,7.700328,1098300
"2001-02-15",7.866808,7.866808,7.405765,7.629301,1162900
"2001-02-16",7.728177,8.035538,7.546553,7.639695,1664500
"2001-02-20",7.294814,7.830369,7.248242,7.816397,811200
"2001-02-21",7.655854,8.172782,7.651196,7.944588,2442700
"2001-02-22",7.957594,8.330154,7.70146,7.920337,868500
"2001-02-23",8.160162,8.248646,7.447642,7.778288,519000
"2001-02-26",7.625976,8.161533,7.62132,7.896083,899500
"2001-02-27",7.856332,8.261491,7.707309,7.916873,595200
"2001-02-28",7.966364,8.152645,7.593803,7.915138,790800
"2001-03-01",7.853724,8.021374,7.71867,7.951519,675700
"2001-03-02",7.85838,8.091231,7.634844,7.951519,453900
"2001-03-05",7.864226,8.166932,7.845599,7.948052,404700
"2001-03-06",8.018022,8.064591,7.719974,7.934196,909100
"2001-03-07",7.722374,8.313812,7.568693,8.118217,3671000
"2001-03-08",8.020665,8.244201,7.894925,8.174346,680000
"2001-03-09",8.287491,8.287491,7.900959,8.091896,583400
"2001-03-12",8.220417,8.420667,8.052764,8.062078,931200
"2001-03-13",8.263582,8.263582,7.700087,7.951565,1166800
"2001-03-14",8.18977,8.18977,7.472594,7.714756,998000
"2001-03-15",7.388379,7.62123,7.099644,7.49549,3252700
"2001-03-16",7.66389,7.66389,7.66389,7.66389,1638100
"2001-03-19",7.695695,7.798148,7.565299,7.616525,729400
"2001-03-20",7.622332,7.776012,7.287027,7.613018,963200
"2001-03-21",7.583676,7.956237,7.513822,7.560392,1151800
"2001-03-22",7.743272,7.789841,6.881726,7.449879,2209700
"2001-03-23",7.324747,7.524997,6.989443,7.455143,588300
"2001-03-26",6.917807,7.728125,6.894522,7.709498,1284700
"2001-03-27",7.542853,8.055123,7.426426,7.542853,1911900
"2001-03-28",7.280971,7.653531,7.229743,7.560392,1286600
"2001-03-29",7.508016,7.62444,7.177367,7.563899,1397200
"2001-03-30",7.334032,7.729878,7.334032,7.711249,946100
"2001-04-02",7.291001,7.984895,7.291001,7.984895,1164000
