"","Open","High","Low","Close","Volume"
"2001-01-02",4.740074,4.773278,4.413903,4.507653,16438400
"2001-01-03",4.478661,4.759911,4.314599,4.634911,24014400
"2001-01-04",4.618123,4.625935,4.313435,4.407185,24139200
"2001-01-05",4.560102,4.653852,4.466352,4.474164,28048000
"2001-01-08",4.399403,4.610341,4.399403,4.547841,15412000
"2001-01-09",4.575727,4.661664,4.466352,4.474164,8844800
"2001-01-10",4.371536,4.754349,4.340286,4.715286,20512000
"2001-01-11",4.647212,4.787837,4.647212,4.748775,12037600
"2001-01-12",4.662848,4.79566,4.647223,4.79566,16648000
"2001-01-16",4.732045,4.90392,4.732045,4.802358,11405600
"2001-01-17",4.817983,4.90392,4.74767,4.802358,11756000
"2001-01-18",4.853713,4.916213,4.799025,4.869338,12414400
"2001-01-19",4.806857,5.017794,4.783419,4.963107,15804800
"2001-01-22",5.005494,5.021119,4.786744,4.849244,11187200
"2001-01-23",4.805742,4.993242,4.797929,4.969804,9845600
"2001-01-24",5.038932,5.054557,4.570182,4.648307,24792800
"2001-01-25",4.681778,4.728653,4.463028,4.588028,19751200
"2001-01-26",4.756619,4.912869,4.748806,4.889431,22613600
"2001-01-29",4.832594,5.293531,4.809156,5.277906,46998400
"2001-01-30",5.216511,5.239948,5.036823,5.224323,18477600
"2001-01-31",5.195332,5.367207,5.195332,5.351582,31927200
"2001-02-01",5.296874,5.335937,5.156249,5.257812,20617600
"2001-02-02",5.193054,5.255554,5.099304,5.130554,23588000
"2001-02-05",5.121625,5.207562,4.934125,5.13725,16599200
"2001-02-06",5.110509,5.360509,5.087072,5.344884,27388000
"2001-02-07",5.251134,5.368322,5.243322,5.344884,14171200
"2001-02-08",5.367177,5.546865,5.15624,5.210927,27500000
"2001-02-09",5.154,5.286813,5.114938,5.177438,11520000
"2001-02-12",5.147342,5.373904,5.147342,5.358279,13576800
"2001-02-13",5.328115,5.484365,5.210927,5.210927,17178400
"2001-02-14",5.239929,5.310242,5.083679,5.130554,18196800
"2001-02-15",5.137281,5.301344,5.121656,5.277906,11702400
"2001-02-16",5.189728,5.345978,5.158478,5.244416,8581600
"2001-02-20",5.294625,5.419625,5.169625,5.177438,14636000
"2001-02-21",5.138367,5.310242,5.005554,5.130554,19056000
"2001-02-22",5.201972,5.233222,4.998847,5.076972,12880000
"2001-02-23",5.071396,5.149521,4.930771,5.110459,18066400
"2001-02-26",5.10823,5.209792,5.100417,5.123855,14198400
"2001-02-27",5.108241,5.241054,5.076991,5.170741,16296000
"2001-02-28",5.197511,5.213136,5.072511,5.103761,20444800
"2001-03-01",5.089249,5.151749,4.940812,5.097062,19032000
"2001-03-02",5.152866,5.285679,5.090366,5.090366,45720800
"2001-03-05",5.104856,5.112669,4.925169,5.003294,13332800
"2001-03-06",5.017804,5.072491,4.947491,5.009991,15170400
"2001-03-07",5.027835,5.059085,4.9126,4.94971,16062400
"2001-03-08",4.948624,5.104874,4.917374,5.097062,18649600
"2001-03-09",5.104864,5.128301,5.011114,5.050176,10895200
"2001-03-12",5.05794,5.065753,4.792315,4.815753,18232800
"2001-03-13",4.85816,4.85816,4.51441,4.79566,26437600
