"","SCHW.Open","SCHW.High","SCHW.Low","SCHW.Close","SCHW.Volume","SCHW.Adjusted"
"2001-01-02",28.4375,28.8125,25.75,26.0625,4568100,21.501814
"2001-01-03",26,33,25.1875,32.875,12278500,27.122194
"2001-01-04",31.75,32.4375,29.75,30,7818000,24.750288
"2001-01-05",30.125,30.625,29.1875,29.625,5385900,24.440922
"2001-01-08",29,29.75,27.75,28.9375,4406600,23.873724
"2001-01-09",28.1875,28.25,27.5625,27.5625,5176500,22.739336
"2001-01-10",27.5,27.75,26.5625,27.3125,5839100,22.533083
"2001-01-11",27.4375,29.9375,27.375,29.3125,6768200,24.1831
"2001-01-12",29.25,29.4375,28.375,28.5,4280400,23.512783
"2001-01-16",28,29.3125,27.6875,28,3337500,23.100281
"2001-01-17",28.75,29.3125,28.1875,28.25,3534600,23.306526
"2001-01-18",28.25,28.25,27,27.375,5954100,22.584646
"2001-01-19",27,28.5625,26.875,28.3125,8070000,23.358093
"2001-01-22",28.4375,28.9375,28.1875,28.5,4126000,23.512783
"2001-01-23",28.5,28.9375,27.5625,27.6875,6625100,22.842468
"2001-01-24",28,28.9375,27.6875,28.1875,8541900,23.254969
"2001-01-25",28.875,29.25,28.4375,28.875,3774400,23.822168
"2001-01-26",27.625,28.375,27.625,27.875,4171600,22.997158
"2001-01-29",28,28.6,28,28.58,3951300,23.578777
"2001-01-30",28.51,28.610001,26.799999,27.290001,10263700,22.514523
"2001-01-31",26.5,26.950001,25.799999,26.41,11250400,21.788509
"2001-02-01",26.65,27.33,26.41,27.24,7040300,22.473269
"2001-02-02",27.25,27.450001,26.35,26.65,3907700,21.986509
"2001-02-05",26.26,26.6,25,25.99,5792200,21.442009
"2001-02-06",26.15,26.200001,25.41,25.639999,4460700,21.153254
"2001-02-07",25.620001,25.77,23,23.99,7523200,19.800484
"2001-02-08",24.25,25.360001,24.18,24.969999,8277900,20.609335
"2001-02-09",25.5,25.5,24.25,24.5,6144700,20.221416
"2001-02-12",24.950001,25.4,24.4,25.4,2833000,20.964245
"2001-02-13",25.02,26,25.02,25.65,4299600,21.170584
"2001-02-14",25.35,25.35,24.4,24.76,3274600,20.436008
"2001-02-15",23.9,24.700001,22.5,24.4,12601200,20.138885
"2001-02-16",23.4,23.969999,22.85,22.99,6068800,18.975119
"2001-02-20",23,23,21.440001,21.85,6922900,18.034204
"2001-02-21",21.299999,22.17,21.200001,21.23,5793300,17.522474
"2001-02-22",21.5,22.200001,20.870001,21.65,6261400,17.869131
"2001-02-23",21.1,21.1,19.5,20.32,7101100,16.771393
"2001-02-26",20.42,20.85,19.15,20.75,10491000,17.126307
"2001-02-27",21.200001,22.15,20.51,21.950001,8736300,18.116749
"2001-02-28",21.4,21.450001,19.860001,20.9,7971400,17.250107
"2001-03-01",19.549999,20.5,18.75,20.5,6944000,16.919962
"2001-03-02",19.5,20.700001,19.17,20,7242000,16.507282
"2001-03-05",20.780001,20.950001,19.48,19.889999,3741100,16.416485
"2001-03-06",19.9,21,19.889999,20.35,4348900,16.796156
"2001-03-07",20.370001,20.549999,19.76,20.389999,3403700,16.829166
"2001-03-08",20.389999,20.790001,19.299999,19.6,4235300,16.177137
"2001-03-09",19.1,19.25,18,18.24,5197800,15.054637
"2001-03-12",17.799999,17.799999,16,16.9,10106100,13.948657
"2001-03-13",17,18.620001,17,17.98,6211300,14.840041
"2001-03-14",16.25,17.82,16.200001,17.040001,8180500,14.064205
"2001-03-15",17.040001,17.9,16.639999,17.9,9785800,14.774017
"2001-03-16",16.4,17.379999,16.4,16.49,8282000,13.610253
"2001-03-19",16.639999,17.75,16.280001,17.549999,5234000,14.485139
"2001-03-20",17.450001,18.299999,16.790001,17,5541700,14.031188
"2001-03-21",16.6,17.120001,15.35,15.9,6856200,13.123286
"2001-03-22",15.3,15.5,14.5,15.2,10170300,12.545532
"2001-03-23",15.28,16.129999,14.95,16,7301100,13.205821
"2001-03-26",16.309999,16.5,16.049999,16.15,3502800,13.329625
"2001-03-27",16.299999,16.469999,15.76,16.41,4188800,13.544225
"2001-03-28",16.200001,16.200001,15.75,15.83,3781100,13.065514
"2001-03-29",15.75,16.049999,15.22,15.29,3948800,12.619814
"2001-03-30",15.6,15.63,15,15.42,4502300,12.727113
"2001-04-02",15.56,15.91,14.97,15,4709900,12.380458
"2001-04-03",15,15.5,13.9,14.27,6591400,11.777945
"2001-04-04",13.95,14.11,13.14,13.51,7897400,11.150666
"2001-04-05",14.5,15.68,14.41,15.54,6633800,12.826161
"2001-04-06",15.3,15.3,14.77,15.1,6259900,12.462997
"2001-04-09",15.1,15.36,14.55,14.92,4981800,12.314427
"2001-04-10",14.92,16.5,14.92,16.42,7117400,13.552475
"2001-04-11",18,18,17.049999,17.200001,7168700,14.196263
"2001-04-12",17.209999,18.700001,16.799999,18.639999,5550900,15.38478
"2001-04-16",17.799999,18.299999,17.709999,18,4330900,14.856554
"2001-04-17",17.35,18.48,17.290001,18.129999,4900700,14.963844
"2001-04-18",19,23.18,18.950001,21,12735400,17.33264
"2001-04-19",21.07,21.08,20.1,20.68,4418300,17.068529
"2001-04-20",20.690001,20.690001,20,20.09,4373400,16.581558
"2001-04-23",20.1,20.1,18.65,18.9,3663400,15.599376
"2001-04-24",19.379999,19.68,18.889999,19.139999,2782700,15.79747
"2001-04-25",19.139999,19.34,18.610001,19.129999,4605400,15.789208
"2001-04-26",19.129999,20.35,19,19.379999,3880100,15.995552
"2001-04-27",20.25,21.08,19.969999,20.23,4288300,16.697105
"2001-04-30",20.799999,20.799999,19.6,19.799999,3187700,16.342205
"2001-05-01",19.1,19.950001,18.799999,19.950001,6474200,16.466017
"2001-05-02",19.700001,21.200001,19.700001,21.1,5224700,17.415182
"2001-05-03",20.299999,20.299999,19.85,19.98,3844100,16.490772
"2001-05-04",19.75,20.700001,19.52,20.68,3023700,17.068529
"2001-05-07",20.5,20.75,20.139999,20.27,1971900,16.739031
"2001-05-08",20.27,20.49,20.01,20.08,2884200,16.582132
"2001-05-09",20.08,20.08,19.43,19.66,3594600,16.235296
"2001-05-10",20.01,20.26,19.780001,20.049999,2858300,16.55736
"2001-05-11",20.1,20.629999,19.65,19.76,3348600,16.317871
"2001-05-14",20,20.1,19.219999,19.6,2636500,16.185741
"2001-05-15",19.549999,19.799999,18.73,19.6,5641200,16.185741
"2001-05-16",19.6,20.25,18.76,20.25,7537600,16.722521
"2001-05-17",20.1,20.49,19.98,20.02,3874700,16.532583
"2001-05-18",20.02,20.02,19.16,19.450001,4353900,16.061884
"2001-05-21",19.6,20.93,19.25,20.75,6583000,17.135426
"2001-05-22",21.1,21.6,21,21.18,6249700,17.490519
"2001-05-23",21.120001,21.129999,20.629999,20.68,3712100,17.077616
"2001-05-24",20.9,21,20.41,20.9,2627000,17.259285
"2001-05-25",20.9,21.01,20.73,20.799999,2494300,17.176706
"2001-05-29",20.450001,20.83,19.5,19.76,3870100,16.317871
"2001-05-30",19.549999,19.799999,18.559999,18.65,4840800,15.401238
"2001-05-31",18.549999,19.049999,18.280001,18.799999,4355700,15.5251
"2001-06-01",18.75,18.98,18.32,18.389999,3325500,15.186522
"2001-06-04",18.700001,18.700001,18.120001,18.450001,2394300,15.23607
"2001-06-05",18.530001,19.610001,18.49,19.43,3548000,16.045359
"2001-06-06",19.200001,19.4,18.52,18.639999,2644500,15.392965
"2001-06-07",18.940001,18.98,18.18,18.5,3193600,15.277357
"2001-06-08",18.74,18.74,18.110001,18.200001,1392300,15.029623
"2001-06-11",18.15,18.299999,17.6,17.709999,2329400,14.624977
"2001-06-12",17.700001,18.23,17.120001,18.190001,3385800,15.021363
"2001-06-13",18.049999,18.370001,17.299999,17.35,2452400,14.327686
"2001-06-14",16.700001,16.700001,15.92,16.030001,7116500,13.237623
"2001-06-15",15.65,15.81,15.21,15.67,6775100,12.940337
"2001-06-18",15.85,15.85,15.18,15.22,4368400,12.568727
"2001-06-19",15.55,15.84,15.3,15.47,4546900,12.775178
"2001-06-20",15.22,15.4,14.99,15.16,4043100,12.519176
"2001-06-21",15.18,15.94,15.16,15.53,8196400,12.824724
"2001-06-22",15.5,15.6,15.17,15.6,3669500,12.882529
"2001-06-25",15.6,15.75,15.16,15.4,3038200,12.717371
"2001-06-26",15.01,16.25,14.94,16.01,6994000,13.221112
"2001-06-27",15.9,16.74,15.84,16.059999,7333100,13.262401
"2001-06-28",16.18,16.799999,16.18,16.450001,5128800,13.584466
"2001-06-29",16.450001,16.74,15.3,15.75,6202500,13.006398
"2001-07-02",15.5,16.15,15.5,16,4557600,13.212849
"2001-07-03",16,16.110001,15.76,15.9,1756300,13.130269
"2001-07-05",15.95,16.18,15.59,15.94,3504900,13.163304
"2001-07-06",15.7,15.8,15.06,15.08,2365000,12.45311
"2001-07-09",15.2,15.4,15.13,15.2,2466100,12.552208
"2001-07-10",15.13,15.35,14.9,14.94,3635200,12.337501
"2001-07-11",14.75,14.75,13.97,14.14,5533400,11.676858
"2001-07-12",14.3,15.22,14.3,15.02,4584400,12.403569
"2001-07-13",14.95,15.3,14.52,15.23,6024500,12.576981
"2001-07-16",15.2,15.2,14.44,14.45,3678500,11.932858
"2001-07-17",14.7,15.5,14.45,15.49,6809400,12.791692
"2001-07-18",15.05,15.16,14.8,15.02,4269900,12.403569
"2001-07-19",15.25,15.59,15.12,15.36,3671800,12.68434
"2001-07-20",15,15.47,15,15.19,3388700,12.543954
"2001-07-23",15.2,15.41,14.85,14.86,2397100,12.271437
"2001-07-24",14.56,14.8,14.34,14.6,3544700,12.056728
"2001-07-25",14.75,14.9,14.44,14.6,3974500,12.056728
"2001-07-26",14.59,15.1,14.45,14.89,4129300,12.296213
"2001-07-27",14.98,15.36,14.92,15.14,3274600,12.502663
"2001-07-30",15.1,15.1,14.6,14.82,2570900,12.2384
"2001-07-31",14.7,15.18,14.7,14.99,4538300,12.37879
"2001-08-01",14.99,15.4,14.75,15.25,4020300,12.593503
"2001-08-02",15.45,15.62,15.05,15.26,3931100,12.601762
"2001-08-03",15.26,15.28,15.03,15.22,2806200,12.568727
"2001-08-06",15.15,15.17,14.9,15,2693200,12.38705
"2001-08-07",14.7,14.75,14.37,14.49,3189000,11.974668
"2001-08-08",14.4,14.4,13.97,14.06,3779500,11.619314
"2001-08-09",14.06,14.09,13.76,14.01,3985700,11.577995
"2001-08-10",13.8,13.97,13.64,13.83,3262900,11.42924
"2001-08-13",13.51,13.58,12.96,13.28,10504800,10.974712
"2001-08-14",13.35,13.6,13.18,13.28,5513300,10.974712
"2001-08-15",13.38,13.7,13.19,13.37,5204600,11.049094
"2001-08-16",13.1,13.1,12.23,12.87,5784000,10.635886
"2001-08-17",12.7,12.88,12.35,12.75,3589100,10.536718
"2001-08-20",12.7,12.74,12.4,12.54,2874700,10.363171
"2001-08-21",12.7,13.31,12.51,12.52,4515000,10.346643
"2001-08-22",12.76,12.9,12.54,12.79,2922400,10.569777
"2001-08-23",12.51,12.92,12.51,12.67,2012000,10.470601
"2001-08-24",12.6,13.49,12.6,13.39,6374200,11.065618
"2001-08-27",13.42,13.42,12.9,13.01,3605200,10.751586
"2001-08-28",12.76,12.9,12.3,12.31,3406700,10.173097
"2001-08-29",12.41,12.55,12.12,12.2,3429700,10.08219
"2001-08-30",12.2,12.2,11.75,12.05,5191600,9.958233
"2001-08-31",12,12.56,11.97,12.46,3101800,10.297058
"2001-09-04",12.46,13,12.17,12.35,3832200,10.206159
"2001-09-05",12.35,12.61,12.12,12.38,3131400,10.230947
"2001-09-06",12.15,12.2,11.3,12.03,4121900,9.941704
"2001-09-07",12,12.18,11.59,11.87,4092900,9.809481
"2001-09-10",11.55,12.18,11.44,11.77,4098400,9.726837
"2001-09-17",10.75,10.89,9.91,10.07,8035500,8.321939
"2001-09-18",10.01,10.41,10,10.01,6242100,8.272357
"2001-09-19",9.99,10.17,8.98,9.45,10346100,7.809568
"2001-09-20",9.05,9.31,8.81,8.94,7001000,7.388094
"2001-09-21",8.3,9.6,8.13,9.5,11180900,7.850887
"2001-09-24",9.9,10.48,9.75,10.2,8006500,8.429375
"2001-09-25",10.4,10.67,9.95,10.27,7002900,8.487224
"2001-09-26",10.45,10.59,9.7,10.1,5342000,8.346737
"2001-09-27",10,10.65,9.95,10.65,6233700,8.801261
"2001-09-28",10.65,11.5,10.5,11.5,7031400,9.503706
"2001-10-01",11.1,11.16,10.46,10.87,4656400,8.98307
"2001-10-02",10.87,11.38,10.57,11.38,3606500,9.404539
"2001-10-03",11.08,11.29,10.9,11.15,6238300,9.214462
