"","SHW.Open","SHW.High","SHW.Low","SHW.Close","SHW.Volume","SHW.Adjusted"
"2001-01-02",26.1875,26.25,24.625,24.9375,505200,18.237745
"2001-01-03",25.1875,26.375,24.75,26.3125,594400,19.24334
"2001-01-04",26.3125,27.25,26.3125,26.9375,768300,19.700422
"2001-01-05",27,27,25.9375,26.4375,637500,19.334759
"2001-01-08",26.1875,26.75,26.0625,26.3125,507800,19.24334
"2001-01-09",26.125,26.1875,25.5,25.6875,618600,18.786253
"2001-01-10",25.4375,26,24.875,25.9375,348700,18.969091
"2001-01-11",26.1875,26.1875,25.375,25.75,386600,18.831963
"2001-01-12",25.625,26.5,25.25,26.4375,741000,19.334759
"2001-01-16",26.4375,26.9375,26,26.875,634900,19.654716
"2001-01-17",26.9375,27.25,26.6875,27.0625,941100,19.791847
"2001-01-18",26.875,26.875,25.375,25.625,1260900,18.740549
"2001-01-19",25,25.3125,24,24.3125,1141400,17.780657
"2001-01-22",24.5625,24.875,23.625,24.5,825000,17.917793
"2001-01-23",25,25.0625,24.625,24.9375,492300,18.237745
"2001-01-24",23.75,24.5625,23.625,24.5625,995900,17.963505
"2001-01-25",24.3125,25.875,24.25,25.75,784700,18.831963
"2001-01-26",25.75,25.75,24.6875,25.125,464100,18.374874
"2001-01-29",25.120001,25.950001,24.889999,25.65,595200,18.758841
"2001-01-30",25.9,26,25.02,26,578300,19.014799
"2001-01-31",26,27,26,26.85,611700,19.636436
"2001-02-01",26.85,26.99,26.35,26.6,407200,19.453594
"2001-02-02",26.549999,26.700001,26.200001,26.4,430600,19.307337
"2001-02-05",26.299999,26.9,26.15,26.75,540300,19.563301
"2001-02-06",26.75,26.75,25.93,26.030001,700700,19.036741
"2001-02-07",26.1,26.4,25.25,26.030001,529600,19.036741
"2001-02-08",26.27,26.5,25.610001,25.790001,530900,18.861221
"2001-02-09",25.879999,26.690001,25.700001,26.549999,606800,19.41704
"2001-02-12",26.75,26.75,26.15,26.51,442700,19.387774
"2001-02-13",26.51,27.18,26.299999,26.75,1275900,19.563301
"2001-02-14",26.950001,26.99,26.450001,26.48,816000,19.365847
"2001-02-15",26.5,27.120001,26,26.15,917600,19.124502
"2001-02-16",26.370001,26.370001,25.76,26.110001,517200,19.095243
"2001-02-20",26.110001,26.299999,25.610001,25.76,531200,18.839273
"2001-02-21",25.85,25.85,24.959999,24.99,516800,18.27615
"2001-02-22",25.049999,25.200001,24.15,24.49,673300,18.015011
