"","Open","High","Low","Close","Volume"
"2001-01-02",26.135294,27.447794,26.135294,26.916544,6675800
"2001-01-03",27.101784,27.133034,25.758034,26.258034,12393800
"2001-01-04",26.235201,26.266451,24.235201,25.578951,11791400
"2001-01-05",25.739021,26.520271,24.989021,25.270271,6584200
"2001-01-08",25.571339,26.071339,25.102589,25.352589,4615000
"2001-01-09",26.101818,26.258068,25.008068,25.414318,7282400
"2001-01-10",25.139145,26.076645,25.076645,25.764145,7696000
"2001-01-11",25.859398,26.578148,25.453148,26.484398,9695000
"2001-01-12",26.158926,26.783926,25.971426,26.690176,5219600
"2001-01-16",26.775553,27.119303,25.681803,26.525553,7114000
"2001-01-17",26.187956,26.187956,24.750456,25.187956,9685600
"2001-01-18",25.848824,26.255074,23.755074,23.973824,10294000
"2001-01-19",23.85568,24.44943,23.23068,24.26193,8969400
"2001-01-22",24.428854,24.991354,23.897604,24.241354,6045400
"2001-01-23",24.667412,24.917412,23.917412,24.323662,6757200
"2001-01-24",24.608696,25.421196,23.889946,24.858696,5649800
"2001-01-25",24.303005,26.021755,23.865505,25.990505,9040200
"2001-01-26",26.236719,26.267969,25.080469,25.455469,7697000
"2001-01-29",25.336507,25.536508,24.666509,24.901506,5055800
"2001-01-30",25.258698,25.483696,24.458694,24.858696,5095000
"2001-01-31",24.761728,25.311727,24.436727,25.28673,4706600
"2001-02-01",25.006993,25.01199,24.426991,24.861992,3812400
"2001-02-02",25.10759,25.577587,24.852589,25.352589,4939600
"2001-02-05",25.180136,26.005137,25.180136,25.685137,6697800
"2001-02-06",25.641577,26.236579,24.936575,26.106577,6371800
"2001-02-07",25.958776,26.43878,25.483778,26.06378,8329200
"2001-02-08",26.195253,26.55525,25.725252,25.810251,5878200
"2001-02-09",26.14769,26.572689,25.527691,25.747688,4858200
"2001-02-12",25.468544,25.768543,22.468544,22.718544,30477000
"2001-02-13",23.068859,23.26886,20.968859,21.078857,37295200
"2001-02-14",21.196402,21.746401,20.576403,21.546404,27961000
"2001-02-15",21.779591,21.779591,20.719592,21.154591,15092400
"2001-02-16",21.486908,21.681908,20.761908,21.236908,17278800
"2001-02-20",21.505128,21.880128,21.28013,21.520132,11110000
"2001-02-21",21.063745,21.683744,20.913745,20.963745,11131800
"2001-02-22",21.858935,22.108935,20.458933,20.678932,11803000
"2001-02-23",21.169165,21.494166,19.724166,19.874165,12068000
"2001-02-26",20.035843,21.585842,19.850841,21.410843,15737800
"2001-02-27",21.478046,21.608048,21.128048,21.328049,8766200
"2001-02-28",21.537771,21.607771,20.687773,21.112772,7727000
"2001-03-01",21.210373,21.580373,20.810373,20.970373,8348400
"2001-03-02",20.759225,21.959226,20.544225,21.659227,8198600
"2001-03-05",21.559111,22.419107,21.344111,21.934111,5393600
"2001-03-06",21.673926,22.453925,21.423926,22.218924,5632000
"2001-03-07",21.867714,22.922715,21.867714,22.917713,8284600
"2001-03-08",22.733232,23.138231,22.108232,22.838232,7693200
"2001-03-09",22.700429,23.200429,22.320428,22.75543,7160800
"2001-03-12",22.881991,23.196989,21.73699,22.516989,6853600
"2001-03-13",22.632612,22.632612,21.757612,21.907614,6283200
"2001-03-14",22.009871,22.734869,21.339873,21.55987,6947200
"2001-03-15",21.806343,22.056343,20.756344,21.076344,7691400
"2001-03-16",20.718264,21.568265,20.168265,20.268265,12111800
"2001-03-19",20.211734,21.286735,20.211734,21.016735,6448000
"2001-03-20",21.091627,22.166628,20.881626,21.546625,7572400
"2001-03-21",21.189389,21.894387,20.764388,20.864388,6491400
"2001-03-22",20.968784,21.043783,19.608784,20.188784,10645400
"2001-03-23",20.321472,21.346474,19.781473,20.801474,7771000
"2001-03-26",20.929342,21.604341,20.929342,21.129341,6153000
"2001-03-27",21.548161,21.763161,20.423159,20.798159,6205400
"2001-03-28",21.079691,21.124691,19.929692,20.049692,6342600
"2001-03-29",20.043944,20.153945,18.893945,19.138945,10501200
"2001-03-30",19.274334,20.019335,19.034334,19.079334,14008800
"2001-04-02",19.546059,19.596058,17.981058,18.301058,10109000
"2001-04-03",18.995827,19.095825,17.465826,17.565826,12499200
"2001-04-04",17.628695,18.633694,17.553694,17.893694,12803400
"2001-04-05",18.063999,19.053999,17.789,18.874001,10900200
"2001-04-06",18.251935,19.696935,17.921935,19.191935,12761800
"2001-04-09",19.770204,20.020204,19.320203,19.970203,9108600
"2001-04-10",20.083863,20.478863,19.368863,20.433863,11152000
"2001-04-11",20.590462,20.685461,19.930462,19.930462,6420800
"2001-04-12",19.891574,20.616575,19.891574,20.271574,10133400
"2001-04-16",20.112889,20.78789,19.932888,20.58289,4219600
"2001-04-17",20.300171,21.060171,20.14517,20.745171,6406600
"2001-04-18",21.106774,21.676776,20.061774,20.241774,12383600
"2001-04-19",20.705905,20.880904,19.405904,19.605904,10390800
"2001-04-20",19.745861,20.360863,19.390862,20.125862,8965800
"2001-04-23",20.377689,20.712688,20.292688,20.61269,6096600
"2001-04-24",20.695672,20.945672,20.100671,20.410673,5730600
"2001-04-25",20.182711,20.962711,19.712711,20.86771,5394400
"2001-04-26",20.62834,22.32334,20.62834,22.30834,10673600
"2001-04-27",22.607929,22.607929,21.572929,21.857929,8228800
"2001-04-30",21.907294,22.507297,21.507297,21.957298,5836600
"2001-05-01",22.195322,22.270318,21.15032,21.49032,6225800
"2001-05-02",20.607486,20.682487,20.157485,20.387487,10264600
"2001-05-03",20.58048,20.93048,19.95548,20.440481,7375400
"2001-05-04",20.677837,21.072838,20.412838,20.847837,4643600
"2001-05-07",21.405745,21.520745,20.220746,20.655745,4284600
"2001-05-08",20.340292,20.680292,20.015293,20.470293,5327200
"2001-05-09",20.617838,20.917837,20.547836,20.847837,6782600
"2001-05-10",20.905241,21.180241,20.430241,20.735241,4658200
"2001-05-11",20.743334,20.758333,20.318333,20.513332,3062400
