"","Open","High","Low","Close","Volume"
"2001-01-02",8.151444,8.151444,7.769631,7.845994,2247800
"2001-01-03",8.328151,8.671782,7.259076,7.602708,4932200
"2001-01-04",8.200749,8.200749,6.520773,7.055312,10274300
"2001-01-05",7.277299,7.697291,6.933667,6.933667,7414400
"2001-01-08",6.657957,7.154312,6.657957,7.116133,2451400
"2001-01-09",7.016798,7.13134,6.749529,7.13134,2706100
"2001-01-10",7.292169,7.521257,6.833996,7.024902,3286400
"2001-01-11",7.67566,7.67566,6.301135,6.644764,4487100
"2001-01-12",6.483597,6.827229,6.063605,6.827229,3603300
"2001-01-16",6.575502,6.766409,5.926422,6.766409,4831300
"2001-01-17",6.804925,6.995832,6.461295,6.690381,2977500
"2001-01-18",6.758973,6.94988,6.338981,6.720792,5092600
"2001-01-19",6.055839,7.124914,6.017658,6.857645,4772900
"2001-01-22",6.673836,7.09383,6.597473,6.979286,2323200
"2001-01-23",6.933333,7.46787,6.818789,7.009696,2871300
"2001-01-24",6.848864,7.307038,6.848864,7.116133,1988300
"2001-01-25",7.039435,7.383067,7.001256,7.192161,2457100
"2001-01-26",7.414147,7.528691,6.650523,7.070517,2649300
"2001-01-29",7.093966,7.478833,7.069529,7.155057,1544600
"2001-01-30",7.038935,7.283295,6.916754,7.167223,2654200
"2001-01-31",7.270155,7.270155,6.995251,7.099102,4023000
"2001-02-01",7.37294,7.37294,6.951418,7.146906,4063600
"2001-02-02",7.035013,7.285482,6.992248,7.212173,2658200
"2001-02-05",7.097016,7.414685,7.097016,7.292504,1869300
"2001-02-06",7.220531,7.373256,7.055587,7.342712,2070700
"2001-02-07",7.270741,7.57008,7.179104,7.39292,2504100
"2001-02-08",7.295584,7.546051,7.258928,7.546051,2499500
"2001-02-09",7.535919,7.76806,7.46261,7.578681,1987300
"2001-02-12",7.518837,7.787634,7.237824,7.671563,4088500
"2001-02-13",7.705038,7.815001,7.344609,7.64395,3467300
"2001-02-14",7.757265,7.842791,7.396833,7.586212,2382300
"2001-02-15",7.803223,7.80933,7.308394,7.430573,4061700
"2001-02-16",7.558848,7.662701,7.442778,7.613829,2784500
"2001-02-20",7.423096,7.783528,7.374224,7.746872,2825300
"2001-02-21",7.94396,8.023376,7.662944,7.669053,2847200
"2001-02-22",7.71935,8.177526,7.377246,7.676587,2410700
"2001-02-23",7.824135,8.068495,7.109383,7.573666,2728500
"2001-02-26",7.472897,7.75391,7.466788,7.64395,2029900
"2001-02-27",7.476654,7.75156,7.427782,7.739341,2328300
"2001-02-28",7.677831,7.848884,7.341836,7.769465,3251700
"2001-03-01",7.789218,8.003031,7.58762,7.776999,3256600
"2001-03-02",7.857328,7.936744,7.551878,7.857328,3928400
"2001-03-05",7.878836,7.994905,7.713892,7.884945,1588400
"2001-03-06",7.94863,7.966958,7.759251,7.844779,1816800
"2001-03-07",7.955247,8.052991,7.70478,7.771978,3006700
"2001-03-08",7.852729,7.950473,7.687785,7.822185,2340600
"2001-03-09",7.8611,7.891646,7.68394,7.769465,2413300
"2001-03-12",7.609632,7.945626,7.591304,7.731811,2416900
"2001-03-13",7.922543,7.922543,7.580439,7.598766,2551100
"2001-03-14",7.707233,7.798868,7.389564,7.450655,2864600
"2001-03-15",7.778403,8.053309,7.55848,7.967782,8449800
"2001-03-16",7.956988,8.286875,7.908116,7.975316,5854600
"2001-03-19",7.844254,8.284102,7.844254,8.100832,4449000
"2001-03-20",8.014468,8.460425,7.947269,8.161084,4524600
"2001-03-21",8.043495,8.373383,8.043495,8.196221,7507600
"2001-03-22",8.430137,8.564534,7.611531,8.033052,4333100
"2001-03-23",7.973891,8.340432,7.723422,7.967782,3848500
"2001-03-26",7.556274,8.50317,7.495184,8.344335,3983100
"2001-03-27",8.089676,8.627268,8.089676,8.462324,3619000
"2001-03-28",8.437955,8.700643,8.376867,8.602899,4158900
"2001-03-29",8.502135,8.703732,8.184466,8.673186,4247100
"2001-03-30",8.631579,9.022555,8.582707,8.808741,4935100
"2001-04-02",8.834516,9.121639,8.608482,8.858952,4317700
"2001-04-03",8.931399,9.221398,8.631398,9.081398,7266200
"2001-04-04",9.199217,9.329217,8.799218,8.999217,7805600
"2001-04-05",8.854962,9.104962,8.614963,9.064961,2660600
"2001-04-06",9.352521,9.41252,8.24252,8.82252,5118300
"2001-04-09",8.516198,9.396199,8.516198,9.036199,2692700
"2001-04-10",8.875366,9.225366,8.775366,9.155367,2828900
"2001-04-11",9.560569,9.560569,8.810569,9.200568,3256000
"2001-04-12",8.940166,9.230167,8.770166,9.110166,2127000
"2001-04-16",8.946858,9.436858,8.786858,9.286858,1518900
"2001-04-17",9.05712,9.45712,8.997121,9.44712,2227200
"2001-04-18",9.569047,9.819047,9.059047,9.369046,3528400
"2001-04-19",9.457696,9.707696,9.067695,9.167695,2583500
"2001-04-20",9.388234,9.628234,8.828235,9.188236,2149000
"2001-04-23",9.289736,9.429737,9.039736,9.319736,1717700
"2001-04-24",9.451084,9.531084,9.101084,9.521084,2002500
"2001-04-25",9.914509,9.914509,9.37451,9.574509,1949500
