"","WinIndex","WinBAH","WinTrade","AnnRetIndex","AnnRetBAH","AnnRetTrade","AnnSharpeIndex","AnnSharpeBAH","AnnSharpeTrade","MaxDDIndex","MaxDDBAH","MaxDDTrade","Accuracy","Precision","Recall"
"MAT",0.545045045045045,0.523882113821138,0.58149316508938,0.122782358142683,0.0502413217674732,0.181815037937194,0.838184053133359,0.175077884364423,0.898879958557103,0.19388242085951,0.668994779027235,0.548245890477372,0.489714285714286,0.463705308775731,0.518159806295399
"MSI",0.545045045045045,0.525595539787126,0.598870056497175,0.122782358142683,0.184241400605027,0.366762983283811,0.838184053133359,0.812329961023362,2.40554967859297,0.19388242085951,0.19135167854901,0.167942929454465,0.501714285714286,0.447058823529412,0.540750323415265
"XL",0.545045045045045,0.531408308004053,0.607142857142857,0.122782358142683,0.144185948167904,0.319956374955182,0.838184053133359,0.608294919537265,2.09417705545294,0.19388242085951,0.270729431996494,0.235016755173613,0.512571428571429,0.495258166491043,0.556872037914692
"EW",0.545045045045045,0.52784746613146,0.596194503171247,0.122782358142683,0.250266577682396,0.364847268799725,0.838184053133359,0.797871076603447,1.71304166622838,0.19388242085951,0.440182250569476,0.321497859685448,0.501142857142857,0.467969598262758,0.52948402948403
"AMZN",0.545045045045045,0.526078234704112,0.574976122254059,0.122782358142683,0.331318665863465,0.419490269060597,0.838184053133359,1.06693088428798,1.94717856082168,0.19388242085951,0.305344572323,0.269019470955212,0.489142857142857,0.514069264069264,0.516304347826087
"NWL",0.545045045045045,0.520283975659229,0.585828343313373,0.122782358142683,0.15302836007579,0.246946436743093,0.838184053133359,0.55491026232442,1.24374367708809,0.19388242085951,0.48761781322095,0.405109568995737,0.508,0.513100436681223,0.531073446327684
"ROP",0.545045045045045,0.544132397191575,0.593170731707317,0.122782358142683,0.230154623869686,0.257103867181218,0.838184053133359,1.11567294055832,1.77807916765144,0.19388242085951,0.25291298323938,0.259034665523207,0.486857142857143,0.494216614090431,0.529875986471251
"HCP",0.545045045045045,0.547198384654215,0.598890942698706,0.122782358142683,0.0831400401895855,0.224447587642572,0.838184053133359,0.346104261713104,1.2512600699452,0.19388242085951,0.442180146730522,0.436003273863011,0.498857142857143,0.543298969072165,0.548387096774194
"BMY",0.545045045045045,0.531549722362443,0.589367552703941,0.122782358142683,0.171585596185803,0.189954024489608,0.838184053133359,0.771568618383516,1.15628961011021,0.19388242085951,0.381844423802517,0.388455252995001,0.504571428571429,0.558016877637131,0.541453428863869
"NFLX",0.545045045045045,0.505764411027569,0.579681274900398,0.122782358142683,0.556155957510168,0.707284679137556,0.838184053133359,1.02245641357312,1.73295919260692,0.19388242085951,0.819904262642314,0.620187020198059,0.513714285714286,0.51027397260274,0.514384349827388
