"","WinIndex","WinBAH","WinTrade","AnnRetIndex","AnnRetBAH","AnnRetTrade","AnnSharpeIndex","AnnSharpeBAH","AnnSharpeTrade","MaxDDIndex","MaxDDBAH","MaxDDTrade","Accuracy","Precision","Recall"
"MAT",0.545045045045045,0.523882113821138,0.584053794428434,0.122782358142683,0.0502413217674732,0.164253797847055,0.838184053133359,0.175077884364423,0.904148181298899,0.19388242085951,0.668994779027235,0.584642667625719,0.504571428571429,0.529794149512459,0.530368763557484
"MSI",0.545045045045045,0.525595539787126,0.581120943952802,0.122782358142683,0.184241400605027,0.338397808003889,0.838184053133359,0.812329961023362,2.02596160879149,0.19388242085951,0.19135167854901,0.191047559517961,0.497142857142857,0.514438502673797,0.5303197353914
"XL",0.545045045045045,0.531408308004053,0.597938144329897,0.122782358142683,0.144185948167904,0.308494631044493,0.838184053133359,0.608294919537265,1.7994458535756,0.19388242085951,0.270729431996494,0.244891996351957,0.514285714285714,0.556375131717597,0.551724137931034
"EW",0.545045045045045,0.52784746613146,0.580246913580247,0.122782358142683,0.250266577682396,0.319692005222439,0.838184053133359,0.797871076603447,1.43715740318865,0.19388242085951,0.440182250569476,0.289124499436459,0.493714285714286,0.517915309446254,0.519042437431991
"AMZN",0.545045045045045,0.526078234704112,0.588447653429603,0.122782358142683,0.331318665863465,0.485686855972969,0.838184053133359,1.06693088428798,2.11121949442498,0.19388242085951,0.305344572323,0.366476782898764,0.510857142857143,0.567099567099567,0.53469387755102
"NWL",0.545045045045045,0.520283975659229,0.573372206025267,0.122782358142683,0.15302836007579,0.283521029548466,0.838184053133359,0.55491026232442,1.54112026362306,0.19388242085951,0.48761781322095,0.272409188042612,0.492571428571429,0.509825327510917,0.515452538631347
"ROP",0.545045045045045,0.544132397191575,0.583955223880597,0.122782358142683,0.230154623869686,0.258562154469254,0.838184053133359,1.11567294055832,1.76787038923257,0.19388242085951,0.25291298323938,0.245338458562743,0.48,0.512092534174553,0.521972132904609
"HCP",0.545045045045045,0.547198384654215,0.613746369796709,0.122782358142683,0.0831400401895855,0.280350743605642,0.838184053133359,0.346104261713104,1.51246199897612,0.19388242085951,0.442180146730522,0.366435587424587,0.508571428571429,0.525773195876289,0.56043956043956
"BMY",0.545045045045045,0.531549722362443,0.60920666013712,0.122782358142683,0.171585596185803,0.285701984947765,0.838184053133359,0.771568618383516,2.017756225322,0.19388242085951,0.381844423802517,0.125165100168106,0.518285714285714,0.531645569620253,0.558139534883721
"NFLX",0.545045045045045,0.505764411027569,0.560836501901141,0.122782358142683,0.556155957510168,0.669632251469247,0.838184053133359,1.02245641357312,1.57447876148928,0.19388242085951,0.819904262642314,0.735349264226826,0.496571428571429,0.521689497716895,0.49727965179543
