"","WinIndex","WinBAH","WinTrade","AnnRetIndex","AnnRetBAH","AnnRetTrade","AnnSharpeIndex","AnnSharpeBAH","AnnSharpeTrade","MaxDDIndex","MaxDDBAH","MaxDDTrade","Accuracy","Precision","Recall"
"MAT",0.545045045045045,0.523882113821138,0.566,0.122782358142683,0.0502413217674732,0.218699116750953,0.838184053133359,0.175077884364423,0.895378411695604,0.19388242085951,0.668994779027235,0.651358550765404,0.52,0.795232936078006,0.529963898916967
"MSI",0.545045045045045,0.525595539787126,0.560686796921255,0.122782358142683,0.184241400605027,0.366057757418827,0.838184053133359,0.812329961023362,1.83665127571544,0.19388242085951,0.19135167854901,0.286974334879505,0.523428571428571,0.901604278074866,0.53186119873817
"XL",0.545045045045045,0.531408308004053,0.568221070811744,0.122782358142683,0.144185948167904,0.339331221595989,0.838184053133359,0.608294919537265,1.63509670874287,0.19388242085951,0.270729431996494,0.266149234092842,0.533714285714286,0.931506849315068,0.540672782874618
"EW",0.545045045045045,0.52784746613146,0.570117955439056,0.122782358142683,0.250266577682396,0.358592337735284,0.838184053133359,0.797871076603447,1.28011512279153,0.19388242085951,0.440182250569476,0.435924344124797,0.52,0.801302931596091,0.529032258064516
"AMZN",0.545045045045045,0.526078234704112,0.563302752293578,0.122782358142683,0.331318665863465,0.493417287642934,0.838184053133359,1.06693088428798,1.72902226838453,0.19388242085951,0.305344572323,0.374017116337636,0.518857142857143,0.861471861471861,0.527152317880795
"NWL",0.545045045045045,0.520283975659229,0.555220277610139,0.122782358142683,0.15302836007579,0.365616812195581,0.838184053133359,0.55491026232442,1.51274010603009,0.19388242085951,0.48761781322095,0.441516253996079,0.517142857142857,0.882096069868996,0.522977346278317
"ROP",0.545045045045045,0.544132397191575,0.578021978021978,0.122782358142683,0.230154623869686,0.372098158620452,0.838184053133359,1.11567294055832,1.90364208765462,0.19388242085951,0.25291298323938,0.252912983239381,0.541714285714286,0.964248159831756,0.544213649851632
"HCP",0.545045045045045,0.547198384654215,0.581709956709957,0.122782358142683,0.0831400401895855,0.277845974846278,0.838184053133359,0.346104261713104,1.21264018525528,0.19388242085951,0.442180146730522,0.442180146730522,0.552571428571429,0.990721649484536,0.553890489913545
"BMY",0.545045045045045,0.531549722362443,0.570940170940171,0.122782358142683,0.171585596185803,0.290972775856722,0.838184053133359,0.771568618383516,1.36413915885831,0.19388242085951,0.381844423802517,0.381844423802517,0.540571428571429,0.94620253164557,0.543636363636364
"NFLX",0.545045045045045,0.505764411027569,0.572304995617879,0.122782358142683,0.556155957510168,0.73826853467669,0.838184053133359,1.02245641357312,2.12261406740574,0.19388242085951,0.819904262642314,0.340469018854588,0.516,0.590182648401826,0.514427860696517
