"","WinIndex","WinBAH","WinTrade","AnnRetIndex","AnnRetBAH","AnnRetTrade","AnnSharpeIndex","AnnSharpeBAH","AnnSharpeTrade","MaxDDIndex","MaxDDBAH","MaxDDTrade","Accuracy","Precision","Recall"
"MAT",0.545045045045045,0.523882113821138,0.594746716697936,0.122782358142683,0.0502413217674732,0.22990747200619,0.838184053133359,0.175077884364423,1.10724368118315,0.19388242085951,0.668994779027235,0.383871812758174,0.518285714285714,0.554712892741062,0.542372881355932
"MSI",0.545045045045045,0.525595539787126,0.602040816326531,0.122782358142683,0.184241400605027,0.368394683866367,0.838184053133359,0.812329961023362,2.20981627672582,0.19388242085951,0.19135167854901,0.13441120611975,0.516,0.511229946524064,0.550691244239631
"XL",0.545045045045045,0.531408308004053,0.610516066212269,0.122782358142683,0.144185948167904,0.37128588944896,0.838184053133359,0.608294919537265,2.10409011928455,0.19388242085951,0.270729431996494,0.162724542107484,0.524,0.544783983140148,0.56318082788671
"EW",0.545045045045045,0.52784746613146,0.596727622714148,0.122782358142683,0.250266577682396,0.365569232495701,0.838184053133359,0.797871076603447,1.50556135011141,0.19388242085951,0.440182250569476,0.467214583151374,0.512,0.528773072747014,0.536934950385888
"AMZN",0.545045045045045,0.526078234704112,0.592708333333333,0.122782358142683,0.331318665863465,0.369550870364774,0.838184053133359,1.06693088428798,1.76672003563668,0.19388242085951,0.305344572323,0.336082742547853,0.501714285714286,0.479437229437229,0.531175059952038
"NWL",0.545045045045045,0.520283975659229,0.581725888324873,0.122782358142683,0.15302836007579,0.295151581540261,0.838184053133359,0.55491026232442,1.37550415798163,0.19388242085951,0.48761781322095,0.42545276306684,0.499428571428571,0.493449781659389,0.523148148148148
"ROP",0.545045045045045,0.544132397191575,0.610152284263959,0.122782358142683,0.230154623869686,0.343933361551752,0.838184053133359,1.11567294055832,2.35220537306748,0.19388242085951,0.25291298323938,0.157085850081733,0.502285714285714,0.487907465825447,0.547169811320755
"HCP",0.545045045045045,0.547198384654215,0.600760456273764,0.122782358142683,0.0831400401895855,0.241265429594582,0.838184053133359,0.346104261713104,1.28355730323443,0.19388242085951,0.442180146730522,0.382932425914997,0.496571428571429,0.524742268041237,0.547900968783638
"BMY",0.545045045045045,0.531549722362443,0.574277168494516,0.122782358142683,0.171585596185803,0.175602142961977,0.838184053133359,0.771568618383516,1.07346753180832,0.19388242085951,0.381844423802517,0.267368653930937,0.480571428571429,0.491561181434599,0.521836506159015
"NFLX",0.545045045045045,0.505764411027569,0.572709163346614,0.122782358142683,0.556155957510168,0.666589053343848,0.838184053133359,1.02245641357312,1.74121056793502,0.19388242085951,0.819904262642314,0.478560725064989,0.505714285714286,0.502283105022831,0.506329113924051
"EMN",0.545045045045045,0.523308270676692,0.599375650364204,0.122782358142683,0.20739382456372,0.361684360299287,0.838184053133359,0.749052737170922,1.89199776721782,0.19388242085951,0.376679634106522,0.212616325782745,0.512571428571429,0.485714285714286,0.534461910519952
"IP",0.545045045045045,0.518108651911469,0.59830866807611,0.122782358142683,0.181435007078418,0.462924655790325,0.838184053133359,0.643504047860004,2.31605351764064,0.19388242085951,0.419089975550557,0.20054501023676,0.514857142857143,0.482910694597574,0.535452322738386
"AMGN",0.545045045045045,0.514285714285714,0.590146750524109,0.122782358142683,0.184905513220785,0.299414947176993,0.838184053133359,0.795850172861617,1.77502659091653,0.19388242085951,0.247663105692334,0.13527955368712,0.510857142857143,0.489571899012075,0.532855436081243
"HCN",0.544544544544545,0.553985872855701,0.609126984126984,0.117627712845543,0.119206887345456,0.181445993573254,0.802607123593385,0.572460655458764,1.21160685281363,0.19388242085951,0.323747458084084,0.333558373048317,0.493714285714286,0.498470948012232,0.553793884484711
"REGN",0.545045045045045,0.505516549648947,0.574531095755183,0.122782358142683,0.425787121711922,0.637472797372525,0.838184053133359,0.988366630734734,2.01288390142841,0.19388242085951,0.441171548635858,0.346744579342947,0.508571428571429,0.514705882352941,0.513544018058691
"DHR",0.545045045045045,0.526209677419355,0.609110169491525,0.122782358142683,0.233813444807586,0.263260616620824,0.838184053133359,0.87804773738981,1.87390421891812,0.19388242085951,0.274554423506919,0.192037365814112,0.516,0.483206933911159,0.54656862745098
"SCG",0.545045045045045,0.51664984863774,0.581745235707121,0.122782358142683,0.0722313329365647,0.15306654141746,0.838184053133359,0.390279954319658,1.10177127064067,0.19388242085951,0.479742828482894,0.424071017902547,0.502857142857143,0.5,0.520689655172414
"PLD",0.545045045045045,0.538694992412747,0.612463485881207,0.122782358142683,0.193216970569252,0.447701014366313,0.838184053133359,0.750132317441675,2.35336179609259,0.19388242085951,0.386175289145494,0.29494671340878,0.515428571428571,0.522340425531915,0.551685393258427
"BXP",0.545045045045045,0.525602409638554,0.601184600197433,0.122782358142683,0.141225187572823,0.383611126805272,0.838184053133359,0.668601125804652,2.38813316362857,0.19388242085951,0.241926381988863,0.17883177958171,0.517142857142857,0.51697699890471,0.538812785388128
"CME",0.545045045045045,0.522110552763819,0.584710743801653,0.122782358142683,0.178492104744316,0.292795646228266,0.838184053133359,0.760393038862637,1.65538610319506,0.19388242085951,0.316403090615211,0.177985531393457,0.497142857142857,0.485436893203884,0.527549824150059
"AVB",0.545045045045045,0.537612838515547,0.593808630393996,0.122782358142683,0.160976920837873,0.339097098944696,0.838184053133359,0.764591947811143,2.1231660493159,0.19388242085951,0.199997239695888,0.186529372239422,0.500571428571429,0.53134962805526,0.535905680600214
"AEP",0.545045045045045,0.539818548387097,0.627737226277372,0.122782358142683,0.146059929159301,0.233898097207571,0.838184053133359,0.90688758739248,2.00608694644313,0.19388242085951,0.17022782130365,0.131401195187574,0.524,0.509297520661157,0.579318448883666
"EL",0.545045045045045,0.517345399698341,0.580160320641283,0.122782358142683,0.239444875919535,0.347160947251923,0.838184053133359,0.982681646579853,1.87055471101557,0.19388242085951,0.226319631056371,0.200391984933638,0.501714285714286,0.501101321585903,0.520594965675057
"PPL",0.545045045045045,0.531472081218274,0.580487804878049,0.122782358142683,0.0723389365182776,0.149860940944433,0.838184053133359,0.433717970143826,1.29257807596642,0.19388242085951,0.219005803528266,0.192522404640887,0.490285714285714,0.515215110178384,0.533116178067318
"VTR",0.545045045045045,0.545956805625314,0.610136452241715,0.122782358142683,0.0993536571754211,0.244897644943443,0.838184053133359,0.421291372448963,1.33016396782879,0.19388242085951,0.451510599111598,0.38200333259996,0.506285714285714,0.523171987641607,0.558855885588559
"CHRW",0.545045045045045,0.540826612903226,0.599254426840634,0.122782358142683,0.102388115834969,0.273500489018963,0.838184053133359,0.460748201806238,1.72947979180472,0.19388242085951,0.351346565158218,0.192602145910295,0.506857142857143,0.542766631467793,0.544491525423729
"EIX",0.545045045045045,0.530808080808081,0.612163509471585,0.122782358142683,0.124582520689324,0.214654573002266,0.838184053133359,0.688414449398111,1.67291976054132,0.19388242085951,0.233906107310367,0.149924689128535,0.521714285714286,0.522388059701492,0.55745164960182
"VNO",0.545045045045045,0.524861878453039,0.586170212765957,0.122782358142683,0.119301020034944,0.278694127602565,0.838184053133359,0.553062178086068,1.79464447799052,0.19388242085951,0.284251376398924,0.286134400052262,0.491428571428571,0.456521739130435,0.518518518518518
"TWX",0.545045045045045,0.530005042864347,0.605263157894737,0.122782358142683,0.205079301492944,0.314055631000651,0.838184053133359,0.895633407304401,1.82573963661834,0.19388242085951,0.333399558755487,0.222042765800576,0.514285714285714,0.507494646680942,0.548611111111111
"CI",0.545045045045045,0.529618473895582,0.589320388349515,0.122782358142683,0.245555394566083,0.410203650566449,0.838184053133359,0.987498283091435,2.22726001957235,0.19388242085951,0.316350516315264,0.283614734264549,0.500571428571429,0.518201284796574,0.533039647577093
"NEE",0.545045045045045,0.549246231155779,0.616037735849057,0.122782358142683,0.193733209458335,0.260387490923657,0.838184053133359,1.20227951113945,2.17431335885046,0.19388242085951,0.139763612063515,0.214648721995031,0.513714285714286,0.546106557377049,0.566418703506908
"D",0.545045045045045,0.533030761472516,0.609653725078699,0.122782358142683,0.146606070779155,0.231985962465023,0.838184053133359,0.943063402508219,2.17416862959147,0.19388242085951,0.161052700284637,0.0899466675134462,0.511428571428571,0.485074626865672,0.550181378476421
"EXC",0.545045045045045,0.507077856420627,0.56425702811245,0.122782358142683,0.0421402527447833,0.160356563040765,0.838184053133359,0.21647152265308,1.15864776835821,0.19388242085951,0.344434698477609,0.342950360139223,0.496,0.503875968992248,0.511811023622047
"PSA",0.545045045045045,0.539348370927318,0.610323886639676,0.122782358142683,0.176809411294236,0.312493863050062,0.838184053133359,0.879469368262746,2.17184631333033,0.19388242085951,0.25774545507403,0.169640721120741,0.508571428571429,0.497881355932203,0.549065420560748
"DUK",0.545045045045045,0.532110091743119,0.586519114688129,0.122782358142683,0.122855774246041,0.14081727886222,0.838184053133359,0.839970361576845,1.30257207475034,0.19388242085951,0.230800154367552,0.193709653895629,0.493142857142857,0.5,0.536640360766629
"SBUX",0.545045045045045,0.522373051784817,0.588,0.122782358142683,0.245718501013417,0.354278634789271,0.838184053133359,1.02227231340227,1.91587396916149,0.19388242085951,0.297997830829207,0.215443723350008,0.504,0.503808487486398,0.529142857142857
"MMC",0.545045045045045,0.533941236068896,0.627069133398247,0.122782358142683,0.204916589036087,0.28978360349564,0.838184053133359,1.15788486139689,2.34473417735579,0.19388242085951,0.188560321864785,0.181693047138707,0.54,0.552603613177471,0.575221238938053
