"","SWK.Open","SWK.High","SWK.Low","SWK.Close","SWK.Volume","SWK.Adjusted"
"2001-01-02",31,31.125,30.5,30.75,343100,19.376606
"2001-01-03",30.75,31,29.625,30.8125,434000,19.415983
"2001-01-04",31.0625,31.625,30.75,31,838700,19.534132
"2001-01-05",31.25,31.75,30.375,30.4375,537900,19.179689
"2001-01-08",30.5625,31.125,29.6875,29.75,381100,18.746464
"2001-01-09",29.625,30.25,29.1875,29.9375,323200,18.864614
"2001-01-10",29.6875,30,29.375,29.8125,165500,18.785852
"2001-01-11",29,30.0625,28.75,29.9375,547100,18.864614
"2001-01-12",30.0625,30.0625,28.4375,29.8125,548100,18.785852
"2001-01-16",29.5625,30.5,29.5625,29.9375,720300,18.864614
"2001-01-17",30.1875,30.4375,29.9375,29.9375,381200,18.864614
"2001-01-18",30.25,30.25,29.0625,29.5625,173000,18.628319
"2001-01-19",29,29.5,28.25,28.875,283200,18.195097
"2001-01-22",28.875,28.9375,28.25,28.625,176800,18.037575
"2001-01-23",28.6875,28.6875,28.0625,28.5,221900,17.958799
"2001-01-24",28.875,30.125,28.6875,30,543600,18.903994
"2001-01-25",30.25,30.75,30.125,30.5625,968000,19.258442
"2001-01-26",33,33,32.125,32.4375,1591900,20.439953
"2001-01-29",32.439999,33.599998,32.43,32.610001,735100,20.548649
"2001-01-30",32.610001,33.119999,32.450001,33,482300,20.794403
"2001-01-31",34,34.950001,33.060001,34.32,645300,21.626181
"2001-02-01",34.07,34.080002,33.299999,33.689999,174400,21.229195
"2001-02-02",33.689999,34.549999,33.099998,33.400002,401600,21.046455
"2001-02-05",33.650002,34.299999,33.650002,34.099998,278900,21.487537
"2001-02-06",34.25,34.689999,34.110001,34.360001,396400,21.651386
"2001-02-07",34.16,34.349998,33.799999,34.279999,356400,21.600977
"2001-02-08",34.599998,35.52,34.509998,35.299999,578700,22.24371
"2001-02-09",35.299999,35.330002,33.5,34.330002,971100,21.632488
"2001-02-12",34.349998,35.48,34.349998,34.799999,421100,21.92864
"2001-02-13",35,36.34,35,35.919998,306000,22.634388
"2001-02-14",35.82,36.700001,35.75,35.900002,414900,22.62179
"2001-02-15",35.700001,36.98,35.700001,36.880001,371200,23.239325
"2001-02-16",36.849998,36.860001,35.700001,36.07,211100,22.72891
"2001-02-20",35.849998,37,35.849998,36.459999,319100,22.974663
"2001-02-21",36.709999,36.849998,36.130001,36.490002,348700,22.993565
"2001-02-22",36,36.009998,34.849998,35.209999,802200,22.187002
"2001-02-23",35,35.119999,33.650002,34.32,577700,21.626181
"2001-02-26",34.189999,35.700001,34.189999,35.380001,442100,22.294123
"2001-02-27",35.130001,36.099998,35.099998,35.950001,379400,22.653296
"2001-02-28",35.959999,35.959999,34.5,34.799999,438700,21.92864
"2001-03-01",34.599998,35.25,34.18,35.139999,283200,22.290211
"2001-03-02",35.139999,37,35.009998,36.470001,445500,23.13386
"2001-03-05",36.189999,38.299999,36.099998,37.169998,419600,23.57789
"2001-03-06",37.369999,38.049999,37.200001,37.310001,176400,23.666689
"2001-03-07",37.509998,37.900002,37.509998,37.57,208200,23.831617
"2001-03-08",37.560001,38.349998,36.810001,38,658400,24.104382
"2001-03-09",38.099998,38.200001,36.950001,37.110001,236100,23.539829
"2001-03-12",37.310001,37.599998,36.639999,36.700001,194400,23.279762
"2001-03-13",35.599998,36.400002,34.25,35.869999,974800,22.753267
"2001-03-14",35.869999,35.869999,34.650002,34.970001,255100,22.182369
"2001-03-15",35.200001,35.200001,33.990002,34,623900,21.567074
"2001-03-16",33.82,33.830002,32.52,32.57,780100,20.659996
"2001-03-19",32.5,34.119999,32.490002,33.41,354100,21.192822
"2001-03-20",33.209999,34.349998,33.049999,33.849998,300100,21.471926
"2001-03-21",35,35,32.900002,33.060001,352100,20.970812
"2001-03-22",32.75,32.75,30.889999,32.25,547200,20.457005
"2001-03-23",32.25,33,31.700001,32.759998,284700,20.780506
"2001-03-26",33.099998,33.700001,32.799999,33.57,205900,21.294312
"2001-03-27",33.57,33.57,32.700001,32.77,622300,20.786856
"2001-03-28",32.27,32.599998,31.65,32.400002,282400,20.552158
"2001-03-29",32.400002,32.810001,32.080002,32.59,136900,20.67267
"2001-03-30",32.299999,33.049999,31.9,32.950001,164100,20.901043
"2001-04-02",32.939999,33.75,32.240002,32.599998,303400,20.679026
"2001-04-03",32.5,32.509998,31.6,31.700001,219400,20.10813
"2001-04-04",31.75,32.580002,31.73,32.169998,353300,20.406256
"2001-04-05",33.299999,34.049999,32.860001,33.939999,291200,21.529018
"2001-04-06",34.110001,34.110001,32.759998,33.25,293900,21.091333
"2001-04-09",33,34.200001,32.91,33.040001,276000,20.95813
"2001-04-10",33.040001,34.299999,32.919998,34.150002,240600,21.662228
"2001-04-11",33.900002,34.099998,32.549999,32.759998,285700,20.780506
"2001-04-12",32.77,33.200001,32.490002,33.060001,175600,20.970812
"2001-04-16",33.310001,33.52,32.5,32.91,178900,20.875658
"2001-04-17",32.849998,33.130001,32.48,32.650002,243100,20.710739
"2001-04-18",32.650002,35.299999,32.549999,35.220001,562500,22.340952
"2001-04-19",35.150002,35.220001,34.02,34.700001,493700,22.01111
"2001-04-20",34.5,34.52,33.529999,34.07,419700,21.611475
"2001-04-23",34.169998,34.299999,33.259998,34.110001,146000,21.636854
"2001-04-24",33.66,34.150002,33,33.900002,266600,21.503643
"2001-04-25",33.900002,34.23,33.639999,34.200001,191400,21.693939
"2001-04-26",34,35.049999,34,34.77,177200,22.055506
"2001-04-27",35.099998,35.700001,35.060001,35.700001,223200,22.645428
"2001-04-30",35.950001,36.650002,35.759998,36.25,426200,22.994299
"2001-05-01",36.25,36.25,35.700001,35.759998,350700,22.683491
"2001-05-02",35.91,36.25,35.599998,36.099998,311800,22.89916
"2001-05-03",35.900002,36.099998,35.59,35.91,260400,22.778641
"2001-05-04",35.41,36.09,34.939999,36.09,320000,22.892822
"2001-05-07",36.119999,36.150002,35.490002,35.540001,328600,22.543936
"2001-05-08",35.540001,35.740002,35.299999,35.380001,249300,22.442446
"2001-05-09",34.880001,35.380001,34.75,35.25,209500,22.359989
"2001-05-10",34.950001,36.189999,34.950001,36.119999,422500,22.911842
"2001-05-11",36.049999,36.150002,35.599998,35.700001,194300,22.645428
"2001-05-14",35.849998,36.099998,35.5,35.950001,114500,22.804008
"2001-05-15",35.98,36.450001,35.919998,36.400002,214500,23.089453
"2001-05-16",36.299999,38,36.049999,37.900002,359500,24.040951
"2001-05-17",37.900002,38.150002,37.650002,37.82,161200,23.990198
"2001-05-18",37.75,38.150002,37.75,38.07,150000,24.148779
"2001-05-21",38.07,38.25,37.299999,38.25,122200,24.262962
"2001-05-22",38.25,38.389999,37.34,37.66,158400,23.888712
"2001-05-23",37.5,37.5,37.009998,37.200001,108500,23.59691
"2001-05-24",36.950001,37.32,36.5,37.200001,110500,23.59691
"2001-05-25",37.099998,37.25,36.790001,37.029999,114100,23.48908
"2001-05-29",36.900002,37.880001,36.900002,37.830002,197400,23.996553
"2001-05-30",37.630001,37.93,37.299999,37.669998,300100,23.895048
"2001-05-31",37.450001,38,37.450001,38,257800,24.252447
"2001-06-01",38.049999,38.400002,38,38.400002,295100,24.507755
"2001-06-04",38.650002,38.799999,37.849998,38.549999,202500,24.603476
"2001-06-05",38.700001,39.59,38.5,39.5,309200,25.209785
"2001-06-06",39.25,39.25,38.75,38.779999,157100,24.750261
"2001-06-07",38.880001,39.509998,38.66,39.5,258200,25.209785
"2001-06-08",39.889999,40.16,39.709999,40.049999,312400,25.560812
"2001-06-11",40.049999,40.400002,40.049999,40.349998,392900,25.752289
"2001-06-12",40.349998,40.349998,39.91,40.099998,734400,25.592716
"2001-06-13",40,40.310001,39.540001,40.009998,358300,25.535284
"2001-06-14",40.41,40.41,39.549999,39.57,344100,25.254471
"2001-06-15",39.25,40.009998,38.950001,40.009998,538700,25.535284
"2001-06-18",39,40.799999,38.200001,40.43,480900,25.803339
"2001-06-19",40.200001,40.599998,40.049999,40.400002,367900,25.784187
"2001-06-20",40.400002,41.299999,40.400002,41.18,865500,26.281996
"2001-06-21",41.43,41.540001,40.849998,41.540001,496400,26.511761
"2001-06-22",41.34,41.450001,40.650002,41.279999,365100,26.345827
"2001-06-25",41.080002,41.25,40.209999,40.650002,207100,25.943754
"2001-06-26",40.650002,40.950001,40.349998,40.82,242600,26.052252
"2001-06-27",40.5,41.459999,40.5,41.400002,303500,26.422422
"2001-06-28",41.549999,41.849998,41.5,41.650002,289500,26.581976
"2001-06-29",41.650002,41.990002,41.400002,41.880001,396800,26.728764
"2001-07-02",41.880001,42.150002,41.450001,41.869999,432900,26.72238
"2001-07-03",41.889999,42.139999,41.57,42,164200,26.805351
"2001-07-05",42,42.200001,41.799999,42.049999,189000,26.837261
"2001-07-06",42.049999,42.049999,40.849998,41.349998,207500,26.390501
"2001-07-09",41.5,41.799999,40.700001,41.689999,798600,26.607494
"2001-07-10",41.75,41.75,40.91,41.299999,214300,26.358591
"2001-07-11",40.900002,41.099998,40.400002,40.889999,276000,26.096924
"2001-07-12",41.25,41.84,40.700001,41.75,504200,26.645788
"2001-07-13",41.849998,42.150002,41.450001,42.029999,297100,26.824497
"2001-07-16",40.799999,40.810001,39.599998,39.68,763100,25.324675
"2001-07-17",39.68,42.25,39.669998,42.110001,936300,26.875547
"2001-07-18",42,42.389999,41.549999,41.990002,354600,26.798969
"2001-07-19",42.200001,42.5,41.810001,42.25,594900,26.964895
"2001-07-20",42.25,42.25,41.380001,41.5,263700,26.486231
"2001-07-23",41.700001,41.790001,41.150002,41.419998,201200,26.435177
"2001-07-24",41.419998,41.75,40.619999,41.049999,263800,26.199036
"2001-07-25",41.060001,41.91,40.900002,41.91,149400,26.7479
"2001-07-26",41.849998,42.560001,41.389999,42.450001,207100,27.092546
"2001-07-27",42.25,43,42,42.75,228400,27.284023
"2001-07-30",42.650002,42.700001,42.150002,42.689999,88400,27.245714
"2001-07-31",42.700001,43.889999,42.580002,43.59,286100,27.820135
"2001-08-01",44,44,43.419998,43.950001,297500,28.049875
"2001-08-02",44.099998,44.25,43.549999,43.959999,161300,28.056259
"2001-08-03",43.959999,44.619999,43.759998,44.549999,246100,28.432812
"2001-08-06",44.75,45.150002,44.650002,45.09,433300,28.777464
"2001-08-07",45.09,45.5,44.77,45.48,290300,29.026363
"2001-08-08",45.380001,45.799999,44.84,44.860001,258700,28.630674
"2001-08-09",44.959999,45.150002,44.52,44.75,244000,28.560457
"2001-08-10",44.900002,45.450001,44.23,45.43,201300,28.994446
"2001-08-13",45.400002,45.400002,44.450001,44.900002,284500,28.656189
"2001-08-14",45.150002,45.150002,44.709999,44.830002,154300,28.611525
"2001-08-15",44.75,44.799999,43.75,43.830002,433500,27.973297
"2001-08-16",42.5,43.23,42.34,43.040001,845700,27.469103
"2001-08-17",42.849998,43.150002,42.400002,42.490002,238000,27.118067
"2001-08-20",42.240002,42.360001,42,42.009998,593100,26.811722
"2001-08-21",41.799999,42.549999,41.75,41.880001,317600,26.728764
"2001-08-22",42.290001,42.549999,41.799999,42.439999,318400,27.086159
"2001-08-23",42.5,42.68,41.93,42.330002,174500,27.015959
"2001-08-24",42.279999,42.990002,41.900002,42.68,204600,27.239347
"2001-08-27",42.619999,42.810001,42.310001,42.560001,212400,27.162752
"2001-08-28",42.5,42.5,41.849998,42.049999,245300,26.837261
"2001-08-29",42.25,42.400002,41.759998,41.950001,312300,26.773426
"2001-08-30",41.610001,41.950001,41.279999,41.369999,336600,26.555197
"2001-08-31",41.369999,42.25,41.290001,41.889999,353100,26.88899
"2001-09-04",42,43.130001,41.75,42.75,238700,27.441015
"2001-09-05",42.599998,43.110001,42.200001,43.080002,215300,27.652845
"2001-09-06",42.900002,43.02,42.400002,42.549999,147600,27.312635
"2001-09-07",42.5,42.5,41.470001,41.790001,595100,26.824789
"2001-09-10",41.599998,41.700001,40.959999,41.049999,383300,26.349787
"2001-09-17",39.799999,39.799999,36.759998,37.110001,302200,23.820715
"2001-09-18",37.200001,39.23,36.810001,38.490002,437800,24.706528
"2001-09-19",38.5,38.66,36,36.950001,630400,23.718018
