"","Open","High","Low","Close","Volume"
"2001-01-02",1.28125,1.289063,1.203125,1.234375,446400
"2001-01-03",1.171875,1.21875,1.140625,1.21875,466400
"2001-01-04",1.203125,1.273438,1.171875,1.273438,344000
"2001-01-05",1.28125,1.304688,1.265625,1.296875,364000
"2001-01-08",1.304688,1.304688,1.25,1.25,283200
"2001-01-09",1.21875,1.226563,1.21875,1.21875,196000
"2001-01-10",1.25,1.28125,1.242188,1.257813,413600
"2001-01-11",1.273438,1.28125,1.242188,1.242188,106400
"2001-01-12",1.234375,1.242188,1.21875,1.234375,321600
"2001-01-16",1.242188,1.257813,1.242188,1.25,811200
"2001-01-17",1.234375,1.296875,1.234375,1.296875,541600
"2001-01-18",1.296875,1.296875,1.25,1.273438,252800
"2001-01-19",1.257813,1.257813,1.234375,1.242188,377600
"2001-01-22",1.242188,1.242188,1.21875,1.21875,86400
"2001-01-23",1.21875,1.234375,1.140625,1.15625,316000
"2001-01-24",1.125,1.15625,1.125,1.140625,361600
"2001-01-25",1.140625,1.171875,1.132813,1.140625,882400
"2001-01-26",1.140625,1.148438,1.132813,1.140625,776800
"2001-01-29",1.15,1.17,1.15,1.15125,68000
"2001-01-30",1.15625,1.16375,1.15625,1.15875,72000
"2001-01-31",1.17,1.17125,1.1275,1.1275,196000
"2001-02-01",1.14,1.1525,1.095,1.095,252800
"2001-02-02",1.1075,1.15,1.1075,1.1375,120800
"2001-02-05",1.13125,1.17125,1.13125,1.17125,70400
"2001-02-06",1.15875,1.17125,1.14375,1.17125,98400
"2001-02-07",1.175,1.26875,1.175,1.25625,561600
"2001-02-08",1.2625,1.3125,1.2625,1.26375,386400
"2001-02-09",1.20625,1.28125,1.20625,1.27625,197600
"2001-02-12",1.26875,1.28625,1.25,1.2725,346400
"2001-02-13",1.28125,1.2925,1.2625,1.2625,268800
"2001-02-14",1.24375,1.2625,1.2,1.25,2008800
"2001-02-15",1.2625,1.29375,1.25,1.25125,1464800
"2001-02-16",1.25625,1.25625,1.25,1.25,146400
"2001-02-20",1.26,1.3125,1.26,1.29375,506400
"2001-02-21",1.31125,1.31125,1.28125,1.285,318400
"2001-02-22",1.28125,1.28125,1.275,1.27625,365600
"2001-02-23",1.27625,1.28625,1.2725,1.28125,1030400
"2001-02-26",1.31,1.3525,1.2875,1.31875,1404000
"2001-02-27",1.33125,1.3375,1.3,1.3025,336000
"2001-02-28",1.3125,1.3125,1.3,1.3,159200
"2001-03-01",1.3,1.31875,1.29625,1.30625,136800
"2001-03-02",1.29375,1.325,1.29375,1.3225,216000
"2001-03-05",1.325,1.325,1.28125,1.30625,235200
"2001-03-06",1.3125,1.325,1.30875,1.3125,397600
"2001-03-07",1.325,1.4,1.325,1.36875,616000
"2001-03-08",1.38125,1.3875,1.35625,1.36875,220800
"2001-03-09",1.375,1.38125,1.3625,1.38125,149600
"2001-03-12",1.37875,1.3875,1.25,1.2625,951200
"2001-03-13",1.26875,1.28125,1.15,1.23125,444800
"2001-03-14",1.21875,1.24375,1.1875,1.24375,549600
"2001-03-15",1.2475,1.2875,1.18875,1.2875,856000
"2001-03-16",1.3,1.3,1.25,1.2625,533600
"2001-03-19",1.275,1.2875,1.2625,1.285,311200
"2001-03-20",1.28125,1.3775,1.2625,1.275,670400
"2001-03-21",1.2625,1.27125,1.2,1.2125,336000
"2001-03-22",1.2225,1.225,1.19375,1.225,495200
"2001-03-23",1.2375,1.25,1.225,1.25,388000
"2001-03-26",1.25,1.2825,1.25,1.28125,6e+05
"2001-03-27",1.275,1.28625,1.2,1.26875,1372800
"2001-03-28",1.275,1.275,1.25,1.2625,344000
"2001-03-29",1.275,1.275,1.2075,1.2125,485600
"2001-03-30",1.19,1.2375,1.19,1.2375,216000
"2001-04-02",1.23125,1.27375,1.2,1.25,1166400
"2001-04-03",1.25125,1.255,1.25,1.25375,144000
"2001-04-04",1.25375,1.275,1.21875,1.23875,242400
"2001-04-05",1.2475,1.25375,1.225,1.24375,536800
"2001-04-06",1.25625,1.25625,1.12625,1.12625,913600
"2001-04-09",1.13875,1.16875,1.125,1.125,1164000
"2001-04-10",1.1,1.14375,1.09625,1.125,984000
"2001-04-11",1.125,1.135,1.1,1.1,300800
"2001-04-12",1.10125,1.14375,1.1,1.14375,890400
"2001-04-16",1.1375,1.1625,1.13125,1.14375,640800
"2001-04-17",1.14375,1.1875,1.14375,1.1875,248000
"2001-04-18",1.2,1.225,1.2,1.20625,217600
"2001-04-19",1.2125,1.24125,1.20625,1.23875,345600
"2001-04-20",1.2375,1.24375,1.2375,1.24375,312000
"2001-04-23",1.34375,1.34375,1.28125,1.3375,699200
"2001-04-24",1.3375,1.375,1.3375,1.36375,484800
"2001-04-25",1.375,1.3875,1.35125,1.36875,427200
"2001-04-26",1.375,1.45,1.375,1.425,459200
"2001-04-27",1.43125,1.725,1.43125,1.5825,1540000
"2001-04-30",1.625,1.65625,1.62375,1.64375,1084800
"2001-05-01",1.65625,1.6875,1.49375,1.635,1993600
"2001-05-02",1.63125,1.63125,1.59375,1.6175,921600
"2001-05-03",1.62375,1.63,1.5875,1.62125,962400
"2001-05-04",1.6225,1.6425,1.6,1.64125,1020800
"2001-05-07",1.64375,1.64375,1.6175,1.6175,668000
"2001-05-08",1.61875,1.625,1.615,1.6225,418400
"2001-05-09",1.61875,1.61875,1.6,1.61375,304800
"2001-05-10",1.61375,1.6375,1.6,1.625,221600
"2001-05-11",1.62625,1.6375,1.6125,1.62875,508800
"2001-05-14",1.6,1.64375,1.6,1.6375,554400
"2001-05-15",1.6375,1.825,1.63125,1.795,819200
"2001-05-16",1.78125,1.78125,1.7575,1.765,1012800
"2001-05-17",1.7875,1.8,1.78125,1.795,1316800
"2001-05-18",1.795,2.04375,1.795,1.99375,1280000
"2001-05-21",2,2.03125,1.90625,1.9075,2236000
"2001-05-22",1.8875,1.8875,1.86375,1.86875,1376800
"2001-05-23",1.86375,1.86375,1.8125,1.85,2433600
"2001-05-24",1.85,1.86875,1.82125,1.86875,251200
"2001-05-25",1.8625,2.025,1.8375,1.975,1413600
"2001-05-29",1.97625,1.98125,1.925,1.94375,1391200
"2001-05-30",1.945,1.945,1.9125,1.92875,1378400
"2001-05-31",1.92875,1.9375,1.90625,1.91875,1306400
"2001-06-01",1.9225,1.9225,1.8125,1.9125,888000
"2001-06-04",1.91875,1.95,1.8625,1.8875,1489600
"2001-06-05",1.90625,1.90625,1.8775,1.90625,535200
"2001-06-06",1.90375,1.90375,1.81375,1.85,826400
"2001-06-07",1.85125,1.85125,1.70625,1.78125,467200
"2001-06-08",1.7375,1.78,1.7375,1.755,597600
"2001-06-11",1.7425,1.75,1.7,1.7125,584000
"2001-06-12",1.7,1.74375,1.7,1.73625,258400
"2001-06-13",1.725,1.73125,1.7125,1.7275,152800
"2001-06-14",1.72625,1.72625,1.7,1.71875,236000
"2001-06-15",1.6875,1.7,1.65625,1.68125,643200
"2001-06-18",1.6875,1.6875,1.5625,1.59375,1360000
"2001-06-19",1.58125,1.595,1.56375,1.565,412800
"2001-06-20",1.5725,1.575,1.54,1.56,577600
"2001-06-21",1.55375,1.55625,1.39625,1.4025,1311200
"2001-06-22",1.4375,1.49375,1.34875,1.415,1776800
"2001-06-25",1.41875,1.4325,1.40625,1.4175,564000
"2001-06-26",1.41875,1.43125,1.40625,1.425,896000
"2001-06-27",1.425,1.425,1.38125,1.4175,234400
"2001-06-28",1.40625,1.41125,1.375,1.38625,394400
"2001-06-29",1.38125,1.53125,1.375,1.53125,1435200
"2001-07-02",1.4375,1.4375,1.37625,1.40625,1478400
"2001-07-03",1.40625,1.425,1.38125,1.41875,222400
"2001-07-05",1.40625,1.42125,1.39375,1.4125,261600
"2001-07-06",1.41625,1.41625,1.3875,1.38875,583200
"2001-07-09",1.3775,1.3875,1.36875,1.3875,536000
"2001-07-10",1.3775,1.41125,1.375,1.38125,669600
"2001-07-11",1.375,1.4,1.375,1.3825,740000
"2001-07-12",1.3875,1.4,1.35875,1.3875,973600
"2001-07-13",1.39375,1.4025,1.3875,1.39625,239200
"2001-07-16",1.39375,1.415,1.3825,1.3825,318400
"2001-07-17",1.3825,1.45625,1.3825,1.45625,377600
"2001-07-18",1.45,1.4625,1.44375,1.4525,569600
"2001-07-19",1.45625,1.48125,1.45625,1.45625,471200
"2001-07-20",1.39375,1.45,1.39375,1.45,488000
"2001-07-23",1.4625,1.4625,1.43125,1.46,308000
"2001-07-24",1.46875,1.50625,1.45125,1.4875,616000
"2001-07-25",1.4875,1.49375,1.4625,1.49375,252800
"2001-07-26",1.55625,1.5875,1.53125,1.56875,588000
"2001-07-27",1.575,1.625,1.56875,1.57625,276800
"2001-07-30",1.57625,1.6,1.55,1.57875,223200
"2001-07-31",1.56875,1.6375,1.55,1.6125,468800
"2001-08-01",1.61375,1.65,1.59375,1.60125,194400
"2001-08-02",1.5625,1.57625,1.5625,1.575,1e+05
"2001-08-03",1.5875,1.5875,1.46875,1.52125,544800
"2001-08-06",1.525,1.54375,1.4875,1.4875,287200
"2001-08-07",1.49375,1.54,1.4525,1.5,294400
"2001-08-08",1.4875,1.53375,1.4875,1.50625,534400
"2001-08-09",1.51,1.5125,1.415,1.475,498400
"2001-08-10",1.4625,1.4875,1.4625,1.48,488800
"2001-08-13",1.475,1.475,1.43875,1.4725,218400
"2001-08-14",1.4625,1.48,1.45625,1.45625,258400
"2001-08-15",1.46875,1.49375,1.46875,1.48625,711200
"2001-08-16",1.4875,1.58125,1.48125,1.58125,734400
"2001-08-17",1.58125,1.61,1.575,1.6,210400
"2001-08-20",1.6,1.63125,1.56875,1.625,7e+05
"2001-08-21",1.625,1.66875,1.6125,1.61375,363200
"2001-08-22",1.6175,1.68625,1.61625,1.68625,231200
"2001-08-23",1.6875,1.6875,1.625,1.6275,297600
"2001-08-24",1.64,1.65,1.59375,1.635,657600
"2001-08-27",1.64375,1.65625,1.625,1.635,332800
"2001-08-28",1.64375,1.64375,1.605,1.605,425600
"2001-08-29",1.6125,1.625,1.56875,1.58125,591200
"2001-08-30",1.5875,1.60625,1.5625,1.56875,177600
"2001-08-31",1.5625,1.59375,1.5375,1.5625,381600
"2001-09-04",1.575,1.59375,1.4875,1.4875,346400
"2001-09-05",1.4875,1.49,1.45,1.475,135200
"2001-09-06",1.48125,1.5,1.45,1.4625,654400
"2001-09-07",1.45625,1.45625,1.4375,1.45625,370400
"2001-09-10",1.46875,1.46875,1.4375,1.45625,476000
"2001-09-17",1.4625,1.4875,1.425,1.4625,185600
"2001-09-18",1.475,1.475,1.41,1.41,229600
"2001-09-19",1.41875,1.41875,1.35625,1.375,715200
