"","SYK.Open","SYK.High","SYK.Low","SYK.Close","SYK.Volume","SYK.Adjusted"
"2001-01-02",24.75,25.105,24.299999,24.299999,1034000,20.511339
"2001-01-03",24.450001,24.885,24.450001,24.625,2685800,20.785677
"2001-01-04",24.625,24.719999,22.9,23.200001,2278000,19.582853
"2001-01-05",23.200001,23.200001,22.625,22.844999,1591800,19.283199
"2001-01-08",22.450001,23.049999,22.450001,22.620001,1529200,19.093287
"2001-01-09",22.924999,23.565001,22.799999,22.965,1002600,19.384495
"2001-01-10",23.15,23.815001,22.905001,23.525,737600,19.857176
"2001-01-11",23.4,24.4,23.35,23.665001,1120800,19.975353
"2001-01-12",23.665001,23.74,22.879999,22.885,972400,19.316961
"2001-01-16",22.885,23.25,22.200001,22.805,1059800,19.249443
"2001-01-17",22.924999,23.110001,22.905001,23.030001,811800,19.439358
"2001-01-18",23.200001,23.205,22.1,22.1,1368600,18.654358
"2001-01-19",22.1,22.195,21.875,22.055,1098000,18.616371
"2001-01-22",22,23.014999,21.65,22.905001,1157000,19.333845
"2001-01-23",23,23.045,22.535,22.955,718800,19.376053
"2001-01-24",22.549999,23.754999,22.5,23.545,1383200,19.874056
"2001-01-25",23.545,24.025,23.375,23.98,646400,20.241241
"2001-01-26",23.75,24.165001,23.375,24.139999,952800,20.376289
"2001-01-29",24.375,24.42,23.459999,23.475,662200,19.814983
"2001-01-30",22.875,23.6,22.875,23.25,2901200,19.625051
"2001-01-31",23.25,23.315001,22.450001,22.6,1231400,19.076391
"2001-02-01",22.75,22.75,22.495001,22.5,1234800,18.991983
"2001-02-02",22.5,22.75,22.475,22.615,2739000,19.089058
"2001-02-05",22.549999,23.25,22.504999,23.190001,1012600,19.574406
"2001-02-06",23,23.360001,22.955,23.075001,1248400,19.477343
"2001-02-07",23.025,23.895,23.025,23.75,1694200,20.047094
"2001-02-08",23.75,23.85,23.455,23.805,978800,20.093527
"2001-02-09",23.75,24,23.6,23.85,933000,20.131512
"2001-02-12",24.049999,25.014999,24.040001,24.985001,1219800,21.089552
"2001-02-13",24.9,24.975,24.275,24.85,1043200,20.97559
"2001-02-14",24.924999,24.950001,24.66,24.875,978400,20.996702
"2001-02-15",25,25.049999,24.6,24.85,957800,20.97559
"2001-02-16",24.75,25,24.625,25,722200,21.102209
"2001-02-20",24.875,25.139999,24.57,25.115,459600,21.199282
"2001-02-21",25.075001,26.15,25.075001,25.91,1427000,21.870329
"2001-02-22",25.91,26.965,25.91,26.775,2703000,22.600464
"2001-02-23",26.575001,27,26.549999,26.969999,2157600,22.765059
"2001-02-26",26.969999,27.9,26.969999,27.625,1950200,23.31794
"2001-02-27",27.625,28.424999,27.35,27.594999,2498800,23.29261
"2001-02-28",27.75,28.075001,27.615,28.075001,1045800,23.697784
"2001-03-01",28.075001,28.5,27.674999,28.5,1633400,24.056522
"2001-03-02",28.5,28.5,27.684999,27.955,2010200,23.596485
"2001-03-05",27.85,28.5,27.85,28,1528000,23.634476
"2001-03-06",27.875,28.1,27.254999,27.475,1164200,23.191332
"2001-03-07",27.25,27.415001,26.625,26.945,861800,22.743956
"2001-03-08",26.995001,28.059999,26.975,27.809999,1004200,23.474098
"2001-03-09",27.690001,27.860001,27.225,27.82,414400,23.482538
"2001-03-12",27.450001,27.450001,26.385,26.4,1108600,22.28393
"2001-03-13",26.4,26.700001,25.85,26.389999,1747600,22.275486
"2001-03-14",26.200001,26.275,25.674999,26.129999,1197600,22.056028
"2001-03-15",26.18,26.525,25.889999,26.5,911400,22.36834
"2001-03-16",26.125,26.75,26.125,26.385,1985800,22.271276
"2001-03-19",26.385,26.525,25.625,26.184999,1153800,22.102449
"2001-03-20",26.6,26.6,25.74,25.85,793400,21.819689
"2001-03-21",25.549999,25.995001,25.375,25.700001,759200,21.693077
"2001-03-22",25.325001,25.325001,23.5,24,2105400,20.258123
"2001-03-23",24.004999,24.85,23.889999,24.85,1550800,20.97559
"2001-03-26",24.85,26.004999,24.65,25.985001,1286200,21.933638
"2001-03-27",25.985001,27.049999,25.844999,26.5,1777200,22.36834
