"","SYY.Open","SYY.High","SYY.Low","SYY.Close","SYY.Volume","SYY.Adjusted"
"2001-01-02",30,30,28.625,29,2258800,17.827278
"2001-01-03",28.875,29.4375,27.25,27.5,2891800,16.946085
"2001-01-04",27,27.0625,23.5,25.6875,6322200,15.829183
"2001-01-05",25.75,26.125,25.125,26.0625,3337000,16.06027
"2001-01-08",26.125,26.125,25.0625,25.8125,2087400,15.906214
"2001-01-09",25.6875,26.25,25.375,25.875,1889100,15.944719
"2001-01-10",25.8125,26,25.25,25.9375,1270700,15.983238
"2001-01-11",25.9375,26,24.9375,25.625,1603600,15.790667
"2001-01-12",25.625,25.6875,24.4375,25.125,1469600,15.482557
"2001-01-16",25.5,25.625,24.6875,25.625,1396700,15.790667
"2001-01-17",25.625,25.9375,24.8125,25.125,2274900,15.482557
"2001-01-18",25.625,25.75,25.125,25.5,1563300,15.713645
"2001-01-19",25.5,25.5625,24.5,24.6875,3180600,15.212964
"2001-01-22",25,25.3125,24.0625,24.5,1707300,15.097422
"2001-01-23",24.5,24.5625,23.75,24.25,2683000,14.94337
"2001-01-24",24.125,25.1875,23.75,25.1875,3376800,15.521076
"2001-01-25",25.0625,26,25,25.75,2078600,15.867694
"2001-01-26",25.9375,26.25,25.8125,26.25,2234900,16.175812
"2001-01-29",26.15,26.6,25.91,26.25,1861100,16.175812
"2001-01-30",26.25,26.75,26.049999,26.219999,1714900,16.157309
"2001-01-31",26.4,26.969999,26.4,26.92,1989100,16.588676
"2001-02-01",26.92,27.299999,26.299999,27.299999,1207000,16.822836
"2001-02-02",27.049999,27.25,26.83,27.030001,948500,16.656452
"2001-02-05",27.049999,27.15,26.950001,27.07,1110500,16.681105
"2001-02-06",27.1,27.299999,26.940001,27.02,1410500,16.650291
"2001-02-07",27,27,26.5,26.67,2274300,16.434618
"2001-02-08",26.799999,27.5,26.67,27.4,1522100,16.884459
"2001-02-09",28,28,27.450001,27.57,1148800,16.98922
"2001-02-12",27.469999,27.84,27.299999,27.51,1074600,16.95225
"2001-02-13",27.700001,28.01,27.27,27.75,1154900,17.100142
"2001-02-14",27.75,27.75,27,27.26,2035500,16.798187
"2001-02-15",27.26,27.26,26.6,27,2057500,16.637981
"2001-02-16",26.9,27.09,26.610001,26.85,1581300,16.54553
"2001-02-20",27.1,27.48,26.9,27.07,1324500,16.681105
"2001-02-21",27.08,27.57,27.01,27.26,1272400,16.798187
"2001-02-22",27.35,27.6,26.610001,26.969999,1725900,16.619486
"2001-02-23",27,27.290001,26.84,27.17,1465400,16.742725
"2001-02-26",27.5,27.5,27.129999,27.23,1675300,16.779707
"2001-02-27",27,27.25,26.77,27.07,1106500,16.681105
"2001-02-28",27.200001,27.33,26.959999,27.26,1132000,16.798187
"2001-03-01",27.26,27.34,26.67,26.860001,1376200,16.551702
"2001-03-02",26.860001,26.92,26,26.780001,1997100,16.502403
"2001-03-05",26.4,26.799999,26.360001,26.65,1236200,16.422293
"2001-03-06",26.9,26.9,26.02,26.16,1269000,16.12034
"2001-03-07",26.25,26.370001,25.51,25.9,1484600,15.960129
"2001-03-08",25.85,26.84,25.85,26.549999,979600,16.36067
"2001-03-09",26.4,26.66,26.139999,26.58,963300,16.379158
"2001-03-12",26.450001,26.52,25.77,26,1112000,16.021748
"2001-03-13",25.5,25.98,25.309999,25.84,1252400,15.923155
"2001-03-14",25.9,25.940001,24.9,25.07,1437800,15.448661
"2001-03-15",25.549999,25.75,25,25.74,1648700,15.861532
"2001-03-16",24.35,26.200001,24.35,26.200001,3015600,16.144993
"2001-03-19",26,26.200001,25.85,25.9,1335700,15.960129
"2001-03-20",25.799999,26.26,25.67,25.719999,1099600,15.849211
"2001-03-21",25,25.799999,25,25.379999,1611500,15.639697
