"","AA.Open","AA.High","AA.Low","AA.Close","AA.Volume","AA.Adjusted"
"2001-01-02",80.067963,80.356323,75.838676,77.280479,1592000,58.304035
"2001-01-03",77.280479,80.067963,74.973602,77.953323,2011900,58.81168
"2001-01-04",77.953323,80.548561,77.376602,80.452438,1992300,60.697132
"2001-01-05",80.452438,81.702003,78.145561,79.491241,1623800,59.971973
"2001-01-08",79.491241,85.258438,78.241676,80.260201,3073500,60.552116
"2001-01-09",80.260201,81.894241,76.896004,77.472717,2211100,58.449081
"2001-01-10",77.472717,79.491241,76.992119,78.049438,1704900,58.884182
"2001-01-11",78.049438,79.587357,74.87748,75.261963,1452300,56.781193
"2001-01-12",75.261963,77.376602,73.051201,75.742561,1481700,57.143772
"2001-01-16",75.742561,80.164078,74.973602,80.164078,1136400,60.479568
"2001-01-17",80.164078,81.990356,78.145561,80.164078,1406600,60.479568
"2001-01-18",80.164078,82.951561,79.779602,82.37484,1327800,62.14748
"2001-01-19",81.798119,81.798119,77.472717,77.953323,1086000,58.81168
"2001-01-22",77.953323,80.164078,75.742561,80.164078,1000600,60.479568
"2001-01-23",80.164078,81.990356,79.875717,80.740799,1444900,60.914673
"2001-01-24",81.702003,82.855438,81.702003,82.567078,1170600,62.292522
"2001-01-25",82.567078,84.970078,82.278717,84.77784,1369400,63.960415
"2001-01-26",84.77784,85.0662,82.278717,82.567078,1219300,62.292522
"2001-01-29",82.567078,82.59111,80.500504,81.750061,1372100,61.676113
"2001-01-30",81.750061,85.306503,81.24543,85.114258,1433700,64.214226
"2001-01-31",85.114258,88.310249,84.970078,88.286217,2335000,66.890579
"2001-02-01",88.911003,91.794601,88.911003,91.314003,2949300,69.184593
"2001-02-02",91.314003,92.395348,89.65593,90.232651,2753400,68.365288
"2001-02-05",90.08847,90.08847,87.4692,88.622643,1413800,67.145454
"2001-02-06",88.6707,90.160561,88.6707,89.487717,1314300,67.800896
"2001-02-07",89.487717,90.713249,87.637413,88.430397,1200800,66.99984
"2001-02-08",88.430397,89.367569,87.757561,88.911003,1353400,67.36393
"2001-02-09",88.911003,89.752052,87.108749,89.151299,1323500,67.546028
"2001-02-12",88.983093,88.983093,86.2677,87.685471,1255500,66.43541
"2001-02-13",87.685471,87.829651,85.13829,85.787102,1183200,64.997093
"2001-02-14",85.787102,86.33979,84.801872,85.282471,1312400,64.614746
"2001-02-15",85.306503,87.949799,85.306503,87.421143,1890500,66.235138
"2001-02-16",87.276962,87.276962,83.384102,84.105003,1963600,63.722633
"2001-02-20",84.105003,86.868446,83.263947,84.585602,1485600,64.086746
"2001-02-21",84.585602,84.970078,81.870209,82.470963,1187600,62.4846
"2001-02-22",82.470963,85.210381,82.062447,84.946053,1483300,64.359856
"2001-02-23",84.946053,85.186348,82.30275,83.360069,1210900,63.158241
"2001-02-26",83.528282,86.508003,83.528282,86.508003,1549900,65.543304
"2001-02-27",86.508003,87.685471,84.585602,87.108749,2161400,65.998466
"2001-02-28",87.108749,87.661438,84.897987,85.931282,962400,65.106346
"2001-03-01",85.931282,87.661438,84.897987,87.661438,1201100,66.417206
"2001-03-02",87.661438,90.785339,87.108749,88.911003,1365200,67.36393
"2001-03-05",89.824142,92.395348,89.824142,91.506241,1740500,69.330269
"2001-03-06",91.506241,91.986839,90.352798,91.28997,1594700,69.166405
"2001-03-07",91.28997,94.6782,90.85743,94.413872,1853500,71.533203
"2001-03-08",94.413872,95.110741,92.56356,93.717003,1954100,71.005249
"2001-03-09",93.717003,94.173569,88.74279,88.911003,1921000,67.36393
"2001-03-12",88.911003,89.151299,86.2677,86.483971,1703900,65.525085
"2001-03-13",86.483971,90.352798,84.99411,89.031151,1611200,67.454956
"2001-03-14",87.156807,87.156807,84.561569,85.426651,1788300,64.724007
"2001-03-15",85.426651,88.069946,85.306503,85.955307,2114900,65.124542
"2001-03-16",84.681717,84.681717,82.350807,84.080971,2699700,63.704441
"2001-03-19",84.225151,86.724274,84.225151,86.33979,1299700,65.415871
"2001-03-20",86.508003,90.112503,86.508003,87.18084,1667600,66.053108
"2001-03-21",85.907249,85.907249,82.855438,83.239922,1871000,63.067215
"2001-03-22",82.30275,82.30275,76.944061,80.11602,2339900,60.700386
"2001-03-23",80.11602,82.062447,79.467209,80.788857,1486700,61.210155
"2001-03-26",80.788857,82.639168,80.236168,81.702003,1376100,61.902016
"2001-03-27",82.30275,86.33979,82.30275,86.05143,1671600,65.197388
"2001-03-28",86.05143,86.05143,81.221397,84.225151,1182500,63.813671
"2001-03-29",84.225151,85.690979,82.903503,84.225151,877500,63.813671
"2001-03-30",84.225151,86.387848,83.624397,86.387848,1404400,65.452278
"2001-04-02",86.387848,87.4692,83.624397,84.84993,1816600,64.287064
"2001-04-03",84.84993,84.84993,81.10125,82.783348,1147500,62.721306
"2001-04-04",82.783348,86.387848,81.24543,85.426651,1409200,64.724007
"2001-04-05",86.964569,90.112503,86.964569,90.112503,2153800,68.274284
