"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2001-01-02",1.0625,1.089286,1.040179,1.0625,113078000,0.927258
"2001-01-03",1.035714,1.191964,1.03125,1.169643,204268400,1.020763
"2001-01-04",1.295759,1.321429,1.200893,1.21875,184849000,1.063619
"2001-01-05",1.209821,1.241071,1.147321,1.169643,103089000,1.020763
"2001-01-08",1.209821,1.21317,1.138393,1.183036,93424800,1.032451
"2001-01-09",1.200893,1.260045,1.183036,1.227679,147232400,1.071411
"2001-01-10",1.191964,1.214286,1.147321,1.183036,145195400,1.032451
"2001-01-11",1.160714,1.321429,1.160714,1.285714,200933600,1.12206
"2001-01-12",1.276786,1.285714,1.21875,1.227679,105844200,1.071411
"2001-01-16",1.245536,1.303571,1.214286,1.223214,76529600,1.067515
"2001-01-17",1.254464,1.254464,1.178571,1.200893,210218400,1.048035
"2001-01-18",1.272321,1.339286,1.258929,1.334821,306752600,1.164916
"2001-01-19",1.388393,1.397321,1.334821,1.392857,194166000,1.215565
"2001-01-22",1.361607,1.401786,1.316964,1.375,129831800,1.199981
"2001-01-23",1.379464,1.495536,1.361607,1.464286,219882600,1.277901
"2001-01-24",1.473214,1.477679,1.397321,1.464286,179272800,1.277901
"2001-01-25",1.46875,1.46875,1.410714,1.424107,122427200,1.242837
"2001-01-26",1.392857,1.415179,1.361607,1.397321,120705200,1.219461
"2001-01-29",1.397321,1.553571,1.397321,1.549107,213882200,1.351926
"2001-01-30",1.540179,1.571429,1.491071,1.553571,173105800,1.355822
"2001-01-31",1.535714,1.607143,1.53125,1.544643,182676200,1.34803
"2001-02-01",1.477679,1.535714,1.464286,1.508929,92423800,1.316862
"2001-02-02",1.508929,1.566964,1.464286,1.473214,106835400,1.285694
"2001-02-05",1.464286,1.46875,1.410714,1.441964,71528800,1.258421
"2001-02-06",1.439732,1.527902,1.428571,1.508929,115677800,1.316862
"2001-02-07",1.475446,1.491071,1.415179,1.482143,98471800,1.293485
"2001-02-08",1.46875,1.504464,1.441964,1.482143,151032000,1.293485
"2001-02-09",1.464286,1.486607,1.334821,1.366071,147520800,1.192189
"2001-02-12",1.361607,1.428571,1.34375,1.40625,68530000,1.227253
"2001-02-13",1.424107,1.459821,1.357143,1.366071,59267600,1.192189
"2001-02-14",1.370536,1.401786,1.321429,1.392857,77280000,1.215565
"2001-02-15",1.40625,1.46875,1.40625,1.433036,77854000,1.250629
"2001-02-16",1.357143,1.392857,1.339286,1.357143,65977800,1.184396
"2001-02-20",1.370536,1.388393,1.299107,1.308036,78723400,1.14154
"2001-02-21",1.303571,1.424107,1.303571,1.348214,97564600,1.176605
"2001-02-22",1.361607,1.383929,1.285714,1.34375,107990400,1.172708
"2001-02-23",1.330357,1.348214,1.303571,1.34375,73466400,1.172708
"2001-02-26",1.361607,1.40625,1.325893,1.392857,51609600,1.215565
"2001-02-27",1.377232,1.388393,1.334821,1.383929,87129000,1.207773
"2001-02-28",1.383929,1.388393,1.294643,1.303571,127058400,1.137644
"2001-03-01",1.272321,1.339286,1.227679,1.339286,82615400,1.168813
"2001-03-02",1.308036,1.459821,1.303571,1.375,101550400,1.199981
"2001-03-05",1.383929,1.464286,1.375,1.455357,81043200,1.270109
"2001-03-06",1.479911,1.575893,1.477679,1.535714,182950600,1.340238
"2001-03-07",1.522321,1.544643,1.482143,1.517857,104885200,1.324654
"2001-03-08",1.477679,1.508929,1.459821,1.486607,51214800,1.297382
"2001-03-09",1.473214,1.477679,1.428571,1.446429,74783800,1.262317
"2001-03-12",1.40625,1.419643,1.294643,1.330357,97755000,1.16102
"2001-03-13",1.348214,1.397321,1.299107,1.397321,110832400,1.219461
"2001-03-14",1.321429,1.464286,1.316964,1.459821,119443800,1.274005
"2001-03-15",1.491071,1.526786,1.40625,1.40625,132329400,1.227253
"2001-03-16",1.357143,1.450893,1.348214,1.401786,117579000,1.223357
"2001-03-19",1.410714,1.473214,1.392857,1.46875,89002200,1.281798
"2001-03-20",1.479911,1.495536,1.40625,1.40625,124801600,1.227253
"2001-03-21",1.412946,1.491071,1.383929,1.4375,92843800,1.254525
"2001-03-22",1.455357,1.553571,1.441964,1.544643,180825400,1.34803
"2001-03-23",1.575893,1.683036,1.571429,1.642857,236222000,1.433743
"2001-03-26",1.652143,1.696429,1.509286,1.555714,183612800,1.357692
"2001-03-27",1.567143,1.646429,1.564286,1.633571,135955400,1.42564
"2001-03-28",1.577143,1.607143,1.535714,1.583571,146165600,1.382004
"2001-03-29",1.555,1.675,1.535714,1.609286,153266400,1.404445
"2001-03-30",1.610714,1.622857,1.524286,1.576429,100087400,1.37577
"2001-04-02",1.577857,1.618571,1.528571,1.542143,85227800,1.345848
"2001-04-03",1.525714,1.528571,1.437857,1.445714,92171800,1.261694
"2001-04-04",1.411429,1.446429,1.339286,1.392857,171371200,1.215565
"2001-04-05",1.471429,1.607143,1.428571,1.490714,111690600,1.300966
"2001-04-06",1.485714,1.502857,1.421429,1.470714,81222400,1.283512
"2001-04-09",1.477857,1.524286,1.432857,1.467143,66645600,1.280395
"2001-04-10",1.492857,1.621429,1.484286,1.574286,114343600,1.3739
"2001-04-11",1.641429,1.642857,1.52,1.557143,83524000,1.358939
"2001-04-12",1.53,1.644286,1.510714,1.601429,74733400,1.397588
"2001-04-16",1.577857,1.6,1.49,1.531429,71306200,1.336498
"2001-04-17",1.514286,1.515,1.4,1.457143,171299800,1.271668
"2001-04-18",1.540714,1.72,1.505714,1.627857,275210600,1.420652
"2001-04-19",1.825,1.839286,1.685714,1.837143,468417600,1.603299
"2001-04-20",1.780714,1.830714,1.757143,1.788571,173350800,1.56091
"2001-04-23",1.738571,1.785714,1.714286,1.732143,135381400,1.511664
"2001-04-24",1.737857,1.767857,1.679286,1.716429,94284400,1.49795
"2001-04-25",1.729286,1.775714,1.683571,1.765714,82695200,1.540962
"2001-04-26",1.797857,1.864286,1.762857,1.763571,199924200,1.539092
"2001-04-27",1.8,1.877857,1.767857,1.871429,113253000,1.63322
"2001-04-30",1.907143,1.937143,1.776429,1.820714,123694200,1.588961
"2001-05-01",1.815,1.892857,1.8,1.852143,106813000,1.61639
"2001-05-02",1.881429,1.907143,1.84,1.899286,92131200,1.657532
"2001-05-03",1.855,1.875,1.766429,1.782857,75385800,1.555923
"2001-05-04",1.731429,1.846429,1.711429,1.839286,70263200,1.605169
"2001-05-07",1.83,1.84,1.774286,1.782857,69137600,1.555923
"2001-05-08",1.810714,1.817857,1.710714,1.755,78859200,1.531612
"2001-05-09",1.724286,1.753571,1.690714,1.712857,81222400,1.494833
"2001-05-10",1.729286,1.75,1.639286,1.642857,72244200,1.433743
"2001-05-11",1.643571,1.677857,1.625714,1.632143,50761200,1.424393
"2001-05-14",1.635,1.691429,1.625,1.663571,77305200,1.451821
"2001-05-15",1.669286,1.821429,1.645714,1.655714,59256400,1.444964
"2001-05-16",1.661429,1.75,1.632143,1.721429,80582600,1.502313
"2001-05-17",1.730714,1.737857,1.660714,1.682143,83029800,1.468028
