"","ABT.Open","ABT.High","ABT.Low","ABT.Close","ABT.Volume","ABT.Adjusted"
"2001-01-02",21.603355,22.052256,21.547243,21.603355,5243800,13.657619
"2001-01-03",21.71558,22.24865,21.070286,21.126398,11035200,13.356087
"2001-01-04",20.481102,20.873892,18.966063,19.190512,31523900,12.132223
"2001-01-05",19.386908,19.639414,18.994118,19.302738,16300100,12.203164
"2001-01-08",19.078287,19.527187,18.90995,19.106344,10008700,12.079011
"2001-01-09",19.218569,19.863863,19.190512,19.527187,8979300,12.345067
"2001-01-10",19.611357,19.919977,19.050232,19.106344,7409900,12.131999
"2001-01-11",19.218569,19.555244,18.853836,18.881893,11252100,11.989478
"2001-01-12",19.050232,19.695526,18.938005,19.555244,8935800,12.417037
"2001-01-16",19.527187,20.537216,19.527187,20.200541,11165600,12.826786
"2001-01-17",20.200541,20.284708,19.555244,19.863863,9598300,12.613001
"2001-01-18",20.200541,20.593328,19.948032,20.228596,8587100,12.844597
"2001-01-19",19.976089,20.200541,19.751638,19.779696,7406200,12.559559
"2001-01-22",20.088314,20.172483,19.695526,19.835808,5924300,12.595187
"2001-01-23",19.948032,20.004145,19.499132,19.751638,8053300,12.541739
"2001-01-24",19.386908,19.583302,19.246626,19.414963,12685400,12.327956
"2001-01-25",19.807751,20.649441,19.723583,20.481102,10707500,13.004929
"2001-01-26",20.593328,21.042229,20.537216,20.73361,7636900,13.165273
"2001-01-29",21.075897,21.188122,20.3801,20.402546,4866100,12.955054
"2001-01-30",20.582106,20.622507,20.003023,20.222984,6004700,12.841038
"2001-01-31",20.178095,20.290319,19.500254,20.137693,6800500,12.78688
"2001-02-01",20.155649,20.649441,20.029957,20.649441,4897600,13.11182
"2001-02-02",20.649441,20.761665,20.330721,20.42948,4615800,12.972153
"2001-02-05",20.330721,20.887358,20.330721,20.797577,5031400,13.205892
"2001-02-06",20.797577,21.345238,20.748199,21.174654,8109600,13.445318
"2001-02-07",21.174654,21.426039,21.102831,21.349726,6346800,13.556488
"2001-02-08",21.32728,22.085924,21.32728,21.677423,8079800,13.764559
"2001-02-09",21.951254,21.955742,21.46195,21.726803,7686700,13.795918
"2001-02-12",21.951254,22.220594,21.861473,22.220594,9060000,14.109468
"2001-02-13",21.794138,21.839027,21.313814,21.394615,10283000,13.584987
"2001-02-14",21.506842,21.542753,21.219545,21.282391,4028900,13.513727
"2001-02-15",21.390127,21.524797,20.824512,21.524797,6862600,13.667648
"2001-02-16",21.681913,21.771692,21.215055,21.771692,7297400,13.824424
"2001-02-20",21.681913,21.848005,21.592133,21.848005,5967000,13.872883
"2001-02-21",21.928808,22.445044,21.883919,22.445044,7921000,14.251978
"2001-02-22",22.265484,22.69194,21.937786,22.4226,8756100,14.237727
"2001-02-23",22.220594,22.220594,21.488886,21.951254,5853800,13.938441
"2001-02-26",22.108368,22.130814,21.794138,22.085924,4980400,14.023946
"2001-02-27",22.085924,22.202637,21.547243,21.825562,7796300,13.85863
"2001-02-28",21.924318,22.391176,21.749249,21.991653,7877000,13.964093
"2001-03-01",21.951254,22.440556,21.771692,22.368731,5607700,14.203525
"2001-03-02",22.332819,22.400154,21.843517,22.301395,6294200,14.160766
"2001-03-05",22.265484,22.27895,21.78067,21.982676,3525400,13.958388
"2001-03-06",22.130814,22.135302,21.417061,21.556221,5575200,13.687607
"2001-03-07",21.506842,21.569687,20.613529,21.156698,7118100,13.433917
"2001-03-08",21.210567,21.883919,21.053452,21.771692,6186700,13.824424
"2001-03-09",21.776182,21.987165,21.277903,21.439507,6994700,13.613496
"2001-03-12",21.210567,21.794138,21.179144,21.183632,4668600,13.451011
"2001-03-13",21.165676,21.560709,20.779621,21.493374,6319700,13.647698
"2001-03-14",21.322792,21.32728,20.69433,20.775133,7801500,13.191632
"2001-03-15",20.775133,20.873892,20.357655,20.775133,8433000,13.191632
"2001-03-16",20.42499,20.42499,19.79204,20.200541,14248800,12.826786
"2001-03-19",19.774084,20.200541,19.756128,20.088314,8216700,12.755523
"2001-03-20",20.11076,20.11076,19.392517,19.437408,7943300,12.342216
"2001-03-21",19.751638,20.020979,19.616968,19.751638,9007000,12.541739
"2001-03-22",19.549633,19.751638,19.033398,19.518209,12100000,12.393524
"2001-03-23",19.123177,19.760616,18.966063,19.518209,7060800,12.393524
"2001-03-26",19.751638,20.020979,19.581057,19.863863,6727300,12.613001
"2001-03-27",19.863863,20.200541,19.751638,20.101782,8135400,12.764073
"2001-03-28",19.886309,20.609039,19.886309,20.438457,6004100,12.977851
"2001-03-29",20.24543,20.999582,20.227474,20.873892,6967000,13.254341
"2001-03-30",20.873892,21.277903,20.653929,21.183632,6058100,13.451011
"2001-04-02",20.986116,21.322792,20.483347,20.829,5765900,13.225841
