"","Open","High","Low","Close","Volume"
"2001-01-02",13.657619,14.10652,13.601507,13.657619,5243800
"2001-01-03",13.945269,14.478339,13.299975,13.356087,11035200
"2001-01-04",13.422813,13.815603,11.907774,12.132223,31523900
"2001-01-05",12.287334,12.53984,11.894544,12.203164,16300100
"2001-01-08",12.050954,12.499854,11.882617,12.079011,10008700
"2001-01-09",12.036449,12.681743,12.008392,12.345067,8979300
"2001-01-10",12.637012,12.945632,12.075887,12.131999,7409900
"2001-01-11",12.326154,12.662829,11.961421,11.989478,11252100
"2001-01-12",11.912025,12.557319,11.799798,12.417037,8935800
"2001-01-16",12.153432,13.163461,12.153432,12.826786,11165600
"2001-01-17",12.949679,13.033846,12.304382,12.613001,9598300
"2001-01-18",12.816542,13.209329,12.564033,12.844597,8587100
"2001-01-19",12.755952,12.980404,12.531501,12.559559,7406200
"2001-01-22",12.847693,12.931862,12.454905,12.595187,5924300
"2001-01-23",12.738133,12.794246,12.289233,12.541739,8053300
"2001-01-24",12.299901,12.496295,12.159619,12.327956,12685400
"2001-01-25",12.331578,13.173268,12.24741,13.004929,10707500
"2001-01-26",13.024991,13.473892,12.968879,13.165273,7636900
"2001-01-29",13.628405,13.74063,12.932608,12.955054,4866100
"2001-01-30",13.20016,13.240561,12.621077,12.841038,6004700
"2001-01-31",12.827282,12.939506,12.149441,12.78688,6800500
"2001-02-01",12.618028,13.11182,12.492336,13.11182,4897600
"2001-02-02",13.192114,13.304338,12.873394,12.972153,4615800
"2001-02-05",12.739036,13.295673,12.739036,13.205892,5031400
"2001-02-06",13.068241,13.615902,13.018863,13.445318,8109600
"2001-02-07",13.381416,13.632801,13.309593,13.556488,6346800
"2001-02-08",13.414416,14.17306,13.414416,13.764559,8079800
"2001-02-09",14.020369,14.024857,13.531065,13.795918,7686700
"2001-02-12",13.840128,14.109468,13.750347,14.109468,9060000
"2001-02-13",13.98451,14.029399,13.504186,13.584987,10283000
"2001-02-14",13.738178,13.774089,13.450881,13.513727,4028900
"2001-02-15",13.532978,13.667648,12.967363,13.667648,6862600
"2001-02-16",13.734645,13.824424,13.267787,13.824424,7297400
