"","Open","High","Low","Close","Volume"
"2001-01-02",1464.603027,1464.603027,1415.853027,1435.853027,253500
"2001-01-03",1440.70752,1460.70752,1404.45752,1421.95752,442200
"2001-01-04",1457.882446,1459.132446,1299.132446,1319.132446,619200
"2001-01-05",1349.957275,1362.457275,1291.207275,1302.457275,305100
"2001-01-08",1309.544556,1338.294556,1293.294556,1310.794556,256800
"2001-01-09",1314.488403,1328.238403,1289.488403,1289.488403,241500
"2001-01-10",1284.577515,1317.077515,1273.327515,1282.077515,352900
"2001-01-11",1313.405273,1318.405273,1229.655273,1249.655273,373900
"2001-01-12",1260.658936,1264.408936,1190.658936,1218.158936,459900
"2001-01-16",1205.815796,1259.565796,1200.815796,1257.065796,332600
"2001-01-17",1269.845215,1286.095215,1253.595215,1259.845215,350700
"2001-01-18",1252.077515,1284.577515,1243.327515,1282.077515,276000
"2001-01-19",1284.375854,1296.875854,1236.875854,1246.875854,408600
"2001-01-22",1244.286987,1276.786987,1231.786987,1254.286987,261400
"2001-01-23",1264.666992,1282.166992,1218.416992,1274.666992,309500
"2001-01-24",1269.957275,1303.707275,1259.957275,1302.457275,321900
"2001-01-25",1307.323608,1327.323608,1294.823608,1313.573608,222500
"2001-01-26",1338.104614,1338.104614,1290.604614,1300.604614,151600
"2001-01-29",1322.520752,1337.320801,1289.920776,1295.120728,156600
"2001-01-30",1290.534546,1296.734619,1257.93457,1293.93457,266500
"2001-01-31",1289.741333,1299.741333,1234.741333,1260.141357,320900
"2001-02-01",1266.048584,1294.848633,1257.048584,1267.848633,217300
"2001-02-02",1263.447388,1283.647339,1242.647339,1280.447388,203000
"2001-02-05",1302.326294,1317.326294,1283.92627,1307.126343,167800
"2001-02-06",1320.618775,1321.618775,1275.818726,1282.818726,179100
"2001-02-07",1286.00647,1305.806519,1280.206421,1288.00647,160600
"2001-02-08",1294.220093,1307.220093,1241.220093,1270.220093,253200
"2001-02-09",1265.145263,1286.145263,1246.145263,1284.745239,193000
"2001-02-12",1291.542603,1326.542603,1289.542603,1326.542603,268300
"2001-02-13",1329.235595,1329.435546,1308.435546,1318.835571,277000
"2001-02-14",1334.163331,1336.363404,1274.763306,1274.963379,220300
"2001-02-15",1271.856323,1285.456299,1264.65625,1283.856323,205300
"2001-02-16",1287.456299,1295.256348,1274.456299,1283.856323,189200
"2001-02-20",1294.316284,1295.91626,1245.91626,1253.91626,169300
"2001-02-21",1271.004883,1289.004883,1202.004883,1205.004883,291800
"2001-02-22",1235.121338,1235.121338,1167.521362,1216.121338,298400
"2001-02-23",1222.53479,1229.334839,1175.934815,1198.334839,191600
"2001-02-26",1189.969238,1212.969238,1185.969238,1207.969238,179400
"2001-02-27",1191.812745,1256.412721,1191.812745,1254.212769,250700
"2001-02-28",1284.441895,1284.441895,1205.641846,1212.441895,270400
"2001-03-01",1210.629761,1233.229737,1188.629761,1217.629761,298000
"2001-03-02",1214.111816,1238.51184,1196.111816,1219.111816,233200
