"","Open","High","Low","Close","Volume"
"2001-01-02",2.673533,2.682793,2.488348,2.636497,1503100
"2001-01-03",2.567365,2.780327,2.567365,2.743291,969900
"2001-01-04",2.719602,2.784417,2.682565,2.756639,449500
"2001-01-05",2.755135,2.755135,2.718098,2.736616,674200
"2001-01-08",2.624626,2.930182,2.624626,2.930182,1111000
"2001-01-09",2.915979,2.943757,2.795609,2.823387,1095400
"2001-01-10",2.753177,2.956881,2.753177,2.956881,768700
"2001-01-11",2.945689,2.945689,2.871615,2.890133,523800
"2001-01-12",2.849006,2.886043,2.774932,2.876784,1441000
"2001-01-16",2.910385,2.910385,2.752977,2.790014,762700
"2001-01-17",2.735737,2.95796,2.726478,2.930182,729600
"2001-01-18",2.968951,2.968951,2.802284,2.830062,635100
"2001-01-19",2.793451,2.895302,2.774932,2.876784,417700
"2001-01-22",2.889708,2.889708,2.824893,2.843411,503500
"2001-01-23",2.843411,2.843411,2.815634,2.843411,473100
"2001-01-24",2.840825,2.868603,2.831566,2.850085,274000
"2001-01-25",2.836735,2.836735,2.799698,2.836735,535900
"2001-01-26",2.84449,2.84449,2.761157,2.816713,248400
"2001-01-29",2.804568,2.825309,2.774939,2.819383,301600
"2001-01-30",2.788098,2.832543,2.783654,2.823654,528400
"2001-01-31",2.816865,2.890939,2.81242,2.845013,960400
"2001-02-01",2.842946,2.850353,2.80739,2.850353,742500
"2001-02-02",2.885259,2.885259,2.787482,2.802296,287500
"2001-02-05",2.804568,2.826791,2.797161,2.819383,193600
"2001-02-06",2.826791,2.862346,2.804568,2.819383,678300
"2001-02-07",2.817314,2.826203,2.798055,2.824722,270000
"2001-02-08",2.8301,2.837507,2.791581,2.81084,312400
"2001-02-09",2.807943,2.83461,2.80498,2.818314,273300
"2001-02-12",2.791023,2.896208,2.791023,2.8888,555400
"2001-02-13",2.911363,2.995807,2.911363,2.926177,479800
"2001-02-14",2.917834,2.991908,2.903019,2.985982,370500
"2001-02-15",2.987773,3.035181,2.950736,2.996662,340200
"2001-02-16",3.03078,3.03078,2.882632,2.885595,585100
"2001-02-20",2.782274,2.893385,2.715607,2.857829,459600
