"","Open","High","Low","Close","Volume"
"2001-01-02",33.176836,33.176836,31.489336,31.551836,1140900
"2001-01-03",31.062325,33.999825,30.812325,33.999825,1206900
"2001-01-04",33.935009,36.372509,33.810009,34.435009,1027400
"2001-01-05",32.568031,32.568031,28.318031,31.443031,2448900
"2001-01-08",31.576128,31.576128,30.638628,31.388628,514800
"2001-01-09",31.461533,31.586533,29.836533,30.899033,673200
"2001-01-10",30.555328,33.055328,29.430328,32.367828,495800
"2001-01-11",31.936203,36.186203,31.811203,35.686203,3022000
"2001-01-12",35.815811,35.815811,33.753311,34.815811,1056800
"2001-01-16",35.058819,35.183819,32.558819,33.183819,1305200
"2001-01-17",33.788017,34.725517,33.350517,34.163017,1289800
"2001-01-18",31.551836,31.864336,31.176836,31.551836,6455300
"2001-01-19",31.967329,32.029829,30.717329,31.279829,2075600
"2001-01-22",31.393232,31.393232,29.955732,30.518232,1126000
"2001-01-23",30.684937,31.809937,30.684937,31.497437,3558000
"2001-01-24",31.665234,31.915234,30.540234,30.790234,1414900
"2001-01-25",30.880531,31.443031,29.943031,31.443031,1087700
"2001-01-26",31.128225,32.128225,30.003225,31.878225,3127000
"2001-01-29",31.734786,31.914786,31.314788,31.46479,679600
"2001-01-30",31.67886,31.808861,31.488862,31.638859,579600
"2001-01-31",31.808321,31.938322,30.058321,31.508322,1626500
"2001-02-01",31.607227,32.457225,31.357227,32.187225,1046100
"2001-02-02",32.42107,32.44107,30.551071,30.751072,443900
"2001-02-05",30.703461,30.703461,29.703461,30.533463,874500
"2001-02-06",30.458323,31.708323,30.458323,31.508322,707700
"2001-02-07",31.587368,31.587368,30.787369,30.977367,837900
"2001-02-08",31.077339,31.177342,29.827339,30.037338,900800
"2001-02-09",29.711386,29.911387,28.011385,28.801386,1541600
"2001-02-12",28.832113,29.302115,28.132117,28.662115,759800
"2001-02-13",28.704895,29.774895,28.704895,28.844894,1335800
"2001-02-14",28.779521,28.869521,28.39952,28.679523,311600
"2001-02-15",28.836966,30.086966,28.836966,29.636965,766000
"2001-02-16",29.423046,29.723045,28.523044,28.723045,579800
"2001-02-20",29.58839,30.33839,27.618391,27.948391,913900
"2001-02-21",27.936733,28.726734,27.826732,28.026733,570800
"2001-02-22",28.027262,28.027262,26.397261,27.21726,812600
"2001-02-23",26.95981,26.95981,24.449812,25.78981,1336800
"2001-02-26",26.391529,27.59153,26.241529,27.59153,653000
"2001-02-27",27.745546,27.865545,24.815545,25.415546,1106900
"2001-02-28",25.44924,26.399239,25.179239,25.18924,1458800
"2001-03-01",24.753469,25.003469,23.52347,24.153469,1659100
"2001-03-02",23.75995,24.40995,23.709949,24.109951,1486300
"2001-03-05",24.522909,24.562908,23.772909,24.022909,985400
"2001-03-06",24.067928,25.067928,23.917928,24.727928,2571100
"2001-03-07",25.134031,25.334032,24.174032,24.284031,1065400
"2001-03-08",24.279392,24.329392,23.379393,23.979391,619300
"2001-03-09",23.969367,24.029366,22.619366,23.039366,846200
"2001-03-12",22.626522,22.846521,20.426521,20.976522,1557100
"2001-03-13",21.159268,21.159268,19.059268,19.749269,4181200
"2001-03-14",18.998693,20.348694,18.698692,19.148693,2562300
"2001-03-15",20.175915,20.375916,18.875916,18.965916,2839100
"2001-03-16",19.265337,19.465338,18.365337,18.365337,1349000
"2001-03-19",19.002382,19.002382,17.702383,18.452383,2396100
"2001-03-20",18.790701,19.010702,18.060701,18.060701,1255700
"2001-03-21",18.359951,18.539951,17.609951,17.729952,1206200
"2001-03-22",17.879191,18.129191,16.229191,16.929192,1697400
"2001-03-23",16.688464,17.838466,16.688464,17.538465,1263500
"2001-03-26",17.625507,18.375507,17.375507,17.625507,1072900
"2001-03-27",17.363497,18.713497,17.313497,18.713497,1235000
"2001-03-28",18.380684,18.380684,17.460684,17.590683,1225400
"2001-03-29",17.725107,18.105108,16.605108,16.755108,1413000
"2001-03-30",16.752308,16.852308,15.302309,16.102308,3086400
"2001-04-02",16.613977,16.613977,15.613977,16.023977,870300
"2001-04-03",15.227209,15.427208,12.397209,12.577209,4033400
"2001-04-04",12.669436,13.519436,12.319436,12.629436,3900400
"2001-04-05",13.298016,14.798016,12.848016,14.788016,2217700
"2001-04-06",14.212408,14.212408,12.982408,13.012408,2070500
"2001-04-09",13.024087,13.654087,13.004087,13.404087,1280700
"2001-04-10",13.946716,15.696716,13.856715,14.796716,3371300
"2001-04-11",16.247669,16.667669,15.697668,15.797669,2269700
"2001-04-12",15.487921,17.987921,15.487921,17.877922,2817900
"2001-04-16",17.769028,18.249027,17.209028,17.669027,1481000
"2001-04-17",17.316133,20.606134,17.316133,20.106134,2411600
"2001-04-18",21.086552,23.226552,21.006552,21.916552,2699800
"2001-04-19",21.777876,23.077876,21.297877,22.847876,996200
"2001-04-20",22.793442,23.543442,22.093441,23.213442,1068500
"2001-04-23",23.021545,23.021545,21.671545,21.681545,1002400
"2001-04-24",21.31172,21.99172,20.91172,21.41172,1042700
"2001-04-25",21.184506,22.034506,21.184506,21.594505,841100
"2001-04-26",21.512858,22.362859,21.512858,22.14286,599200
"2001-04-27",22.246379,22.396381,21.496379,22.18638,429800
"2001-04-30",22.446596,23.416595,22.326595,23.326595,881100
"2001-05-01",23.231979,23.971981,22.43198,23.961981,809300
"2001-05-02",23.930508,25.140507,23.840508,24.240507,1103900
"2001-05-03",23.923838,24.413838,23.313838,24.083838,1743200
"2001-05-04",23.321072,24.571072,23.221071,24.371071,704600
"2001-05-07",24.321072,24.411072,24.00107,24.371071,714800
"2001-05-08",24.515457,24.685457,22.235458,22.595457,2544900
"2001-05-09",22.668037,22.678037,21.408039,22.108038,718200
"2001-05-10",22.683417,22.773417,22.213418,22.273417,527000
"2001-05-11",22.083961,22.233961,21.53396,21.933962,1056900
"2001-05-14",21.86523,21.86523,20.075231,20.985231,1104200
"2001-05-15",21.019858,21.079857,20.739857,20.819857,754200
"2001-05-16",20.807087,21.307087,20.297087,21.107086,733600
"2001-05-17",21.664179,23.464179,21.614178,23.074179,1463700
"2001-05-18",23.526596,24.006596,23.076595,23.326595,802700
"2001-05-21",23.415481,23.415481,22.815481,23.065481,967900
"2001-05-22",23.231043,23.471043,22.991044,23.431044,409000
"2001-05-23",23.332872,23.34287,22.502872,22.612871,270300
"2001-05-24",22.618419,22.63842,21.64842,22.508421,408900
"2001-05-25",22.516198,22.696198,21.506197,22.456196,682500
"2001-05-29",22.388395,22.648396,20.988396,21.568396,649100
"2001-05-30",21.526699,21.526699,19.486698,20.236698,1519000
"2001-05-31",20.193579,21.683578,20.193579,21.533579,623600
"2001-06-01",21.493403,21.863404,20.523403,21.803402,722000
"2001-06-04",21.707086,21.807087,20.807087,21.107086,404300
"2001-06-05",21.123384,21.683386,21.073385,21.333385,653900
"2001-06-06",21.357086,21.367086,20.957086,21.107086,402600
"2001-06-07",21.024678,21.324677,21.024678,21.324677,491700
"2001-06-08",21.388939,21.41894,21.138939,21.228939,138700
"2001-06-11",21.202442,21.302443,20.422443,20.802443,380000
"2001-06-12",20.132055,20.132055,18.832054,19.932055,1111600
"2001-06-13",20.01186,20.201858,19.721859,19.731859,817800
"2001-06-14",19.874429,19.874429,18.374429,18.774429,681600
"2001-06-15",18.859966,18.859966,18.039966,18.199966,615500
"2001-06-18",18.231235,18.241235,17.031236,17.251236,1097500
"2001-06-19",17.738808,17.878807,16.228808,16.528807,1964900
"2001-06-20",16.49807,16.718071,15.94807,16.66807,1272300
"2001-06-21",16.27175,16.27175,14.52175,15.97175,5710900
"2001-06-22",16.022308,16.682308,15.362308,16.102308,1574800
"2001-06-25",16.234713,16.564713,15.874713,15.884713,802600
"2001-06-26",15.807499,16.247497,15.767498,16.067497,810600
"2001-06-27",16.043795,16.573796,15.993796,16.293795,732300
"2001-06-28",16.363989,17.043989,16.363989,16.49399,1135700
"2001-06-29",16.281071,18.321072,16.281071,17.991072,1782600
"2001-07-02",17.896802,17.996803,17.546802,17.616802,1025100
"2001-07-03",17.394942,17.714942,17.194941,17.494942,350100
"2001-07-05",17.519567,17.639566,17.139566,17.329567,847600
"2001-07-06",17.292681,17.352681,15.682681,16.032681,905500
"2001-07-09",15.93601,16.286011,15.84601,15.876011,1077500
"2001-07-10",16.199516,16.299516,15.409515,15.449516,1521600
"2001-07-11",15.239693,15.399693,14.999693,15.179694,676600
"2001-07-12",15.632871,16.382871,15.552871,16.232872,762700
"2001-07-13",16.258787,16.278787,15.808788,16.058788,745700
"2001-07-16",16.17767,16.297669,15.697668,15.797669,495900
"2001-07-17",15.58935,16.18935,15.43935,16.18935,668700
"2001-07-18",16.089707,16.119708,15.489707,15.649707,496200
"2001-07-19",15.800048,15.800048,13.920048,14.640048,2053600
"2001-07-20",14.524494,15.034495,14.064495,14.744496,2232700
"2001-07-23",15.062272,15.132272,14.532271,14.692271,984300
"2001-07-24",14.448561,14.748561,14.358561,14.448561,936700
"2001-07-25",14.599309,14.88931,14.29931,14.77931,513800
"2001-07-26",14.838194,14.838194,14.038195,14.518194,893200
"2001-07-27",14.411537,14.861536,14.061536,14.831537,1055800
"2001-07-30",15.021536,15.021536,14.591535,14.831537,719200
"2001-07-31",14.9032,14.923201,14.7032,14.753201,2665900
"2001-08-01",14.789681,14.86968,14.659681,14.709681,878100
"2001-08-02",15.08935,16.18935,15.049349,16.18935,2833600
"2001-08-03",16.718615,16.718615,16.228615,16.328615,1228200
"2001-08-06",16.38175,16.38175,15.97175,15.97175,994900
"2001-08-07",15.958591,16.158592,15.388591,15.388591,1650400
"2001-08-08",15.27987,15.399871,14.77987,14.909869,4407800
