"","Open","High","Low","Close","Volume"
"2001-01-02",4.275658,4.299095,4.080345,4.228783,7231200
"2001-01-03",4.104785,4.511035,3.987597,4.33916,4202400
"2001-01-04",4.322296,4.603546,4.275421,4.525421,3477600
"2001-01-05",4.622565,4.66944,4.146003,4.146003,2284000
"2001-01-08",4.271592,4.365342,4.091905,4.318467,2231200
"2001-01-09",4.317966,4.317966,4.224216,4.263278,1251200
"2001-01-10",4.195468,4.570468,4.132968,4.539218,2952000
"2001-01-11",4.466838,4.888713,4.412151,4.849651,4252800
"2001-01-12",4.915479,5.102979,4.821729,5.001417,2714400
"2001-01-16",4.991864,5.148114,4.851239,5.132489,2595200
"2001-01-17",5.224498,5.458873,5.224498,5.263561,3751200
"2001-01-18",5.33579,5.406103,5.14829,5.36704,3374400
"2001-01-19",5.614385,5.614385,5.50501,5.50501,2014400
"2001-01-22",5.537498,5.537498,5.248435,5.318748,2512000
"2001-01-23",5.336113,5.42205,5.093925,5.187675,4359200
"2001-01-24",5.125264,5.453389,5.125264,5.304952,2364800
"2001-01-25",5.309935,5.309935,5.16931,5.208373,1330400
"2001-01-26",5.04705,5.218925,5.023613,5.187675,1324800
"2001-01-29",5.152772,5.264022,5.115272,5.215272,1488800
"2001-01-30",5.209053,5.365303,5.190303,5.356553,1392800
"2001-01-31",5.379705,5.492205,5.317205,5.342205,1364000
"2001-02-01",5.395199,5.438949,5.351449,5.413949,1531200
"2001-02-02",5.412276,5.443526,5.142276,5.143526,1749600
"2001-02-05",4.97804,4.98304,4.75929,4.88304,2599200
"2001-02-06",4.861171,5.107421,4.813671,5.038671,1664800
"2001-02-07",4.965284,5.040284,4.765284,4.837784,1698400
"2001-02-08",4.762259,4.813509,4.576009,4.624759,2096000
"2001-02-09",4.652148,4.652148,4.407148,4.474648,1982400
"2001-02-12",4.409928,4.453678,4.353678,4.453678,2473600
"2001-02-13",4.48127,4.57502,4.45377,4.48127,1332000
"2001-02-14",4.540776,4.565776,4.300776,4.409526,2048000
"2001-02-15",4.430017,5.011267,4.430017,4.773767,3124000
"2001-02-16",4.492857,4.617857,4.399107,4.535357,2608800
"2001-02-20",4.617024,4.629524,4.304524,4.305774,2406400
"2001-02-21",4.185516,4.404266,4.185516,4.260516,2176000
"2001-02-22",4.252513,4.421263,4.108763,4.273763,1854400
"2001-02-23",4.22408,4.23033,3.89908,4.20533,2226400
"2001-02-26",4.225822,4.707072,4.194572,4.569572,3064800
"2001-02-27",4.519954,4.519954,4.019954,4.094954,3e+06
"2001-02-28",4.084178,4.102928,3.921678,3.940428,2381600
"2001-03-01",3.943352,3.944602,3.855852,3.918352,1457600
"2001-03-02",3.77712,4.28962,3.66462,4.04087,6272000
"2001-03-05",4.034035,4.151535,3.995285,4.045285,2188000
"2001-03-06",4.058616,4.327366,4.058616,4.274866,3680000
"2001-03-07",4.276744,4.332994,4.239244,4.326744,2377600
"2001-03-08",4.280254,4.367754,4.229004,4.300254,1869600
"2001-03-09",4.290685,4.290685,3.983185,4.089435,1588800
"2001-03-12",3.911633,3.911633,3.755383,3.780383,2828000
"2001-03-13",3.829798,3.873548,3.676048,3.784798,2404800
"2001-03-14",3.6976,3.8351,3.62885,3.6976,2671200
"2001-03-15",3.782506,3.782506,3.638756,3.670006,1651200
"2001-03-16",3.731165,3.743665,3.349915,3.349915,3720800
"2001-03-19",3.32798,3.57798,3.07173,3.51548,7204000
"2001-03-20",3.499362,3.511862,3.399362,3.495612,3150400
"2001-03-21",3.55331,3.55331,3.41581,3.46581,2402400
"2001-03-22",3.432844,3.451594,3.326594,3.431594,3500800
"2001-03-23",3.448002,3.773002,3.448002,3.741752,3444800
"2001-03-26",3.764633,3.795883,3.662133,3.663383,2889600
"2001-03-27",3.677387,3.708637,3.633637,3.708637,1522400
"2001-03-28",3.715849,3.728349,3.418349,3.418349,2676800
"2001-03-29",3.370859,3.477109,3.308359,3.333359,5013600
"2001-03-30",3.289348,3.489348,3.276848,3.476848,6175200
"2001-04-02",3.484159,3.484159,3.409159,3.421659,1969600
"2001-04-03",3.378172,3.378172,3.253172,3.278172,4e+06
"2001-04-04",3.243411,3.368411,3.200911,3.304661,2407200
"2001-04-05",3.388286,3.532036,3.357036,3.532036,2067200
"2001-04-06",3.524584,3.524584,3.280834,3.399584,1420800
"2001-04-09",3.430281,3.640281,3.392781,3.545281,3158400
"2001-04-10",3.614481,3.901981,3.608231,3.853231,2059200
"2001-04-11",3.928399,4.272149,3.928399,4.078399,3721600
"2001-04-12",3.949481,4.261981,3.905731,4.249481,1962400
"2001-04-16",4.211111,4.211111,3.936111,4.067361,3006400
"2001-04-17",4.033185,4.133185,3.945685,4.089435,2629600
"2001-04-18",4.35035,4.47535,4.2691,4.4316,3177600
"2001-04-19",4.34405,4.85655,4.29405,4.85655,3317600
"2001-04-20",4.85294,4.85294,4.64044,4.64794,1181600
"2001-04-23",4.469648,4.519648,4.438398,4.474648,1348800
"2001-04-24",4.492342,4.498592,4.341092,4.341092,1567200
"2001-04-25",4.251482,4.511482,4.157732,4.470232,2034400
"2001-04-26",4.50714,4.66964,4.42589,4.66339,1760800
"2001-04-27",4.748367,4.810867,4.685867,4.729617,1626400
"2001-04-30",4.740585,4.803085,4.646835,4.646835,3458400
"2001-05-01",4.633091,4.758091,4.614341,4.750591,1283200
"2001-05-02",4.804094,5.254094,4.804094,5.016594,4338400
"2001-05-03",4.936477,5.138977,4.886477,5.055227,4999200
"2001-05-04",4.937675,5.218925,4.875175,5.187675,3944000
"2001-05-07",5.130151,5.192651,5.067651,5.150151,2124800
"2001-05-08",5.187675,5.187675,5.118925,5.187675,1254400
"2001-05-09",5.115087,5.371337,5.090087,5.263837,2696800
"2001-05-10",5.319912,5.319912,5.186162,5.227412,1854400
"2001-05-11",5.186509,5.249009,5.171509,5.196509,1049600
"2001-05-14",5.128504,5.222254,5.116004,5.209754,1177600
"2001-05-15",5.213409,5.234659,5.150909,5.182159,1508800
"2001-05-16",5.129088,5.235338,5.122838,5.205338,2459200
"2001-05-17",5.167482,5.768732,5.167482,5.717482,5349600
"2001-05-18",5.765358,5.836608,5.640358,5.827858,2264000
"2001-05-21",5.836251,6.240001,5.798751,6.236251,2827200
"2001-05-22",6.300213,6.423963,6.156463,6.225213,3156800
"2001-05-23",6.189367,6.190617,5.898117,5.976867,4544800
"2001-05-24",5.996186,5.996186,5.731186,5.849936,1968800
"2001-05-25",5.903591,5.928591,5.791091,5.822341,1296800
"2001-05-29",5.821653,5.852903,5.590403,5.591653,1872000
"2001-05-30",5.476778,5.605528,5.350528,5.364278,4633600
"2001-05-31",5.384592,5.609592,5.384592,5.588342,1840000
"2001-06-01",5.700456,5.712956,5.552956,5.562956,1887200
"2001-06-04",5.458431,5.533431,5.352181,5.408431,2273600
"2001-06-05",5.414089,5.632839,5.407839,5.601589,2451200
"2001-06-06",5.588611,5.676111,5.513611,5.652361,1061600
"2001-06-07",5.596031,5.702281,5.552281,5.643531,1076800
"2001-06-08",5.450247,5.450247,5.218997,5.281497,3608000
"2001-06-11",5.271454,5.323954,5.071454,5.121454,2533600
