"","Open","High","Low","Close","Volume"
"2009-08-06",14.015916,14.425916,13.075916,13.695916,24197800
"2009-08-07",13.627535,14.237535,13.507536,13.907535,2454300
"2009-08-10",14.178157,14.178157,13.158158,13.518158,2421000
"2009-08-11",13.574216,13.594216,13.094216,13.264216,2305400
"2009-08-12",13.693556,13.743557,13.203556,13.543556,1451300
"2009-08-13",13.459113,14.179112,13.459113,14.009112,1150600
"2009-08-14",13.951435,14.451435,13.701435,14.051435,637800
"2009-08-17",13.779775,13.879776,13.709776,13.729774,254400
"2009-08-18",13.859278,14.579279,13.729278,14.449278,1446700
"2009-08-19",14.093379,15.19338,14.053378,15.143378,2070800
"2009-08-20",15.223342,15.223342,14.563342,15.033341,1882100
"2009-08-21",15.05413,15.234128,14.844129,15.084129,863600
"2009-08-24",14.833253,15.163253,14.613252,14.813253,1021600
"2009-08-25",14.909526,15.159526,14.809525,15.109526,530800
"2009-08-26",14.949527,15.109526,14.409526,15.109526,708600
"2009-08-27",15.061924,15.421923,14.761923,15.371924,1161100
"2009-08-28",15.264336,16.164336,15.164336,15.634335,1295000
"2009-08-31",15.555784,15.605784,15.015783,15.405785,1004800
"2009-09-01",15.509526,15.699527,14.199527,15.109526,1383500
"2009-09-02",15.045627,15.535627,14.765627,14.965627,1293400
"2009-09-03",15.290933,15.290933,14.320934,14.770935,3657700
"2009-09-04",15.023341,15.273341,14.763341,15.033341,1158600
"2009-09-08",15.042554,15.212554,14.732555,14.982555,574900
"2009-09-09",15.200106,15.200106,14.570105,14.610106,551200
"2009-09-10",14.392348,14.842347,14.332349,14.432347,415200
"2009-09-11",14.408447,14.738447,13.948448,14.288446,620300
"2009-09-14",14.083754,14.343755,13.753754,14.093755,1614500
"2009-09-15",14.612389,14.712389,13.992388,14.542389,1986900
"2009-09-16",14.700978,15.050978,14.410979,14.880978,2021100
"2009-09-17",15.105293,15.345293,13.975294,14.085292,1446400
"2009-09-18",14.082847,14.532847,13.692847,13.712848,899900
"2009-09-21",13.729897,14.079895,13.319896,14.059897,553000
"2009-09-22",14.311641,14.721643,14.171642,14.601642,1114100
"2009-09-23",14.948612,15.118612,14.62861,14.728611,530300
"2009-09-24",14.644797,15.164797,14.064797,14.804797,778800
"2009-09-25",14.850065,14.850065,14.470065,14.500064,468500
"2009-09-28",14.610233,15.140233,14.320234,14.940233,233600
"2009-09-29",14.935417,15.225418,14.335419,14.415419,356700
"2009-09-30",14.379278,14.709278,14.339277,14.449278,512600
"2009-10-01",14.495959,14.585959,13.705958,13.805958,660500
"2009-10-02",13.729737,13.889737,13.429736,13.619736,629600
"2009-10-05",13.568323,13.998324,13.468323,13.958323,188900
"2009-10-06",14.211397,14.671398,13.911398,13.941396,469400
"2009-10-07",14.093592,14.133593,13.443592,13.653591,291700
"2009-10-08",13.652015,13.722014,13.482014,13.552014,557300
"2009-10-09",13.485168,13.955169,13.445168,13.755168,870500
