"","AXP.Open","AXP.High","AXP.Low","AXP.Close","AXP.Volume","AXP.Adjusted"
"2001-01-02",47.70385,47.86797,45.132656,45.515598,4394200,35.062984
"2001-01-03",45.07795,49.946808,45.023243,48.962093,8964100,37.776096
"2001-01-04",49.509155,49.727982,47.047375,47.430317,8212700,36.594284
"2001-01-05",46.609726,46.664433,44.202648,45.132656,6354800,34.821568
"2001-01-08",45.406189,45.406189,42.561462,42.834995,8780900,33.04882
"2001-01-09",42.889702,43.327351,40.427917,41.084393,9962500,31.698158
"2001-01-10",40.920277,42.0144,40.482624,40.86557,10738700,31.529337
"2001-01-11",40.756157,42.506756,40.373211,41.904987,8168200,32.331287
"2001-01-12",42.834995,42.834995,41.084393,41.959694,7101500,32.373489
"2001-01-16",41.959694,42.834995,41.522045,42.28793,5665300,32.626743
"2001-01-17",43.382057,43.819706,42.834995,43.272644,7992200,33.386471
"2001-01-18",44.312061,44.366768,42.944405,43.436764,5143100,33.513115
"2001-01-19",43.436764,43.655586,41.193806,42.561462,8082800,32.83778
"2001-01-22",42.780289,42.999111,38.677319,39.3885,15301900,30.389729
"2001-01-23",40.482624,41.467339,40.263802,40.70145,20240000,31.40271
"2001-01-24",41.576752,41.576752,39.880856,40.482624,13560200,31.233877
"2001-01-25",41.248512,41.686161,40.263802,40.592037,8627500,31.318287
"2001-01-26",40.592037,41.248512,40.154388,40.810863,7936100,31.487114
"2001-01-29",41.401691,42.294495,41.357925,41.673035,7397100,32.152325
"2001-01-30",41.139099,42.110683,40.911522,41.935623,9105600,32.354927
"2001-01-31",41.83934,42.452049,40.263802,41.226631,8894000,31.807896
"2001-02-01",41.226631,41.874352,41.226631,41.567997,5913500,32.071278
"2001-02-02",41.567997,43.721233,41.48922,42.110683,8685100,32.489979
"2001-02-05",42.224472,42.942219,41.970634,42.373272,4038900,32.692566
"2001-02-06",42.373272,42.382027,40.964039,41.130348,5816200,31.73362
"2001-02-07",41.445454,42.145695,39.826149,40.587662,7726000,31.314909
"2001-02-08",40.70145,42.320755,40.666439,41.226631,6204700,31.807896
"2001-02-09",41.926868,42.005646,41.095333,41.165359,3911600,31.760628
"2001-02-12",41.182865,42.189461,41.182865,42.110683,3973200,32.489979
"2001-02-13",42.031906,42.452049,40.52639,40.946533,5539500,31.591793
"2001-02-14",41.139099,41.244137,40.421352,40.823994,4299700,31.49725
"2001-02-15",41.182865,41.366676,40.535145,41.01656,4285200,31.645817
"2001-02-16",41.069077,41.559242,40.473873,41.331665,4902700,31.888937
"2001-02-20",41.401691,41.51548,39.476028,40.246292,5657700,31.051537
"2001-02-21",39.633583,40.106247,38.285622,38.486942,5472800,29.694117
"2001-02-22",38.486942,39.099651,36.666317,38.950851,9997400,30.052044
"2001-02-23",39.125912,39.5373,38.07555,39.300968,5653100,30.322168
"2001-02-26",39.335983,39.589821,38.25061,39.56356,6721300,30.524761
"2001-02-27",39.169674,40.132504,38.828308,39.773632,6331300,30.686869
"2001-02-28",39.826149,39.939938,38.25061,38.408165,6286600,29.63335
