"","Open","High","Low","Close","Volume"
"2001-01-02",12.129852,12.848602,11.973602,12.848602,7021200
"2001-01-03",11.974646,13.755896,11.630896,13.724646,20566800
"2001-01-04",13.310328,14.247828,13.091578,14.154078,22259200
"2001-01-05",13.004649,14.192149,12.598399,13.192149,30578400
"2001-01-08",12.698358,13.573358,12.292108,13.260858,11865600
"2001-01-09",13.417312,13.792312,12.729812,12.917312,11454600
"2001-01-10",12.440495,13.440495,12.346745,13.346745,14501000
"2001-01-11",13.212229,13.649729,12.930979,13.587229,14693200
"2001-01-12",13.67166,13.67166,13.01541,13.48416,8350600
"2001-01-16",12.655729,14.186979,12.343229,13.999479,21287800
"2001-01-17",14.309081,14.309081,13.496581,13.621581,16560800
"2001-01-18",13.731052,13.793552,13.106052,13.449802,11780000
"2001-01-19",13.674766,13.893516,13.081016,13.518516,11225800
"2001-01-22",13.532386,14.094886,13.282386,13.844886,8684000
"2001-01-23",13.532386,14.001136,13.438636,13.844886,8757400
"2001-01-24",13.502587,14.158837,13.190087,14.033837,11042200
"2001-01-25",13.966578,14.591578,13.560328,14.154078,8711400
"2001-01-26",13.649112,14.930362,13.586612,14.617862,11745400
"2001-01-29",14.841675,15.046675,14.186676,14.846676,13714000
"2001-01-30",14.610178,15.480177,14.260178,15.245179,15187000
"2001-01-31",15.531692,15.851691,14.791692,14.791692,15905800
"2001-02-01",14.953291,15.443291,14.053289,14.643289,12553800
"2001-02-02",14.731235,15.406236,14.641235,14.731235,9311200
"2001-02-05",14.807792,15.127794,14.457794,14.637792,9242400
"2001-02-06",14.520667,14.840667,13.755666,14.005666,13367200
"2001-02-07",14.334406,14.374406,13.279405,13.604406,14626600
"2001-02-08",14.023277,14.023277,13.303278,13.398277,11619600
"2001-02-09",13.404405,13.779405,13.234405,13.604406,10775800
"2001-02-12",13.603315,13.883316,13.578315,13.758316,8587800
"2001-02-13",13.962777,14.432778,13.757777,13.807778,9626000
"2001-02-14",13.686697,14.136698,13.666697,13.961697,8626000
"2001-02-15",13.991426,14.456426,13.716424,13.986425,10574800
"2001-02-16",13.996592,14.386591,13.756592,14.126593,8758000
"2001-02-20",14.489968,14.554969,13.384969,13.499968,11386600
"2001-02-21",13.748439,14.173438,13.093438,13.123439,13770400
"2001-02-22",12.760858,13.270858,11.960859,13.260858,14869600
"2001-02-23",12.860462,13.915463,12.460463,13.505463,9874800
"2001-02-26",13.086163,14.271162,12.521162,14.011162,12056400
"2001-02-27",13.90484,14.57484,13.384839,14.134839,12820200
"2001-02-28",14.519407,14.544407,13.269407,14.244407,12699600
"2001-03-01",13.617309,14.04231,12.96731,13.86231,13457400
"2001-03-02",13.455836,14.490836,13.430834,13.780835,11280400
"2001-03-05",13.774262,14.099262,13.469261,13.789263,8531400
"2001-03-06",14.09079,14.46579,13.815791,14.120789,8971800
"2001-03-07",13.670368,14.820368,13.580368,14.820368,11277000
"2001-03-08",14.607892,15.157891,14.607892,15.092893,13711800
"2001-03-09",15.100129,15.125129,14.57513,14.750129,8953400
"2001-03-12",14.692886,15.007887,14.267887,14.502885,14741800
"2001-03-13",14.516796,15.241796,14.216796,15.241796,16513600
"2001-03-14",14.764412,15.069413,14.094412,14.539412,25571400
"2001-03-15",14.604891,14.994893,14.504893,14.679892,12948800
"2001-03-16",14.741079,15.231079,14.341079,14.44108,18050000
"2001-03-19",13.972174,15.097174,13.827173,14.882174,10553800
"2001-03-20",15.705171,15.91517,14.315169,14.41017,17218600
"2001-03-21",14.739647,15.339647,14.094646,14.314647,16723400
"2001-03-22",14.420024,14.570026,13.090024,13.955024,20123800
"2001-03-23",13.488795,14.828795,13.413796,14.828795,15785400
"2001-03-26",15.07513,15.350129,14.29013,14.750129,11939200
"2001-03-27",13.941422,15.406422,13.661421,15.306422,19161000
"2001-03-28",14.989561,15.37956,14.659561,15.28956,13029000
"2001-03-29",15.130555,15.405554,14.730555,14.935555,11123800
"2001-03-30",14.782278,15.387277,14.597278,15.382278,12760800
"2001-04-02",15.394364,15.789365,14.809363,15.174363,16126800
"2001-04-03",15.504893,15.504893,14.359892,14.679892,14116800
"2001-04-04",14.904835,15.104836,14.004836,14.134837,18445800
"2001-04-05",14.4425,14.917501,14.287501,14.5675,11382400
"2001-04-06",15.062551,15.387552,13.462553,13.932552,26638400
"2001-04-09",14.091314,14.696316,13.941315,14.216314,9621200
"2001-04-10",14.427172,15.227173,14.392172,14.587172,12583200
"2001-04-11",15.439175,15.579174,14.624174,14.764174,11780000
"2001-04-12",14.676553,15.126553,14.571553,14.876553,6576000
"2001-04-16",15.03608,15.641079,14.61108,14.73608,15241400
"2001-04-17",14.884649,15.034648,14.519649,14.609649,11540000
"2001-04-18",14.038085,15.663085,13.938085,15.503085,23188400
"2001-04-19",15.095858,16.390858,15.030857,15.845858,18648000
"2001-04-20",16.145329,16.145329,15.44533,15.455328,13803200
"2001-04-23",15.472853,15.642853,15.172854,15.432854,11155800
"2001-04-24",15.66204,15.88204,15.28704,15.31204,8100800
"2001-04-25",15.224416,15.499416,14.854415,15.424417,7681000
