"","BBBY.Open","BBBY.High","BBBY.Low","BBBY.Close","BBBY.Volume","BBBY.Adjusted"
"2001-01-02",22.125,22.375,20.75,21.3125,5586500,19.417425
"2001-01-03",21.3125,24.875,20,24.8125,5985000,22.606215
"2001-01-04",23.875,24.875,22.5,24,7120700,21.865961
"2001-01-05",24.125,24.25,23,23.3125,5147900,21.23959
"2001-01-08",23.375,23.6875,22.75,23.125,3121000,21.068766
"2001-01-09",23,23.1875,21.875,22.25,5083900,20.271566
"2001-01-10",22.171875,23.125,21.375,22.875,2899400,20.840992
"2001-01-11",22.875,23.625,22.5,23.625,6979300,21.524305
"2001-01-12",23.625,24.125,22.5,22.6875,6654700,20.670166
"2001-01-16",22.90625,24.5,22.75,24.3125,2988800,22.150671
"2001-01-17",24.5,25.1875,24.4375,24.9375,3802100,22.720098
"2001-01-18",24.96875,25,23.4375,23.625,2748900,21.524305
"2001-01-19",22.75,23.75,22.25,23.25,4933500,21.182648
"2001-01-22",23,24.125,22.9375,23.5625,3846200,21.467361
"2001-01-23",23.6875,23.875,20,23.6875,3341400,21.581247
"2001-01-24",23.71875,23.75,22.6875,23,2685700,20.954874
"2001-01-25",23.15625,23.75,23,23.5,3701000,21.410418
"2001-01-26",23.625,25.25,23.375,24.0625,3621900,21.922901
"2001-01-29",24.3125,25.125,23.625,25.0625,5089800,22.833982
"2001-01-30",25,25.8125,24.1875,25.3125,5225800,23.061754
"2001-01-31",25.4375,27.5625,25.4375,26.5625,9033600,24.200605
"2001-02-01",26.6875,27.25,25.5625,25.9375,3607100,23.631182
"2001-02-02",26.125,26.8125,25.875,26.5625,2954800,24.200605
"2001-02-05",26.0625,26.625,26.0625,26.4375,2642400,24.086721
"2001-02-06",26.53125,27.125,26.4375,27,2702300,24.599205
"2001-02-07",26.90625,27.1875,26.5,27,3747100,24.599205
"2001-02-08",27.21875,27.5,25.625,26.3125,3745800,23.972836
"2001-02-09",26.125,26.875,25.25,25.3125,1788900,23.061754
"2001-02-12",25.5,26.953125,25.4375,26.9375,1905700,24.542261
"2001-02-13",26.9375,27.25,26.3125,26.5,2274600,24.143665
"2001-02-14",26.25,27.125,25.8125,27.0625,2713700,24.656147
"2001-02-15",27.0625,27.125,26.4375,26.8125,2639600,24.428375
"2001-02-16",26.0625,26.875,25.9375,26.125,2631400,23.802006
"2001-02-20",26.5,27.8125,25.75,25.875,5682200,23.57424
"2001-02-21",25.625,26.125,23.875,24,4518700,21.865961
"2001-02-22",24.375,25.375,24,24.625,3027200,22.435383
"2001-02-23",24.8125,25.875,24.625,25.8125,3365100,23.517294
"2001-02-26",26,26.75,25.875,26.75,3767300,24.371435
"2001-02-27",26.71875,27,25.25,25.375,3760100,23.118696
"2001-02-28",25.8125,25.8125,24.25,24.625,5025000,22.435383
"2001-03-01",24.625,25.375,23.5625,25.0625,4552600,22.833982
"2001-03-02",25.1875,25.875,24.1875,24.6875,2759700,22.492327
"2001-03-05",24.9375,25.5,24.125,24.6875,2434700,22.492327
"2001-03-06",25.6875,25.75,24.875,25.1875,1799500,22.947868
"2001-03-07",25.5,26.875,25.375,26.6875,3831200,24.314489
"2001-03-08",27,28.375,26.5625,28,4434200,25.510286
"2001-03-09",28.09375,29.0625,27.375,28.4375,4432300,25.908886
"2001-03-12",28.375,28.4375,26.625,26.875,3736500,24.485317
"2001-03-13",27.375,28.25,27,27.8125,4387300,25.33946
"2001-03-14",27.0625,27.5,26.3125,27,4730600,24.599205
"2001-03-15",27,27.25,26.125,26.4375,2931200,24.086721
"2001-03-16",25.375,26.5,25,26.25,4587100,23.915895
"2001-03-19",26.4375,27.375,25.9375,27.1875,2816100,24.770033
"2001-03-20",27.3125,27.5,25.375,25.5,5967800,23.23258
"2001-03-21",25.625,25.6875,23.4375,23.5625,6611100,21.467361
"2001-03-22",23.6875,24,22.5,23.609375,4932200,21.510067
"2001-03-23",24.5,24.734375,23.625,24.625,3095200,22.435383
"2001-03-26",25.34375,25.875,22.75,23.625,3079200,21.524305
"2001-03-27",23.9375,25.5,23.875,24.5,4009300,22.321499
"2001-03-28",24.75,24.9375,23.5,24.75,3044400,22.549274
"2001-03-29",24.1875,24.3125,23.125,23.1875,3828800,21.125704
"2001-03-30",23.4375,25,22.5625,24.5625,3186500,22.378445
"2001-04-02",24.4375,25.0625,24,24.6875,3049400,22.492327
"2001-04-03",24.9375,25.4375,23.75,24.0625,3239600,21.922901
"2001-04-04",23.96875,25.3125,23.5,24.625,4701400,22.435383
"2001-04-05",26.875,27.3125,26.125,26.9375,8374100,24.542261
