"","Open","High","Low","Close","Volume"
"2001-01-02",30.084412,30.396912,27.834412,27.834412,54000
"2001-01-03",27.641438,28.016438,27.141438,27.703938,54000
"2001-01-04",28.086996,28.711996,27.399496,27.399496,65700
"2001-01-05",28.502005,28.502005,24.502005,24.877005,94500
"2001-01-08",24.898901,26.086401,24.898901,25.398901,75800
"2001-01-09",25.830925,25.955925,25.268425,25.268425,17900
"2001-01-10",24.855707,26.480707,24.855707,26.355707,42500
"2001-01-11",26.485876,27.610876,25.485876,25.485876,53700
"2001-01-12",25.621822,25.996822,24.496822,25.746822,51800
"2001-01-16",25.942677,26.505177,24.505177,26.442677,116400
"2001-01-17",26.258369,29.258369,26.258369,28.008369,128800
"2001-01-18",27.970354,28.220354,27.720354,28.095354,67600
"2001-01-19",28.266438,29.141438,27.703938,27.703938,62200
"2001-01-22",27.665924,27.790924,27.228424,27.790924,41200
"2001-01-23",27.676855,28.114355,27.239355,28.051855,46500
"2001-01-24",28.45652,28.45652,27.26902,27.26902,23300
"2001-01-25",27.173983,27.486483,26.736483,27.486483,140000
"2001-01-26",27.46747,27.65497,27.40497,27.52997,29500
"2001-01-29",26.954231,28.764232,26.954231,28.704231,74000
"2001-01-30",28.84415,29.144149,28.34415,28.384151,63400
"2001-01-31",28.85875,28.85875,27.51875,27.778748,42000
"2001-02-01",27.530258,28.780258,27.280258,28.530258,120700
"2001-02-02",28.07406,29.674058,28.07406,29.57406,65800
"2001-02-05",30.280258,30.530258,28.530258,28.530258,50500
"2001-02-06",28.219452,28.719452,27.469452,28.669453,35000
"2001-02-07",28.164562,30.964561,28.164562,29.824562,76500
"2001-02-08",29.921986,30.321988,29.461987,29.921986,48200
"2001-02-09",30.165306,30.165306,29.365307,29.365307,27200
"2001-02-12",29.00338,30.513378,28.803379,30.193378,33100
"2001-02-13",29.879507,30.72951,29.879507,30.339506,33900
"2001-02-14",30.351586,30.351586,29.391587,29.991585,20800
"2001-02-15",30.150331,30.300333,29.500334,30.200335,18400
"2001-02-16",30.395722,30.395722,29.125721,29.295719,29600
"2001-02-20",30.116887,30.116887,27.116887,27.416891,52200
"2001-02-21",27.226013,27.826011,27.12601,27.396011,48400
"2001-02-22",27.435515,27.435515,27.135516,27.145514,85500
"2001-02-23",26.920442,27.660444,26.920442,27.660444,62700
"2001-02-26",26.99572,29.845723,26.99572,29.295719,50100
"2001-02-27",29.880256,30.030258,28.530258,28.530258,30400
"2001-02-28",29.116887,29.116887,27.016889,27.416891,59400
"2001-03-01",27.143168,28.193167,26.993166,28.043165,19700
"2001-03-02",27.879302,29.2293,27.7293,28.189299,11000
"2001-03-05",28.668221,28.768219,27.018219,27.528221,20500
"2001-03-06",27.606069,28.656068,27.206067,27.556065,13600
"2001-03-07",27.564825,28.034822,27.364824,27.764826,23300
"2001-03-08",27.749621,28.849619,27.749621,27.79962,20700
"2001-03-09",28.514354,28.514354,25.814353,26.164351,74300
"2001-03-12",26.433555,26.883556,25.783553,26.463554,38200
"2001-03-13",26.151592,27.241592,26.151592,27.131596,21400
"2001-03-14",27.077717,28.287716,26.607716,27.277718,40500
"2001-03-15",27.26762,27.417622,26.817619,26.957623,12300
"2001-03-16",27.327481,27.347477,26.477478,26.477478,67800
"2001-03-19",26.477897,27.007896,25.877895,26.407898,117300
"2001-03-20",26.943188,26.943188,25.093185,25.183186,90500
"2001-03-21",25.266182,25.316181,24.966183,25.016182,31600
"2001-03-22",25.509248,25.509248,23.58925,23.65925,49700
"2001-03-23",24.085049,24.085049,22.385048,22.685047,131600
"2001-03-26",22.487344,23.387346,21.137346,23.137346,103500
"2001-03-27",22.57336,24.313358,22.373359,24.313358,37600
"2001-03-28",24.203033,24.753032,22.803031,24.703033,37200
"2001-03-29",24.44452,25.94452,24.344522,25.294518,34700
"2001-03-30",25.300966,25.600965,24.400964,25.050966,51100
"2001-04-02",25.103035,25.163032,24.703033,24.703033,96900
"2001-04-03",25.181139,25.231138,24.13114,24.181139,31900
"2001-04-04",25.017521,25.257523,21.027521,22.267521,97400
"2001-04-05",23.79916,24.29916,23.339161,23.339161,334400
"2001-04-06",23.402559,24.152559,23.042558,23.10256,115900
"2001-04-09",23.190491,24.050491,23.190491,23.450493,72400
"2001-04-10",23.665936,24.215935,23.415936,24.215935,96300
"2001-04-11",24.179309,25.679309,24.179309,25.329311,46500
"2001-04-12",25.792338,26.192335,23.812338,23.812338,69700
"2001-04-16",24.372268,24.372268,21.822269,22.142269,159500
"2001-04-17",21.783392,23.163393,21.693392,22.963392,247100
"2001-04-18",22.787593,23.937595,22.697593,23.937595,258300
"2001-04-19",23.87883,24.10883,23.62883,23.728828,17500
"2001-04-20",24.176289,24.176289,22.12629,22.476288,60800
"2001-04-23",22.517521,22.517521,21.47752,22.267521,72100
"2001-04-24",21.841737,23.511735,21.841737,23.241739,78400
"2001-04-25",23.035278,23.655277,22.975281,23.485279,47800
"2001-04-26",24.045877,24.645875,22.545877,22.545877,28100
"2001-04-27",22.061317,23.311317,22.061317,23.311317,23700
"2001-04-30",23.120074,23.57007,23.07007,23.520071,36000
"2001-05-01",23.133203,23.893205,22.193205,23.833204,36400
"2001-05-02",23.948784,24.198784,23.248783,23.568783,38200
"2001-05-03",23.626618,23.686619,23.206619,23.596619,65900
"2001-05-04",23.4657,23.695699,23.405698,23.415701,66700
"2001-05-07",23.188466,25.078465,23.188466,23.958466,86100
"2001-05-08",23.776402,24.506401,23.776402,24.3064,25300
"2001-05-09",24.18783,24.787828,24.18783,24.737829,74400
"2001-05-10",24.850965,25.150964,24.770967,25.050966,24100
"2001-05-11",25.231838,25.441841,25.041839,25.071838,33400
"2001-05-14",25.042305,25.292305,25.042305,25.162304,29500
"2001-05-15",24.936004,26.456004,24.936004,25.886005,80300
"2001-05-16",26.005338,26.005338,25.15534,25.15534,53700
"2001-05-17",24.976822,25.946823,24.976822,25.746822,73700
"2001-05-18",25.640754,25.810752,25.640754,25.760752,114400
"2001-05-21",25.836006,25.886005,25.186004,25.886005,42700
"2001-05-22",25.895129,26.295126,25.745127,25.865126,86200
"2001-05-23",26.114518,26.114518,25.294518,25.294518,37000
"2001-05-24",25.477003,25.527007,24.777007,24.877005,45200
"2001-05-25",24.767501,25.177501,24.767501,25.127502,53800
"2001-05-29",25.022862,25.62286,24.922859,25.572861,67800
"2001-05-30",25.644521,25.644521,25.144521,25.294518,13200
"2001-05-31",25.279307,25.909309,25.279307,25.329311,62500
"2001-06-01",25.612164,25.622162,24.462162,24.682163,67400
"2001-06-04",24.551376,25.281376,24.551376,24.981377,67400
"2001-06-05",24.853275,25.713276,24.853275,25.503277,124800
"2001-06-06",25.579311,25.819308,24.929309,25.329311,27200
"2001-06-07",25.557417,25.557417,24.517416,24.807417,19300
"2001-06-08",24.715208,25.215208,24.565206,24.675207,9900
"2001-06-11",24.681139,24.831141,23.931139,24.181139,41600
"2001-06-12",25.187227,25.187227,23.897226,24.167227,44500
"2001-06-13",24.322385,24.472387,23.972387,23.972387,30900
"2001-06-14",24.266117,24.276116,23.256115,23.346115,105400
"2001-06-15",23.528594,23.678596,22.818595,22.928596,93300
"2001-06-18",22.929466,22.969467,22.799469,22.949467,26100
"2001-06-19",22.982971,23.142971,22.982971,23.03297,13700
"2001-06-20",22.997347,23.137346,22.987344,23.137346,246200
"2001-06-21",23.051319,23.311317,23.001316,23.311317,45600
"2001-06-22",23.419468,23.569465,22.919468,22.949467,46100
"2001-06-25",22.913393,23.083391,22.863394,22.963392,70900
"2001-06-26",22.811317,23.311317,22.611316,23.311317,59500
"2001-06-27",22.833447,24.643449,22.833447,24.633451,76200
"2001-06-28",24.298903,25.398901,23.9489,25.398901,100100
"2001-06-29",26.071049,26.571049,23.581047,23.86105,295700
"2001-07-02",23.858754,24.958752,23.858754,24.918755,122600
"2001-07-03",25.179808,25.229807,24.029806,24.069807,31100
"2001-07-05",23.852116,24.632114,23.802116,24.522118,53700
"2001-07-06",24.454699,24.4747,24.034697,24.424696,27900
"2001-07-09",24.54114,24.54114,23.831141,24.181139,62600
"2001-07-10",24.514966,24.514966,23.874966,23.874966,92000
"2001-07-11",23.340558,25.120556,22.870556,25.120556,234700
"2001-07-12",25.571043,27.021044,25.571043,26.721045,162900
