"","Open","High","Low","Close","Volume"
"2001-01-02",1.412098,1.423817,1.318348,1.326161,4024000
"2001-01-03",1.222771,1.418083,1.222771,1.406365,4220800
"2001-01-04",1.408581,1.416394,1.377331,1.400769,2980800
"2001-01-05",1.346961,1.393836,1.323524,1.382117,5014400
"2001-01-08",1.399958,1.458552,1.341364,1.376521,3168000
"2001-01-09",1.354422,1.389578,1.334891,1.389578,3806400
"2001-01-10",1.358259,1.440291,1.342634,1.432478,6652800
"2001-01-11",1.446765,1.497546,1.407703,1.419421,7433600
"2001-01-12",1.465661,1.465661,1.371911,1.391443,2252800
"2001-01-16",1.4241,1.4241,1.326443,1.3616,5030400
"2001-01-17",1.37997,1.391688,1.325282,1.344813,3726400
"2001-01-18",1.362479,1.382011,1.335136,1.342948,2704000
"2001-01-19",1.404179,1.404179,1.271367,1.286992,2633600
"2001-01-22",1.223505,1.305536,1.223505,1.266474,4380800
"2001-01-23",1.243496,1.305996,1.235683,1.298183,2891200
"2001-01-24",1.287801,1.350301,1.26827,1.311239,2323200
"2001-01-25",1.392178,1.435147,1.21249,1.251553,5616000
"2001-01-26",1.318731,1.318731,1.189825,1.193731,4905600
"2001-01-29",1.180669,1.213169,1.152544,1.205669,5041600
"2001-01-30",1.221018,1.221018,1.161643,1.191643,4182400
"2001-01-31",1.194413,1.225663,1.181913,1.192538,4222400
"2001-02-01",1.177465,1.26434,1.174965,1.22059,2313600
"2001-02-02",1.242893,1.279768,1.191643,1.191643,1876800
"2001-02-05",1.165275,1.21465,1.165275,1.214025,2195200
"2001-02-06",1.202623,1.228248,1.180123,1.223873,2388800
"2001-02-07",1.210208,1.225208,1.195208,1.222083,1132800
"2001-02-08",1.225675,1.2413,1.20505,1.2188,1920000
"2001-02-09",1.247161,1.247161,1.193411,1.207161,2728000
"2001-02-12",1.190647,1.233772,1.165647,1.219397,1886400
"2001-02-13",1.215151,1.255151,1.195776,1.223276,1246400
"2001-02-14",1.213135,1.26126,1.201885,1.22626,2148800
"2001-02-15",1.184994,1.284994,1.184994,1.253119,2150400
"2001-02-16",1.28608,1.31733,1.22483,1.236705,1812800
"2001-02-20",1.272133,1.333383,1.205883,1.207758,1793600
"2001-02-21",1.228106,1.262481,1.113731,1.193731,2120000
"2001-02-22",1.203191,1.215691,1.168816,1.191941,1387200
"2001-02-23",1.215566,1.215566,1.101816,1.168066,2718400
"2001-02-26",1.156586,1.225961,1.150961,1.192836,1793600
"2001-02-27",1.270488,1.323613,1.246113,1.301738,2449600
"2001-02-28",1.290063,1.336313,1.286313,1.314438,3361600
"2001-03-01",1.325815,1.350815,1.302065,1.30269,2916800
"2001-03-02",1.271095,1.358595,1.26047,1.32047,1955200
"2001-03-05",1.34532,1.395945,1.308445,1.310945,2537600
"2001-03-06",1.2909,1.3559,1.2884,1.347775,2516800
"2001-03-07",1.338842,1.437592,1.338842,1.395717,5467200
"2001-03-08",1.346971,1.443846,1.346971,1.435721,3812800
"2001-03-09",1.405997,1.484122,1.399747,1.413497,2908800
"2001-03-12",1.440437,1.446062,1.377312,1.377937,2224000
"2001-03-13",1.336732,1.424857,1.311732,1.420482,3390400
"2001-03-14",1.418554,1.462304,1.384179,1.397304,5067200
"2001-03-15",1.380897,1.457772,1.380897,1.407147,2761600
"2001-03-16",1.461539,1.495289,1.381539,1.388414,4344000
"2001-03-19",1.360858,1.453358,1.353983,1.424608,2644800
"2001-03-20",1.441859,1.497484,1.405609,1.408734,2011200
"2001-03-21",1.433207,1.433207,1.361332,1.395082,2905600
"2001-03-22",1.399039,1.417789,1.267789,1.388414,3827200
"2001-03-23",1.372116,1.435866,1.320241,1.405241,3457600
"2001-03-26",1.381396,1.473896,1.373896,1.438896,1672000
"2001-03-27",1.417599,1.462599,1.372599,1.455724,3264000
"2001-03-28",1.466951,1.466951,1.366951,1.434451,1800000
"2001-03-29",1.440414,1.464789,1.371664,1.436039,1894400
"2001-03-30",1.400734,1.459484,1.358859,1.456359,2040000
"2001-04-02",1.467151,1.492151,1.398401,1.447151,2768000
"2001-04-03",1.482514,1.521264,1.394389,1.410639,1811200
"2001-04-04",1.353443,1.479693,1.353443,1.469693,1620800
"2001-04-05",1.454221,1.501096,1.422346,1.499221,1934400
"2001-04-06",1.514683,1.514683,1.414683,1.469058,1915200
"2001-04-09",1.452226,1.524101,1.452226,1.491601,2339200
"2001-04-10",1.479221,1.545471,1.469221,1.499221,2251200
"2001-04-11",1.525596,1.528721,1.413096,1.467471,3140800
"2001-04-12",1.500316,1.530316,1.421566,1.449691,2780800
"2001-04-16",1.430774,1.461399,1.421399,1.458899,1876800
"2001-04-17",1.438336,1.482711,1.404586,1.482711,1206400
"2001-04-18",1.458468,1.533468,1.435343,1.510968,1596800
"2001-04-19",1.518598,1.527973,1.490473,1.519223,1824000
"2001-04-20",1.519945,1.538695,1.48057,1.50557,1590400
"2001-04-23",1.503388,1.519638,1.485263,1.505888,1195200
"2001-04-24",1.512336,1.522961,1.486086,1.498586,1430400
"2001-04-25",1.475523,1.535523,1.469273,1.522398,1150400
"2001-04-26",1.469173,1.538548,1.456673,1.516048,5449600
"2001-04-27",1.535886,1.542136,1.454636,1.485886,2652800
"2001-04-30",1.497986,1.502986,1.446736,1.460486,2155200
"2001-05-01",1.488361,1.488361,1.419611,1.444611,2624000
"2001-05-02",1.471256,1.471256,1.383756,1.430006,3771200
"2001-05-03",1.427737,1.433987,1.365237,1.365237,3609600
"2001-05-04",1.323086,1.393086,1.315586,1.387461,2419200
"2001-05-07",1.405605,1.41623,1.36748,1.36873,2272000
"2001-05-08",1.378045,1.38742,1.35617,1.36492,1432000
"2001-05-09",1.3759,1.3759,1.3259,1.347775,1912000
"2001-05-10",1.331661,1.425411,1.329161,1.416036,4179200
"2001-05-11",1.430599,1.476849,1.394349,1.408099,2456000
"2001-05-14",1.403387,1.428387,1.394012,1.406512,1243200
"2001-05-15",1.384362,1.440612,1.384362,1.428737,1192000
"2001-05-16",1.358011,1.564261,1.351761,1.501761,2811200
"2001-05-17",1.466348,1.596973,1.466348,1.535098,3752000
"2001-05-18",1.540533,1.546783,1.499283,1.523033,1550400
"2001-05-21",1.491855,1.56248,1.48248,1.54748,2297600
"2001-05-22",1.547625,1.562,1.507,1.517,2481600
"2001-05-23",1.52666,1.52666,1.48291,1.49541,1289600
"2001-05-24",1.509566,1.515191,1.455816,1.481441,1124800
"2001-05-25",1.492144,1.492144,1.454644,1.466519,1467200
"2001-05-29",1.450589,1.493714,1.427464,1.486839,3438400
"2001-05-30",1.559093,1.581593,1.557218,1.572843,2889600
"2001-05-31",1.558325,1.605825,1.558325,1.589575,2668800
"2001-06-01",1.606996,1.606996,1.563871,1.569496,2654400
"2001-06-04",1.538802,1.629427,1.532552,1.615677,2105600
"2001-06-05",1.569891,1.676141,1.569891,1.669891,5908800
"2001-06-06",1.674246,1.752371,1.649246,1.664871,6270400
"2001-06-07",1.666391,1.684516,1.646391,1.659516,1504000
"2001-06-08",1.663,1.663,1.651125,1.6555,558400
"2001-06-11",1.675156,1.678281,1.625781,1.631406,2017600
"2001-06-12",1.643256,1.652631,1.610131,1.635756,2918400
"2001-06-13",1.634378,1.650003,1.623753,1.624378,1366400
"2001-06-14",1.663689,1.663689,1.572439,1.576189,998400
"2001-06-15",1.537527,1.610027,1.518777,1.577527,4204800
"2001-06-18",1.591952,1.591952,1.540077,1.568827,1116800
"2001-06-19",1.582951,1.585451,1.565451,1.579201,931200
"2001-06-20",1.58202,1.638895,1.53577,1.565145,3264000
"2001-06-21",1.60488,1.60488,1.49488,1.51863,3635200
"2001-06-22",1.570913,1.586538,1.463413,1.463413,4228800
"2001-06-25",1.446863,1.512488,1.416238,1.482488,4614400
"2001-06-26",1.452636,1.549511,1.445761,1.498886,2241600
