"","CAG.Open","CAG.High","CAG.Low","CAG.Close","CAG.Volume","CAG.Adjusted"
"2001-01-02",20.136187,20.233463,19.892996,19.892996,998800,8.869045
"2001-01-03",19.844358,20.184824,18.579767,18.628405,3819100,8.30524
"2001-01-04",18.531128,18.579767,17.023346,17.704281,4859300,7.893234
"2001-01-05",17.704281,18.336576,17.509727,18.190662,2256200,8.110079
"2001-01-08",17.996109,18.579767,17.996109,18.531128,1629800,8.261872
"2001-01-09",18.433851,18.920233,18.287937,18.822958,1694400,8.391981
"2001-01-10",18.822958,19.017509,18.677042,18.920233,1631600,8.435349
"2001-01-11",18.968872,18.968872,18.433851,18.482491,1817800,8.24019
"2001-01-12",18.336576,18.336576,18.142023,18.287937,1976800,8.153451
"2001-01-16",18.287937,18.531128,18.2393,18.482491,1761300,8.24019
"2001-01-17",18.2393,18.628405,18.2393,18.482491,1833000,8.24019
"2001-01-18",18.482491,18.822958,18.482491,18.677042,1656200,8.326924
"2001-01-19",18.579767,18.677042,18.2393,18.385214,1935800,8.196816
"2001-01-22",18.433851,18.531128,18.190662,18.385214,2068300,8.196816
"2001-01-23",18.385214,18.385214,17.996109,18.287937,1756700,8.153451
"2001-01-24",18.287937,18.336576,17.947472,18.190662,1806100,8.110079
"2001-01-25",18.2393,18.531128,17.947472,18.287937,1579500,8.153451
"2001-01-26",18.142023,18.287937,17.947472,18.142023,1869800,8.088391
"2001-01-29",18.10895,18.428015,17.984436,18.264591,1254500,8.14304
"2001-01-30",18.264591,18.677042,18.046692,18.490273,1570000,8.243658
"2001-01-31",18.599222,18.599222,18.155642,18.210117,1932200,8.218765
"2001-02-01",18.56031,18.894941,18.163424,18.762646,1727200,8.468137
"2001-02-02",18.949417,19.097277,18.599222,18.692608,2291700,8.436523
"2001-02-05",18.70039,19.050583,18.482491,18.622568,1387000,8.404914
"2001-02-06",18.677042,18.747082,18.529182,18.692608,1194100,8.436523
"2001-02-07",19.066149,19.066149,18.684824,18.879377,1106200,8.520823
"2001-02-08",19.011673,19.416342,18.918287,19.268482,2142300,8.696437
"2001-02-09",19.338522,19.36965,18.957199,19.035019,1570100,8.591063
"2001-02-12",19.105059,19.377432,18.770428,19.29961,1155300,8.710483
"2001-02-13",19.447472,19.447472,16.723736,19.346304,1748200,8.731564
"2001-02-14",14.591439,15.719845,14.591439,15.571984,37995100,7.028096
"2001-02-15",15.642023,16.342413,15.603113,16.272373,9524200,7.3442
"2001-02-16",16.10895,16.10895,15.875486,15.984436,5264100,7.214247
"2001-02-20",15.922179,16.178988,15.766537,15.984436,3924900,7.214247
"2001-02-21",15.953307,15.976654,15.626459,15.81323,2858400,7.136977
"2001-02-22",15.953307,15.953307,15.486382,15.579766,3606200,7.03161
"2001-02-23",15.525291,15.603113,15.252918,15.408561,3565400,6.954338
"2001-02-26",15.408561,15.533074,15.175097,15.361868,2457900,6.933265
"2001-02-27",15.361868,15.361868,14.785993,15.019455,3454500,6.778724
"2001-02-28",14.941634,15.322957,14.793775,15.315175,1999000,6.912191
"2001-03-01",15.525291,15.55642,15.190661,15.346304,2719800,6.92624
"2001-03-02",15.509727,15.509727,14.863813,15.003891,3048900,6.771697
"2001-03-05",15.136187,15.299611,14.941634,15.042802,1879300,6.789261
"2001-03-06",14.848249,15.097277,14.848249,14.910506,2074300,6.729551
"2001-03-07",14.980545,15.291829,14.92607,15.151751,2528700,6.838431
"2001-03-08",15.027237,15.284047,14.785993,15.097277,4074200,6.813847
"2001-03-09",15.159534,15.252918,14.980545,15.190661,1700800,6.855995
"2001-03-12",15.003891,15.55642,14.988327,15.392996,2242500,6.947313
"2001-03-13",15.408561,15.431907,14.887159,15.2607,1779900,6.887602
"2001-03-14",15.268482,15.268482,14.863813,15.058366,2413800,6.796287
"2001-03-15",15.252918,15.252918,15.03502,15.175097,2289700,6.848969
"2001-03-16",14.824903,15.120623,14.824903,14.996109,2830500,6.768187
"2001-03-19",15.081712,15.097277,14.863813,14.918288,2775600,6.733063
"2001-03-20",14.887159,14.894941,14.599222,14.684825,2963000,6.627694
"2001-03-21",14.785993,14.817121,14.599222,14.653696,2872200,6.613646
"2001-03-22",14.770428,14.817121,14.560311,14.669261,3124800,6.620671
"2001-03-23",14.591439,14.894941,14.326848,14.809339,2832300,6.683891
"2001-03-26",14.801557,14.92607,14.14786,14.326848,4012200,6.46613
"2001-03-27",13.618677,14.163424,13.618677,14.10895,6540000,6.367785
"2001-03-28",14.085603,14.194552,14.007782,14.124514,4476100,6.374812
"2001-03-29",14.124514,14.124514,13.937743,14,3569400,6.318614
"2001-03-30",14.007782,14.280155,13.898832,14.194552,3275300,6.406421
"2001-04-02",14.287938,14.350195,14.038911,14.116732,1628600,6.371298
"2001-04-03",14.116732,14.163424,13.898832,14.093385,2275600,6.36076
"2001-04-04",14.202334,14.77821,14.124514,14.77821,3069900,6.669847
"2001-04-05",14.785993,14.941634,14.747082,14.871595,3115800,6.71199
"2001-04-06",14.871595,15.315175,14.871595,15.175097,4034700,6.848969
"2001-04-09",15.291829,15.486382,15.268482,15.346304,3128700,6.92624
"2001-04-10",15.112841,15.322957,15.105059,15.167315,2368500,6.845455
"2001-04-11",15.175097,15.252918,14.996109,15.058366,1884300,6.796287
"2001-04-12",15.159534,15.36965,15.050584,15.151751,941900,6.838431
"2001-04-16",15.245136,15.447471,15.159534,15.408561,1202700,6.954338
"2001-04-17",15.408561,15.642023,15.252918,15.517509,1518400,7.00351
"2001-04-18",15.564202,15.797666,15.416343,15.603113,1872500,7.042145
