"","Open","High","Low","Close","Volume"
"2001-01-02",9.112236,9.209512,8.869045,8.869045,998800
"2001-01-03",9.521193,9.861659,8.256602,8.30524,3819100
"2001-01-04",8.720081,8.76872,7.212299,7.893234,4859300
"2001-01-05",7.623698,8.255993,7.429144,8.110079,2256200
"2001-01-08",7.726853,8.310511,7.726853,8.261872,1629800
"2001-01-09",8.002874,8.489256,7.85696,8.391981,1694400
"2001-01-10",8.338074,8.532625,8.192158,8.435349,1631600
"2001-01-11",8.726571,8.726571,8.19155,8.24019,1817800
"2001-01-12",8.20209,8.20209,8.007537,8.153451,1976800
"2001-01-16",8.045636,8.288827,7.996999,8.24019,1761300
"2001-01-17",7.996999,8.386104,7.996999,8.24019,1833000
"2001-01-18",8.132373,8.47284,8.132373,8.326924,1656200
"2001-01-19",8.391369,8.488644,8.050902,8.196816,1935800
"2001-01-22",8.245453,8.34273,8.002264,8.196816,2068300
"2001-01-23",8.250728,8.250728,7.861623,8.153451,1756700
"2001-01-24",8.207354,8.255993,7.866889,8.110079,1806100
"2001-01-25",8.104814,8.396642,7.812986,8.153451,1579500
"2001-01-26",8.088391,8.234305,7.89384,8.088391,1869800
"2001-01-29",7.987399,8.306464,7.862885,8.14304,1254500
"2001-01-30",8.017976,8.430427,7.800077,8.243658,1570000
"2001-01-31",8.60787,8.60787,8.16429,8.218765,1932200
"2001-02-01",8.265801,8.600432,7.868915,8.468137,1727200
"2001-02-02",8.693332,8.841192,8.343137,8.436523,2291700
"2001-02-05",8.482736,8.832929,8.264837,8.404914,1387000
"2001-02-06",8.420957,8.490997,8.273097,8.436523,1194100
"2001-02-07",8.707595,8.707595,8.32627,8.520823,1106200
"2001-02-08",8.439628,8.844297,8.346242,8.696437,2142300
"2001-02-09",8.894566,8.925694,8.513243,8.591063,1570100
"2001-02-12",8.515932,8.788305,8.181301,8.710483,1155300
"2001-02-13",8.832732,8.832732,6.108996,8.731564,1748200
"2001-02-14",6.047551,7.175957,6.047551,7.028096,37995100
"2001-02-15",6.71385,7.41424,6.67494,7.3442,9524200
"2001-02-16",7.338761,7.338761,7.105297,7.214247,5264100
"2001-02-20",7.15199,7.408799,6.996348,7.214247,3924900
"2001-02-21",7.277054,7.300401,6.950206,7.136977,2858400
"2001-02-22",7.405151,7.405151,6.938226,7.03161,3606200
"2001-02-23",7.071068,7.14889,6.798695,6.954338,3565400
"2001-02-26",6.979958,7.104471,6.746494,6.933265,2457900
"2001-02-27",7.121137,7.121137,6.545262,6.778724,3454500
"2001-02-28",6.53865,6.919973,6.390791,6.912191,1999000
"2001-03-01",7.105227,7.136356,6.770597,6.92624,2719800
"2001-03-02",7.277533,7.277533,6.631619,6.771697,3048900
"2001-03-05",6.882646,7.04607,6.688093,6.789261,1879300
"2001-03-06",6.667294,6.916322,6.667294,6.729551,2074300
"2001-03-07",6.667225,6.978509,6.61275,6.838431,2528700
"2001-03-08",6.743807,7.000617,6.502563,6.813847,4074200
"2001-03-09",6.824868,6.918252,6.645879,6.855995,1700800
"2001-03-12",6.558208,7.110737,6.542644,6.947313,2242500
"2001-03-13",7.035463,7.058809,6.514061,6.887602,1779900
"2001-03-14",7.006403,7.006403,6.601734,6.796287,2413800
"2001-03-15",6.92679,6.92679,6.708892,6.848969,2289700
"2001-03-16",6.596981,6.892701,6.596981,6.768187,2830500
"2001-03-19",6.896487,6.912052,6.678588,6.733063,2775600
"2001-03-20",6.830028,6.83781,6.542091,6.627694,2963000
"2001-03-21",6.745943,6.777071,6.559172,6.613646,2872200
"2001-03-22",6.721838,6.768531,6.511721,6.620671,3124800
"2001-03-23",6.465991,6.769493,6.2014,6.683891,2832300
"2001-03-26",6.940839,7.065352,6.287142,6.46613,4012200
